	macd	trigger
4296		
4295		
4294		
4293		
4292		
4291		
4290		
4289		
4288		
4287		
4286		
4285		
4284		
4283		
4282		
4281		
4280		
4279		
4278		
4277		
4276		
4275		
4274		
4273		
4272		
4271		
4270		
4269		
4268		
4267		
4266		
4265		
4264		
4263		
4262		
4261		
4260		
4259		
4258		
4257		
4256		
4255		
4254		
4253		
4252		
4251		
4250		
4249		
4248		
4247		
4246		
4245		
4244		
4243		
4242		
4241		
4240		
4239		
4238		
4237		
4236		
4235		
4234		
4233		
4232		
4231		
4230		
4229		
4228		
4227		
4226		
4225		
4224		
4223		
4222		
4221		
4220		
4219		
4218		
4217		
4216		
4215		
4214		
4213		
4212		
4211		
4210		
4209		
4208		
4207		
4206		
4205		
4204		
4203		
4202		
4201		
4200		
4199		
4198	0.03868409661572514	
4197	1.19597360795251	
4196	2.83676213875151	
4195	4.397754791954867	
4194	7.780787900074756	
4193	10.726892267365656	
4192	12.436698109391727	
4191	16.24660634807333	
4190	19.045327600166274	
4189	21.702000820426292	
4188	24.4977496440506	
4187	26.872924870567658	
4186	29.67649255721335	
4185	33.166038004235816	
4184	37.30976616982116	
4183	41.51913204648736	
4182	44.39162199769362	
4181	47.66768959278306	
4180	50.2045174459754	
4179	50.90794732606173	
4178	51.55267368298155	
4177	52.70678482161475	
4176	54.34724937727333	
4175	55.883801793409475	
4174	56.75127509007143	
4173	58.69059295138504	
4172	59.938496418955765	
4171	61.098119584776214	
4170	62.173010486673775	
4169	63.166587836300096	
4168	65.23455458872377	
4167	65.4419173353026	
4166	65.60647562229224	
4165	67.46856550917255	
4164	68.629987391334	
4163	69.12144351092775	
4162	70.13780397573464	
4161	71.07176833756785	
4160	71.92667821981104	
4159	72.12008234162113	
4158	72.26797750900823	
4157	72.37238175903076	
4156	72.4352400615835	
4155	72.45842694528801	
4154	71.85326014976908	
4153	71.83076150073248	
4152	72.36513475540505	
4151	70.46533300878491	
4150	68.61674197500633	59.672421032234595
4149	66.22291962191412	59.96949754084552
4148	63.90500477684691	60.14689114492429
4147	61.063937285164684	60.18798634699116
4146	58.32177592932203	60.104822107593805
4145	55.67534809265908	59.90848066553149
4144	53.12158200894555	59.60917330527396
4143	50.65750338654925	59.21631702646687
4142	48.280232158812396	58.738603232280695
4141	45.98697935513701	58.18405939914808
4140	43.7750440876016	57.5601045597567
4139	41.64181064814602	56.87359932009561
4138	38.9808170367678	56.10494698974836
4137	37.02607915354474	55.28839828460385
4136	35.141667182880155	54.42922487231336
4135	33.93145054122124	53.558069102667986
4134	31.54543065558937	52.625594138173014
4133	28.644568792941755	51.6129216138296
4132	25.861352386301405	50.52874838121428
4131	22.58286729493375	49.355577137685394
4130	19.442276863853294	48.10327531104301
4129	16.434873815325773	46.78099956256386
4128	13.55610093069481	45.39724626911845
4127	10.801546252085245	43.959897927122654
4126	6.942465923012605	42.42551100320611
4125	3.2555837837699073	40.805522508464705
4124	-0.8785694706793947	39.08523860288064
4123	-4.824051816213796	37.2768359697142
4122	-7.35805097273078	35.44216265337296
4121	-9.772947963998377	33.587142709093875
4120	-14.536479534764112	31.61636537740913
4119	-19.69225823504894	29.518797481836884
4118	-25.220386863740714	27.28470483045788
4117	-30.484083637186814	24.930724715297107
4116	-35.492706570344126	22.472340171437782
4115	-40.255314313532836	19.92395291839078
4114	-44.780675506658554	17.29895133791838
4113	-51.55629334479181	14.509338637953483
4112	-57.99733781217947	11.575600625732985
4111	-64.11574337033835	8.51681684657876
4110	-69.92306266477954	5.350746561147337
4109	-77.91763788005119	1.993634964645286
4108	-85.50875170226846	-1.530297774749981
4107	-92.08810942444507	-5.173430052442114
4106	-98.94435475939827	-8.94200340479589
4105	-105.43814846621399	-12.816329535788313
4104	-111.5826443731321	-16.778101341961086
4103	-117.39057401374703	-20.8103108363307
4102	-122.87425964131262	-24.897172028021206
4101	-128.04562683600943	-29.024048421038376
4100	-132.91621671885378	-33.177384822217064
4099	-137.49719778540157	-37.34464317258473
4098	-139.2922190806753	-41.414161996556814
4097	-139.67975727146586	-45.33395242268047
4096	-140.60560509463085	-49.1317552383036
4095	-141.41719077014204	-52.808139480583336
4094	-142.11927874907542	-56.36382682389018
4093	-143.34526833742666	-59.82469838291973
4092	-144.44190430147455	-63.18957241810878
4091	-145.41449022579673	-66.45751725085049
4090	-145.0083011430047	-69.5777890129577
4089	-145.80664240771375	-72.60429141359786
4088	-146.493751805559	-75.53648480941384
4087	-147.0743190456019	-78.37402993628797
4086	-147.5528753787753	-81.11677363907117
4085	-147.93379852354929	-83.76473541448517
4084	-149.48537793091964	-86.36816874798527
4083	-152.1542463820938	-88.97315756053293
4082	-154.6235000869533	-91.57177839042792
4081	-156.90092852313	-94.15673670943333
4080	-157.72741526056006	-96.6712289859315
4079	-157.80149747429004	-99.08837418019996
4078	-159.05884914502303	-101.45888920761305
4077	-160.81137278748338	-103.80424368174586
4076	-161.76685725597736	-106.09398954310709
4075	-161.96074158824013	-108.30030506430575
4074	-162.37992687208998	-110.43545146010732
4073	-161.10788484086515	-112.43554511296503
4072	-160.44632537088683	-114.33009676740376
4071	-159.73214410492483	-116.12126597362771
4070	-158.96808958183328	-117.81123015777808
4069	-158.15681143243273	-119.40218031016795
4068	-156.6641225238077	-120.87121376118617
4067	-156.43249961112178	-122.27290699175747
4066	-155.1748438607906	-123.56951852726249
4065	-153.57557344708403	-124.75178029345342
4064	-151.33204734474657	-125.79886956602229
4063	-149.1124488419755	-126.7171093732548
4062	-148.19325026087608	-127.56283450752366
4061	-147.23935549358112	-128.33756394596782
4060	-146.25282524517706	-129.04283563359198
4059	-145.87453762188898	-129.7053504386836
4058	-144.79900810242134	-130.29936745981342
