	macd	trigger
789		
788		
787		
786		
785		
784		
783		
782		
781		
780		
779		
778		
777		
776		
775		
774		
773		
772		
771		
770		
769		
768		
767		
766		
765		
764		
763		
762		
761		
760		
759		
758		
757		
756		
755		
754		
753		
752		
751		
750		
749		
748		
747		
746		
745		
744		
743		
742		
741		
740		
739		
738		
737		
736		
735		
734		
733		
732		
731		
730		
729		
728		
727		
726		
725		
724		
723		
722		
721		
720		
719		
718		
717		
716		
715		
714		
713		
712		
711		
710		
709		
708		
707		
706		
705		
704		
703		
702		
701		
700		
699		
698		
697		
696		
695		
694		
693		
692		
691	4.022560630725934	
690	4.062593573829531	
689	4.0986250152956245	
688	4.136242640786406	
687	4.164521612076271	
686	4.18388160767546	
685	4.189271091664068	
684	4.203199184280493	
683	4.19786876303084	
682	4.185147587704762	
681	4.143331729983231	
680	4.084795705067108	
679	4.026931216454216	
678	3.9919448269973827	
677	3.9565662825974073	
676	3.943149213298682	
675	3.911573837153412	
674	3.845849388489455	
673	3.7868577197650097	
672	3.72306177204365	
671	3.6490591859243295	
670	3.559679345280415	
669	3.455643650199306	
668	3.3376465505323267	
667	3.229128124144438	
666	3.1468251743864357	
665	2.992426298087821	
664	2.8035659297884195	
663	2.581850155543691	
662	2.392085575242902	
661	2.094639541071672	
660	1.8271925268337554	
659	1.5364625709742086	
658	1.206214509349195	
657	0.9950808705902432	
656	0.8048041249767266	
655	0.681146059509274	
654	0.5803442294812271	
653	0.6066667922113993	
652	0.6256141973046851	
651	0.6023067984099271	
650	0.5738878502460807	
649	0.5464823301117008	
648	0.5141615278431004	
647	0.4771573886577585	
646	0.41203694798281276	
645	0.32007560911188193	
644	0.24996213515106547	
643	0.18293293991524706	1.782999484437148
642	0.11292968514163704	1.7072589131937705
641	0.08778380340470449	1.634260819374172
640	0.09954728338283303	1.5654863487027149
639	0.08681935374033856	1.4995922700962898
638	0.06864524401390781	1.4361639258575598
637	0.05126699047502825	1.3750889243094149
636	0.01665576001090585	1.315472226779253
635	0.013659072400571404	1.2586059799618865
634	0.028841048974015848	1.2051258455686158
633	0.04331510634170854	1.1548158543913138
632	0.05710636083705367	1.1074751454475582
631	0.07023910557524005	1.0629167371160102
630	0.08878359464580399	1.0212252089314593
629	0.1124909841478825	0.9824715133155159
628	0.1471825298665408	0.9469717168254631
627	0.19235417949334987	0.9150054460386718
626	0.2778975857892192	0.8881016078653745
625	0.31682168566089786	0.8640500095137462
624	0.3477207649397087	0.8423744495248849
623	0.3892269407440381	0.823403709158897
622	0.42864348341680625	0.8069209740567318
621	0.4660457329719634	0.7927241741588201
620	0.4648107709903684	0.7791003484772958
619	0.43890550361084024	0.764999140119867
618	0.3771840187692419	0.7489598957486645
617	0.354889748994367	0.7326967963516151
616	0.3027243554120673	0.7149883959888994
615	0.2404851029802444	0.69548440281599
614	0.15634418007925888	0.6733653401335364
613	0.09442958006218305	0.6496565372784912
612	0.022955247393156242	0.6240361169042051
611	-0.026767344315373975	0.5974746098670592
610	-0.0803896789858527	0.5698527902121245
609	-0.11298682610265587	0.5420708135357685
