	macd	trigger
2647		
2646		
2645		
2644		
2643		
2642		
2641		
2640		
2639		
2638		
2637		
2636		
2635		
2634		
2633		
2632		
2631		
2630		
2629		
2628		
2627		
2626		
2625		
2624		
2623		
2622		
2621		
2620		
2619		
2618		
2617		
2616		
2615		
2614		
2613		
2612		
2611		
2610		
2609		
2608		
2607		
2606		
2605		
2604		
2603		
2602		
2601		
2600		
2599		
2598		
2597		
2596		
2595		
2594		
2593		
2592		
2591		
2590		
2589		
2588		
2587		
2586		
2585		
2584		
2583		
2582		
2581		
2580		
2579		
2578		
2577		
2576		
2575		
2574		
2573		
2572		
2571		
2570		
2569		
2568		
2567		
2566		
2565		
2564		
2563		
2562		
2561		
2560		
2559		
2558		
2557		
2556		
2555		
2554		
2553		
2552		
2551		
2550		
2549	7.381325292784766	
2548	7.487743526910492	
2547	7.542067985328458	
2546	7.5250100805888	
2545	7.613403283063349	
2544	7.682810555329638	
2543	7.750441643918975	
2542	7.816368661637284	
2541	7.8642107457156385	
2540	7.944254265530617	
2539	8.038507622476459	
2538	8.102112438364088	
2537	8.114275339027984	
2536	8.060647192432441	
2535	8.055524692341805	
2534	7.9740028935046325	
2533	7.780382733537692	
2532	7.586254266998196	
2531	7.475998371831963	
2530	7.395242620071372	
2529	7.30320311247084	
2528	7.223050360302125	
2527	7.256329997745581	
2526	7.176436844907471	
2525	7.0339864274975525	
2524	6.883164598679173	
2523	6.770139685702247	
2522	6.636001045161436	
2521	6.504703149133945	
2520	6.318668299402191	
2519	6.224456954857999	
2518	6.1083454324236754	
2517	6.063901572124905	
2516	6.00104515262143	
2515	5.978678397718966	
2514	6.204393057885625	
2513	6.375777130141898	
2512	6.460158999507712	
2511	6.59584603019664	
2510	6.663377368715771	
2509	6.724421565038028	
2508	6.779246978698211	
2507	6.739822438462511	
2506	6.775425974932091	
2505	6.758715926575064	
2504	6.621056098175245	
2503	6.604808583689021	
2502	6.556288459190284	
2501	6.649248816367788	6.8305349599488565
2500	6.710774188498533	6.825103600585301
2499	6.640940768014957	6.81680243210868
2498	6.547058109812326	6.804714493514603
2497	6.484019878700678	6.79042332705914
2496	6.58812015914458	6.781456010491035
2495	6.534305897848185	6.770556503728739
2494	6.581633820455693	6.762265373357895
2493	6.623451908055756	6.7562016761576515
2492	6.840478007998115	6.7598666932998945
2491	7.164594458444412	6.777392654806481
2490	7.337570974344544	6.801551358851198
2489	7.57138958619538	6.834622679905044
2488	7.863245739530612	6.878646299892872
2487	8.125675349806954	6.931826848073633
2486	8.432611104328998	6.995610205364606
2485	8.81228303946665	7.0725660841680895
2484	9.10939868123586	7.158577602776811
2483	9.418741433050684	7.253733323364463
2482	9.739632111206163	7.358091635174891
2481	10.040935003370862	7.470407214526939
2480	10.323390309170236	7.589530068182119
2479	10.618261081712319	7.71567090494942
2478	10.924864605650782	7.8490033492293545
2477	11.181319184368704	7.987129133946948
2476	11.420390208464255	8.129121826682965
2475	11.673421886854783	8.275393511169336
2474	11.847565118599391	8.422513277381492
2473	12.069202752588978	8.572406877017418
2472	12.274588939442026	8.724294630234844
2471	12.371975500163899	8.873675878704638
2470	12.489433179737034	9.021493066125448
2469	12.595164591209368	9.167346779294219
2468	12.735967827720685	9.312762032225221
2467	12.86385483723899	9.457241607117064
2466	12.917478096306752	9.597817922842241
2465	12.869172763408642	9.730533492590393
2464	12.831976682896823	9.856185871748533
2463	12.758894509475624	9.973634182522472
2462	12.632945180009642	10.08110033272404
2461	12.555962476139428	10.180993238496185
2460	12.451182253993863	10.272519907607446
2459	12.344792430473092	10.355975333984254
2458	12.137277159721748	10.427636939531434
2457	11.901819872386852	10.486883092159397
2456	11.62731261653039	10.532671407371508
2455	11.3468461447452	10.565330057490602
2454	11.067070698674343	10.585438134783285
2453	10.888103238826602	10.597557499968312
2452	10.680415005220993	10.600872553820045
2451	10.47669243719605	10.595908158455819
2450	10.245539991120552	10.581912018800677
2449	10.119926868564846	10.563470606648071
2448	10.063824297078611	10.543539838252283
2447	10.023935863307656	10.52282692540035
2446	10.074917366164755	10.504983506923207
2445	10.03985798868024	10.486465761748175
2444	9.98551718046565	10.466533708802983
2443	10.054353910072962	10.45014303402803
2442	10.083418859883977	10.435567958711585
2441	10.137478172472356	10.423726942028011
2440	10.057812532175433	10.409199098691412
2439	9.976599096639404	10.392032010688359
2438	9.925499196035219	10.373527006603736
2437	9.827424519136514	10.351875602204103
2436	9.741388505145721	10.32768197041357
2435	9.546808246849082	10.296748726255561
2434	9.362486234610742	10.259753917836465
2433	9.124784622077698	10.214828716538953
2432	8.924844075838337	10.16378631783034
2431	8.729399663087065	10.107050189680264
2430	8.449637873272763	10.04151463234358
2429	8.355748170993934	9.974879596825145
2428	8.28085151763338	9.90793890462155
2427	8.18605888486411	9.83991803037386
2426	8.065965981476836	9.76986029843015
2425	7.978933401170025	9.699151758281323
2424	7.89174644734527	9.627811590672216
2423	7.829883531063217	9.556863616871436
2422	7.645967206607338	9.481476293896678
2421	7.561904199809476	9.405764541782558
2420	7.445940469262268	9.328482660884433
2419	7.363246948391122	9.251004224998407
2418	7.248666107163558	9.17207952590491
2417	7.167418750564082	9.09307912248101
2416	7.11804293205671	9.015261169370499
2415	7.067239604413089	8.938521816847684
2414	6.964061278475867	8.860754767752276
2413	6.817305860107922	8.780284253481009
2412	6.750318454470289	8.70035781401324
2411	6.670119042822648	8.620433223435214
2410	6.577345025871409	8.540014963895263
2409	6.530131668215745	8.460915191347322
2408	6.609558870831904	8.388064490883611
2407	6.6819593170682765	8.320938419407968
2406	6.747614670310043	8.259044564174893
2405	6.774799424548064	8.200662253453931
2404	6.733230808669305	8.142948171809063
2403	6.770117837898113	8.088960923634149
2402	6.785813728410858	8.037719627509393
2401	6.893399469466317	7.992728345873112
2400	6.92843373520509	7.950887672614441
2399	7.006375689414767	7.913759635589335
2398	6.9969858460708	7.877725336263179
2397	6.8881820997829095	7.838834288647252
2396	6.780765342293819	7.797253632036762
2395	6.754956670284287	7.756296189792588
2394	6.710777304456144	7.71521541424686
2393	6.633027152602153	7.672697071684961
2392	6.523265321152394	7.627540105253142
2391	6.415121563007119	7.579911983412493
2390	6.308577991502204	7.529972842486399
2389	6.203616718184833	7.477875780129279
2388	6.093790212408692	7.423514607006865
2387	5.992237324727341	7.3673033212970065
2386	5.89220278675549	7.309374292353545
2385	5.793669110164899	7.249853975146014
2384	5.5357304011056385	7.182545546751537
2383	5.157923942769003	7.103048879839102
2382	5.019981178720684	7.021261359012858
2381	4.885715652661645	6.937417361746127
2380	4.722824327074022	6.85047382830473
2379	4.6293229653333015	6.763276647975313
2378	4.5376782892704455	6.675908536346855
2377	4.383404122751244	6.585917588730922
2376	4.298341558401148	6.496123580680366
2375	4.150449019082544	6.404052463322209
2374	4.071622585272223	6.3125044926294045
2373	4.0910198835459255	6.225314123893079
2372	4.10741309052014	6.142192018818278
2371	4.1854509504219095	6.065397458351564
2370	4.306164821441371	5.996356447611161
2369	4.403014416502629	5.933827637027293
2368	4.4770329148082055	5.876659070718432
2367	4.400089581912027	5.818716054644804
2366	4.19521705680603	5.755008936672095
2365	4.087914733031823	5.689592747008216
2364	3.925241204511053	5.620361872494561
2363	3.8583847270431875	5.551225757866795
2362	3.792570219434481	5.482221502051855
2361	3.6890096512562423	5.411862857542711
2360	3.6011767818000635	5.340820042994305
2359	3.580117321319449	5.271739695468571
2358	3.558158621943619	5.204509410774775
2357	3.567683441126235	5.140291682675262
2356	3.60725747607961	5.080147071647022
2355	3.5784784405269647	5.021233992068592
2354	3.532980434058345	4.962848146760911
2353	3.4715462718835965	4.904343615190206
2352	3.404636952177384	4.845510231572198
2351	3.3131223254499673	4.785395621261327
2350	3.101088616748143	4.719322224663019
