	macd	trigger
1541		
1540		
1539		
1538		
1537		
1536		
1535		
1534		
1533		
1532		
1531		
1530		
1529		
1528		
1527		
1526		
1525		
1524		
1523		
1522		
1521		
1520		
1519		
1518		
1517		
1516		
1515		
1514		
1513		
1512		
1511		
1510		
1509		
1508		
1507		
1506		
1505		
1504		
1503		
1502		
1501		
1500		
1499		
1498		
1497		
1496		
1495		
1494		
1493		
1492		
1491		
1490		
1489		
1488		
1487		
1486		
1485		
1484		
1483		
1482		
1481		
1480		
1479		
1478		
1477		
1476		
1475		
1474		
1473		
1472		
1471		
1470		
1469		
1468		
1467		
1466		
1465		
1464		
1463		
1462		
1461		
1460		
1459		
1458		
1457		
1456		
1455		
1454		
1453		
1452		
1451		
1450		
1449		
1448		
1447		
1446		
1445		
1444		
1443	-2.4984135731828303	
1442	-2.4936180390410527	
1441	-2.4877711478721665	
1440	-2.480926746406169	
1439	-2.473136401365025	
1438	-2.4644495048957253	
1437	-2.4549133741565754	
1436	-2.4555110896428687	
1435	-2.4493416316129526	
1434	-2.4367146623233964	
1433	-2.423439221348957	
1432	-2.4040270360369504	
1431	-2.334449269917087	
1430	-2.2613993567334205	
1429	-2.173927896638446	
1428	-2.0894508995815215	
1427	-2.007866672960091	
1426	-1.9458946050182817	
1425	-1.8970657051463036	
1424	-1.8382883073568905	
1423	-1.7643850483261474	
1422	-1.6930276588221886	
1421	-1.624130802262755	
1420	-1.5576121632157935	
1419	-1.4933923262821622	
1418	-1.4313946607039725	
1417	-1.3715452103796508	
1416	-1.31377258898803	
1415	-1.258007879942511	
1414	-1.2616931305749688	
1413	-1.2645672410530437	
1412	-1.266666398490031	
1411	-1.3142975042879073	
1410	-1.4141139268942027	
1409	-1.4099169881687885	
1408	-1.4051976151676797	
1407	-1.4262007136036345	
1406	-1.4571860841231796	
1405	-1.4801593107427777	
1404	-1.5071813577361866	
1403	-1.5380628096220903	
1402	-1.5608682789805925	
1401	-1.558289991992325	
1400	-1.5550386486268906	
1399	-1.5511466647234329	
1398	-1.546645264726891	
1397	-1.5237946424561528	
1396	-1.5071491794986116	
1395	-1.4905003365608422	-1.630660715487147
1394	-1.467906353957801	-1.623279522006621
1393	-1.445600473126973	-1.6152706110937616
1392	-1.4355148999244705	-1.6072152941919962
1391	-1.4132095262856694	-1.5985697834961654
1390	-1.391205576503836	-1.5893781306507695
1389	-1.3695000564461566	-1.5796813413956612
1388	-1.3480899766787786	-1.5695176375758613
1387	-1.3149556437450087	-1.558397773620872
1386	-1.2646170084513528	-1.5456218077370485
1385	-1.2038854609131704	-1.5308235690797667
1384	-1.145313763910309	-1.5141977608958557
1383	-1.0707145479190103	-1.4951462573495253
1382	-1.0292080899762084	-1.475204759221207
1381	-1.019341813903452	-1.4557641204253706
1380	-1.039713424681139	-1.4380819585375415
1379	-1.0343522631678184	-1.4209796091639975
1378	-1.0651623355116442	-1.405954130831555
1377	-1.1122729237339968	-1.3935897851544397
1376	-1.2175639657940849	-1.3862002013816253
1375	-1.2869550290273253	-1.3820453635841572
1374	-1.4440717223873492	-1.3846351990712127
1373	-1.5627468051985431	-1.3920532057989488
1372	-1.6140594022799633	-1.4012769023354452
1371	-1.66221161920096	-1.4120927476244933
1370	-1.737966274362222	-1.4255702136687494
1369	-1.8093846281059456	-1.4414100635620335
1368	-1.7845128332564002	-1.455540739467745
1367	-1.818259135871088	-1.4704499239378523
1366	-1.8156994896122	-1.4846143221077321
1365	-1.812329030053803	-1.498035022536454
1364	-1.802021556810729	-1.5104624148554553
1363	-1.7912624332770832	-1.5219228205075086
1362	-1.7800774813320714	-1.532442184931387
1361	-1.7684915666246042	-1.5420460776464313
1360	-1.7565286300531255	-1.5507596921923914
1359	-1.7256349538998705	-1.5578542053600144
1358	-1.6952640300468715	-1.5634212495817403
1357	-1.6095826512444233	-1.5652890149432976
