	macd	trigger
4079		
4078		
4077		
4076		
4075		
4074		
4073		
4072		
4071		
4070		
4069		
4068		
4067		
4066		
4065		
4064		
4063		
4062		
4061		
4060		
4059		
4058		
4057		
4056		
4055		
4054		
4053		
4052		
4051		
4050		
4049		
4048		
4047		
4046		
4045		
4044		
4043		
4042		
4041		
4040		
4039		
4038		
4037		
4036		
4035		
4034		
4033		
4032		
4031		
4030		
4029		
4028		
4027		
4026		
4025		
4024		
4023		
4022		
4021		
4020		
4019		
4018		
4017		
4016		
4015		
4014		
4013		
4012		
4011		
4010		
4009		
4008		
4007		
4006		
4005		
4004		
4003		
4002		
4001		
4000		
3999		
3998		
3997		
3996		
3995		
3994		
3993		
3992		
3991		
3990		
3989		
3988		
3987		
3986		
3985		
3984		
3983		
3982		
3981	0.0073103527225409914	
3980	0.007456214403732453	
3979	0.007645216479903683	
3978	0.00782127120943421	
3977	0.007822179481003388	
3976	0.00781903655950933	
3975	0.007812039406166593	
3974	0.007910754274163434	
3973	0.008000749980139332	
3972	0.007862503776808194	
3971	0.007836998629152103	
3970	0.007808695170415159	
3969	0.007777739941191797	
3968	0.007633217130204262	
3967	0.00760291496905352	
3966	0.007458567808294014	
3965	0.0074290383741291155	
3964	0.007284992090341169	
3963	0.006919223311387945	
3962	0.006792265507382433	
3961	0.006385574608840372	
3960	0.005881455808741887	
3959	0.005397811002136876	
3958	0.004877103997717236	
3957	0.004150395012476382	
3956	0.003455310412249668	
3955	0.003133697774035493	
3954	0.002825397582023159	
3953	0.002300356922745328	
3952	0.0019134593743066475	
3951	0.00183158135883299	
3950	0.0014639018040814022	
3949	0.0012281360258732388	
3948	0.0007708340294436677	
3947	0.0007986636432119054	
3946	0.0010574435049693909	
3945	0.0014202944118286709	
3944	0.001882453467899059	
3943	0.002497796268053798	
3942	0.0032592778810522915	
3941	0.004101439702534959	
3940	0.0052554148553558555	
3939	0.006177156268753592	
3938	0.007112412975252225	
3937	0.008473544282032952	
3936	0.010181947663476687	
3935	0.01168840606931465	
3934	0.013001256528179628	
3933	0.014366195569951667	0.005925132968122157
3932	0.015661341237830806	0.00636668695371204
3931	0.01724677165801869	0.0068571084731348375
3930	0.019049259307567512	0.007403470188412888
3929	0.02213402844579604	0.008059910459978715
3928	0.02506649422026508	0.008813746506604058
3927	0.06913872184728775	0.011474123512425351
3926	0.11116176546575707	0.01584905203597611
3925	0.16106211476565724	0.02219229863670119
3924	0.21293308802158806	0.03048725224412594
3923	0.25847178955015226	0.04035968643083329
3922	0.30047307910833587	0.0515775473379548
3921	0.3378075707385677	0.06387364366430597
3920	0.375020058905728	0.07719027254695018
3919	0.4099201452330967	0.09137980327743574
3918	0.4434439262365828	0.10634253469631849
3917	0.4743634670464303	0.12193222907355576
3916	0.5053327684628943	0.138122495605893
3915	0.5329296909098757	0.15474437171024077
3914	0.5563787293130313	0.17160502739320338
3913	0.5793290437665188	0.188674141325675
3912	0.6035625437101935	0.2059973040648015
3911	0.6237571868250469	0.2233962018024269
3910	0.6400839538648295	0.2407083373933231
3909	0.6566875256737705	0.25795083619896875
3908	0.6699936155869599	0.27499208721305285
3907	0.6867076890540242	0.29198340668042305
3906	0.7010206803563515	0.30882959289110024
3905	0.714754504179302	0.3255147388429419
3904	0.7301439969651176	0.3421152808654381
3903	0.7426740800680243	0.3585191209063043
3902	0.7542545399427061	0.37469733524277377
3901	0.7653545682461385	0.39064138818939725
3900	0.7804373744851674	0.406524913273598
3899	0.8067979131765082	0.4228103994723826
3898	0.8385997523056625	0.4397023476157149
3897	0.8782478757999002	0.4574936978268681
3896	0.9240719030571567	0.47639672391928817
3895	0.987311674804551	0.4970691734895665
3894	1.0755398601347999	0.5204459119594037
3893	1.15162510772298	0.5459222093343914
3892	1.2134632247587351	0.5728353012486983
3891	1.2807664685111932	0.6013454015166022
3890	1.3434813731166981	0.6312014621183254
3889	1.4008489319210868	0.6621329363942747
3888	1.4490897982395783	0.6937293025690113
3887	1.512682759913675	0.7265796394801245
3886	1.5726090071097207	0.760485650912723
3885	1.6356926991288017	0.7955308334862755
3884	1.69194207058033	0.8313954363994767
3883	1.7528411019079488	0.8682324173477811
3882	1.7957285367848073	0.905283058437615
3881	1.8223316737014912	0.9418895845768767
3880	1.8467903362069258	0.9779858529901334
3879	1.8808628616048146	1.0139771342297395
3878	1.9051988368127812	1.0494808234616513
3877	1.940018502476505	1.0849352312762435
3876	1.9749628960407755	1.1203482041832709
3875	1.9978667314311185	1.1552434630810378
3874	2.012848235699739	1.1893280831686954
3873	2.0243507391145297	1.2224976772194023
3872	2.043303239309953	1.2550859937622396
3871	2.0729569693450394	1.2875419876281031
3870	2.1118705840957936	1.3202389460533086
3869	2.1605563899423768	1.3535551334343443
3868	2.2109082636880615	1.387532077497156
3867	2.2718018501190063	1.4225612146708315
3866	2.329201161322013	1.4584622290339464
3865	2.3742513495572783	1.4947116771373654
3864	2.424577323312814	1.5315048075049893
3863	2.4655408886473893	1.5684499300918797
3862	2.513321034886072	1.6058109740825721
3861	2.5549089897345567	1.6433269535693225
3860	2.594178502672996	1.6809005107385924
3859	2.6203643109997614	1.7180129391799324
3858	2.6402008089890643	1.75443240757819
3857	2.642532393205567	1.789495956841968
3856	2.6433963150802917	1.8232002921726242
3855	2.6237883598709075	1.8547922688085678
3854	2.6227979807410087	1.8850910826746257
3853	2.6192280775589545	1.9140469100414115
3852	2.6157429710939972	1.941716940314697
3851	2.6066102513234277	1.967930026836863
3850	2.565335595374485	1.991477525790034
3849	2.5137812800049417	2.0120606627478472
3848	2.4269372043800104	2.028407119293763
3847	2.351080599766199	2.041118351249904
3846	2.256407037271803	2.0495978146223934
3845	2.1993376788337784	2.055494533564043
3844	2.1462821206674505	2.0590691398892242
3843	2.085589958003105	2.0601131872986347
3842	2.0150810324287995	2.0583406708099763
3841	1.946099118496548	2.0539233589802275
3840	1.873495473779247	2.0468235383382356
3839	1.7942726417208732	2.0368870175435276
3838	1.72220442163173	2.024507544439597
3837	1.6563640749818305	2.0100267381024577
3836	1.5933027291213975	1.993636981999583
3835	1.5322863735966017	1.9754941356650733
3834	1.481580683529284	1.9560728718556892
3833	1.4234451966112438	1.9351315281453934
3832	1.3742686223880547	1.9130822935185525
3831	1.3304652583971333	1.890180067568844
3830	1.293096988017087	1.8667113878823856
3829	1.2727969749692214	1.8433693520209216
