	macd	trigger
2608		
2607		
2606		
2605		
2604		
2603		
2602		
2601		
2600		
2599		
2598		
2597		
2596		
2595		
2594		
2593		
2592		
2591		
2590		
2589		
2588		
2587		
2586		
2585		
2584		
2583		
2582		
2581		
2580		
2579		
2578		
2577		
2576		
2575		
2574		
2573		
2572		
2571		
2570		
2569		
2568		
2567		
2566		
2565		
2564		
2563		
2562		
2561		
2560		
2559		
2558		
2557		
2556		
2555		
2554		
2553		
2552		
2551		
2550		
2549		
2548		
2547		
2546		
2545		
2544		
2543		
2542		
2541		
2540		
2539		
2538		
2537		
2536		
2535		
2534		
2533		
2532		
2531		
2530		
2529		
2528		
2527		
2526		
2525		
2524		
2523		
2522		
2521		
2520		
2519		
2518		
2517		
2516		
2515		
2514		
2513		
2512		
2511		
2510	2.0355548085149735	
2509	2.0390493218349093	
2508	2.0564345813953224	
2507	2.0719344552173453	
2506	2.0834632354150386	
2505	2.097727694735383	
2504	2.1276944395847295	
2503	2.1814019870347465	
2502	2.2336444051990867	
2501	2.3020663286062444	
2500	2.3528547283507493	
2499	2.386786731827087	
2498	2.389099633459722	
2497	2.3767586120118835	
2496	2.368238506243543	
2495	2.3477520244642704	
2494	2.3203179933156832	
2493	2.299713032648569	
2492	2.2901378115642927	
2491	2.279844270189912	
2490	2.2598406503949064	
2489	2.2328320061657507	
2488	2.2014102222603356	
2487	2.1544241029687328	
2486	2.1062488245351005	
2485	2.045548100106757	
2484	1.9683306409651493	
2483	1.8661969255298914	
2482	1.7701405347206673	
2481	1.6937321562577665	
2480	1.6199965471934092	
2479	1.5488452276212428	
2478	1.470938319842631	
2477	1.3611106599313985	
2476	1.2649451779375767	
2475	1.179548436426984	
2474	1.0974860468416097	
2473	1.0116400232110863	
2472	0.9268911801197248	
2471	0.8432259971696823	
2470	0.7312981108913874	
2469	0.6253157640588114	
2468	0.5544892618882926	
2467	0.4889898931868686	
2466	0.4238849453560931	
2465	0.37337837273517493	
2464	0.3107812585580092	
2463	0.24377557556633178	
2462	0.1725855058877812	1.282911195180068
2461	0.09623713388279498	1.2290934617414606
2460	0.01499206494686689	1.1743676514255115
2459	-0.04941543923705183	1.1195267757160052
2458	-0.1311692439282126	1.0637918048862305
2457	-0.2079213847432726	1.007421680420065
2456	-0.28825005935338766	0.9502815774342112
2455	-0.38876267836509726	0.8915157886743998
2454	-0.490493917627461	0.8311463686864244
2453	-0.5777031857766985	0.7698781851384823
2452	-0.6799132464799555	0.7070977410687479
2451	-0.7964127639341712	0.6422561289398792
2450	-0.8830326516581692	0.5767315639452198
2449	-0.9483195789467516	0.5114615203190152
2448	-1.0028802671727846	0.4468812072963186
2447	-1.0641398654608878	0.38266278512394153
2446	-1.1244912702606626	0.31881839737996653
2445	-1.1790878954823398	0.2555646988835259
2444	-1.245193093654791	0.1923809211132155
2443	-1.299125503401946	0.12976731299767807
2442	-1.3438417419746713	0.06807558074461806
2441	-1.3797325180659499	0.007624107127681138
2440	-1.4120627681959306	-0.05150312787630915
2439	-1.4715568225853133	-0.11050213129667773
2438	-1.5275905616351508	-0.16924099673994664
2437	-1.58764757215868	-0.227903406812124
2436	-1.6196202486736055	-0.2853389408614794
2435	-1.6370285770487172	-0.341008232575695
2434	-1.661414543001527	-0.3952822408775553
2433	-1.6887645279962697	-0.44834935511027146
2432	-1.6942988972570348	-0.4993739663010722
2431	-1.7024146803003717	-0.5485559439314083
2430	-1.7191638339506596	-0.5963324410788229
2429	-1.7342723099768165	-0.6427015600215686
2428	-1.761406098555696	-0.6882171139740819
2427	-1.7901170502248078	-0.7329831390188644
2426	-1.8265141092856538	-0.7773465886686974
2425	-1.8628003303895113	-0.8213228399634538
2424	-1.8890397947215263	-0.8645244038721293
2423	-1.9019450659383423	-0.9064478963847246
2422	-1.904591942172253	-0.9467360026851758
2421	-1.9111178545042051	-0.9856167558056357
2420	-1.946237980669629	-1.0243032958350198
2419	-1.981255440721128	-1.062801390960456
2418	-2.0124193041993834	-1.100965723603371
2417	-2.0398877536031748	-1.1386635005816883
2416	-2.0638136641211062	-1.1757736614743246
2415	-2.0905909838613255	-1.2124364627651336
2414	-2.1250802871812837	-1.2489806948031195
2413	-2.1481548575426785	-1.2849558398727041
2412	-2.1728344325671642	-1.3204508972892963
2411	-2.196530274352476	-1.3554475963433856
2410	-2.2155148572059034	-1.389779554477609
2409	-2.2324995826282787	-1.4233954491252356
2408	-2.233759006347249	-1.4556988774061879
2407	-2.2086941244225002	-1.4856960253276197
2406	-2.1836347852948705	-1.513482615394043
2405	-2.1623661531638163	-1.5393007961681613
2404	-2.1547957524275674	-1.56377646839847
2403	-2.150239950631672	-1.5870848566274274
2402	-2.1473062127356286	-1.6093385222355745
2401	-2.1320571754219415	-1.6300919402429974
2400	-2.1290185412018516	-1.649891100726346
2399	-2.113665547834678	-1.6682866942806065
2398	-2.0953983522274697	-1.685220452031637
2397	-2.076884040637097	-1.7007420980977679
2396	-2.0530869415105286	-1.714699756987032
2395	-2.0242566209472628	-1.7269575506793198
2394	-2.000756951959964	-1.7377952828220626
2393	-1.9772960161103725	-1.7472719010187474
2392	-1.9589505634517295	-1.7556446976274722
2391	-1.9493016183539993	-1.7633020645399062
2390	-1.9378198335666283	-1.7702004090047636
2389	-1.9245936858364345	-1.776301366214177
2388	-1.912246699291586	-1.7816717290151352
2387	-1.9020153533895154	-1.7864243948962661
2386	-1.8963501938075566	-1.7907644339998174
2385	-1.8925070439671785	-1.7947803206435833
2384	-1.903119523873663	-1.7990554900038283
2383	-1.9173561138160125	-1.8037226018825991
2382	-1.943953719798266	-1.8092535968741499
2381	-1.9874340741784522	-1.8162798002045817
2380	-2.0584760437371585	-1.8258282660741376
2379	-2.115034024144464	-1.8372276782056354
2378	-2.1712428659257554	-1.8503906706202065
2377	-2.2296404968713333	-1.8653334070315524
2376	-2.27887508556465	-1.8816242537155428
2375	-2.3216323995919836	-1.8989546254387322
2374	-2.369926684651155	-1.9175013890355335
2373	-2.410970654829846	-1.9369308993361183
2372	-2.450691565852857	-1.9571561612654644
2371	-2.4929628552970016	-1.9782461180452304
2370	-2.5240992109633993	-1.9997283879796248
2369	-2.5563517543182286	-2.0216314661082837
2368	-2.5804447151366574	-2.0436177648848886
2367	-2.6036441246440845	-2.0656489523359873
2366	-2.6195793623233996	-2.0874376289165997
2365	-2.626778429408823	-2.1086499036737245
2364	-2.6363907410067142	-2.129403579385396
2363	-2.6375413350127133	-2.1493841597094834
2362	-2.6342005278160485	-2.168445704335826
2361	-2.635033616372006	-2.186788700887972
2360	-2.6426726208101456	-2.204709145899884
2359	-2.6521887720984694	-2.222297579357678
2358	-2.6465574729758004	-2.238971849986741
2357	-2.6454599989322247	-2.2549462760350507
2356	-2.636112130578951	-2.269924328399978
2355	-2.62659609741695	-2.2839387599822145
2354	-2.6228324914764514	-2.297253633445962
2353	-2.612230293587899	-2.309627913573726
2352	-2.598702556648533	-2.320983795921008
2351	-2.581103446746674	-2.3312015294063766
2350	-2.5706827445146985	-2.3406079531927686
2349	-2.553232884995765	-2.3489589836474245
2348	-2.52753770830374	-2.355972397356731
2347	-2.5101940962721585	-2.3620288748990963
2346	-2.498001795831435	-2.367368403641646
2345	-2.4925357996027415	-2.372283347252457
2344	-2.501733645508196	-2.377366206796141
2343	-2.5246689444674075	-2.383149756566791
2342	-2.5439645402776847	-2.389463531189271
2341	-2.563382649091281	-2.3962914866676237
2340	-2.6035234659704614	-2.40442692878033
2339	-2.6461585209730316	-2.413916346602828
2338	-2.6963090691980014	-2.4250015111745835
2337	-2.735817588407876	-2.437201945595688
2336	-2.7617938648291087	-2.449942647642988
2335	-2.7952158287429683	-2.463494634505195
2334	-2.8254093030198106	-2.4776993124353712
2333	-2.860762580516486	-2.4927335490299987
2332	-2.906185367103859	-2.5089599425758586
2331	-2.946484575522092	-2.5261305783682264
2330	-2.9720615944617634	-2.54363061005909
2329	-2.9820220245128795	-2.5608342752455346
2328	-2.9649312737954645	-2.576691706311113
2327	-2.9153097874395613	-2.589979291995403
2326	-2.8716018958342246	-2.601030063827089
2325	-2.859141487279736	-2.6111580225343993
2324	-2.828192356476862	-2.619673973282309
2323	-2.80338789069166	-2.626882344607247
2322	-2.769986156089466	-2.6324971804647688
2321	-2.7364092539255296	-2.6365742020220173
2320	-2.7011310475677703	-2.6391070596535564
2319	-2.6673502972840666	-2.640215148985255
2318	-2.639154773132951	-2.6401735471720933
2317	-2.6044062165119968	-2.6387703089528713
2316	-2.568076990461009	-2.6359968867666015
2315	-2.518096521685038	-2.6313715240786903
2314	-2.4729664239509432	-2.625157211378154
2313	-2.413337534993282	-2.6168475408366105
2312	-2.3603479227905666	-2.606785222723735
2311	-2.312687841797313	-2.5952481259614424
2310	-2.257712241575561	-2.5820071615052242
2309	-2.2027731560940396	-2.56713063785752
2308	-2.1491921216094454	-2.550736019532988
2307	-2.0997840588008714	-2.5330465776698956
2306	-2.0520536419794055	-2.5141789332016797
2305	-2.0176066983782803	-2.4947003777897296
2304	-1.9707265106110157	-2.4741471777487676
2303	-1.9249577660810786	-2.452605096333049
2302	-1.8826058173084448	-2.4302469564651457
2301	-1.8479429991440242	-2.4074063768089964
2300	-1.8183050530193512	-2.3842993774568364
2299	-1.7869985931177013	-2.360870959542992
2298	-1.7593004107743084	-2.337275257061315
2297	-1.7241718200145897	-2.313227382241047
2296	-1.6884509465209874	-2.288721839105266
2295	-1.6589252358002753	-2.264019568617183
2294	-1.6231396787449484	-2.238882756830798
2293	-1.5904748496448988	-2.2134508478862767
2292	-1.5641776508103717	-2.187985163374111
2291	-1.542934539838896	-2.162685251429845
2290	-1.5127774008090356	-2.137194981831313
2289	-1.4754244577606883	-2.111239589306767
2288	-1.4255141521675867	-2.0843448044516357
2287	-1.384142575855023	-2.0568823702921097
2286	-1.3408221682380415	-2.0287981163399667
2285	-1.3005949208658691	-2.000237745935444
2284	-1.2719058194121757	-1.9716724593361477
2283	-1.2524279275034829	-1.943463707594437
2282	-1.2261775840599114	-1.9153318851927592
2281	-1.2028219870787211	-1.8873875005391065
2280	-1.1876934516161484	-1.8599458575406036
2279	-1.1723769134719788	-1.832979857499693
2278	-1.1592257188179502	-1.806555761545901
2277	-1.145551504577739	-1.7806317967071266
2276	-1.1329432649706916	-1.7552301477479246
2275	-1.1249948281709976	-1.7305130751249673
2274	-1.111109668037983	-1.706220892732452
2273	-1.0983181641737758	-1.6823798230520521
2272	-1.089953888558064	-1.6591457977194424
2271	-1.0759487668722016	-1.6362737788106154
2270	-1.0573461284300691	-1.613569258143391
2269	-1.0447565130512473	-1.5912614830666545
2268	-1.0337558899309371	-1.5693972069443363
2267	-1.0193410825216631	-1.5478251351311565
2266	-1.0042733135455961	-1.5265081969075174
2265	-0.9909287477511697	-1.5055039636728402
2264	-0.9750781161706499	-1.4847018866249422
2263	-0.9519061469232781	-1.463806909767925
2262	-0.9370914150780578	-1.4431504253925187
2261	-0.9336398262425476	-1.4231687116233562
2260	-0.9340182732631988	-1.4039855058441741
2259	-0.9364926616190417	-1.3856516858019778
2258	-0.9448653095841237	-1.36836525043917
2257	-0.958863335117627	-1.3523057313414721
2256	-0.9626258982749221	-1.3370236019910096
2255	-0.9633762925169265	-1.3223702437263594
2254	-0.9578715548387535	-1.3080756876850959
2253	-0.9536791161652971	-1.294177325360886
2252	-0.9497013994337706	-1.280668038212088
2251	-0.9493108524428209	-1.2676732438544254
2250	-0.9466238511185665	-1.2550827039650694
2249	-0.9409662813129174	-1.2427640672999745
2248	-0.9329964521107925	-1.2306159902533529
2247	-0.9243841211800898	-1.2186065863487339
2246	-0.9208843702603957	-1.206930914825479
2245	-0.9220061107179305	-1.195757125985305
2244	-0.9285786032754828	-1.18527929620842
2243	-0.9372291263661054	-1.175551623907515
2242	-0.952020103511515	-1.1667854960754704
2241	-0.9669418527006641	-1.1589483308087578
2240	-0.9765182739328182	-1.1517940709130094
2239	-0.9760455432168484	-1.144901842187506
2238	-0.9844509327815416	-1.1386095359824213
2237	-0.9945620719953183	-1.1329605177708595
2236	-1.0114989480984065	-1.12819723952195
2235	-1.0242755127782246	-1.124121812387444
2234	-1.0440014489397171	-1.1209797889793072
2233	-1.0576016455391404	-1.1184943348268266
2232	-1.0799179880935377	-1.116981515416914
2231	-1.1061186949464101	-1.1165555166407901
2230	-1.1302890022279612	-1.1170940917682457
