	macd	trigger
282		
281		
280		
279		
278		
277		
276		
275		
274		
273		
272		
271		
270		
269		
268		
267		
266		
265		
264		
263		
262		
261		
260		
259		
258		
257		
256		
255		
254		
253		
252		
251		
250		
249		
248		
247		
246		
245		
244		
243		
242		
241		
240		
239		
238		
237		
236		
235		
234		
233		
232		
231		
230		
229		
228		
227		
226		
225		
224		
223		
222		
221		
220		
219		
218		
217		
216		
215		
214		
213		
212		
211		
210		
209		
208		
207		
206		
205		
204		
203		
202		
201		
200		
199		
198		
197		
196		
195		
194		
193		
192		
191		
190		
189		
188		
187		
186		
185		
184	-0.022571435789089378	
183	-0.025020311994836675	
182	-0.02868787546910312	
181	-0.03351806986098893	
180	-0.04216949618998456	
179	-0.05310753131075785	
178	-0.06349883019159108	
177	-0.07883373132047211	
176	-0.09340223865987696	
175	-0.10998298917689908	
174	-0.1257248205378403	
173	-0.1351349360663363	
172	-0.15234190768491374	
171	-0.1575565578534821	
170	-0.1624460352839634	
169	-0.16702343270713982	
168	-0.1880796434264198	
167	-0.1856317589810743	
166	-0.18320379025426803	
165	-0.1822037968935888	
164	-0.19103470855898763	
163	-0.1937006108750836	
162	-0.20748136430205477	
161	-0.22619668034613483	
160	-0.24392751917852706	
159	-0.25358040574708696	
158	-0.2698023586696934	
157	-0.27940739974455653	
156	-0.2884257437500253	
155	-0.295442594825559	
154	-0.30198496632326055	
153	-0.3066284263183974	
152	-0.3123477857156729	
151	-0.3190933387552519	
150	-0.32536581395817166	
149	-0.3137361498398974	
148	-0.2966564923328292	
147	-0.29334479079940934	
146	-0.2929598777304676	
145	-0.3041573947656957	
144	-0.31615249453126637	
143	-0.3244978523506745	
142	-0.3352382447772442	
141	-0.34531546226786247	
140	-0.36656478956491867	
139	-0.38517500262433657	
138	-0.42494888285065713	
137	-0.48937992913214146	
136	-0.5506113089751352	-0.2922922302746641
135	-0.6087594407261037	-0.30664456890715797
134	-0.6877715727364659	-0.3238239282036019
133	-0.7628190497996599	-0.3434964315125785
132	-0.8400218637815016	-0.36562317538086236
131	-0.9132675264945647	-0.38989813021125586
130	-0.9662219954285263	-0.4153144482498651
129	-1.014765074495358	-0.4416221589332967
128	-1.078599348167856	-0.46944681406004013
127	-1.1389693709456736	-0.498563074752892
126	-1.1960032560449179	-0.5287643873959875
125	-1.2317297096621047	-0.5590810394012465
124	-1.250100456145148	-0.5887663994858162
123	-1.2654848782118364	-0.6177289984353487
122	-1.2659013580785654	-0.6453708255474104
121	-1.286869069174628	-0.6726345121860882
120	-1.3062251571457324	-0.6994739760506073
119	-1.324033299571667	-0.725847913680345
118	-1.340355020697288	-0.7517194305107622
117	-1.3232801388425344	-0.7757136135846687
116	-1.2986886221563765	-0.7976076390692317
115	-1.2654011789237103	-0.8171397917460393
114	-1.2345123737272559	-0.8345225591491686
113	-1.202871997520944	-0.8498263817126109
112	-1.1873650065814587	-0.8638174887201967
111	-1.1719583956626423	-0.876561569688472
110	-1.1566552494419824	-0.8881209110692765
109	-1.1414584671490076	-0.8985546097039351
108	-1.1263707694157858	-0.9079187698460593
107	-1.1021652268842246	-0.9158880316037185
106	-1.0723396427542156	-0.922295098952027
105	-1.0402413400923223	-0.9271169053346725
104	-0.9905612800179284	-0.9297062864689687
103	-0.9549874179195115	-0.9307364496816986
102	-0.8896367599146515	-0.9290642698678266
101	-0.8329913333612495	-0.925161189978002
100	-0.7599201261925401	-0.9184575265129036
99	-0.7083768329397344	-0.9099462827651008
98	-0.6588156900213846	-0.8997851306887067
97	-0.6111716905656408	-0.8881218933555164
96	-0.5622753705053043	-0.8749697442187011
95	-0.512206052236948	-0.8603442869660527
94	-0.4579287014908999	-0.844138038079415
93	-0.39965749370935555	-0.8262566274258021
92	-0.3469475573285479	-0.8069936053882687
91	-0.29645668527206226	-0.7864955167943288
90	-0.24810972982369606	-0.7648994732932919
89	-0.15498728123148453	-0.7404562440767114
88	-0.06289406342956738	-0.7133251893461615
87	0.02504428631557687	-0.6837836943804327
