	macd	trigger
4691		
4690		
4689		
4688		
4687		
4686		
4685		
4684		
4683		
4682		
4681		
4680		
4679		
4678		
4677		
4676		
4675		
4674		
4673		
4672		
4671		
4670		
4669		
4668		
4667		
4666		
4665		
4664		
4663		
4662		
4661		
4660		
4659		
4658		
4657		
4656		
4655		
4654		
4653		
4652		
4651		
4650		
4649		
4648		
4647		
4646		
4645		
4644		
4643		
4642		
4641		
4640		
4639		
4638		
4637		
4636		
4635		
4634		
4633		
4632		
4631		
4630		
4629		
4628		
4627		
4626		
4625		
4624		
4623		
4622		
4621		
4620		
4619		
4618		
4617		
4616		
4615		
4614		
4613		
4612		
4611		
4610		
4609		
4608		
4607		
4606		
4605		
4604		
4603		
4602		
4601		
4600		
4599		
4598		
4597		
4596		
4595		
4594		
4593	-0.11540461919401768	
4592	-0.11666476450115848	
4591	-0.11780471253481117	
4590	-0.11882977835851527	
4589	-0.11974505663712609	
4588	-0.12109939887206167	
4587	-0.1217819711016439	
4586	-0.1223698611642785	
4585	-0.12286734157843693	
4584	-0.12382825802860431	
4583	-0.12412941278280165	
4582	-0.12435300457520793	
4581	-0.12477958208929962	
4580	-0.12484482674463049	
4579	-0.12484336627265558	
4578	-0.1253363195835533	
4577	-0.12546270233821044	
4576	-0.12523899953910966	
4575	-0.1244001375028132	
4574	-0.12353713682312328	
4573	-0.12236934077052553	
4572	-0.12119371862347572	
4571	-0.12001119453087616	
4570	-0.11853860938295702	
4569	-0.11735883759776833	
4568	-0.11702990648474376	
4567	-0.11837171728915274	
4566	-0.12073682785006046	
4565	-0.12407899917595877	
4564	-0.12720350572351968	
4563	-0.1306951480317773	
4562	-0.1339590920772098	
4561	-0.13584750649474486	
4560	-0.13526189137094713	
4559	-0.13492487567836253	
4558	-0.1348256844445972	
4557	-0.13495392496062752	
4556	-0.13588323346090858	
4555	-0.1367007946866612	
4554	-0.1379970266662296	
4553	-0.13857695246020452	
4552	-0.1396475071589407	
4551	-0.14059799124945016	
4550	-0.14054912442492995	
4549	-0.1407263598395354	
4548	-0.1408239882285427	
4547	-0.14114177032929476	
4546	-0.14226313520641298	
4545	-0.1426667359052347	-0.13218209198422223
4544	-0.14416936514365375	-0.13272573567931134
4543	-0.14552995330997964	-0.1333028877912767
4542	-0.1467543214535234	-0.13390568121701896
4541	-0.14904322585059493	-0.1345802580888849
4540	-0.1510320158004994	-0.13530950084381857
4539	-0.1526733319454241	-0.13607525891889102
4538	-0.15446201797574943	-0.1368821869901876
4537	-0.15609042234120052	-0.13772124768697253
4536	-0.1581666711346834	-0.13861038020828498
4535	-0.159465236150107	-0.13951345984338556
4534	-0.16092495738232682	-0.14043686943307485
4533	-0.16193418659346737	-0.14136036823107598
4532	-0.1634196069821776	-0.14230447261889012
4531	-0.1647540574638806	-0.1432618530652954
