	macd	trigger
394		
393		
392		
391		
390		
389		
388		
387		
386		
385		
384		
383		
382		
381		
380		
379		
378		
377		
376		
375		
374		
373		
372		
371		
370		
369		
368		
367		
366		
365		
364		
363		
362		
361		
360		
359		
358		
357		
356		
355		
354		
353		
352		
351		
350		
349		
348		
347		
346		
345		
344		
343		
342		
341		
340		
339		
338		
337		
336		
335		
334		
333		
332		
331		
330		
329		
328		
327		
326		
325		
324		
323		
322		
321		
320		
319		
318		
317		
316		
315		
314		
313		
312		
311		
310		
309		
308		
307		
306		
305		
304		
303		
302		
301		
300		
299		
298		
297		
296	0.06379610549987547	
295	0.06107095509907623	
294	0.055747439017746814	
293	0.04902653324718642	
292	0.04422825955891696	
291	0.03963561693825568	
290	0.030877346955005436	
289	0.025253050814175282	
288	0.018785493942512943	
287	0.012614103230720985	
286	0.006727609042243898	
285	0.0011151787020047266	
284	-0.001463999974159691	
283	-0.0011447616392068483	
282	-0.001396558071888876	
281	-0.005541553846239111	
280	-0.00781173773231103	
279	-0.009411148013864334	
278	-0.013740349194044654	
277	-0.016734168147458206	
276	-0.01901545292706075	
275	-0.018918214155238644	
274	-0.018815882300557973	
273	-0.01927683083170706	
272	-0.021983718726200863	
271	-0.021130930703069595	
270	-0.017448715432589523	
269	-0.01335547153689376	
268	-0.011166848409445151	
267	-0.01885028420550583	
266	-0.020406842172043582	
265	-0.022458426265380638	
264	-0.02382547744085528	
263	-0.033809534783344475	
262	-0.045638199292294956	
261	-0.055735370221590586	
260	-0.0653391836185584	
259	-0.07621871929993063	
258	-0.08363565302603604	
257	-0.08774069986606747	
256	-0.08867922047950927	
255	-0.09246778330343375	
254	-0.09603543661732417	
253	-0.10528608812417062	
252	-0.1134684104861634	
251	-0.12062648375638929	
250	-0.12739518150460682	
249	-0.1349754910246368	
248	-0.14214003406452136	-0.055920274295359514
247	-0.1489043232897096	-0.06013726270526017
246	-0.15528334537995292	-0.06442598726031624
245	-0.16785554814682868	-0.06906093256765422
244	-0.17916981702133583	-0.07396773275469787
243	-0.18987565282450802	-0.07910548231507875
242	-0.20059478843262113	-0.08446325253583704
241	-0.2101220299009796	-0.08997795986121081
