	macd	trigger
3690		
3689		
3688		
3687		
3686		
3685		
3684		
3683		
3682		
3681		
3680		
3679		
3678		
3677		
3676		
3675		
3674		
3673		
3672		
3671		
3670		
3669		
3668		
3667		
3666		
3665		
3664		
3663		
3662		
3661		
3660		
3659		
3658		
3657		
3656		
3655		
3654		
3653		
3652		
3651		
3650		
3649		
3648		
3647		
3646		
3645		
3644		
3643		
3642		
3641		
3640		
3639		
3638		
3637		
3636		
3635		
3634		
3633		
3632		
3631		
3630		
3629		
3628		
3627		
3626		
3625		
3624		
3623		
3622		
3621		
3620		
3619		
3618		
3617		
3616		
3615		
3614		
3613		
3612		
3611		
3610		
3609		
3608		
3607		
3606		
3605		
3604		
3603		
3602		
3601		
3600		
3599		
3598		
3597		
3596		
3595		
3594		
3593		
3592	0.03358745904775162	
3591	0.032383907647275834	
3590	0.03068182317159085	
3589	0.029045260131418615	
3588	0.027471802598306283	
3587	0.02595913109782977	
3586	0.02505045289012031	
3585	0.026906484571195932	
3584	0.027015904672747837	
3583	0.030954568169727636	
3582	0.03138456857487881	
3581	0.030673188448821165	
3580	0.034411012258393825	
3579	0.037955552091663236	
3578	0.041314308280602674	
3577	0.04337857507427323	
3576	0.04588332930335959	
3575	0.04824752842030655	
3574	0.0504766759419617	
3573	0.052576068694691	
3572	0.05455080532519396	
3571	0.056405794398914466	
3570	0.06041324719786445	
3569	0.06477172133821085	
3568	0.06946406887233714	
3567	0.07219187522728987	
3566	0.07361318835850383	
3565	0.07607685451462842	
3564	0.07551802517600947	
3563	0.07264635508905037	
3562	0.06987057040370281	
3561	0.0706514146118824	
3560	0.06788992536311511	
3559	0.0634829513935049	
3558	0.059246966760097663	
3557	0.0551761184969255	
3556	0.05126475273650222	
3555	0.047507407393643675	
3554	0.04389880515866906	
3553	0.03457710649322543	
3552	0.025666269906617245	
3551	0.017151735795307488	
3550	0.009019437792300522	
3549	-0.0016919673675666047	
3548	-0.011911136084158613	
3547	-0.024612731687229328	
3546	-0.03671963060515182	
3545	-0.045286997288481956	
3544	-0.05046834686511659	0.028838505580937396
3543	-0.06133683744675089	0.024748896873645215
3542	-0.07465606178863737	0.020268202817465643
3541	-0.08732793956529683	0.015446542250117271
3540	-0.09937582845817694	0.010329694205895586
3539	-0.10543668757887836	0.005198218489970571
3538	-0.11655990384377368	-0.00017140672909210516
3537	-0.12351531965527762	-0.0055845230622054
3536	-0.12768680628423112	-0.010918236699460536
3535	-0.1346109332447245	-0.016297396462451052
3534	-0.13813838255157762	-0.021573487247475674
3533	-0.1414345035204434	-0.02674271054234631
3532	-0.13846891509392378	-0.03154233343662606
3531	-0.13798686396387083	-0.03609800960766204
3530	-0.13927278725446257	-0.040497980269181916
3529	-0.14224755206111084	-0.044822338860203766
3528	-0.14501420862192838	-0.04906655567334769
3527	-0.14454303882026664	-0.05309834371459792
3526	-0.14706099370821235	-0.05705428865483012
3525	-0.14817134941468701	-0.06087939315406944
3524	-0.1509844479740785	-0.06465158558044375
3523	-0.15115123740040382	-0.06826327377597491
3522	-0.15001145987308107	-0.07166792891122208
3521	-0.1506818847750626	-0.07495072354753536
3520	-0.15124491170723964	-0.07811314725834494
3519	-0.152930866061606	-0.08120745588406889
3518	-0.1550754985632956	-0.08425595709699323
3517	-0.15704333679411953	-0.08725370285533343
3516	-0.1582267153841066	-0.09017097903068917
3515	-0.15927543467249983	-0.09300609635549027
3514	-0.16142684617820535	-0.09580808956548165
3513	-0.16401434788133962	-0.09859645626970392
3512	-0.16454920833366415	-0.1012882128328654
3511	-0.16497564118743568	-0.10388336748140632
3510	-0.16838907009037918	-0.10650784310138603
3509	-0.17156111562286647	-0.10915071141559111
3508	-0.17573958099692	-0.1118521547612605
3507	-0.17963808828687	-0.1145984452132571
