	macd	trigger
3268		
3267		
3266		
3265		
3264		
3263		
3262		
3261		
3260		
3259		
3258		
3257		
3256		
3255		
3254		
3253		
3252		
3251		
3250		
3249		
3248		
3247		
3246		
3245		
3244		
3243		
3242		
3241		
3240		
3239		
3238		
3237		
3236		
3235		
3234		
3233		
3232		
3231		
3230		
3229		
3228		
3227		
3226		
3225		
3224		
3223		
3222		
3221		
3220		
3219		
3218		
3217		
3216		
3215		
3214		
3213		
3212		
3211		
3210		
3209		
3208		
3207		
3206		
3205		
3204		
3203		
3202		
3201		
3200		
3199		
3198		
3197		
3196		
3195		
3194		
3193		
3192		
3191		
3190		
3189		
3188		
3187		
3186		
3185		
3184		
3183		
3182		
3181		
3180		
3179		
3178		
3177		
3176		
3175		
3174		
3173		
3172		
3171		
3170	0.32440689361814634	
3169	0.35925444005630425	
3168	0.381461177909884	
3167	0.40241188815549833	
3166	0.4275825723033222	
3165	0.45133659408850235	
3164	0.4982757984539319	
3163	0.5618751353529348	
3162	0.6221758337805312	
3161	0.6848052002471405	
3160	0.7441281889523879	
3159	0.7836984120873325	
3158	0.8154667063148651	
3157	0.8342198883208454	
3156	0.8405346838874266	
3155	0.8461250314994402	
3154	0.8622080691451544	
3153	0.877099596440047	
3152	0.885230038706851	
3151	0.8897147560032437	
3150	0.8935377105439528	
3149	0.9165255718290837	
3148	0.943646149758024	
3147	0.9974302048511845	
3146	1.0539013931215493	
3145	1.084396654701223	
3144	1.1157848209483632	
3143	1.1594717556146605	
3142	1.206286302951014	
3141	1.2762008894611654	
3140	1.3278295907808797	
3139	1.3706254289810573	
3138	1.3933972511121624	
3137	1.4202056017108617	
3136	1.4218348746673968	
3135	1.4197591795433482	
3134	1.4170582428989036	
3133	1.4166804619007394	
3132	1.412677396216651	
3131	1.411069488258775	
3130	1.41468560177168	
3129	1.423293607723835	
3128	1.4248975979452752	
3127	1.4257043331453758	
3126	1.4198450660220772	
3125	1.407619133811835	
3124	1.3952385475473221	
3123	1.3827163934216173	
3122	1.378977064659665	1.2046208165541514
3121	1.365783202049684	1.2119298111515786
3120	1.3405817369399387	1.2177288168244684
3119	1.3218191958065262	1.222393375094529
3118	1.3092185929670848	1.2262625814479582
3117	1.2965285353492817	1.2293771992717346
3116	1.271774813274405	1.2312469660931447
3115	1.241505173941519	1.2316971615761252
3114	1.2119869590007255	1.230836173775608
3113	1.2012491459672532	1.2295494902935726
3112	1.190390460379291	1.2278537834258516
3111	1.1764058709216982	1.22563499906995
3110	1.1715197340262904	1.223310272600667
3109	1.1571900578016	1.2204804204185788
3108	1.1459520086438175	1.217302096871508
3107	1.1346429946762413	1.2137890835741625
3106	1.1232718068458212	1.2099546911360928
3105	1.1179224889635293	1.2060683484483516
3104	1.1122474335726764	1.2021183707336363
3103	1.1093089566541607	1.1982222210509461
3102	1.1089870817973804	1.1944864471020689
3101	1.1081145077956478	1.1908800913878583
