	macd	trigger
1487		
1486		
1485		
1484		
1483		
1482		
1481		
1480		
1479		
1478		
1477		
1476		
1475		
1474		
1473		
1472		
1471		
1470		
1469		
1468		
1467		
1466		
1465		
1464		
1463		
1462		
1461		
1460		
1459		
1458		
1457		
1456		
1455		
1454		
1453		
1452		
1451		
1450		
1449		
1448		
1447		
1446		
1445		
1444		
1443		
1442		
1441		
1440		
1439		
1438		
1437		
1436		
1435		
1434		
1433		
1432		
1431		
1430		
1429		
1428		
1427		
1426		
1425		
1424		
1423		
1422		
1421		
1420		
1419		
1418		
1417		
1416		
1415		
1414		
1413		
1412		
1411		
1410		
1409		
1408		
1407		
1406		
1405		
1404		
1403		
1402		
1401		
1400		
1399		
1398		
1397		
1396		
1395		
1394		
1393		
1392		
1391		
1390		
1389	-0.04725009117679946	
1388	-0.04887641320835279	
1387	-0.04937484511537882	
1386	-0.047552004487460664	
1385	-0.047093618516948155	
1384	-0.04369548997371275	
1383	-0.0409272868733197	
1382	-0.03783190691823535	
1381	-0.033821926473395436	
1380	-0.03146855567161033	
1379	-0.028769287969906188	
1378	-0.028005977317683062	
1377	-0.026987351515476377	
1376	-0.028057396544785007	
1375	-0.028450603311290124	
1374	-0.0304847522939955	
1373	-0.03263180104962693	
1372	-0.03466177839375284	
1371	-0.0368039861030276	
1370	-0.03781380486721275	
1369	-0.03841865354737983	
1368	-0.03784449992970096	
1367	-0.03648420847637546	
1366	-0.03567990469737303	
1365	-0.034667119387188805	
1364	-0.03345554049705335	
1363	-0.03216882732804116	
1362	-0.030180751224490265	
1361	-0.027580660723920403	
1360	-0.025834483243809103	
1359	-0.024444026656198048	
1358	-0.02374044303644851	
1357	-0.021669129660818243	
1356	-0.019102911339750506	
1355	-0.016355059701123054	
1354	-0.01023596598296983	
1353	-0.003810876223070636	
1352	0.0008612359781601242	
1351	0.005610297779133688	
1350	0.011309484173155582	
1349	0.020847629788892874	
1348	0.03199376678069221	
1347	0.04320048006043109	
1346	0.05269182868899769	
1345	0.06260674081638307	
1344	0.0732180360002026	
1343	0.08774822587528064	
1342	0.10097485507357362	
1341	0.11502969071803548	0.008656491470639016
1340	0.12957258127366522	0.014140246531690942
1339	0.1421922749451099	0.019912211736596228
1338	0.15356557702417106	0.025901563648563553
1337	0.16493818355283096	0.03209747523133106
1336	0.1757069249790515	0.038463126403947265
1335	0.18589407090761334	0.04496494248408664
1334	0.19552114513926533	0.051572307373929094
1333	0.20520978632994513	0.0582835522014409
1332	0.21675801674320283	0.06517530480231144
1331	0.2361022889903488	0.072576970819089
1330	0.25263380768022436	0.08034224784113286
1329	0.2688861611525315	0.08844186678494768
1328	0.29030678748559957	0.09708140142753456
1327	0.3087861368291538	0.10610971867635628
1326	0.3280837817326283	0.11554362026096775
1325	0.3481548608226479	0.12539723952634352
1324	0.36531076586808453	0.13552832578504403
1323	0.38393149655479064	0.14598640957270853
1322	0.4045525882910308	0.15684104695146725
1321	0.42037001087575554	0.16787352413969178
1320	0.4340318362976401	0.17898664209956713
1319	0.4480718426084813	0.19019352452070648
1318	0.4600205970808613	0.2014040360923459
1317	0.4718027212316809	0.2126121665395351
1316	0.47667891221643544	0.22353342987106653
1315	0.4817033065570797	0.23418798566639926
1314	0.4862530809608536	0.24456927804687498
1313	0.49096219825061205	0.2546970177365956
1312	0.4976674622505737	0.2646652565463581
1311	0.5056610247472602	0.27453460916066397
1310	0.5142654187220295	0.2843351380837078
1309	0.5209814433271482	0.29399348023551364
1308	0.5295960021348378	0.3035938832618531
1307	0.5369297668140778	0.3130873747344048
1306	0.5448927549131088	0.32250475022668723
1305	0.5503571820593436	0.33174849380784427
1304	0.5546718005429749	0.3407800452960731
1303	0.5591266899547644	0.3496147055320386
1302	0.5637136568859731	0.3582667173072468
1301	0.5665609274366474	0.36667410030459846
1300	0.5696104903331793	0.37485583834226044
1299	0.5703629019882452	0.3827293806376002
1298	0.5739028400753892	0.39042027099844545
1297	0.5788575769589155	0.3979934053367409
1296	0.5820430615578029	0.40538301030016793
1295	0.5841613028029702	0.41255426904318937
1294	0.5783883966957468	0.4192003430959808
1293	0.5763319018205273	0.4254922304554266
1292	0.5759499517560851	0.43151190781597165
1291	0.5709084256251469	0.4370846149901521
1290	0.5620450749324224	0.442076404232949
1289	0.5564303007404376	0.44664115557977185
1288	0.553294098937938	0.45089551525798566
1287	0.5581754668941201	0.45517200349931514
1286	0.5606643782586005	0.45937451391724454
1285	0.5640091149476092	0.4635402644563476
1284	0.5650257998758086	0.46757823390217973
1283	0.5682227895246168	0.4715804489165001
1282	0.5690938947591082	0.4754560205796972
1281	0.5721527144504304	0.47929710208676685
1280	0.5747784683765573	0.4830879840353117
1279	0.5769894402659865	0.48681432373730044
1278	0.5838513198714352	0.49066329202725223
1277	0.5875756680545141	0.4945055910331168
1276	0.5927236305914185	0.4983979764671606
1275	0.5903803747705361	0.5020417333245043
