	macd	trigger
610		
609		
608		
607		
606		
605		
604		
603		
602		
601		
600		
599		
598		
597		
596		
595		
594		
593		
592		
591		
590		
589		
588		
587		
586		
585		
584		
583		
582		
581		
580		
579		
578		
577		
576		
575		
574		
573		
572		
571		
570		
569		
568		
567		
566		
565		
564		
563		
562		
561		
560		
559		
558		
557		
556		
555		
554		
553		
552		
551		
550		
549		
548		
547		
546		
545		
544		
543		
542		
541		
540		
539		
538		
537		
536		
535		
534		
533		
532		
531		
530		
529		
528		
527		
526		
525		
524		
523		
522		
521		
520		
519		
518		
517		
516		
515		
514		
513		
512	-0.03592614754030521	
511	-0.04697739972950288	
510	-0.06017325606912394	
509	-0.06729834231358112	
508	-0.07459181970342144	
507	-0.08095610005855391	
506	-0.07879511138978756	
505	-0.0821651561517811	
504	-0.0803987009329461	
503	-0.07812492488581313	
502	-0.06985590672396924	
501	-0.06470376305596659	
500	-0.060315075074523605	
499	-0.0594336539076501	
498	-0.0524404109491492	
497	-0.045748412903893865	
496	-0.055006326115655924	
495	-0.056515548097987534	
494	-0.04949747444003094	
493	-0.04278185799477541	
492	-0.02506972563968546	
491	-0.008170062422458102	
490	0.00794715154786374	
489	0.02331084322339194	
488	0.05047322871436677	
487	0.07520815168700068	
486	0.09532775574510666	
485	0.11790338602535044	
484	0.13593001108724678	
483	0.15937942995598675	
482	0.18454469107915727	
481	0.20556693893107436	
480	0.22262213519645613	
479	0.24746950076580632	
478	0.26233725463590574	
477	0.2705706670931427	
476	0.2841138326753736	
475	0.30272592946854004	
474	0.3144812986508505	
473	0.32553644651996194	
472	0.3359182101894973	
471	0.34565249204250037	
470	0.35476429330334014	
469	0.3750687565194042	
468	0.39425127399062276	
467	0.4064397741275094	
466	0.4178631346759545	
465	0.4338898929975379	
464	0.4436150518702995	0.21031842119202093
463	0.45266952726352727	0.2213094655322415
462	0.46107954155261766	0.23211713920297017
461	0.4694671402809689	0.24275340473734885
460	0.47723245301082073	0.2532025328311865
459	0.5011553327443856	0.2641933209324826
458	0.5273251875826865	0.275797635125429
457	0.5466306349483112	0.2876835117780099
456	0.5647760646420572	0.2997875633075411
455	0.5800005411863332	0.3119734919660029
454	0.5936323287349943	0.32417018899626643
453	0.6021175219691557	0.3361571708609835
452	0.6008500583778513	0.3475280578250394
451	0.5993345674084729	0.35830502221897204
450	0.5866856465435362	0.3680444960478147
449	0.5821947149925073	0.3771458841200557
448	0.5836806124376039	0.3858948791084526
447	0.5787258061970952	0.3940377578592633
446	0.5737020049078723	0.4016018470915367
445	0.5686148195351031	0.408613070533093
444	0.5726139738003049	0.4154788669799061
443	0.5871242068869584	0.42264571025518943
442	0.6006740111656939	0.43006024748044697
441	0.6133002589930001	0.43767332444102824
440	0.6372833204481516	0.44594723624891264
439	0.6598490622612481	0.45479378056856146
438	0.6700077898702474	0.4636755668539182
437	0.6793620257954984	0.472558606332932
436	0.6996229710698252	0.48189186467885153
435	0.7186044201876527	0.49160336389967607
434	0.7363549325578695	0.5016265255179271
433	0.7658671736172487	0.5124290507297662
432	0.7936451199639869	0.5239064368332845
431	0.8197535225538495	0.5359617036198561
430	0.8442550150162305	0.5485049090549993
429	0.8733970716988075	0.5617040482974004
428	0.9069590336731892	0.5757106951839864
427	0.938530417710588	0.5904100330546439
426	0.9619828725207071	0.6054444742512421
425	0.990084279996605	0.6209882595312606
424	1.0195073642562527	0.6370736934139558
423	1.0445832956780698	0.6535031608598251
422	1.0798073667681223	0.6706714622669704
421	1.1222181146546468	0.6888371417840606
420	1.1777064801377186	0.7084843828351638
419	1.2300683835001074	0.7294260123893554
418	1.2794191205795364	0.7514876555032618
417	1.3258702616396398	0.7745069784198065
416	1.3614038756670368	0.7980075991675529
415	1.4015045296144066	0.8221529655732411
414	1.4184072244433708	0.8459896469930013
413	1.4244184198455727	0.8690961122491601
412	1.4294256053388885	0.8914632102350026
411	1.4297084987286688	0.912933682406277
410	1.4267343682722142	0.933415259420268
409	1.4225350995035697	0.9529003760294676
408	1.4272225162247132	0.9717842604402608
407	1.4309639783072505	0.9900543879340867
406	1.4218460470839567	1.0072249447577553
405	1.4180782322246692	1.023553886319396
404	1.4295012622238268	1.0396793286278418
403	1.4321069410107583	1.0552598215522715
402	1.4420565572502184	1.0706092750185752
401	1.4381925048177813	1.0851894480637043
400	1.4381841199388994	1.099184678935353
399	1.4298562208345444	1.1122892073797148
398	1.4319160012749634	1.1249507855025789
397	1.4192335707279895	1.1366037581497896
396	1.4127243619273564	1.1475333698612717
395	1.3994539876152174	1.1575014208043692
394	1.386066623531871	1.1665421523182278
393	1.3789107244532985	1.1749393945722464
392	1.3840490392530285	1.1832050879052334
391	1.3945834612599377	1.1915578506504558
390	1.3848845200795559	1.1991949966298916
389	1.374913159817826	1.2061345393204146
388	1.3964426343473804	1.2136481947345175
387	1.4162736810978842	1.2216460334437291
386	1.4312947914138903	1.2299189754607016
385	1.4321761917047056	1.2378982829747363
384	1.434824061103651	1.245665428446637
383	1.4417035811877383	1.2533958147522526
382	1.4519840116067293	1.2612250551735915
381	1.45658912682795	1.268925578093104
380	1.4608707219117747	1.2764898223699719
379	1.4635664422077426	1.2838607858496238
378	1.465384393960207	1.2910116328446446
377	1.4612596300137355	1.2977171020586107
376	1.4565682353569684	1.3039726205309703
375	1.445592311334444	1.3095486542010766
374	1.434369220338155	1.3144624765483726
373	1.4165269679563295	1.3184798502328006
372	1.4019602280918022	1.3217652543729603
371	1.3841352522414994	1.3242195080367705
370	1.3728014346703006	1.326130945813103
369	1.3548763759288818	1.3272617782251979
368	1.3409063151392004	1.3277984817470685
367	1.3262386048083314	1.3277371317839624
366	1.327561592154055	1.3277302285991113
365	1.3345437292074536	1.3279981435388801
364	1.3405183604479305	1.3284904014101961
363	1.3455281365578458	1.3291602068402293
362	1.3496142694287059	1.3299642402528349
361	1.3624361090428323	1.3312405649613248
360	1.390007027964785	1.3335502056385897
359	1.447045867148539	1.3380104292792987
358	1.4949646245336439	1.344178002075733
357	1.5270897403586048	1.351365013396585
356	1.556320894076812	1.3594175719519637
355	1.5333146316258137	1.3662493509441882
354	1.5214840211632819	1.3723475221032924
353	1.519686671097844	1.3781351361939953
