	macd	trigger
3741		
3740		
3739		
3738		
3737		
3736		
3735		
3734		
3733		
3732		
3731		
3730		
3729		
3728		
3727		
3726		
3725		
3724		
3723		
3722		
3721		
3720		
3719		
3718		
3717		
3716		
3715		
3714		
3713		
3712		
3711		
3710		
3709		
3708		
3707		
3706		
3705		
3704		
3703		
3702		
3701		
3700		
3699		
3698		
3697		
3696		
3695		
3694		
3693		
3692		
3691		
3690		
3689		
3688		
3687		
3686		
3685		
3684		
3683		
3682		
3681		
3680		
3679		
3678		
3677		
3676		
3675		
3674		
3673		
3672		
3671		
3670		
3669		
3668		
3667		
3666		
3665		
3664		
3663		
3662		
3661		
3660		
3659		
3658		
3657		
3656		
3655		
3654		
3653		
3652		
3651		
3650		
3649		
3648		
3647		
3646		
3645		
3644		
3643	-0.04562086550830191	
3642	-0.04626792914581079	
3641	-0.046860277818082	
3640	-0.047670789290279014	
3639	-0.04814698544258267	
3638	-0.04884783867441023	
3637	-0.049490391030560854	
3636	-0.05007714899789262	
3635	-0.050610517918812103	
3634	-0.05136767959519917	
3633	-0.05178728445661296	
3632	-0.05216067193614338	
3631	-0.05271143570649839	
3630	-0.052987310142076804	
3629	-0.05350153388898793	
3628	-0.054243359740972164	
3627	-0.05464316934662827	
3626	-0.05555702834221421	
3625	-0.05617515166142306	
3624	-0.05667951852090658	
3623	-0.0571315295687036	
3622	-0.0575334252734816	
3621	-0.0576039255930314	
3620	-0.05803952542804547	
3619	-0.05779917193010364	
3618	-0.05725536670876474	
3617	-0.056364703964897345	
3616	-0.05525755998750892	
3615	-0.05411622059312693	
3614	-0.05300020724171617	
3613	-0.05248508384300088	
3612	-0.05167845471330024	
3611	-0.050882829210042946	
3610	-0.0500980803136466	
3609	-0.04961435441830675	
3608	-0.04912773076060439	
3607	-0.04892989420469096	
3606	-0.04924161599714694	
3605	-0.04957246211095745	
3604	-0.049862924690221355	
3603	-0.050701380846049915	
3602	-0.05147557524067503	
3601	-0.05183492203521922	
3600	-0.05103130627904329	
3599	-0.05023863730481293	
3598	-0.04945679807430725	
3597	-0.048981836971180526	
3596	-0.04791052170083243	
3595	-0.0471609924386196	-0.051441331526979446
3594	-0.04665981604918845	-0.051224481480442646
3593	-0.046217452002953685	-0.050998788843769245
3592	-0.045891181661929625	-0.050769903796435735
3591	-0.04543699262251577	-0.05053225240549203
3590	-0.0453395121592417	-0.050302078325055795
3589	-0.045223433492263876	-0.05007810624951678
3588	-0.04526967149450445	-0.04986708151313888
3587	-0.044750019607770364	-0.04964355626736019
3586	-0.04453214978028752	-0.04942127093544095
3585	-0.04460277243527333	-0.049212615077092986
3584	-0.04464747376567235	-0.04901573509438342
3583	-0.044667411005260726	-0.04882893633993127
3582	-0.04466370054670321	-0.048650670107218644
3581	-0.04463741931565601	-0.048479521827155016
3580	-0.04458960609605245	-0.0483142003401561
3579	-0.04452126280855362	-0.04815352812911626
3578	-0.044737136659643184	-0.04800926049569647
3577	-0.044920375491174	-0.04787921457845776
3576	-0.0453768433539854	-0.04777416475189758
3575	-0.04548456935279388	-0.047678312255706186
3574	-0.045869343655049244	-0.04760278096276321
3573	-0.04615210483649723	-0.04754236308490345
3572	-0.04627612883728904	-0.047489754821579085
3571	-0.046003556775540355	-0.04742815133574195
3570	-0.04608764621730366	-0.04737271077143234
3569	-0.04577629514995851	-0.04730682740994235
3568	-0.04594703503112463	-0.04725082440704836
3567	-0.04614801603552854	-0.04720549454892921
3566	-0.04619322495895162	-0.047163964621151605
3565	-0.04572007668521971	-0.047104833959722835
3564	-0.04524510658078973	-0.047028805717881254
3563	-0.04532396179204201	-0.04695922522756155
3562	-0.044881993104367135	-0.04687458154293051
3561	-0.04406630576354709	-0.04676032418243249
3560	-0.04233716625178152	-0.046580628012039486
3559	-0.04109849812900279	-0.04635822352633881
3558	-0.03989515626219564	-0.04609637775694445
3557	-0.03940844344998862	-0.04582577306148521
3556	-0.03892370443331372	-0.04554685166244708
3555	-0.037944058337416875	-0.04523997997699059
3554	-0.03730043820230389	-0.044919883364793974
3553	-0.036666991104434166	-0.044587519433491284
3552	-0.035732192331936696	-0.04423127045391135
3551	-0.034572305244995105	-0.043843084894140134
3550	-0.033696931573963695	-0.043435716217262985
3549	-0.032844095181370214	-0.04301085896030476
3548	-0.03201320369638139	-0.042570109927969016
3547	-0.031203680789286592	-0.04211497352888906
3546	-0.030414965716262232	-0.041646866797383206
3545	-0.029709107115700073	-0.041169626475549434
3544	-0.02939592353578635	-0.04069930295313484
3543	-0.02883118242908922	-0.04022555417149324
3542	-0.028716365014659795	-0.039766455446825756
3541	-0.028278224893167225	-0.03930850144771288
3540	-0.02815949406020657	-0.038864357311205584
3539	-0.027906022616589476	-0.03842808013126468
3538	-0.027461106003588753	-0.037991719360660765
3537	-0.0270223117007371	-0.03755551168143524
3536	-0.026526628584373935	-0.037117180060207595
3535	-0.025976857763968964	-0.036674653183207215
3534	-0.025375701525101046	-0.036226052649484274
3533	-0.024536571589046208	-0.03576217297051369
3532	-0.02384917563031208	-0.035289644441937496
3531	-0.022865091047753916	-0.034797046374366085
3530	-0.021913984782607088	-0.03428649004977272
3529	-0.02080523591097916	-0.033752448612281535
3528	-0.019609716351062012	-0.03319242648230685
3527	-0.01782576868102792	-0.03258417197042518
3526	-0.015797243944836836	-0.03191994307471561
3525	-0.013852808972907305	-0.03120531063421213
3524	-0.012306459443343298	-0.030458033246711327
3523	-0.010824075275515543	-0.029681941470789643
3522	-0.009974330121099939	-0.028903181566138553
3521	-0.008586995740179626	-0.028100614194774956
3520	-0.007258312881535778	-0.02727750042492936
3519	-0.0059862997241204585	-0.026436891172886175
3518	-0.004705495665382919	-0.02557913038812775
3517	-0.002908392371612667	-0.024684521219399465
3516	-0.000237576862301081	-0.02372005779788946
3515	0.0019938142438222783	-0.02270585139641431
3514	0.003486235903636281	-0.021673016970315657
3513	0.004908998877408699	-0.02062503427923872
3512	0.0056912384368850155	-0.019587744978854064
3511	0.007008495018242966	-0.018539630646905635
3510	0.008580983479258508	-0.017471057479168044
3509	0.010715274617521198	-0.016360699712086414
3508	0.012427990672015055	-0.015226814554604824
3507	0.013418192834717013	-0.014098781224630234
3506	0.014867191382696987	-0.012958295479819734
3505	0.015923281478724682	-0.011821311866653045
3504	0.017370345303391765	-0.010672295262523503
3503	0.01874262604672383	-0.009514659100225616
3502	0.019787081443078502	-0.008361638312314122
3501	0.020070314660554978	-0.007242993731229506
3500	0.01969054507554624	-0.006183440315871232
3499	0.019637853657393123	-0.005167767926104517
3498	0.01951339497388993	-0.004197057740110373
3497	0.019448548274430433	-0.0032671823078589735
3496	0.019056321969557644	-0.002389395594727656
3495	0.018864309940104018	-0.0015537628001717468
3494	0.01815853214132801	-0.000778812252119878
3493	0.017154911726669386	-7.385140490342078e-05
3492	0.016188076749783953	0.0005653326483996263
3491	0.015256853854126451	0.0011427391019009818
3490	0.014680933663392182	0.0016747715569952128
3489	0.013802704923212339	0.0021513431566599107
