	macd	trigger
1789		
1788		
1787		
1786		
1785		
1784		
1783		
1782		
1781		
1780		
1779		
1778		
1777		
1776		
1775		
1774		
1773		
1772		
1771		
1770		
1769		
1768		
1767		
1766		
1765		
1764		
1763		
1762		
1761		
1760		
1759		
1758		
1757		
1756		
1755		
1754		
1753		
1752		
1751		
1750		
1749		
1748		
1747		
1746		
1745		
1744		
1743		
1742		
1741		
1740		
1739		
1738		
1737		
1736		
1735		
1734		
1733		
1732		
1731		
1730		
1729		
1728		
1727		
1726		
1725		
1724		
1723		
1722		
1721		
1720		
1719		
1718		
1717		
1716		
1715		
1714		
1713		
1712		
1711		
1710		
1709		
1708		
1707		
1706		
1705		
1704		
1703		
1702		
1701		
1700		
1699		
1698		
1697		
1696		
1695		
1694		
1693		
1692		
1691	-0.11293625179911082	
1690	-0.11308900542760547	
1689	-0.11506451567220033	
1688	-0.11688665566417811	
1687	-0.11829077384438591	
1686	-0.11983945955159037	
1685	-0.12125322406453698	
1684	-0.12226445855710644	
1683	-0.12152031975064048	
1682	-0.12019951311999577	
1681	-0.1210842774409766	
1680	-0.11689262349945828	
1679	-0.11560826198254759	
1678	-0.11043835256692525	
1677	-0.10656815734697034	
1676	-0.1000353628084163	
1675	-0.09096123837319148	
1674	-0.08226535797654932	
1673	-0.07674334516020664	
1672	-0.07200321974164048	
1671	-0.06688313485424935	
1670	-0.06253322408086603	
1669	-0.05778711533777425	
1668	-0.05436850763579493	
1667	-0.04994251950922646	
1666	-0.0445556538797085	
1665	-0.042254239067277766	
1664	-0.038319587879845685	
1663	-0.03454767155436933	
1662	-0.02978256809864277	
1661	-0.025222665547444123	
1660	-0.023169880673677312	
1659	-0.021778515197771853	
1658	-0.019860814433624085	
1657	-0.021794997076588274	
1656	-0.022640263220708334	
1655	-0.025882168027127506	
1654	-0.026043397141791047	
1653	-0.024429964576087926	
1652	-0.026919468583265882	
1651	-0.029046223051052422	
1650	-0.03129558656186404	
1649	-0.028775838010972166	
1648	-0.026357117562929133	
1647	-0.02403596737544511	
1646	-0.02358328988352376	
1645	-0.024916369718177123	
1644	-0.026709620235118692	
1643	-0.026090089777902392	-0.04541597117888206
1642	-0.026913669804898177	-0.04457685961841087
1641	-0.028341333372377875	-0.043845040734036146
1640	-0.03118108244339446	-0.043277536110131395
1639	-0.033875094230305436	-0.04285853355821648
1638	-0.03409493211903225	-0.042470077019488114
1637	-0.03542591058657507	-0.04215942395585293
1636	-0.03667804971489197	-0.041918866349662756
1635	-0.03785432829990221	-0.04174131781041284
