	macd	trigger
1646		
1645		
1644		
1643		
1642		
1641		
1640		
1639		
1638		
1637		
1636		
1635		
1634		
1633		
1632		
1631		
1630		
1629		
1628		
1627		
1626		
1625		
1624		
1623		
1622		
1621		
1620		
1619		
1618		
1617		
1616		
1615		
1614		
1613		
1612		
1611		
1610		
1609		
1608		
1607		
1606		
1605		
1604		
1603		
1602		
1601		
1600		
1599		
1598		
1597		
1596		
1595		
1594		
1593		
1592		
1591		
1590		
1589		
1588		
1587		
1586		
1585		
1584		
1583		
1582		
1581		
1580		
1579		
1578		
1577		
1576		
1575		
1574		
1573		
1572		
1571		
1570		
1569		
1568		
1567		
1566		
1565		
1564		
1563		
1562		
1561		
1560		
1559		
1558		
1557		
1556		
1555		
1554		
1553		
1552		
1551		
1550		
1549		
1548	1.296434523341759	
1547	1.3063207309589018	
1546	1.304273697551281	
1545	1.3016550744116557	
1544	1.2984938033321498	
1543	1.2893779393879043	
1542	1.2800348788632903	
1541	1.2814176671407722	
1540	1.2765964846474986	
1539	1.2768482960887582	
1538	1.2709245351899625	
1537	1.2370040340240251	
1536	1.17081402914296	
1535	1.1237973194004667	
1534	1.0450177224838768	
1533	0.9805594027396296	
1532	0.9186209681851949	
1531	0.8563098688873652	
1530	0.7964750676338355	
1529	0.7390284106763403	
1528	0.6754189986922086	
1527	0.6144296844230155	
1526	0.5559667371806682	
1525	0.4828972057647576	
1524	0.4129770521917635	
1523	0.34609269706707835	
1522	0.28213462117035704	
1521	0.2209972063509582	
1520	0.1625785837046152	
1519	0.12403306553707694	
1518	0.05839658592658736	
1517	0.0015362604032134186	
1516	-0.0526994175902189	
1515	-0.09861095419299204	
1514	-0.14235527087026867	
1513	-0.1258517561689274	
1512	-0.13917619793980407	
1511	-0.12263359703945298	
1510	-0.1067898065546018	
1509	-0.16482958819435112	
1508	-0.2054516587504338	
1507	-0.23822698255948183	
1506	-0.25760444668492255	
1505	-0.2877527806352447	
1504	-0.31637193635680205	
1503	-0.3198614628331171	
1502	-0.3467217340369615	
1501	-0.37217516485047497	
1500	-0.3962737008676527	0.15448479857252392
1499	-0.41906752936274927	0.1284732025457522
1498	-0.47039856951995773	0.10147896377115567
1497	-0.5251091902057397	0.07339993298908165
1496	-0.5949775475611574	0.04361491824797541
1495	-0.6433966356786698	0.0131623546350893
1494	-0.6892752748315587	-0.01781567572303315
1493	-0.834712817408672	-0.05366632416790934
1492	-0.8709393420083558	-0.08936672325618718
1491	-0.905068206288675	-0.12484002700564815
1490	-0.9070580082542534	-0.15871248007105093
1489	-0.9084953925001855	-0.1910482253996073
1488	-0.9094047833312544	-0.22190795607373995
1487	-0.9098097454277934	-0.25134918498658815
1486	-0.9097330127476937	-0.2794264882988852
1485	-0.9091965164014937	-0.30619172557145735
1484	-0.9082214115422431	-0.3316942391115838
1483	-0.9068281033095218	-0.3559810347639026
1482	-0.9050362718655407	-0.3790969461102495
1481	-0.8876412663845485	-0.40044569409796804
1480	-0.8705865410829716	-0.4201278500643413
1479	-0.859967975356966	-0.4384928417725941
1478	-0.8463399271612673	-0.4554788905151886
1477	-0.8329010188354289	-0.471159656335985
1476	-0.807404597648727	-0.4850971396580607
1475	-0.7887859930258259	-0.4976570927486264
1474	-0.770612643236035	-0.5089218467146781
1473	-0.7405913685336145	-0.5184631480949342
1472	-0.711558691713833	-0.5264001513148329
1471	-0.7204021309983091	-0.5343593830103583
1470	-0.7130780253382625	-0.5416783384968037
1469	-0.6964760503963987	-0.548006684258739
1468	-0.667933091756808	-0.5529012896296605
1467	-0.6403475715581379	-0.5564645772502701
1466	-0.6198713025489297	-0.559044339937266
1465	-0.5938228155351482	-0.5604572578061349
1464	-0.5686556846938942	-0.5607898597244456
1463	-0.5443425494850231	-0.5601235106941637
1462	-0.5208568720633053	-0.5585347186545409
1461	-0.4981729123295793	-0.5560954210503548
1460	-0.4762657037796032	-0.5528732527181263
1459	-0.45511103012199783	-0.548931796505426
1458	-0.437796802380916	-0.5444561215072268
1457	-0.41793194024195657	-0.539366065549833
1456	-0.39875633972435764	-0.5337150807964711
1455	-0.38024840562594875	-0.5275533843942859
1454	-0.34678300862245237	-0.5203022180497325
1453	-0.30529218987810225	-0.511685339307407
1452	-0.26553135263090155	-0.5018288014494576
1451	-0.24620741128856594	-0.49160162080415415
1450	-0.24015462567915336	-0.4815494294317884
1449	-0.25930862000848265	-0.47267158693423156
1448	-0.25238720587339003	-0.4638783279737408
1447	-0.25192299087670733	-0.4554234817094461
1446	-0.2513505941966372	-0.4472885479169449
1445	-0.25695532164337465	-0.43970622390425707
1444	-0.2747414704455764	-0.43313858754031587
1443	-0.2915779778208645	-0.4275060861752898
1442	-0.3358123604499781	-0.42385980840549653
1441	-0.33694229630604866	-0.4204053612365193
1440	-0.3378477524730954	-0.41712592642240875
1439	-0.38265876314891045	-0.415757481958863
1438	-0.3810905403214093	-0.41438177591387015
1437	-0.32260743332430764	-0.4107415505510599
1436	-0.3044981457301219	-0.4065293028954217
1435	-0.287055521115974	-0.4017945514175895
1434	-0.2702582009764569	-0.3965839188645106
1433	-0.26673270626271517	-0.39144208691026683
1432	-0.2822108897747455	-0.3871184161840021
1431	-0.2968401874466622	-0.3835462671827427
1430	-0.3106516296941777	-0.380662972444655
1429	-0.3236752550510431	-0.3784096274056662
1428	-0.3676372333389395	-0.37798381583703394
1427	-0.3776990922827963	-0.3779725647886945
1426	-0.38710896986522414	-0.3783334878806961
1425	-0.40223992465276126	-0.37927761190036613
1424	-0.4228268767327137	-0.3809970036553065
1423	-0.44861392958885915	-0.3836659140541665
1422	-0.47299732311817877	-0.38719101753980795
