	macd	trigger
4683		
4682		
4681		
4680		
4679		
4678		
4677		
4676		
4675		
4674		
4673		
4672		
4671		
4670		
4669		
4668		
4667		
4666		
4665		
4664		
4663		
4662		
4661		
4660		
4659		
4658		
4657		
4656		
4655		
4654		
4653		
4652		
4651		
4650		
4649		
4648		
4647		
4646		
4645		
4644		
4643		
4642		
4641		
4640		
4639		
4638		
4637		
4636		
4635		
4634		
4633		
4632		
4631		
4630		
4629		
4628		
4627		
4626		
4625		
4624		
4623		
4622		
4621		
4620		
4619		
4618		
4617		
4616		
4615		
4614		
4613		
4612		
4611		
4610		
4609		
4608		
4607		
4606		
4605		
4604		
4603		
4602		
4601		
4600		
4599		
4598		
4597		
4596		
4595		
4594		
4593		
4592		
4591		
4590		
4589		
4588		
4587		
4586		
4585	-4.072099325162071	
4584	-4.00124080348337	
4583	-3.931716622957765	
4582	-3.863494227176261	
4581	-3.7965422402012337	
4580	-3.730830408546126	
4579	-3.6663295465407373	
4578	-3.6030114848581434	
4577	-6.282470513090175	
4576	-9.175633575881648	
4575	-13.305411364861357	
4574	-17.23371302184887	
4573	-20.968287837492653	
4572	-24.516587073908568	
4571	-27.885776857543988	
4570	-31.082750409691243	
4569	-34.46368761209669	
4568	-37.66888954733963	
4567	-40.70511945542671	
4566	-43.57888762635821	
4565	-46.64921028540493	
4564	-48.84570799492781	
4563	-51.26942717799716	
4562	-53.19932170884044	
4561	-55.01251494004441	
4560	-56.71358567666607	
4559	-58.66422569158817	
4558	-60.49466606266901	
4557	-62.568338825672754	
4556	-63.97513939178566	
4555	-65.28440378877053	
4554	-66.68043124875862	
4553	-68.15889103516861	
4552	-69.60695731663827	
4551	-71.06175786707172	
4550	-72.41343320005944	
4549	-73.66608656878589	
4548	-75.00606925754369	
4547	-76.42903070540137	
4546	-77.74775379664311	
4545	-78.41639600562212	
4544	-79.19814030278553	
4543	-79.7198347330359	
4542	-79.62439666760338	
4541	-79.49289607006813	
4540	-79.51186537555168	
4539	-79.11936872968658	
4538	-78.89004536892116	
4537	-78.63114232713133	-61.28867647399776
4536	-78.3441371303959	-62.06217129048954
4535	-78.40287080674807	-62.79873087646618
4534	-78.23259108176853	-63.490361947115005
4533	-77.84359102318763	-64.12998723679614
4532	-77.43280176978874	-64.71964952628893
4531	-76.25238692771745	-65.22825196207384
4530	-75.46215865799354	-65.67738095573884
4529	-75.04517237271602	-66.08658801979381
4528	-74.23303970654592	-66.44086168629511
4527	-73.23197069629578	-66.73493766858856
4526	-72.05084483447195	-66.96419578778115
4525	-70.32077227684658	-67.10839026237178
4524	-67.87800287229288	-67.14132859946228
4523	-65.70130738003513	-67.0799177463259
4522	-63.969274823164824	-66.9477153673726
4521	-62.09400492535224	-66.74210787134376
4520	-60.082742424967364	-66.46089569129624
4519	-57.94247278279454	-66.10225944587388
4518	-56.250816891333216	-65.68869477505241
4517	-53.46453897606216	-65.1769380482419
4516	-50.20581295963234	-64.55183685281865
4515	-46.306261899667106	-63.79194365609384
4514	-42.560724156724746	-62.90984969265497
4513	-39.15539119380901	-61.92521816820723
4512	-36.07667865682879	-60.856175165402675
4511	-32.92802677355485	-59.70359292334982
4510	-29.522109364802645	-58.46056954904333
4509	-26.44826539738392	-57.14473513688536
4508	-23.500834719464137	-55.76444201307117
4507	-20.67555249947145	-54.32746813573136
4506	-18.353576907696606	-52.85680542825596
4505	-16.513532935471176	-51.37351262852036
4504	-14.36278139879687	-49.865388126114965
4503	-12.688885715073411	-48.352826906445
4502	-10.736645013889756	-46.82462376812659
4501	-8.829024522997088	-45.28318059014756
4500	-6.616318619718413	-43.71662498908113
4499	-4.500876411032095	-42.129892043733264
4498	-2.479349852910218	-40.527563046982266
4497	-0.5484964097545344	-38.91388725211977
4496	1.2948241993342435	-37.2928022220697
4495	3.442578118449319	-35.65228993547225
4494	5.490899961054083	-33.99710326091929
4493	7.053741924677524	-32.3473048640121
4492	8.931721960259438	-30.689949410222514
4491	10.71973381832413	-29.0289001366156
4490	11.8353711004047	-27.39119759251925
4489	12.698882813172531	-25.785904090747778
4488	13.516623421233817	-24.213445508822964
4487	15.072682181120626	-22.64288916305241
4486	16.158784754479257	-21.09288063592687
4485	17.383092012280713	-19.55700601048529
4484	18.542820110837738	-18.037213317533773
4483	19.444180462732902	-16.54309687428994
4482	20.098329591240145	-15.083408657008325
4481	20.71242230172561	-13.658292102392569
4480	21.09146395552966	-12.275647249290637
4479	22.22891469672436	-10.903544456160487
4478	23.30323851808248	-9.54403103071876
4477	24.316751229284137	-8.198979619471151
4476	25.271694333669757	-6.8700986176063905
4475	26.17023729058633	-5.558942002960384
4474	26.896166641800164	-4.2716115104959504
4473	27.693644962900407	-3.004280358328264
4472	29.032841101772647	-1.7346477584435245
4471	32.07380948418495	-0.39537198192229367
4470	34.36719486851007	0.9811517598407336
4469	36.53863836062783	2.38861471865671
4468	38.592562183747305	3.8211405511621277
4467	40.73116175344603	5.2810897817478
4466	42.949579353738045	6.770535367311144
4465	45.639348601240954	8.306943173365527
4464	48.3815305119947	9.890518232818588
4463	50.775830028182554	11.505645082714766
4462	52.83673327285783	13.137911467348586
4461	54.18129303118644	14.758367108273994
4460	55.43680201571647	16.363987246055977
4459	56.805305374487034	17.95984063057289
4458	57.883571828406275	19.53488321373024
4457	58.684152627077765	21.07900848540011
4456	59.219173201823196	22.58299229107866
4455	59.500346313641785	24.0384405248633
4454	59.93710757045869	25.45343206360246
4453	60.12395065794135	26.819740513171926
4452	60.07206155677795	28.129907674833433
4451	59.99153557863974	29.3850481412658
4450	60.08307988392107	30.594135532615777
4449	60.53833249336867	31.77333062766207
4448	60.74211772312492	32.913927188140356
4447	60.30652177919842	33.9922938997938
4446	59.85959700598755	35.01046017243583
4445	59.40208567190416	35.970402490096724
4444	59.5340737246629	36.897630779925244
4443	59.629305803647185	37.792000052008945
4442	59.689400323133896	38.65343402142483
4441	59.31594718519818	39.46618740804307
4440	58.92882868294623	40.23165312813289
4439	58.92908666586254	40.966939171645436
4438	58.498527363301264	41.65630205049657
4437	58.057312724037956	42.30114124619409
4436	58.407319942846016	42.93432434562686
4435	58.31050400427421	43.53875009969405
4434	58.588751641028466	44.1302987091764
4433	58.42311277286285	44.69203516679051
4432	58.6358258446312	45.240006992277
4431	58.60795570473442	45.76530545078252
4430	58.95228223046615	46.2834512641301
4429	59.049760790232995	46.78502972410815
4428	58.951662943520205	47.26301221208336
4427	58.98814220933173	47.72361711100866
4426	58.791599541085816	48.15837740048431
4425	58.37268759546987	48.55957851488588
4424	57.942617379752164	48.9281055857861
4423	58.30601165569033	49.29640889359522
4422	59.02471785230205	49.67845166155817
4421	59.6801509795348	50.07120898865308
4420	59.67151556360159	50.4481838797584
4419	59.833519645509796	50.816698623335014
4418	60.761947393511946	51.207179086584624
4417	61.01292126690623	51.592163879052436
4416	61.62342528062118	51.985984909585845
4415	62.37553539341138	52.39385432637447
4414	63.061089932684126	52.81260743498184
4413	63.884162497930674	53.24721498722383
4412	65.64387150119842	53.73381978638993
4411	67.45064086704542	54.272224842305945
4410	69.38202447566368	54.865285112638816
4409	70.8267227755739	55.49175068872369
4408	71.92702546139435	56.136792461242905
4407	73.14157187255864	56.8041646454408
4406	74.06123802057846	57.48141776321684
4405	75.1023256291619	58.172929308606065
4404	75.85533596261644	58.866834786078
4403	76.53471982017163	59.560151662986414
4402	76.94167657978028	60.242213592124564
4401	77.69384793371182	60.9270095799824
4400	78.57332618233772	61.619428239699616
4399	80.1795592263802	62.347687029386016
4398	82.68066357425641	63.14549074041411
4397	84.82303349094491	63.99603303609416
4396	87.02581797357789	64.89961359725372
4395	88.8811276544809	65.84051708134139
4394	90.60582606398407	66.8121540812809
4393	92.8111578390135	67.83217513735615
4392	95.6762625983365	68.92456551101638
4391	98.36123168873337	70.07941726799687
4390	100.87286848895292	71.28747866976508
4389	104.02644561711077	72.57184500607163
4388	107.38679318986533	73.93763289823404
4387	110.74057135087878	75.3813889436431
4386	114.08635611888258	76.89973960040669
4385	118.83869114468689	78.54493405947646
4384	125.53811846858798	80.38837428152378
4383	134.49736611921207	82.51092636661946
4382	143.78807681436956	84.91463825784089
4381	152.17622582403874	87.55307143720762
4380	158.4841951307103	90.33541754197348
4379	166.4465985061629	93.32092583866363
4378	173.95986322070576	96.48400676749283
4377	181.8503299310196	99.83248853498706
4376	190.0967896111424	103.37306031526714
4375	196.4514230964005	107.02398008344565
4374	201.19946219200847	110.71790215742779
4373	204.81655384992155	114.40878063179409
4372	208.7700872456344	118.109932431329
4371	212.84016374287057	121.82552674146342
4370	218.23489928470008	125.60695456379818
4369	222.86525083710103	129.4216529600513
4368	227.16883055992366	133.25550090168534
4367	231.1582794340993	137.09542727197012
4366	234.4405153806897	140.91345653587481
4365	236.84333684052717	144.67595687986156
4364	238.81087892330652	148.36803557335807
4363	240.36192629311972	151.9761209161106
4362	242.52822861974482	155.52763959779423
4361	245.07794932834577	159.03984937115067
4360	246.97857613066662	162.48883534754253
4359	247.85312389826868	165.83683545435733
4358	250.18119775665946	169.1448191395946
4357	253.48988141789368	172.45281609453272
4356	256.9216149276499	175.76565232610298
4355	258.84643661516566	179.02403822491905
4354	260.95461740830206	182.23730144844015
4353	265.670941054615	185.50950175438746
4352	271.4542457090415	188.88017372339604
4351	276.629972009031	192.32162661791713
4350	281.83176185990214	195.83210666329458
4349	285.63542196215485	199.35407391393016
4348	289.32010110339843	202.8824119560678
4347	295.3244312755346	206.50784442553012
4346	303.1338590096407	210.29735622987133
4345	309.8208844906985	214.20049335380682
4344	314.6212855432568	218.13880954752545
4343	318.63331333231827	222.0800069212909
4342	321.8907770079627	225.99438039054067
4341	324.6293332874084	229.8626319796178
4340	326.8711871340329	233.66709147004826
4339	329.65286813562716	237.43143201095953
4338	331.933235342673	241.13756711381944
4337	335.56125285966573	244.84063149856055
4336	341.4889184952217	248.630932250437
4335	349.4054119567172	252.58304479065353
4334	357.9976969129557	256.71712574118527
4333	366.0121091244969	261.0033758788279
4332	372.8615566171511	265.3901406840432
4331	378.59553204844906	269.8297325930891
4330	384.68355895843797	274.33396485470024
4329	391.9187978994669	278.94529278756784
4328	399.8390245376486	283.6863795294145
4327	409.62769676404514	288.62541094022043
4326	417.7413739222902	293.68893591961194
4325	423.64269796071767	298.78531068863873
4324	430.47660761486713	303.94982015647315
4323	435.5560390479068	309.1109874590373
4322	440.380416483772	314.25894151835047
4321	442.92712809714794	319.30487830373687
4320	443.50176720171385	324.17546096676375
4319	444.22572579999996	328.88342262039845
4318	447.1237711828335	333.520401358576
4317	450.06337140604137	338.09081080934305
4316	451.0090336709027	342.5190666159577
4315	452.4896612378325	346.8317233584259
4314	451.6350302329165	350.94173424521347
4313	451.8035925902832	354.897172699696
4312	450.5098558971231	358.64675477277524
4311	450.6664588542599	362.25543080178136
4310	451.39427469553993	365.75112775107266
4309	452.05715328259885	369.1357298773502
4308	448.9990798535446	372.2676722798087
4307	446.65967538662426	375.185047194037
4306	445.00741919768006	377.92321681585673
4305	445.6380613474021	380.5787357511431
4304	445.1948041943342	383.11273115772525
4303	444.133374331298	385.5057265349734
4302	443.7022282067028	387.7879688401038
4301	442.0432225851782	389.91564963394444
4300	437.58676346936863	391.7851251568341
4299	433.51219558065713	393.421497745334
4298	430.6174787517075	394.8801781288901
4297	430.2735647375439	396.2681672955713
4296	430.9411812104654	397.6279057756651
4295	431.9639243203146	398.9744281468255
4294	434.34172333939205	400.361392616822
4293	434.9616169279989	401.7182751721081
4292	438.173452153791	403.1479011047615
4291	442.02739065953665	404.67259839384116
4290	446.08548221755336	406.29664474498014
4289	450.33631569339923	408.0237026099166
4288	454.9722524181525	409.86483444524765
4287	459.56662112467166	411.81393656351975
4286	463.71220682453895	413.8491753332081
4285	465.5970257102899	415.87851475954324
4284	465.7298566495292	417.83348041383374
4283	463.98709817611143	419.64343605572503
4282	463.3023829934955	421.3555605716464
4281	460.98392996499024	422.9096220782742
4280	458.9378373524105	424.32250008309126
4279	455.93244657847845	425.56211157496745
4278	452.2164288351496	426.6073835744478
4277	450.4681996729896	427.5431058573495
4276	451.00578240823506	428.46321460341704
4275	451.8941425334797	429.3820781522474
4274	453.11683295876264	430.3128563834169
4273	452.4205354315991	431.1798273508684
4272	453.14758552251897	432.0413110819107
4271	452.79181669289846	432.85505913935236
4270	452.2164168183899	433.61433052368375
4269	449.804371734248	434.2492360735395
4268	447.6748285840058	434.7757314694051
4267	447.0365471809291	435.2565491510703
4266	447.61847002930335	435.74133169807305
4265	450.1783861856411	436.30749219676875
4264	452.7939541783653	436.9540217624777
4263	456.0715705746734	437.7037313916022
4262	458.35188729011134	438.51346489713455
4261	460.0860460238973	439.35945037962654
4260	460.48428584489557	440.1878770958019
4259	461.03137437656915	441.005270848586
4258	461.9236861122481	441.825602500596
4257	463.95880189258696	442.69357277309166
4256	465.2525503430452	443.5782401944357
4255	467.46564435527944	444.51500280458094
4254	468.92741823305823	445.47235406179556
4253	470.8920777040912	446.4692076026043
4252	474.96332059481665	447.5866255573843
4251	479.41534857333136	448.83481266150255
4250	487.4838336658595	450.3504627464592
4249	495.3374310844829	452.11466004631455
4248	502.9818480092663	454.1094544069363
4247	509.60878175700236	456.2859014217213
4246	515.8715623241114	458.62259689953527
4245	525.0390197875704	461.22716560161285
4244	536.770505850378	464.18965291916066
4243	548.0944327475354	467.48004005537524
4242	560.0408492918887	471.1098795417056
4241	570.9473616607229	475.02507888801
4240	583.5008882276143	479.2790363388363
4239	603.3171959298743	484.1432824434464
4238	890.101620337351	500.06323157665804
4237	1191.8344481534805	527.1915380145733
4236	1449.8881253693962	563.3757479429249
4235	1714.955540848685	608.5357758335191
4234	1986.5789342113294	662.5767254090888
4233	2261.062209814976	725.2624768236618
4232	2538.132057371149	796.3554518311776
4231	2850.0845638627525	876.8939031081237
4230	3133.305945679611	965.3807076453595
4229	3366.1673842067394	1059.5292638210517
4228	3622.4729569517003	1160.0369202022139
4227	3861.9495140501385	1265.9943381760052
4226	4081.9836037352434	1376.4253512016494
4225	4270.3231806702315	1489.911601251479
4224	4438.082943224708	1605.5262230549374
4223	4618.67356157882	1723.6889220833743
4222	4830.952063154411	1845.5424363612713
4221	5014.754936914804	1969.8253361267343
4220	5210.357061652678	2096.905067248097
4219	5413.86259916069	2226.981887895294
4218	5605.26883070523	2359.463782306483
4217	5775.259402784024	2493.416603725849
4216	5924.722100902309	2627.9776537920216
4215	6051.258813674995	2762.2240218838688
4214	6155.84881963567	2895.307393095876
4213	6226.413593908481	3025.939052016689
4212	6280.748399513221	3153.5786748291794
4211	6326.077215446312	3277.9904202861444
4210	6353.018444487156	3398.579789939664
4209	6362.396349725081	3514.8079230783633
4208	6384.312735573003	3627.337554037376
4207	6405.15962954938	3736.271781415894
4206	6408.693710432468	3841.0726675717274
4205	6408.727474734675	3941.7650371312047
4204	6411.933032575238	4038.6343926360883
4203	6408.395265886851	4131.566212187972
4202	6398.423456424338	4220.462593640558
4201	6418.135512321343	4306.645862989363
4200	6440.11730213782	4390.311426071869
4199	6447.972250506369	4471.0040226648225
4198	6452.109354155029	4548.694441921271
4197	6446.183260164849	4623.105781102153
4196	6420.886768289638	4693.607008097317
4195	6383.62893485104	4759.882388441876
4194	6325.205360480184	4821.267612524935
4193	6256.38065019295	4877.546563540893
4192	6193.946887786464	4929.1701130379415
4191	6179.978600007395	4978.22143298038
4190	6166.683503959037	5024.8277948469395
4189	6144.26854006666	5068.727437472716
4188	6132.699833580948	5110.451850238982
4187	6118.463106274685	5149.981708037054
4186	6121.226176105622	5188.06973066979
4185	6117.417267048739	5224.514736028525
4184	6087.79914073916	5258.369029918688
4183	6053.102850891009	5289.535065217675
4182	6003.808524647837	5317.545791797235
4181	5956.889917317392	5342.618112750162
4180	5905.750141684388	5364.701723678659
4179	5824.556165780552	5382.73523274253
4178	5753.7988461814675	5397.286748181563
4177	5706.065336280015	5409.3957133693575
4176	5654.278467494441	5418.998959351999
4175	5592.136936559924	5425.788684439407
4174	5549.454201907625	5430.638312912377
4173	5512.339071772061	5433.842264454094
4172	5470.787339307179	5435.291091011847
4171	5431.536081841077	5435.1438357411735
4170	5381.474546011341	5433.039157587939
4169	5314.608523887124	5428.3948187472415
4168	5251.278586855966	5421.449083783654
4167	5191.356509044723	5412.425845084775
4166	5131.461530902008	5401.407636129558
4165	5071.623624748179	5388.474929173982
4164	5011.871366661828	5373.706161328821
4163	4945.718742149555	5356.922340217835
4162	4870.235410870184	5337.836577462107
4161	4802.169290008773	5316.83001630213
4160	4731.44775054192	5293.873848106382
4159	4654.97207009593	5268.818875464364
4158	4573.044451339272	5241.533602930473
4157	4485.956159183035	5211.903113897456
4156	4400.5011838081555	5180.083429288487
4155	4323.162906814563	5146.478701825105
4154	4263.38155197139	5111.847439965446
4153	4200.84773725133	5076.121960356132
4152	4122.692835945709	5038.732581850839
4151	4039.4398502066033	4999.544630505303
4150	3935.081175949759	4957.800964510358
4149	3846.4570830264493	4914.218850397135
4148	3769.639642424874	4869.33339015879
4147	3681.333672287292	4822.745164829408
4146	3575.59559644774	4773.837337509759
4145	3446.7619101081946	4721.795162752779
4144	3308.979621956474	4666.390630581862
4143	3205.0658138233994	4609.083773870629
4142	3091.193072912967	4549.558647193132
4141	2993.928579633801	4488.553545372409
4140	2902.795587746492	4426.366957690052
4139	2811.0485604070927	4363.021137103591
4138	2731.7902272785723	4299.051296449727
4137	2664.4924642435653	4234.950949075042
4136	2589.1045635683404	4170.4079525843445
4135	2512.5481610485876	4105.393842163301
4134	2438.173170215123	4040.01263842482
4133	2365.9188832764994	3974.361902044153
4132	2321.7802644833137	3909.554778163511
4131	2278.4443400513483	3845.5896621477627
4130	2232.6403348241	3782.3367465948068
4129	2184.504648621696	3719.6766636018538
4128	2137.42543992211	3657.6275953220293
4127	2091.3790698170633	3596.206083866869
4126	2059.3695122830613	3535.9379824066787
4125	2040.773432940383	3477.304077932332
4124	2018.7050609830912	3420.1041159456136
4123	1983.5638879280086	3363.7692045341346
4122	1952.2481785456548	3308.415438328737
4121	1901.8023588292563	3253.254140633546
4120	1862.436013658582	3198.712252864275
4119	1827.1509095892834	3144.9255331061845
4118	1786.008981648265	3091.6346875569
4117	1745.8122941389665	3038.8573384204424
4116	1700.025108230162	2986.354113348704
4115	1648.9261846545924	2933.9059589382896
4114	1570.6381213575733	2880.444474774721
4113	1494.4498920026308	2826.091745709502
4112	1412.4891299463998	2770.6563486904574
4111	1332.226712821619	2714.2473430470195
4110	1246.4620545323705	2656.687135345221
4109	1162.0043381835712	2598.072123389435
4108	1102.2870077589905	2539.413883270046
4107	1044.066808922289	2480.7728212516577
4106	987.3058160816363	2422.205487447606
4105	924.8020802452884	2363.483784946236
4104	867.2718284244402	2304.8088060112855
4103	807.3532683697485	2246.085059198807
4102	740.6269715508824	2187.047486904003
4101	701.9604205359137	2128.80877820082
4100	661.4343112910065	2071.264681252154
4099	619.1545494373495	2014.3191856899543
4098	588.2504308764401	1958.3949206095085
4097	577.9898598851069	1904.2613886435988
4096	561.3822863160531	1851.5994629006202
4095	538.7257617246796	1800.1142195655443
4094	536.3625581772721	1750.5553307433486
4093	530.5707773585673	1702.7127991079308
4092	531.2802720059044	1656.7742685132882
4091	505.6258755582894	1611.6311941664112
4090	484.13458483162685	1567.4156407524995
4089	466.62777755619027	1524.2474891545503
4088	459.44658044901007	1482.4905906809527
4087	449.0965618146947	1441.9653345602753
4086	435.72760072234814	1402.5050311913965
4085	448.79591258125583	1365.1046735249743
4084	474.0618702560314	1330.1618184285123
4083	520.7266823730315	1298.4192640155231
4082	555.221851861279	1269.274267409402
4081	600.8822333954231	1243.0628150510147
4080	689.7434417986588	1221.3640160648552
4079	735.1112579070905	1202.2952804212005
4078	774.7705440633872	1185.5296044605745
4077	818.7314803596091	1171.1453642791237
4076	857.0044584542993	1158.8261130533326
4075	883.3151739074965	1148.0217624842908
4074	930.7639099795342	1139.5018466889537
4073	975.5641296549293	1133.0729166013316
4072	1027.583823965957	1128.9360894343029
