	macd	trigger
4866		
4865		
4864		
4863		
4862		
4861		
4860		
4859		
4858		
4857		
4856		
4855		
4854		
4853		
4852		
4851		
4850		
4849		
4848		
4847		
4846		
4845		
4844		
4843		
4842		
4841		
4840		
4839		
4838		
4837		
4836		
4835		
4834		
4833		
4832		
4831		
4830		
4829		
4828		
4827		
4826		
4825		
4824		
4823		
4822		
4821		
4820		
4819		
4818		
4817		
4816		
4815		
4814		
4813		
4812		
4811		
4810		
4809		
4808		
4807		
4806		
4805		
4804		
4803		
4802		
4801		
4800		
4799		
4798		
4797		
4796		
4795		
4794		
4793		
4792		
4791		
4790		
4789		
4788		
4787		
4786		
4785		
4784		
4783		
4782		
4781		
4780		
4779		
4778		
4777		
4776		
4775		
4774		
4773		
4772		
4771		
4770		
4769		
4768	0.8615137459079563	
4767	0.8515448967062014	
4766	0.841615531830513	
4765	0.8263184999309487	
4764	0.8167516531599404	
4763	0.7963421475726307	
4762	0.7764943253930596	
4761	0.7517215454944335	
4760	0.7277373213974272	
4759	0.7045150919807099	
4758	0.6710062489983386	
4757	0.6387345253192507	
4756	0.6131953711030462	
4755	0.6107555008314023	
4754	0.6192514211210209	
4753	0.6326129595695988	
4752	0.6450263915042456	
4751	0.6481219086053045	
4750	0.6423148592580219	
4749	0.6308206803921053	
4748	0.6167196666023358	
4747	0.5944773538125503	
4746	0.5701336978101494	
4745	0.5523131115909337	
4744	0.5321933171227613	
4743	0.4785085101382265	
4742	0.38705509286555184	
4741	0.296779202559577	
4740	0.21914221435017112	
4739	0.150737141369774	
4738	0.08541838754027253	
4737	0.028847385514296775	
4736	-0.025126195932699602	
4735	-0.06790433581346633	
4734	-0.11157805855700076	
4733	-0.15318240308701547	
4732	-0.17822687987259656	
4731	-0.18743650053366423	
4730	-0.17274030096189108	
4729	-0.15863216426308213	
4728	-0.1274920256435621	
4727	-0.10653218326154956	
4726	-0.06587961751651505	
4725	-0.015268304525420717	
4724	0.033029009815209065	
4723	0.07909488047690161	
4722	0.11708579045449596	
4721	0.15327653455301515	
4720	0.20555549190163447	0.2028164160271443
4719	0.24343639777376325	0.20465860287627016
4718	0.2794598254131131	0.20803027967917967
4717	0.3077257696660638	0.21249789164153238
4716	0.31661536574057436	0.21713769563117866
4715	0.3189534961707352	0.22165079606596239
4714	0.33899929586505095	0.22682595359847738
4713	0.35495646179822415	0.23244913621245225
4712	0.35498318365523573	0.23780171032185882
4711	0.35482810131517795	0.24289096515436945
4710	0.3364274672754277	0.24694138441594168
4709	0.3367907851529708	0.2508163024648784
4708	0.3430053938056119	0.2547766345568682
4707	0.3245747902826679	0.2577638974368609
4706	0.3189280061955344	0.26037228962547754
4705	0.30125359596718226	0.26210974586413827
4704	0.2720946498899366	0.26253271528914957
4703	0.2502022030287492	0.26201202149906233
4702	0.22918027570597133	0.26062976398867926
4701	0.31860984785112123	0.2630637744560824
4700	0.28187712149804156	0.2638513836015204
4699	0.24667439790914614	0.26313417936827005
4698	0.19462120889397738	0.26028074557489816
4697	0.12649195011789516	0.2547222194218486
4696	0.049156403716779096	0.24620143657588897
4695	-0.02468240680363465	0.23499823195343017
4694	-0.09514645236916408	0.2213733079119409
4693	-0.15007179513813185	0.20607535397050294
4692	-0.19012604474761474	0.18978988348051343
4691	-0.2251834921586351	0.17276495801544797
4690	-0.2616097352308202	0.15497627630380648
4689	-0.30240919657117615	0.1362777220208039
4688	-0.34736783200656873	0.11653849881091376
4687	-0.39936710538773923	0.09551622076428627
4686	-0.45806850956486755	0.0729931015735837
4685	-0.5200519710720641	0.04889992423384101
4684	-0.5913342431203432	0.022926269147885172
4683	-0.6776641088572433	-0.005457564574037024
4682	-0.7597204641801341	-0.035976267790339286
4681	-0.8935267044737145	-0.07063097501379507
4680	-1.0207899655568156	-0.10898225965540607
4679	-1.116871292608863	-0.14961708142145913
4678	-1.1644517200086	-0.1904869267389677
4677	-1.2217273869464407	-0.2319736338292067
4676	-1.2539594671054317	-0.2730463713521005
4675	-1.2809649891851222	-0.31351436555537954
4674	-1.3060862196291225	-0.35332898447222466
4673	-1.3293958673127975	-0.3924464621329558
4672	-1.2384519164041308	-0.4263223497455914
4671	-1.2635994673798336	-0.4598210500180323
4670	-1.2900854290301424	-0.493012842281603
4669	-1.3115737059602282	-0.5257118521585931
4668	-1.3251443292108434	-0.5576234055710227
4667	-1.3436901064516746	-0.588979412928293
4666	-1.3858076167159084	-0.6207432829887051
4665	-1.3876183737684187	-0.6512933636519395
4664	-1.3572140828725026	-0.6793977343639155
4663	-1.327495067537427	-0.7051846331417891
4662	-1.2984452982392156	-0.7287761401694111
4661	-1.307822423876587	-0.7517897394676791
4660	-1.2783058109927197	-0.7727045304967639
4659	-1.2494741279149082	-0.7916336402351182
4658	-1.2528434133580788	-0.8099360644734749
4657	-1.223865345945029	-0.8263545516705051
4656	-1.2271429114928196	-0.842244665809015
4655	-1.2296404294184526	-0.8575971777738722
4654	-1.1997904516130404	-0.8711526961239803
4653	-1.1675184615683065	-0.8828881503594264
4652	-1.1392763237433883	-0.8930366982916198
4651	-1.1275570678669453	-0.9023162523510028
4650	-1.14428987891597	-0.9118873443855879
4649	-1.159672922676748	-0.921685006568105
4648	-1.1547412793381682	-0.9308972630519561
4647	-1.1494392123124726	-0.9395330994579274
4646	-1.1691677544243078	-0.9486045503192829
4645	-1.1873970832949965	-0.9580350550929456
4644	-1.1851323548724224	-0.9670012047240183
4643	-1.1950678900708454	-0.9760032340199648
4642	-1.2039357899877814	-0.9849976723250583
4641	-1.2244989006236722	-0.9944463040528784
4640	-1.2434957744839892	-1.0042693119135964
4639	-1.2737173444257905	-1.014894475186575
4638	-1.327377534671399	-1.0272139636509119
4637	-1.4416127629867788	-1.0435480184496364
4636	-1.5307924034297002	-1.0627495229899302
4635	-1.6342518568609137	-1.0852671568618264
4634	-1.7640502243484093	-1.1120067854364768
4633	-1.9444535590005216	-1.144793933040071
4632	-2.083738673435221	-1.1817693454662133
4631	-2.2539204528985977	-1.2239834658372348
4630	-2.351332005347331	-1.2683638962268289
4629	-2.4750439525384706	-1.3158601864339092
4628	-2.5918512977967225	-1.366077334314563
4627	-2.6636476409044008	-1.417136606205381
4626	-2.73719801739594	-1.469073929882595
4625	-2.7995914513269895	-1.5214158963116697
4624	-2.851300853424675	-1.573726498325044
4623	-2.9696022949312066	-1.628626296184593
4622	-3.055373523948191	-1.6847338535174148
4621	-3.1484749867248354	-1.742289894102542
4620	-3.2485286613315907	-1.801510744239253
4619	-3.3808073990413163	-1.8635977215195467
4618	-3.5854604516098902	-1.9312828163961369
4617	-3.8719380161128356	-2.0075613391407483
4616	-4.136965376759463	-2.0912512182360192
4615	-4.387795572888052	-2.1815022576703154
4614	-4.6056892714942705	-2.276761577471874
4613	-4.798446608271604	-2.3758442226542904
4612	-5.024902866310413	-2.4799236946551684
4611	-5.158163512670598	-2.5851419344527464
4610	-5.279478712815916	-2.6909850867043574
4609	-5.341128860586792	-2.795085114109008
4608	-5.287930996877861	-2.8929999538883218
4607	-5.285853391039836	-2.9869813687568967
4606	-5.248977698861637	-3.0758179090698015
4605	-5.1853314720094374	-3.158661125096523
4604	-5.160500878913837	-3.237271489794097
4603	-5.0182878742852495	-3.307206595757518
4602	-4.995812553271804	-3.373509624968908
4601	-4.984648818002569	-3.43676780915249
4600	-4.971410765246986	-3.497019668634365
4599	-4.956199431850564	-3.554306150870133
4598	-4.823150090814465	-3.604117991968221
4597	-4.809642437452823	-3.6514420717654508
4596	-4.852261097364476	-3.6985795347897468
4595	-4.851748047469272	-3.743844750606974
4594	-4.842296073981629	-3.786960552927718
4593	-4.817866963642956	-3.827423672854001
4592	-4.785602330892658	-3.865030933407625
4591	-4.636208484121056	-3.8952976457759747
4590	-4.6138006179649835	-3.9234961237628974
4589	-4.590020262469579	-3.9496538355138617
4588	-4.584304942517065	-3.9745599624356727
4587	-4.460275399767681	-3.9936207503166545
4586	-4.417056181282106	-4.010237053286864
4585	-4.360598371176081	-4.023985450940054
4584	-4.304448820658166	-4.034990734832943
4583	-4.235703468458524	-4.042866443125893
4582	-4.154969371310756	-4.04726511589705
4581	-4.095139667537836	-4.049143566643233
4580	-4.061758833597224	-4.049638540554213
4579	-4.027790047472905	-4.04878130833548
4578	-4.012670514243041	-4.0473645182239935
4577	-3.983226341813861	-4.04484813430355
4576	-3.9595214904130103	-4.0415005070550745
4575	-3.92837372825133	-4.037062272031514
4574	-3.8966050176099714	-4.031551888957898
4573	-3.844853979958401	-4.024227521967178
4572	-3.780524373987106	-4.014666923435741
4571	-3.736572339185102	-4.003757293065466
4570	-3.6991527830214466	-3.991807850403414
4569	-3.67446025737118	-3.979358674975329
4568	-3.6133843183902172	-3.9650021171348273
4567	-3.634131341036465	-3.952022777585293
4566	-3.645571807066858	-3.9400015196693317
4565	-3.638410409086106	-3.928171039082384
4564	-3.626447447317844	-3.9163354942444664
4563	-3.613145546284983	-3.904442557451947
4562	-3.605049538303291	-3.892698680516704
4561	-3.6213602344643334	-3.8820553673502594
4560	-3.6123722296738094	-3.8714770850013713
4559	-3.5954377008417566	-3.8606495790865263
4558	-3.574166514859513	-3.849412524080583
4557	-3.5552471735972233	-3.837874235587422
4556	-3.5385826144801342	-3.82613497065605
4555	-3.520838247967305	-3.814160258190529
4554	-3.515036685178785	-3.8024277644499156
4553	-3.5076725593904996	-3.790866694153666
4552	-3.505304102674387	-3.779666259830976
4551	-3.4817699792935173	-3.7679821471025847
4550	-3.4639825859864573	-3.756058727269323
4549	-3.441962394940475	-3.743739369284077
4548	-3.4288843700671237	-3.731390328097978
4547	-3.4016475312988916	-3.71845744062149
4546	-3.3673965353774804	-3.7046885077422087
4545	-3.300519932077208	-3.68883672600653
4544	-3.2284865795395206	-3.670781553573822
4543	-3.1450803029800625	-3.650163376487544
4542	-3.0573501695218965	-3.626913154246626
4541	-2.9655383098431685	-3.60097405013352
4540	-2.876367428650184	-3.572555119224608
4539	-2.802743405694457	-3.542363377761487
4538	-2.731016329968071	-3.5105427612109983
4537	-2.5443025587357226	-3.472647458399187
4536	-2.5010888481375844	-3.4345437103576297
4535	-2.491001616469788	-3.3975388774719164
4534	-2.447618033979836	-3.3602840016742483
4533	-2.4276618291749514	-3.3237076797014975
4532	-2.3456698340349647	-3.2853503289638746
4531	-2.27268703492706	-3.2456351327298365
4530	-2.182366632996036	-3.2039353930327863
4529	-1.9781339611709825	-3.155861496827794
4528	-1.9412916122284116	-3.1082282096138414
4527	-1.8823864808492488	-3.0601529830987806
4526	-1.8186911405258286	-3.011465284077384
4525	-1.7699431035211148	-2.9627753332751356
4524	-1.7354872823292453	-2.914643724612122
4523	-1.682210164406058	-2.866310425069751
4522	-1.6304856441890934	-2.8178442305382427
4521	-1.5802698811746154	-2.7693095192748403
4520	-1.5315202478298886	-2.7207664727850025
4519	-1.4906927516628627	-2.6725261004523424
4518	-1.4509501536968514	-2.6246190744664926
4517	-1.4057656245207966	-2.576818899372576
4516	-1.3456628383777627	-2.5285363279997313
4515	-1.303845489978329	-2.4805073807198714
4514	-1.2632553772016877	-2.432770236040132
4513	-1.2173584730210507	-2.385105329720704
4512	-1.1794192357889983	-2.3378219019243605
4511	-1.1555947813101568	-2.291458527692662
4510	-1.1192546262779217	-2.245488293173274
4509	-1.0839881553137616	-2.199937883868461
4508	-0.932754917953531	-2.1502429832068963
4507	-1.0089560186294193	-2.105485376047949
4506	-1.0714073919843372	-2.0649322051977683
4505	-1.1402066647186473	-2.02866751938914
4504	-1.0882493024298867	-1.991787456020126
4503	-1.1616269470442262	-1.9592313636862106
4502	-1.2310555034086974	-1.9306747917198663
4501	-1.1796390132304282	-1.9012217583111628
4500	-1.246995668851639	-1.8755652892767252
4499	-1.3106331215209366	-1.8534106353261837
4498	-1.390196300516692	-1.8352450117693322
4497	-1.452403163933127	-1.8202313236572858
4496	-1.5240250575051846	-1.8086151817893823
4495	-1.5720785772014665	-1.7993390754975158
4494	-1.6106196702240823	-1.7919381910802452
4493	-1.64006163393654	-1.7859821522279926
4492	-1.6673077211316638	-1.781328181322141
4491	-1.6794353480831887	-1.777332324836997
4490	-1.6706225218947282	-1.7731475672124575
4489	-1.6548369702447019	-1.7685078726094217
4488	-1.6324045569270993	-1.7631704176621346
4487	-1.61664964413049	-1.7574244325528041
4486	-1.5747506656261407	-1.7502606686679074
4485	-1.5339415928482936	-1.741777468955543
4484	-1.4909412729145117	-1.7319406454246054
4483	-1.4491246989209685	-1.7208497048752252
4482	-1.4084596856085625	-1.7085989894701703
4481	-1.372167869664878	-1.6954054814190265
4480	-1.3368158467202704	-1.6813430088517833
4479	-1.3023791850079078	-1.6664815464156417
4478	-1.2688340898894808	-1.6508873913929436
4477	-1.2491703769630647	-1.635133649893243
4476	-1.2167392454421986	-1.618725893009264
4475	-1.1916596249699012	-1.6019780656140676
4474	-1.1540888708887849	-1.5844136518620906
4473	-1.1176297734995728	-1.5661082699511815
4472	-1.0789970612727018	-1.5470057374860273
4471	-1.0513244659005352	-1.5275671270705613
4470	-1.0243658299591232	-1.5078336168761837
4469	-1.0046101874279145	-1.4880992436826728
4468	-0.9852319262543006	-1.4683788404961333
4467	-0.9922550494974018	-1.449707213548813
4466	-0.9854254378462031	-1.4314999860311675
4465	-0.9914099506129048	-1.4142414630547364
4464	-0.9835890542165657	-1.3973530484780734
4463	-0.9886288612200644	-1.3813245716351434
4462	-0.8757739719290498	-1.3614989660077499
4461	-0.8717427685569703	-1.3422927550675052
4460	-0.8479156647828177	-1.3229053352229772
4459	-0.824733150929319	-1.3033690908042261
4458	-0.7891604301193524	-1.2832039656241012
4457	-0.7547983647047829	-1.2624820987005498
4456	-0.7151007272045717	-1.2410160842819151
4455	-0.55967785073247	-1.2142968442505182
4454	-0.5542496415060896	-1.1884125530856469
4453	-0.43161440516738026	-1.1587340983535472
4452	-0.43151255299696345	-1.1302155177572066
4451	-0.41817180268873244	-1.1022921514442237
4450	-0.4052214252798194	-1.0749559661204333
4449	-0.41217903259314426	-1.0489646421915
4448	-0.405585469477046	-1.0237340195885214
4447	-0.399081233777423	-0.9992377695877568
4446	-0.38615584545391357	-0.9751952824216135
4445	-0.3801284440739039	-0.9518592731716962
4444	-0.36441289565405555	-0.9288221083464869
4443	-0.3589890259935373	-0.9064756645146348
4442	-0.35362542689583165	-0.8847952178809602
4441	-0.34181197728520374	-0.8635017148522938
4440	-0.32384881248424335	-0.8423388152449743
4439	-0.3000255909097689	-0.8210715906890002
4438	-0.2771321939360405	-0.7997405960931805
4437	-0.2486277183136849	-0.7781282895209295
4436	-0.2212932686798581	-0.7562915862592113
4435	-0.19508974424934422	-0.7342836362419982
4434	-0.1634686070461555	-0.7118986992804311
4433	-0.14622534235641638	-0.6897153981462854
4432	-0.012498509065835606	-0.6631578360061763
4431	0.023986679138289446	-0.6362109561287069
4430	0.08483942988041804	-0.6079344339604208
4429	0.14938453041835942	-0.5782356142691271
4428	0.3281067454044546	-0.5426927343499157
4427	0.40084421547157945	-0.5056912430433459
4426	0.4700566163686801	-0.4674265790830162
4425	0.5098240302755528	-0.42910298533799984
4424	0.6647142409495359	-0.3862081486650131
4423	0.6754602437430606	-0.3445740535088111
4422	0.7114095851208049	-0.30316289167222976
4421	0.7453492800162564	-0.262044730322391
4420	0.7903760462719163	-0.22077329166618523
4419	0.9501440137124177	-0.17485492785384982
4418	0.984926046905656	-0.1293732847321335
4417	1.0241206646408614	-0.08413819323676217
4416	1.0609947327804434	-0.03923098661071187
4415	1.0760999906094355	0.004507514018039238
4414	1.096467568462856	0.04732950603541846
4413	1.1348703666726578	0.0899781950806134
4412	1.2881423146867519	0.13696505277344573
4411	1.3360782959843505	0.18398912986642574
4410	1.3811326210743857	0.23093596062673455
4409	1.429925052451921	0.27795516685607996
4408	1.4757478730595892	0.3249274549513495
4407	1.5122006648701927	0.3714872125841172
4406	1.5592275122776016	0.4180652865343215
4405	1.6293458815985673	0.46556650885897
4404	1.7051864514342867	0.5141790777679494
4403	1.8938980767182159	0.5682857288550264
4402	1.9655691189452398	0.6230811789557307
4401	2.032948310587585	0.6783701084127703
4400	2.1092205659444687	0.734481912838811
4399	2.2069651427020744	0.7922263747581224
4398	2.3056155171562978	0.8515749898404827
4397	2.418103545682243	0.9130075033727417
4396	2.5111783052395538	0.9756808888792559
4395	2.5987010133319757	1.0393287571212366
4394	2.700416263585538	1.1044694635361185
4393	2.7928307001058954	1.1706797275281966
4392	2.8763202122045186	1.237567608522447
4391	2.944735764535892	1.3045153974735868
4390	3.0117538767835015	1.3714659434909098
4389	3.074147106265997	1.4382377704850624
4388	3.1190687735081326	1.5041527276090807
4387	3.1733421850663603	1.569611152808362
4386	3.230000152627241	1.634724461353048
4385	3.275879270745577	1.6990834871935352
4384	3.337497515161431	1.7633350308499858
4383	3.394567315218609	1.8273049369315673
4382	3.444009983344131	1.8907051468062022
4381	3.476378473737043	1.9528884258145722
4380	3.5152288264039555	2.0141566875015435
4379	3.5309380229171836	2.073638318463421
4378	3.550603910540559	2.1315585470836282
4377	3.5870613885829528	2.188637098714811
4376	3.6199875456166524	2.244768497129778
4375	3.6365006160037296	2.2993462350732083
4374	3.653622371660788	2.352455110459172
4373	3.677828989685935	2.404430563552817
4372	3.699015550252028	2.4551986086748805
4371	3.7173087092546666	2.504693128444083
4370	3.7328308555755143	2.5528553978823063
4369	3.76523899814984	2.600399858133778
4368	3.7942075720506807	2.6472158519658837
4367	3.819878306210427	2.6932026196444467
4366	3.809823337071151	2.7369916717478584
4365	3.7787027099572015	2.7778430889200294
4364	3.7535450913272825	2.8161059160616193
4363	3.7406047367468034	2.8523607749772197
4362	3.7263053017419168	2.8866331122687665
4361	3.723742299329956	2.919460926202836
4360	3.7030731812890565	2.9501908209666006
4359	3.6716473107489094	2.9784832344601764
4358	3.665793503637019	3.005436580298677
4357	3.6713226842513222	3.0315497626602363
4356	3.7072523439763074	3.058047904872946
4355	3.726585770088178	3.0842650777394085
4354	3.75286558404909	3.110484707053587
4353	3.7662219068305376	3.136199892881095
4352	3.7802633538737496	3.1614572849450386
4351	3.8144909269085474	3.1870664487746425
4350	3.845170245283043	3.2128744421497943
4349	3.8659338958318585	3.238484618096081
4348	3.870709934834764	3.2632777689739223
4347	3.883021124153231	3.2875814310932334
4346	3.9025174934541838	3.311696571872727
4345	3.919091403675793	3.335515978065508
4344	3.913327672513958	3.3581752611366973
4343	3.899274320258513	3.3793948329247665
4342	3.893599843614936	3.3995597360736505
4341	3.882898579623941	3.418514201220985
4340	3.890201869663372	3.437011757497246
4339	3.9016583724251177	3.45523319399297
4338	3.9073027682154873	3.4729614131659408
4337	3.8911137787094106	3.489359545659937
4336	3.8964320596988955	3.505323174140258
4335	3.8864507840656586	3.520269355352344
4334	3.8748994542150967	3.534176418437882
4333	3.868369046915774	3.5472820120601436
4332	3.8601206590408594	3.559550194608227
4331	3.837210143717641	3.570438820330872
4330	3.7872911614522877	3.5789428339088127
4329	3.7767552108603013	3.5867001822003943
4328	3.7647316486846307	3.593681808489079
4327	3.7578079880521216	3.6001181293909323
4326	3.749241880479815	3.6059661197472783
4325	3.7456261124658283	3.6114429823126164
4324	3.7337099735520667	3.6162377663717717
4323	3.700851228902849	3.6195559414321536
4322	3.6871026180516537	3.622204830756728
4321	3.6655461244724563	3.6239044893617898
4320	3.6300355112307727	3.6241449215957484
4319	3.5942524749461597	3.62297266876815
4318	3.5582280823649057	3.620433665342724
4317	3.528505599414018	3.6168286430988803
4316	3.478759192718684	3.6114141547757153
4315	3.449008791736645	3.6050453169270216
4314	3.4123041435129835	3.5974868394442154
4313	3.3624679403289406	3.588270411917782
4312	3.2936113672238037	3.5767151551304326
4311	3.2131510682116584	3.562457739799856
4310	3.137941872147792	3.5458100585390024
4309	3.0742970789854382	3.5273193532701623
4308	2.9989251720566585	3.5065980126276672
4307	2.954738184614712	3.4849564505413566
4306	2.901255937831138	3.4620662341498933
4305	2.861727572174118	3.4385235413190887
4304	2.815996764294482	3.414110726330264
4303	2.764370146835347	3.3886307034008603
4302	2.7071434436439574	3.3619057126164673
4301	2.667399330926969	3.334670168035087
4300	2.5987663223083075	3.3058111934878247
4299	2.55796286407994	3.2764838078206564
4298	2.5209437480936288	3.246854785676257
4297	2.46801493207613	3.216312046126932
4296	2.416213405245628	3.1849356286475117
4295	2.385055568552474	3.1535677829711304
4294	2.347561968038775	3.1219597116206668
4293	2.3366090776304986	3.0911616473772523
4292	2.334708425750108	3.0614968150035424
4291	2.3121369770111926	3.0321101545444598
4290	2.3121875372686986	3.0038778949090017
4289	2.2947468578693133	2.9760688345056967
4288	2.2541079245691265	2.9477566418347037
4287	2.2141473718802445	2.918987650734588
4286	2.1813687276064115	2.890061418337669
4285	2.1489479673110736	2.8609981456350773
4284	2.1103720238925234	2.831561827025102
4283	2.095253058084097	2.802686973237219
4282	2.0634475094000493	2.7736971902413994
4281	2.025503270100387	2.744356252099174
4280	1.9947473230830326	2.7149598234164714
4279	1.964354279235323	2.685524311789681
4278	1.9343234290762439	2.656065453557253
4277	1.9046539067442154	2.6265983339909664
4276	1.8818583650089522	2.59739284493184
4275	1.8688920915577398	2.5688241878621176
4274	1.855543158292022	2.540852382710704
4273	1.8646338337077566	2.5143340081760277
4272	1.8527973153137793	2.4883913927095356
4271	1.8861307764313437	2.464773329273482
4270	1.9104478081355865	2.4430350734960737
4269	1.9098626384679562	2.4221263505108133
4268	1.924593144581877	2.402615244357418
4267	1.9181080174635383	2.38361496091376
4266	1.9109190655019574	2.365077866942246
4265	1.903062126566681	2.346959602582055
4264	1.8750306601361046	2.328452585200086
4263	1.9645468465810438	2.3141817718978324
4262	1.82097812431428	2.2948404523547037
4261	1.7025478297473455	2.2716132906491566
4260	1.7058770498583158	2.2494275556843655
4259	1.6560558734097697	2.226158077916044
4258	1.5229651668196311	2.1985818852875214
4257	1.4146904472680149	2.167841044541774
4256	1.4278623292083807	2.1388222713559824
4255	1.270332951078018	2.1047638665992108
4254	1.1323518245304172	2.066630060984868
4253	1.0130995238152707	2.02531513791383
4252	0.8987567840259203	1.9811363788918286
4251	0.782645607795871	1.9341367407626109
4250	0.6649071338040642	1.8843630306379593
4249	0.5391631870866433	1.8316100955480101
4248	0.41235803942512916	1.7759531521212548
4247	0.29763361382899234	1.717979836844682
4246	0.18798512528553601	1.6579800441853723
4245	0.05066960397621756	1.59494826216678
4244	-0.07389747702885074	1.5295033311684467
4243	-0.1666912816862407	1.4629858953219
4242	-0.2551671480976836	1.3956073445525337
4241	-0.36553080793996173	1.3265431032320023
4240	-0.4446168296701387	1.2570858509165772
4239	-0.5198651124619857	1.187401499368397
4238	-0.5914114317187114	1.1176441294803536
4237	-0.6919560203675132	1.0466794176810608
4236	-0.7615005635526302	0.9757703987702192
4235	-0.8274772967846218	0.9050548028288046
4234	-0.8900145190918067	0.8346599274236909
4233	-0.9785483417149408	0.7635537207561782
4232	-1.06253540414275	0.6919423824913441
4231	-1.155166759339636	0.6195067298379611
4230	-1.226688103409174	0.5471069324244526
4229	-1.32687785829404	0.47361733275793944
4228	-1.389239093550259	0.4005641395402586
4227	-1.4545466913065468	0.3278146951654594
4226	-1.5096047630832743	0.2557590301095798
4225	-1.444118078410554	0.1890971826930629
4224	-1.5111400039168075	0.1224212145680641
4223	-1.5743185011783112	0.05588240216413541
4222	-1.6337958946938045	-0.010379491851072965
4221	-1.676682424763186	-0.07572470492613824
4220	-1.7102259902330843	-0.13982279456457367
