	macd	trigger
4695		
4694		
4693		
4692		
4691		
4690		
4689		
4688		
4687		
4686		
4685		
4684		
4683		
4682		
4681		
4680		
4679		
4678		
4677		
4676		
4675		
4674		
4673		
4672		
4671		
4670		
4669		
4668		
4667		
4666		
4665		
4664		
4663		
4662		
4661		
4660		
4659		
4658		
4657		
4656		
4655		
4654		
4653		
4652		
4651		
4650		
4649		
4648		
4647		
4646		
4645		
4644		
4643		
4642		
4641		
4640		
4639		
4638		
4637		
4636		
4635		
4634		
4633		
4632		
4631		
4630		
4629		
4628		
4627		
4626		
4625		
4624		
4623		
4622		
4621		
4620		
4619		
4618		
4617		
4616		
4615		
4614		
4613		
4612		
4611		
4610		
4609		
4608		
4607		
4606		
4605		
4604		
4603		
4602		
4601		
4600		
4599		
4598		
4597	0.6384107785947322	
4596	0.6275425915882806	
4595	0.6168719569964765	
4594	0.6118040792299837	
4593	0.6120888589165929	
4592	0.6093266284271692	
4591	0.581839046863422	
4590	0.555357275040933	
4589	0.5298453881393925	
4588	0.5052688508075676	
4587	0.4760829274511309	
4586	0.4535552814319317	
4585	0.4263175529751777	
4584	0.4056958151356582	
4583	0.380269285637695	
4582	0.2721474389737466	
4581	0.1689515925803846	
4580	0.05928646445400432	
4579	-0.045283536706250516	
4578	-0.13931717200125604	
4577	-0.22325048024575267	
4576	-0.2861904971258866	
4575	-0.3517241360381149	
4574	-0.4140315328280053	
4573	-0.46754081735406317	
4572	-0.5183286451254219	
4571	-0.5722140509738836	
4570	-0.617583493378504	
4569	-0.6662778866930239	
4568	-0.7181315950560929	
4567	-0.7614609825237153	
4566	-0.8081747642589221	
4565	-0.8523212457390343	
4564	-0.8939979097956723	
4563	-0.9216879152698141	
4562	-0.9476338463765615	
4561	-0.971903614088319	
4560	-0.9945627299321416	
4559	-1.0156743939857336	
4558	-1.0118726180471356	
4557	-1.0018651551730215	
4556	-0.9624268100898803	
4555	-0.9301965416386224	
4554	-0.8871820431847652	
4553	-0.8515950953919571	
4552	-0.8172074270551093	
4551	-0.7780575408262393	
4550	-0.7284415258520482	
4549	-0.6807278725133585	-0.5593269951538126
4548	-0.6348528650465255	-0.5627522247650182
4547	-0.5967135510679498	-0.5642830368588344
4546	-0.5719504425889568	-0.5646266330793316
4545	-0.548029226989712	-0.563887000163159
4544	-0.500987093689389	-0.5610988907169798
4543	-0.4558405728479329	-0.5564569193452752
4542	-0.4185257028786964	-0.5504036192432405
4541	-0.38270271690294067	-0.5430780511523803
4540	-0.3543374665859744	-0.5348700826425226
4539	-0.3150390905275344	-0.5253507221301882
4538	-0.2653109990077098	-0.5141360383559811
4537	-0.21771750723260652	-0.501402256035364
4536	-0.1903251854501491	-0.48808859500645835
4535	-0.16408563023671263	-0.47427123022266765
4534	-0.15108213214347188	-0.46053568786912
