	macd	trigger
490		
489		
488		
487		
486		
485		
484		
483		
482		
481		
480		
479		
478		
477		
476		
475		
474		
473		
472		
471		
470		
469		
468		
467		
466		
465		
464		
463		
462		
461		
460		
459		
458		
457		
456		
455		
454		
453		
452		
451		
450		
449		
448		
447		
446		
445		
444		
443		
442		
441		
440		
439		
438		
437		
436		
435		
434		
433		
432		
431		
430		
429		
428		
427		
426		
425		
424		
423		
422		
421		
420		
419		
418		
417		
416		
415		
414		
413		
412		
411		
410		
409		
408		
407		
406		
405		
404		
403		
402		
401		
400		
399		
398		
397		
396		
395		
394		
393		
392	0.10377912527526689	
391	0.11538512288606739	
390	0.12907405439409558	
389	0.14204316422255658	
388	0.14618407119853316	
387	0.17453157202332648	
386	0.19598888750329024	
385	0.21085949330291953	
384	0.22765979882065324	
383	0.24904695382572584	
382	0.2692972610212365	
381	0.2815486641948439	
380	0.2806164380966436	
379	0.2740321101797605	
378	0.27040040173466195	
377	0.25982672827217357	
376	0.2594033419888717	
375	0.25886768236692603	
374	0.263843953437771	
373	0.2656379495786467	
372	0.2728571210584789	
371	0.2937422166943833	
370	0.3050027804256956	
369	0.3184250920292442	
368	0.32821552390818454	
367	0.35164658907520163	
366	0.3680957616090694	
365	0.38359564077011044	
364	0.4010527025170063	
363	0.4146228848853468	
362	0.42447403236349146	
361	0.43076791345703214	
360	0.4206464324341823	
359	0.40063752135688446	
358	0.38134787724219166	
357	0.37147752229635955	
356	0.36478634511283303	
355	0.35821796623990565	
354	0.35615495157702526	
353	0.3540059629538064	
352	0.3532426423003443	
351	0.34058227068668145	
350	0.3401022462344798	
349	0.3601057975779298	
348	0.3790088068495834	
347	0.39980958467647554	
346	0.42241548312306065	
345	0.42300790322290993	
344	0.43821132386098327	0.3478787891826602
343	0.44952098023280485	0.35248843939956365
342	0.472001930509208	0.3578755287002852
341	0.49321439460364047	0.3639404122407606
340	0.5191815962499078	0.37085845045822524
339	0.5496815212419079	0.3787849851829574
338	0.5904922422289474	0.38812143522591014
337	0.6291376882614657	0.39869876316128455
336	0.6536808786791539	0.40983697901529
335	0.6647380581260194	0.420922141410416
334	0.6568800275089188	0.43113984621122525
333	0.6188878937224871	0.4392368206149086
332	0.60647191009636	0.4464210382066872
331	0.6124540238387794	0.4535270164331258
330	0.6057431540397857	0.46001839499438546
329	0.5899378328103779	0.4655399733869628
328	0.5760699521622001	0.47022212170288846
327	0.5640598170313496	0.4741847068900868
326	0.5507891412028698	0.4774098492667609
325	0.5515439076659305	0.48052200540925216
324	0.5519831536966393	0.4835136822123812
323	0.552120982959309	0.4863782969596253
322	0.5519710052093814	0.4891101074332183
321	0.5224955062084433	0.49049717136176463
320	0.513993626936383	0.4914711085648661
319	0.5025523432369567	0.49192940588504613
318	0.47910581177312395	0.4914001818689989
317	0.46876423461404215	0.4904679211508371
316	0.4648011717976459	0.48941291455439967
315	0.4607811684825265	0.4882382528256622
314	0.456708803350125	0.48694704652385856
313	0.4587530969871807	0.4857944386534116
312	0.4357887173201078	0.4837535347580896
311	0.4290863748692004	0.48152594074505545
310	0.4193789354325901	0.4789974309590908
309	0.4052585678427505	0.47600169996352354
308	0.4024097863395468	0.4730161501771324
307	0.39638601108350713	0.4699115441271399
306	0.3935348344099765	0.46682121827694495
305	0.38440411146292774	0.4634906378414777
304	0.37549194187919	0.45993874487353187
303	0.37611973503898355	0.45655943384436704
302	0.36719221489565257	0.45296039979880587
301	0.35848264275094266	0.4491595684850317
300	0.34998551428395785	0.44517384797438253
299	0.3292213459865252	0.44051834792182004
298	0.2905076147531531	0.43450103023339876
297	0.2502821502716728	0.42711815714521845
296	0.2086319902881968	0.4183694986158946
295	0.1687685334331661	0.408383189729306
294	0.15879833045840996	0.39840544166439557
293	0.14293627313563206	0.38820022756773415
292	0.10891834201567008	0.3770519204076583
291	0.1046152150670423	0.36618448724011615
290	0.0816257036153587	0.3548411535269751
289	0.0721996630517765	0.3435815358439769
288	0.0490259185180264	0.33185458118855343
287	0.039456395680815604	0.3202204607770391
286	0.016145132631564252	0.308128650780345
285	-0.006114697409287828	0.2956393719422487
284	-0.021060205777132524	0.2830591187548866
283	-0.041618378256941924	0.2701684982040108
282	-0.0533374739286927	0.25733064460537036
281	-0.0708064345464976	0.24431510143390697
280	-0.07955296718250793	0.2314746572193715
279	-0.09733637208925927	0.21844386097471477
278	-0.11742142603944217	0.2051390171646504
277	-0.14285661520221993	0.19135912996460963
276	-0.16548027425557166	0.1772344464816452
275	-0.182242705247873	0.1630105747189168
274	-0.1854827843413176	0.14922617159880364
273	-0.2106573392932205	0.13499605744488374
272	-0.23140921716502305	0.12051277696235166
271	-0.2574409065877603	0.1055776755265986
270	-0.28215649768078777	0.09026068645962135
269	-0.2865581501002339	0.07537918328738782
268	-0.2969632120260428	0.060678534562748285
267	-0.30674217492446587	0.04617605698382645
266	-0.320686004275359	0.03169932652088602
265	-0.32270143640569415	0.01771776026028789
264	-0.32763995521396794	0.004096163121411123
263	-0.3401410058416303	-0.009478165444876186
262	-0.3471226671644416	-0.02278963119549546
261	-0.3344979389930103	-0.0350760098938461
260	-0.32864721414303233	-0.0466451710479986
259	-0.34361156558196626	-0.05834587662356424
