	macd	trigger
556		
555		
554		
553		
552		
551		
550		
549		
548		
547		
546		
545		
544		
543		
542		
541		
540		
539		
538		
537		
536		
535		
534		
533		
532		
531		
530		
529		
528		
527		
526		
525		
524		
523		
522		
521		
520		
519		
518		
517		
516		
515		
514		
513		
512		
511		
510		
509		
508		
507		
506		
505		
504		
503		
502		
501		
500		
499		
498		
497		
496		
495		
494		
493		
492		
491		
490		
489		
488		
487		
486		
485		
484		
483		
482		
481		
480		
479		
478		
477		
476		
475		
474		
473		
472		
471		
470		
469		
468		
467		
466		
465		
464		
463		
462		
461		
460		
459		
458	-0.5694020371960455	
457	-0.5791949625818944	
456	-0.5871430369059105	
455	-0.5998201665526643	
454	-0.6159253987149498	
453	-0.6309487817131192	
452	-0.6629348597720863	
451	-0.6897835536403356	
450	-0.7210398518756769	
449	-0.7251616427210337	
448	-0.7320253876833753	
447	-0.7392969665199374	
446	-0.7541578171341392	
445	-0.769601214522158	
444	-0.7778042333423656	
443	-0.7852262157534575	
442	-0.7919005759531963	
441	-0.7984200163299704	
440	-0.8064758253351307	
439	-0.81318202464794	
438	-0.8197261877366309	
437	-0.8283767668991651	
436	-0.8350697634279349	
435	-0.8410270167421388	
434	-0.8434336056037601	
433	-0.846440835343973	
432	-0.8494501798596232	
431	-0.8547525783074228	
430	-0.8599492298079667	
429	-0.8667690098200431	
428	-0.8728332773379748	
427	-0.8799060441371545	
426	-0.8873622442530333	
425	-0.8928648748140873	
424	-0.8947576992329083	
423	-0.8955274037355991	
422	-0.8981375151713813	
421	-0.900171469787896	
420	-0.9028241476430559	
419	-0.9025537447158456	
418	-0.8983175110689317	
417	-0.897345540898403	
416	-0.8959625080333566	
415	-0.8947774801475177	
414	-0.9460411169892922	
413	-0.9953606612161039	
412	-1.0389523088313233	
411	-1.0776459086222516	
410	-1.10748441204424	-0.8818362836786219
409	-1.1356915086190646	-0.8933490598261913
408	-1.1647118456316008	-0.9055807798307988
407	-1.1936025870723341	-0.9184877796521549
406	-1.2175773038010114	-0.9318161549264838
405	-1.2434271725806774	-0.9456286654779493
404	-1.2692608294665106	-0.9599010885093219
403	-1.293868482217853	-0.974557704395124
402	-1.3202988264912214	-0.9896604861713717
401	-1.343647096121547	-1.0050546895646546
400	-1.3658479940300623	-1.0206781533110498
399	-1.3827213146789532	-1.0362919200025444
398	-1.3984227336351545	-1.0518486226651937
397	-1.4099747768271165	-1.0671759182872327
396	-1.4208873415448835	-1.0822602239719599
395	-1.4320939520886071	-1.097128163570802
394	-1.4426669645093924	-1.1117654948435376
393	-1.4553645765478755	-1.1262750224564093
392	-1.4655253069727614	-1.1405578832164667
391	-1.4726492449950115	-1.154499116082236
390	-1.4786979183956497	-1.1680714985547753
389	-1.4837171426708906	-1.1812509001227474
388	-1.4871402036787025	-1.193990602835317
387	-1.4908720881452098	-1.2063251447139125
386	-1.494897976909197	-1.2182866006103898
385	-1.497058525028386	-1.2298160402155263
384	-1.4992769675256596	-1.2409365726399175
383	-1.5000150617482397	-1.2516067114061895
382	-1.4999537784761507	-1.261814774389129
381	-1.4865157640467999	-1.2710334805168564
380	-1.4658475069108121	-1.2790115804438718
379	-1.4484533879714938	-1.2859385972027344
378	-1.433578878997114	-1.2919643002260386
377	-1.4198837743066441	-1.2971768017569687
376	-1.409794893026369	-1.301758775488762
375	-1.4006816409886227	-1.3057776372100325
374	-1.3863129326718777	-1.3090448730016115
373	-1.3721986909164556	-1.31160349716043
372	-1.3583346359257575	-1.313494315011452
371	-1.3440957704391288	-1.3147309588671292
370	-1.3295059997795171	-1.3153273241125905
369	-1.3136556444405727	-1.3152599274019394
368	-1.3003426770471123	-1.3146591736521334
367	-1.2866578581027461	-1.3135326833512146
366	-1.2732479472434584	-1.3119136742236333
365	-1.2591718324182217	-1.3097960860466826
364	-1.246963074599286	-1.3072756917841326
363	-1.2349826842684202	-1.3043784312006232
362	-1.221976362567716	-1.3010788742037223
361	-1.209560394717684	-1.2974173026055937
360	-1.1955238048750072	-1.2933438678115992
359	-1.1843308563061292	-1.2889891304938164
358	-1.1780535332682245	-1.2845608299958708
357	-1.1673803154719629	-1.2798865280932157
356	-1.159103669983514	-1.2750717750607736
355	-1.1524923656871398	-1.2701885667142767
354	-1.1383632584436274	-1.2649402899149367
353	-1.129951087684736	-1.2595692557880547
352	-1.1200826519994127	-1.2540224542096987
351	-1.1144943513007082	-1.2484770531916018
350	-1.1051229016793283	-1.242782598104321
349	-1.0993913260008057	-1.2370895565600022
348	-1.0898866842393176	-1.2312480293953132
347	-1.0808848582491226	-1.2252838806605535
346	-1.069526787619834	-1.2191085566381772
345	-1.0483438127451379	-1.2123411419680552
344	-1.0294807142171223	-1.20509737631458
343	-1.009680830210101	-1.197359296546089
342	-0.9934250140863554	-1.1892870176525512
341	-0.9761309725284626	-1.1808528119270738
