	macd	trigger
747		
746		
745		
744		
743		
742		
741		
740		
739		
738		
737		
736		
735		
734		
733		
732		
731		
730		
729		
728		
727		
726		
725		
724		
723		
722		
721		
720		
719		
718		
717		
716		
715		
714		
713		
712		
711		
710		
709		
708		
707		
706		
705		
704		
703		
702		
701		
700		
699		
698		
697		
696		
695		
694		
693		
692		
691		
690		
689		
688		
687		
686		
685		
684		
683		
682		
681		
680		
679		
678		
677		
676		
675		
674		
673		
672		
671		
670		
669		
668		
667		
666		
665		
664		
663		
662		
661		
660		
659		
658		
657		
656		
655		
654		
653		
652		
651		
650		
649	-0.025922189078945834	
648	-0.024202365464642384	
647	-0.02185106485490529	
646	-0.01976310999698505	
645	-0.01830701743277885	
644	-0.01691082280420453	
643	-0.016226808839485685	
642	-0.014199711456615915	
641	-0.01363214345817454	
640	-0.013084441709768413	
639	-0.01393379471924483	
638	-0.0133546345387483	
637	-0.01517778410774362	
636	-0.016740892753762893	
635	-0.016273871819798558	
634	-0.022794959901917267	
633	-0.023126571974092514	
632	-0.023599066680151992	
631	-0.025273572468874406	
630	-0.03164372470880217	
629	-0.03854728874814839	
628	-0.03747344610951586	
627	-0.03643053235963478	
626	-0.04433655890171373	
625	-0.05230816811382155	
624	-0.06062477673344624	
623	-0.06749588814362184	
622	-0.07401428564437573	
621	-0.08162813001881197	
620	-0.08338489854841669	
619	-0.08513333303444881	
618	-0.08635363385947947	
617	-0.094414549524231	
616	-0.10089661371832825	
615	-0.11265981250204149	
614	-0.12399817625680498	
613	-0.13475135653064108	
612	-0.14826799221299503	
611	-0.16108748710578702	
610	-0.1611122622954042	
609	-0.1625207458172664	
608	-0.16248919977961762	
607	-0.162494306756642	
606	-0.1665435094370622	
605	-0.16943663860576308	
604	-0.1715196256972451	
603	-0.17235381462279875	
602	-0.17638431887867334	
601	-0.18233885540822747	-0.10775591138784185
600	-0.182751600156708	-0.11115709636258995
599	-0.18555522690461856	-0.1145106037307996
598	-0.18843462818173862	-0.1178233298730325
597	-0.19198289434771887	-0.1211281146471307
596	-0.19509179107207686	-0.12440663820106514
595	-0.20185433433815625	-0.12782214013526977
594	-0.20490499314687405	-0.13120502657644983
593	-0.20747172503762457	-0.13453653454597003
592	-0.206927882580489	-0.1376846963810015
591	-0.2076891175087745	-0.1407161038989368
590	-0.21265274587918093	-0.14381850180145578
589	-0.21426195434572115	-0.14684466749768224
588	-0.21568866332084724	-0.14979109367605895
587	-0.21827237595108961	-0.15271153256379655
586	-0.22080893135098378	-0.1556056732101454
585	-0.218747990377123	-0.15828043798675137
584	-0.22274520167269785	-0.16100266082890483
583	-0.22778487129111546	-0.1638142753118239
582	-0.23290501955087528	-0.16671471255640435
581	-0.24090412088851565	-0.16982060627997642
580	-0.25409163041700644	-0.17333924082586485
579	-0.26361623502064013	-0.17709910445776017
578	-0.27746531067956326	-0.18126902152936994
577	-0.28686867369850155	-0.1856461680975182
576	-0.29845535101676823	-0.1903117263817236
575	-0.3076443717092818	-0.19515399238232622
574	-0.31828453479010754	-0.20022511958543432
573	-0.32827783010192846	-0.2054886008478092
572	-0.3338337660272188	-0.21075416003607153
571	-0.34124510395989915	-0.21609807602336084
570	-0.346788616811768	-0.22144088710095475
569	-0.35480272842046645	-0.2268838383109204
568	-0.3630119728855252	-0.23243082882954666
567	-0.3683750212696939	-0.23796184708540188
566	-0.3739244350926132	-0.2434854925813749
565	-0.37760596916633027	-0.2489266251800581
564	-0.3803691266473912	-0.2542519082880927
563	-0.3841766207688515	-0.2595088733896964
562	-0.38780060274288	-0.26469330584957623
561	-0.3910612973684504	-0.2697938993929361
560	-0.39552800013084344	-0.27486309114555213
559	-0.39940238609228373	-0.2798785897567453
558	-0.4044529652445039	-0.2848902052104003
557	-0.4090667246513018	-0.2898807534386008
556	-0.41188897671089286	-0.29477939107141954
555	-0.41343560293081794	-0.2995389979834118
554	-0.41470002429649	-0.30415426457362615
553	-0.41569438356081534	-0.3086205721086824
552	-0.4164304089252546	-0.31293394618027237
551	-0.4162934847352169	-0.3170659894413072
550	-0.41732728254482865	-0.3210711223018479
549	-0.4151540821208286	-0.32482670327165464
548	-0.41562636151462584	-0.3284486793058952
547	-0.41310238518248177	-0.3318232201426964
546	-0.4095390910935013	-0.33491919516510404
545	-0.4095094515257749	-0.33788880939965465
544	-0.4069443376023507	-0.34063643359847046
543	-0.4100752716436098	-0.3433977271277875
542	-0.41253844844625753	-0.3461456540213502
541	-0.41259894320998214	-0.34878537715943014
540	-0.4130749554822124	-0.35133785636467857
539	-0.41350621706568447	-0.3538049153431743
538	-0.4137053072257846	-0.3561808618181987
537	-0.4128618835791631	-0.3584281024957183
536	-0.4118444907705143	-0.3605449964247264
535	-0.41066152340563544	-0.3625302940710287
534	-0.41014315066028484	-0.36441566196662345
533	-0.4094373194343026	-0.3661977427965113
532	-0.40855287888881	-0.3678736602265099
531	-0.41224830690223424	-0.3696288673264107
530	-0.4139794260184706	-0.3713825278689952
529	-0.41541870044048324	-0.3731231912352884
528	-0.4157541051807909	-0.3748077813101739
527	-0.4138296089867506	-0.37634929338003187
526	-0.41304909881041585	-0.377798659011322
525	-0.41431418018320976	-0.3792403477808568
524	-0.4154988733488283	-0.38067150949960743
523	-0.4165427036013494	-0.3820870213860433
522	-0.4171971781316346	-0.38347216226131886
521	-0.41760681862677895	-0.384818501192377
520	-0.4185462903515731	-0.38614849148145747
519	-0.41941822891290226	-0.3874601342539455
518	-0.419843100922332	-0.38873654999876517
517	-0.42022325655851667	-0.3899773896217619
516	-0.4231743034436022	-0.39128537369604194
515	-0.4189490071017934	-0.3923751405416324
514	-0.42120701557196316	-0.39351072659028824
513	-0.4262083556489191	-0.39479835116262574
512	-0.43140068031915124	-0.39623950541612796
511	-0.43613414455881117	-0.39781004122944363
510	-0.44042713681420764	-0.399487498256341
509	-0.44269965284937385	-0.4011881301323126
508	-0.4438090330414557	-0.40286525873090806
507	-0.446301513152795	-0.4045742419540452
506	-0.4492177575358207	-0.4063304979643534
505	-0.4506813232724918	-0.4080750235785803
504	-0.44973289887763634	-0.4097134278970282
503	-0.44539339283678725	-0.41111656058902485
502	-0.44281461097585595	-0.4123629655940794
501	-0.44172608371514954	-0.413517436489151
500	-0.4402664139098542	-0.41456902052710903
499	-0.4375555905271904	-0.4154726048513143
498	-0.43474181128176426	-0.41622999163552526
497	-0.43163874732828234	-0.4168355868528507
496	-0.4294160731618222	-0.417329982688783
495	-0.4263021782654457	-0.41768254841200714
494	-0.4234303972254976	-0.41790839424826076
493	-0.42014909381609655	-0.4179964296069688
492	-0.41628579559543955	-0.4179292250577644
491	-0.4125755788202419	-0.41771891475120965
490	-0.41235523284644326	-0.41750822450912584
489	-0.410902956342313	-0.417248780562461
488	-0.40821099388822724	-0.4168938135737866
487	-0.4056231055890951	-0.4164511732870136
486	-0.4043581240711589	-0.4159762642339451
485	-0.4022978929606502	-0.41543912745653216
484	-0.39883595302879016	-0.41478717120669395
483	-0.39487439100289023	-0.4140052968791414
482	-0.3930775998360607	-0.413183612371798
481	-0.3910301475456599	-0.4123138416903243
480	-0.38919533139342377	-0.4114062234771155
479	-0.38949717689900076	-0.4105461256255172
478	-0.38893907841378184	-0.4096979191621305
477	-0.38897819969386305	-0.4088845784425978
476	-0.3878470085604482	-0.40805879267883916
475	-0.385663633514163	-0.4071797503080591
474	-0.38337971708648233	-0.4062455980043344
473	-0.38190397231595963	-0.40529022099621426
472	-0.37939426492107753	-0.4042738720979554
471	-0.3766085168590889	-0.4031881133176864
470	-0.37407694705455086	-0.40204564682379
469	-0.37243476893932304	-0.40088360318324684
468	-0.37086784954504015	-0.3997057038018142
467	-0.3689862075701029	-0.39850022022828685
466	-0.36699882740419376	-0.39726408583484357
465	-0.364911541475343	-0.39599458338362714
464	-0.3633759212500163	-0.3947146692335371
463	-0.361721682378052	-0.3934200968680318
462	-0.3599550718668256	-0.3921070318046511
461	-0.35808211113025834	-0.3907720265195147
460	-0.35578543396471485	-0.389399317003575
459	-0.35373189890958034	-0.38799992254195065
458	-0.35126501416258726	-0.386558672760016
457	-0.35086194648995583	-0.38515818015777215
456	-0.34945439616997476	-0.3837574350270089
455	-0.3479295305934098	-0.3823518438457836
454	-0.3462934733437457	-0.38093723379439304
453	-0.34455212733867047	-0.3795098275494183
452	-0.34161122653103604	-0.37802306818020875
