	macd	trigger
3370		
3369		
3368		
3367		
3366		
3365		
3364		
3363		
3362		
3361		
3360		
3359		
3358		
3357		
3356		
3355		
3354		
3353		
3352		
3351		
3350		
3349		
3348		
3347		
3346		
3345		
3344		
3343		
3342		
3341		
3340		
3339		
3338		
3337		
3336		
3335		
3334		
3333		
3332		
3331		
3330		
3329		
3328		
3327		
3326		
3325		
3324		
3323		
3322		
3321		
3320		
3319		
3318		
3317		
3316		
3315		
3314		
3313		
3312		
3311		
3310		
3309		
3308		
3307		
3306		
3305		
3304		
3303		
3302		
3301		
3300		
3299		
3298		
3297		
3296		
3295		
3294		
3293		
3292		
3291		
3290		
3289		
3288		
3287		
3286		
3285		
3284		
3283		
3282		
3281		
3280		
3279		
3278		
3277		
3276		
3275		
3274		
3273		
3272	-0.939237030998143	
3271	-0.9549103639951468	
3270	-0.9712316823953522	
3269	-0.9838949834050723	
3268	-0.9959384690157265	
3267	-1.0111959813261997	
3266	-1.0257019163787113	
3265	-1.0385029204412284	
3264	-1.0506602699443341	
3263	-1.0597818111257027	
3262	-1.0679314525387724	
3261	-1.0775829400931105	
3260	-1.086230248301094	
3259	-1.0968600296205793	
3258	-1.1059305789524547	
3257	-1.1135100441731893	
3256	-1.1201672955853326	
3255	-1.1234761556132469	
3254	-1.1260585118596733	
3253	-1.1244558462338023	
3252	-1.1233718175252196	
3251	-1.1217669715309597	
3250	-1.12216068650436	
3249	-1.1214543673034143	
3248	-1.1146887924661986	
3247	-1.1071574062991285	
3246	-1.1009562584551968	
3245	-1.0979773255875163	
3244	-1.0910775062012057	
3243	-1.0839428021520625	
3242	-1.0765875136403888	
3241	-1.0705263800355507	
3240	-1.0621771186590898	
3239	-1.0546589075035424	
3238	-1.044397507193132	
3237	-1.0356490490595736	
3236	-1.0257289654776987	
3235	-1.0162700307803707	
3234	-1.0052101269491516	
3233	-0.9951440400109473	
3232	-0.9845072865426427	
3231	-0.9759747206770584	
3230	-0.965749088587966	
3229	-0.9565634851794158	
3228	-0.9473134320125016	
3227	-0.9411408648441242	
3226	-0.9373793918036206	
3225	-0.9327801356931538	
3224	-0.9242340394900044	-1.0244560161574883
3223	-0.9145980773172528	-1.0194737674832774
3222	-0.9033294929558533	-1.0142385461468617
3221	-0.8884176599722604	-1.0086001878193045
3220	-0.8764253226479202	-1.002710057732497
3219	-0.8623815043904006	-0.9964898360012467
3218	-0.8517170328176782	-0.9901052459623328
3217	-0.8411067653146436	-0.9835662438334987
3216	-0.8295320030794748	-0.9768376675216204
3215	-0.8190866749587542	-0.9699773773390431
3214	-0.8103280490699074	-0.9630640686343679
3213	-0.8015569097318096	-0.9560987800522472
3212	-0.7938048092236638	-0.9491268269538777
3211	-0.786002356768682	-0.9421453290971573
3210	-0.7792454186077844	-0.9351983325223634
3209	-0.7734909118941591	-0.9283257643010884
3208	-0.7670587019480699	-0.9214943479489156
3207	-0.7605290137332883	-0.9146970918272403
3206	-0.7512331560575163	-0.9078150559367815
3205	-0.7419781582738398	-0.900853204247313
