	macd	trigger
2480		
2479		
2478		
2477		
2476		
2475		
2474		
2473		
2472		
2471		
2470		
2469		
2468		
2467		
2466		
2465		
2464		
2463		
2462		
2461		
2460		
2459		
2458		
2457		
2456		
2455		
2454		
2453		
2452		
2451		
2450		
2449		
2448		
2447		
2446		
2445		
2444		
2443		
2442		
2441		
2440		
2439		
2438		
2437		
2436		
2435		
2434		
2433		
2432		
2431		
2430		
2429		
2428		
2427		
2426		
2425		
2424		
2423		
2422		
2421		
2420		
2419		
2418		
2417		
2416		
2415		
2414		
2413		
2412		
2411		
2410		
2409		
2408		
2407		
2406		
2405		
2404		
2403		
2402		
2401		
2400		
2399		
2398		
2397		
2396		
2395		
2394		
2393		
2392		
2391		
2390		
2389		
2388		
2387		
2386		
2385		
2384		
2383		
2382	0.11897577911530455	
2381	0.12846758183485107	
2380	0.15254455098243547	
2379	0.18080352177900672	
2378	0.20816543391414655	
2377	0.23411885547177214	
2376	0.25217442812613733	
2375	0.2741667175965432	
2374	0.3086856206333124	
2373	0.34801177623464596	
2372	0.4023894063016762	
2371	0.4656016074517204	
2370	0.5256003876311865	
2369	0.5747363124465785	
2368	0.6017900676289507	
2367	0.6334059807560841	
2366	0.6615404855548306	
2365	0.6857794771640933	
2364	0.7135933637114888	
2363	0.7493189873995654	
2362	0.7671941448891033	
2361	0.7781898937442442	
2360	0.7809088367624462	
2359	0.7831043704985206	
2358	0.7922006341921453	
2357	0.7981901896497448	
2356	0.798351566137697	
2355	0.7963814717001227	
2354	0.7975418111687382	
2353	0.7988184825680698	
2352	0.7979018355942742	
2351	0.7971996714798166	
2350	0.7909195233095865	
2349	0.7833686102830697	
2348	0.7798319602052004	
2347	0.7789703357370108	
2346	0.7771702604004318	
2345	0.7698055125155356	
2344	0.7641427589991103	
2343	0.7694802088594699	
2342	0.7853282105238932	
2341	0.7994617849444872	
2340	0.8090088310027177	
2339	0.8147591106802885	
2338	0.8145173905975227	
2337	0.8186043532384488	
2336	0.8238651365604674	
2335	0.8219407796583695	
2334	0.820875188302864	0.7288848704469926
2333	0.8188462606244684	0.7329647760202593
2332	0.8176857900096124	0.7367835889741008
2331	0.8137759129533357	0.7402338135295367
2330	0.8018628012153819	0.742980196165276
2329	0.7906851441188785	0.7450947719011619
2328	0.7790171609256404	0.7465907748955035
2327	0.7680862476306523	0.747534133118785
2326	0.7788941261200399	0.7489040110434334
2325	0.8026495049134894	0.7512413001974625
2324	0.8098516919387642	0.7537793110729388
2323	0.8151066321365121	0.7564241628063154
2322	0.823330445780627	0.7592983759671716
2321	0.8313645596994448	0.7623827072554062
2320	0.8325547437040939	0.765375249703041
2319	0.8417526242728925	0.7686212894658052
2318	0.8476749082508448	0.7719700711462477
2317	0.854110472238439	0.7754387021212428
2316	0.8592092238210007	0.7789655457285835
2315	0.8642466660539547	0.7825456567894142
2314	0.8637370553393708	0.7859446845055471
2313	0.86647206824669	0.7893070078809088
2312	0.8814705723714304	0.7931454435466568
2311	0.8910551455824027	0.797213300182513
2310	0.9070954923573211	0.8017679596960522
2309	0.9250068996723613	0.806864871511775
2308	0.9539004514317213	0.812932964390254
2307	0.9766929366234294	0.8196774132794794
2306	0.9979492096697093	0.8270051008865997
2305	1.0177283500454593	0.8348298175841072
2304	1.0330080552609928	0.8429456900025988
2303	1.0519963894964306	0.8514919733548326
2302	1.0677320466813285	0.8603174676424802
2301	1.0871467835641333	0.8695603774105143
2300	1.103268055506227	0.8790689956962865
2299	1.1137610202886457	0.8886036446286207
2298	1.1244455674628355	0.8981715138097038
2297	1.1433652892311592	0.9081053347266135
2296	1.167042265719605	0.9185823439403004
2295	1.1915283383870587	0.9296124398049238
2294	1.2149122568659578	0.9411280015174474
2293	1.2366108161241947	0.9530409116830562
2292	1.2529557958877398	0.9651192094271387
2291	1.2691614000453022	0.977350798267934
2290	1.2833568031717064	0.9896489181739122
2289	1.3056048679471388	1.0023345688977812
2288	1.3261723372589493	1.0153245376192028
2287	1.3576174103446732	1.029042484655065
2286	1.3888120636219305	1.043448436486695
2285	1.4109957859456514	1.0581536735415957
2284	1.4339511427103062	1.0731770707210158
2283	1.4570064960812417	1.088509885576749
2282	1.4745055032747274	1.1039179658395775
2281	1.488570789890602	1.1192616723818165
2280	1.498094662148496	1.1343630478155022
2279	1.5189768429386774	1.1496849465268804
2278	1.540643501289484	1.1652499297564398
2277	1.5674508322152896	1.1812529487926238
2276	1.5796509181979523	1.19709557758628
2275	1.5967805000238648	1.2129806439606796
2274	1.602862105212644	1.2284679001513223
2273	1.6072132874284577	1.243505169804187
2272	1.5909904789074183	1.2572946077441942
2271	1.587938355921544	1.270409577835048
2270	1.5943101566142523	1.2832513109847155
2269	1.6122062985798777	1.2962878123029016
2268	1.6271956040500442	1.3093962717208691
2267	1.645092950922539	1.3226891465232475
2266	1.6550033634524297	1.3358430557482432
2265	1.647786336750677	1.3481860967589885
2264	1.6432159354006188	1.3598557889426932
2263	1.6380074247264886	1.3708541520505004
2262	1.6417014852003433	1.3815602148879729
