	macd	trigger
660		
659		
658		
657		
656		
655		
654		
653		
652		
651		
650		
649		
648		
647		
646		
645		
644		
643		
642		
641		
640		
639		
638		
637		
636		
635		
634		
633		
632		
631		
630		
629		
628		
627		
626		
625		
624		
623		
622		
621		
620		
619		
618		
617		
616		
615		
614		
613		
612		
611		
610		
609		
608		
607		
606		
605		
604		
603		
602		
601		
600		
599		
598		
597		
596		
595		
594		
593		
592		
591		
590		
589		
588		
587		
586		
585		
584		
583		
582		
581		
580		
579		
578		
577		
576		
575		
574		
573		
572		
571		
570		
569		
568		
567		
566		
565		
564		
563		
562	0.0003654461656283914	
561	-0.00016713329241335728	
560	-0.0006741517477995007	
559	-0.0013730103997335874	
558	-0.001875112083725483	
557	-0.00229796721532205	
556	-0.0026450171290888225	
555	-0.0028101895912937547	
554	-0.002966104417351678	
553	-0.0032230814754312664	
552	-0.003576511486116596	
551	-0.0038009456883827397	
550	-0.0041790509569341605	
549	-0.004703832818786946	
548	-0.005090249823339166	
547	-0.005455951036457574	
546	-0.005633960082595868	
545	-0.005856829639335537	
544	-0.006291048486394946	
543	-0.006476538607605331	
542	-0.0068758422940704556	
541	-0.007139916959392645	
540	-0.007444756917569961	
539	-0.007731636690283539	
538	-0.008001258447117188	
537	-0.008254298604910337	
536	-0.008491408843183557	
535	-0.008541374609650543	
534	-0.008125524988630284	
533	-0.007609773173897327	
532	-0.0071716242117578766	
531	-0.006403692486157464	
530	-0.005205246480722847	
529	-0.00423330099869923	
528	-0.0032459717460626702	
527	-0.002418815174663358	
526	-0.0017450549272601812	
525	-0.001801815967478415	
524	-0.0015627139436320547	
523	-0.0012166782136862064	
522	-0.0005339311819696491	
521	5.896003153638141e-05	
520	0.0006834586098272144	
519	0.001219994125483348	
518	0.001495101331346893	
517	0.0019934001672654578	
516	0.002290147411624144	
515	0.0026314578805215483	
514	0.003252860086582432	-0.0025154623911855514
513	0.0036061581769939455	-0.002237836247077857
512	0.007159143958190839	-0.0018142658948700602
511	0.01054592941241661	-0.001260373673475548
510	0.013055363614464133	-0.0006224191364674188
509	0.01538357692348824	8.706472944067646e-05
508	0.017957077118082365	0.0008751457818405759
507	0.020223830143800914	0.001724289260908411
506	0.022196487678828536	0.0026185628240628514
505	0.023766942419090498	0.003538265569231747
504	0.02495239237056146	0.004465563358854015
503	0.02649324707192302	0.005415547092700588
502	0.028373041840536573	0.006401773357427532
501	0.03009214923777237	0.007415688119852537
500	0.03159642543610475	0.008446894943768848
499	0.033076612794499693	0.009493658385683407
498	0.035139993344082576	0.010580059969812152
497	0.036787613085300874	0.011686754474665908
496	0.03852385739220243	0.012816630031648754
495	0.04119654056678712	0.014008021880449403
494	0.04342161649392051	0.015239403838487356
493	0.04619449059031289	0.016531895993784254
492	0.0492451478662268	0.017894340181179965
491	0.05329376244002915	0.019365080789588363
490	0.0568246785469646	0.020917795655592843
489	0.06041095321286094	0.02255115229946319
488	0.06441659057206284	0.024278920285787816
487	0.06783851761011173	0.026072920820734327
486	0.07027091858206602	0.027889636235136205
485	0.07231059828772368	0.02971207500453194
