	macd	trigger
722		
721		
720		
719		
718		
717		
716		
715		
714		
713		
712		
711		
710		
709		
708		
707		
706		
705		
704		
703		
702		
701		
700		
699		
698		
697		
696		
695		
694		
693		
692		
691		
690		
689		
688		
687		
686		
685		
684		
683		
682		
681		
680		
679		
678		
677		
676		
675		
674		
673		
672		
671		
670		
669		
668		
667		
666		
665		
664		
663		
662		
661		
660		
659		
658		
657		
656		
655		
654		
653		
652		
651		
650		
649		
648		
647		
646		
645		
644		
643		
642		
641		
640		
639		
638		
637		
636		
635		
634		
633		
632		
631		
630		
629		
628		
627		
626		
625		
624	-0.9175674248981736	
623	-0.8916295276487602	
622	-0.867823059366394	
621	-0.8568800518779014	
620	-0.858225090308693	
619	-0.8617862261495262	
618	-0.8756456545404063	
617	-0.8829309174922173	
616	-0.8949029901577035	
615	-0.9113491852841378	
614	-0.9210419837729162	
613	-0.9353331137475678	
612	-0.9484742226258973	
611	-0.9632901969541905	
610	-0.975249544665509	
609	-0.9878249636448047	
608	-0.9998674451202163	
607	-1.0214883696187869	
606	-1.0337127439137532	
605	-1.0527243522649101	
604	-1.0641054044645344	
603	-1.0744150252747176	
602	-1.0774629010348562	
601	-1.0866383600753693	
600	-1.1090674487013246	
599	-1.1241870557379983	
598	-1.1380342356607187	
597	-1.1506615718197821	
596	-1.1592499417993665	
595	-1.1697275754121534	
594	-1.1906507972107505	
593	-1.2100026467998575	
592	-1.2255329448174095	
591	-1.2420422768083341	
590	-1.2455487946004808	
589	-1.2430269526806654	
588	-1.2452338603306288	
587	-1.2554618494572054	
586	-1.2505496713269437	
585	-1.2510851445959688	
584	-1.2386408494846393	
583	-1.2326032422516562	
582	-1.225628310980305	
581	-1.230142058250621	
580	-1.2338239604055374	
579	-1.2426244776416624	
578	-1.2503903809810737	
577	-1.2690298594225808	
576	-1.2748825259007859	-1.1606952320739372
575	-1.2631593709362008	-1.165342159054272
574	-1.243584535034394	-1.1688689463867488
573	-1.20338788532748	-1.1704158290447269
572	-1.1748755151839632	-1.1706145667659447
571	-1.1665176242288595	-1.170432965157477
570	-1.148960269390706	-1.1694860030452126
569	-1.126820664416691	-1.1676135763002782
568	-1.103917717990079	-1.1648311920635475
567	-1.067962705412974	-1.1606185660941406
566	-1.046660187059011	-1.1556838165258485
