	macd	trigger
4928		
4927		
4926		
4925		
4924		
4923		
4922		
4921		
4920		
4919		
4918		
4917		
4916		
4915		
4914		
4913		
4912		
4911		
4910		
4909		
4908		
4907		
4906		
4905		
4904		
4903		
4902		
4901		
4900		
4899		
4898		
4897		
4896		
4895		
4894		
4893		
4892		
4891		
4890		
4889		
4888		
4887		
4886		
4885		
4884		
4883		
4882		
4881		
4880		
4879		
4878		
4877		
4876		
4875		
4874		
4873		
4872		
4871		
4870		
4869		
4868		
4867		
4866		
4865		
4864		
4863		
4862		
4861		
4860		
4859		
4858		
4857		
4856		
4855		
4854		
4853		
4852		
4851		
4850		
4849		
4848		
4847		
4846		
4845		
4844		
4843		
4842		
4841		
4840		
4839		
4838		
4837		
4836		
4835		
4834		
4833		
4832		
4831		
4830	-0.29783995468413593	
4829	-0.29643938182736207	
4828	-0.2958167022871052	
4827	-0.2940440745461821	
4826	-0.2916626695294475	
4825	-0.29065943746899237	
4824	-0.2892277729395083	
4823	-0.2871691227545554	
4822	-0.2876930584477009	
4821	-0.28540641867663297	
4820	-0.27966480686909634	
4819	-0.2742168621275063	
4818	-0.27087959243730353	
4817	-0.26306329601378664	
4816	-0.2579847439504235	
4815	-0.25178539424290136	
4814	-0.24339922139544967	
4813	-0.23505725502110764	
4812	-0.22535609969897408	
4811	-0.21306485340085857	
4810	-0.20327028102998668	
4809	-0.19292363835702986	
4808	-0.18074969394309903	
4807	-0.17012934325092388	
4806	-0.15308448874683478	
4805	-0.13789400696521525	
4804	-0.12459563174477495	
4803	-0.1118502432099504	
4802	-0.09722762619851366	
4801	-0.08323223423422377	
4800	-0.07399035422137601	
4799	-0.0654843055706209	
4798	-0.05658583678718898	
4797	-0.04580927030255211	
4796	-0.03550639230508068	
4795	-0.02659085362634883	
4794	-0.019820353216886133	
4793	-0.015219164320438239	
4792	-0.011932814994960239	
4791	-0.011075650846301244	
4790	-0.011014917909914601	
4789	-0.010187453351079512	
4788	-0.010923168432636743	
4787	-0.012209121529220823	
4786	-0.007465944055841334	
4785	-0.004119302402248337	
4784	-0.004181777445570134	
4783	-0.006730838896750413	
4782	-0.005297935172848156	-0.09050927083576284
4781	-0.0016074394578495799	-0.08647741809764017
4780	0.0022724848494490857	-0.08247700234401016
4779	0.0065704584364247864	-0.07848655602540396
4778	0.01275999905579539	-0.0744203209004095
4777	0.013633458716100222	-0.07051723759736926
4776	0.015658507747783545	-0.0667168220964757
4775	0.01680300645756816	-0.06305144017888342
4774	0.016504749748065706	-0.059576239519696365
4773	0.014647495075706729	-0.05634839068346072
4772	0.009554376331088577	-0.05349459744923049
4771	0.0023365356714251106	-0.05108677876989392
4770	-0.004190708508971852	-0.04907218019492698
4769	-0.008845819347410355	-0.04735054853707847
4768	-0.012497018884115363	-0.045864191973767704
4767	-0.013975057948286462	-0.0445089032167267
4766	-0.016956400094262136	-0.0433417546519313
4765	-0.022162662421209234	-0.04244740236783048
4764	-0.03028324095805246	-0.041935275977350334
4763	-0.0378355771347465	-0.04176317015701774
4762	-0.04441483522121814	-0.04187418047594424
4761	-0.05347900410965423	-0.04235872583129815
4760	-0.06485222736305829	-0.04329553702132048
4759	-0.07426763814026671	-0.04458233561679695
4758	-0.08064494556140644	-0.046077144795758036
4757	-0.0843005089060469	-0.047657985366180496
4756	-0.08897357686271334	-0.049363061421015327
4755	-0.09553782422210588	-0.051264767457217086
4754	-0.10077094352407912	-0.05329967034251131
4753	-0.10632969989346464	-0.05547530944013931
4752	-0.11398309773897353	-0.057871343186769196
