	macd	trigger
4156		
4155		
4154		
4153		
4152		
4151		
4150		
4149		
4148		
4147		
4146		
4145		
4144		
4143		
4142		
4141		
4140		
4139		
4138		
4137		
4136		
4135		
4134		
4133		
4132		
4131		
4130		
4129		
4128		
4127		
4126		
4125		
4124		
4123		
4122		
4121		
4120		
4119		
4118		
4117		
4116		
4115		
4114		
4113		
4112		
4111		
4110		
4109		
4108		
4107		
4106		
4105		
4104		
4103		
4102		
4101		
4100		
4099		
4098		
4097		
4096		
4095		
4094		
4093		
4092		
4091		
4090		
4089		
4088		
4087		
4086		
4085		
4084		
4083		
4082		
4081		
4080		
4079		
4078		
4077		
4076		
4075		
4074		
4073		
4072		
4071		
4070		
4069		
4068		
4067		
4066		
4065		
4064		
4063		
4062		
4061		
4060		
4059		
4058	-8.73689071035733	
4057	-8.779303835973906	
4056	-8.987809635141275	
4055	-9.181747883629555	
4054	-9.361734831115484	
4053	-9.48484414733332	
4052	-9.597249466557457	
4051	-9.786915531630598	
4050	-9.962596668778815	
4049	-10.124880803569454	
4048	-10.27433248114528	
4047	-10.411493900067853	
4046	-10.714140469457789	
4045	-11.041516492009407	
4044	-11.347891867757369	
4043	-11.634116593949443	
4042	-11.901008080439965	
4041	-12.059659912906284	
4040	-12.204758508257555	
4039	-12.562128269614675	
4038	-12.625529942541903	
4037	-12.81531059359719	
4036	-12.989741765487338	
4035	-13.240352121055196	
4034	-13.563675842615396	
4033	-13.865098562956462	
4032	-14.099764741890795	
4031	-14.316393096032925	
4030	-14.561634581597275	
4029	-14.880146481832412	
4028	-15.268567119765692	
4027	-15.585102669949379	
4026	-15.508932543347612	
4025	-15.474760737998452	
4024	-15.434307621384562	
4023	-15.341354740107533	
4022	-15.198283190072914	
4021	-15.147466662928082	
4020	-15.278392726928189	
4019	-15.39554087697303	
4018	-15.40562172999688	
4017	-15.407416653114979	
4016	-15.401304953336421	
4015	-15.529144242635539	
4014	-15.643231863023857	
4013	-15.744142257082842	
4012	-15.832429552440715	
4011	-15.956086818641666	
4010	-16.06597336186968	-14.250525323738211
4009	-16.257865159113237	-14.341561677952283
4008	-16.24203402933165	-14.427225766377584
4007	-16.26640986541321	-14.509644348029585
4006	-16.377013012723978	-14.592860202578146
4005	-16.378488339557094	-14.672010187930672
4004	-16.13187840289399	-14.736391479571225
4003	-15.88833418627729	-14.786946060924688
4002	-15.695902018861574	-14.826651385514703
4001	-15.504274294491523	-14.856119915090455
4000	-15.265316023404978	-14.873839369648765
3999	-14.981244669227152	-14.878471417614291
3998	-14.895770863419415	-14.879214580925689
3997	-14.661492434815614	-14.86989637934194
3996	-14.430437309497904	-14.851155296895685
3995	-14.154081513905254	-14.82152964885645
3994	-13.93166782109492	-14.783834309506638
3993	-13.712297970743492	-14.738585393187188
3992	-13.398620510542884	-14.682171197781399
3991	-13.189843286527463	-14.619523103559809
3990	-12.740008475713836	-14.540838385387417
3989	-12.304175220755639	-14.44744922393861
3988	-11.78417191243787	-14.336528832819264
3987	-10.890423544828025	-14.19335341738907
3986	-9.884889192888863	-14.014765903066051
3985	-9.067190957758896	-13.810144269654096
3984	-8.282098665951821	-13.582004290351156
3983	-7.528523315819143	-13.332691882209708
3982	-6.854586390419968	-13.066415700048527
3981	-6.207826314827059	-12.785031447627421
3980	-5.735145050766448	-12.496321752594863
3979	-5.281045978355451	-12.20135124362042
3978	-5.0423630495714065	-11.90916853927718
3977	-4.9601860838817515	-11.626009294389023
3976	-4.43414853859133	-11.33340162634613
3975	-3.929776406244116	-11.032620347464329
3974	-3.4958778889777022	-10.726862299752833
3973	-3.2286700821271097	-10.423079307862324
3972	-2.971964982108716	-10.121595108046625
3971	-2.725415191467505	-9.822706041448564
3970	-2.7869043845659576	-9.538719851020778
3969	-2.595454614697303	-9.25878988241533
3968	-2.4611649990253	-8.985033088010502
3967	-2.281900888116013	-8.715366707670631
3966	-2.3090559121451406	-8.45790254992278
3965	-2.333793259868628	-8.212019187054672
3964	-2.3062766073593934	-7.975124609330646
3963	-2.278829150330523	-7.74683624683863
3962	-2.301467022750387	-7.528791889189145
3961	-2.421977103049983	-7.324472848020178
3960	-2.585841606713018	-7.135034799428622
3959	-2.4903821985280388	-6.9494950943057745
3958	-2.1974124553489673	-6.759802602061131
3957	-2.1675156952941848	-6.576617406868462
3956	-2.137865735530852	-6.3996759649759465
3955	-2.1084663453177654	-6.228726612728616
3954	-1.8279583012851504	-6.053521634783097
3953	-1.508959980552504	-5.872699796196583
3952	-1.2540226112024584	-5.689034231161672
3951	-1.0100304875670076	-5.503072037292144
3950	-0.9277933575346538	-5.321328302082336
3949	-0.9496643920189172	-5.147760804614125
3948	-1.1718609344133597	-4.989983128610192
3947	-1.1814331125360695	-4.838917155563153
3946	-1.2404707796040384	-4.6962490310181995
3945	-1.245651224624055	-4.559501680931056
3944	-1.351080323741428	-4.432404458667406
3943	-1.4510215244725941	-4.314348032918879
3942	-1.5456727318841104	-4.2047562618540235
3941	-1.7871477645809364	-4.10909579199593
3940	-1.966059062197985	-4.024329521945894
3939	-1.9330610332830247	-3.9416389056228343
3938	-1.7991372285927127	-3.856950024558665
3937	-1.568896751520299	-3.7665360156191174
