	macd	trigger
4258		
4257		
4256		
4255		
4254		
4253		
4252		
4251		
4250		
4249		
4248		
4247		
4246		
4245		
4244		
4243		
4242		
4241		
4240		
4239		
4238		
4237		
4236		
4235		
4234		
4233		
4232		
4231		
4230		
4229		
4228		
4227		
4226		
4225		
4224		
4223		
4222		
4221		
4220		
4219		
4218		
4217		
4216		
4215		
4214		
4213		
4212		
4211		
4210		
4209		
4208		
4207		
4206		
4205		
4204		
4203		
4202		
4201		
4200		
4199		
4198		
4197		
4196		
4195		
4194		
4193		
4192		
4191		
4190		
4189		
4188		
4187		
4186		
4185		
4184		
4183		
4182		
4181		
4180		
4179		
4178		
4177		
4176		
4175		
4174		
4173		
4172		
4171		
4170		
4169		
4168		
4167		
4166		
4165		
4164		
4163		
4162		
4161		
4160	0.02057434092313004	
4159	0.020156734900101947	
4158	0.019748751773674966	
4157	0.019566507274880296	
4156	0.01949141218470518	
4155	0.01940990284422006	
4154	0.018995065939242828	
4153	0.01859018220101305	
4152	0.018194962912729595	
4151	0.017809129947235602	
4150	0.017652876368799753	
4149	0.017494977308730952	
4148	0.017335585266303966	
4147	0.01695273334704539	
4146	0.017024519169150265	
4145	0.01641471153451035	
4144	0.016272528763853433	
4143	0.016352944326303964	
4142	0.016308904522477352	
4141	0.01637124971819337	
4140	0.015970841034347316	
4139	0.015694093520352004	
4138	0.015648996086367717	
4137	0.015029953886221081	
4136	0.014432033437373315	
4135	0.013626344221526088	
4134	0.013765737921501042	
4133	0.013433432095576014	
4132	0.012880109126040873	
4131	0.013035950467892299	
4130	0.013638929322366877	
4129	0.014207121760472896	
4128	0.01520458541704417	
4127	0.017770843886888876	
4126	0.020093630963667675	
4125	0.021950211633060768	
4124	0.024409298060440898	
4123	0.026742794046070495	
4122	0.028955354615997297	
4121	0.030817203961918338	
4120	0.03351649485627961	
4119	0.03583971464560021	
4118	0.037802623308348604	
4117	0.039656247445667425	
4116	0.041168501385546286	
4115	0.042353934122543624	
4114	0.043463515996919	
4113	0.04426288503107356	
4112	0.045003152632197896	0.02634769386601766
4111	0.04521065824209414	0.027203162121170934
4110	0.04562403773357948	0.028033485969969633
4109	0.04575662460467367	0.028827705509742754
4108	0.04562085979068575	0.029576061584510243
4107	0.04546810888380337	0.030280494542812997
4106	0.045778600303615136	0.030963972720250695
4105	0.04629163609322129	0.03163664819311609
4104	0.046757688088201466	0.032297170622096735
4103	0.04669736777091238	0.032923407766613136
4102	0.046375081227453485	0.03350590674883562
4101	0.04604390832405558	0.0340466307626063
4100	0.045221272882070895	0.034526679900292755
4099	0.044413155048491415	0.034949807129330226
4098	0.04361929197662162	0.03531952422345528
4097	0.042839426234577704	0.035639120191209704
4096	0.04207330565792544	0.035911678016526914
4095	0.04132068320777549	0.03614008989059624
4094	0.041797833645752736	0.036378287970182784
4093	0.04125762331307081	0.03658312301883046
4092	0.039989455117732664	0.0367257270067073
4091	0.03973514734372863	0.03685138170794511
4090	0.039716543403098825	0.03697071019637335
4089	0.039678531360633595	0.03708321210438372
4088	0.039622010435380606	0.03718844628057159
4087	0.03954784810075607	0.037286026339420256
4086	0.039456881127118315	0.03737561654938586
4085	0.039349916589240586	0.0374569280294088
4084	0.03922773283998904	0.037529715226979385
4083	0.0385988416240326	0.03757357779332965
4082	0.03822521472884288	0.0376002638830527
4081	0.037355895527626526	0.0375902737648046
4080	0.035272986821976104	0.037495697387900144
4079	0.03301979302351565	0.037313311879209346
4078	0.030852239325307895	0.03705043702147118
4077	0.02901500222185316	0.03672398771001249
4076	0.026255747779304617	0.036299301763554996
4075	0.022121172109534903	0.03572488668846726
4074	0.019155786783918494	0.03505447396789958
4073	0.015322217947447925	0.03425706832737339
4072	0.01165516398944666	0.03334478725090754
4071	0.008148918627155055	0.03232897142466831
4070	0.004549042855819696	0.031210206514238236
4069	0.0013596471808741128	0.030009321309158205
4068	-0.0016854128264074397	0.02873553702211502
4067	-0.004591145933412033	0.027397468661438884
4066	-0.008361070744257404	0.025963101352293915
4065	-0.011455600556174783	0.024463485637704445
4064	-0.014903613459487985	0.02288714187074746
4063	-0.018187217881320716	0.02124379388327981
4062	-0.021312207005777628	0.01954251658320029
4061	-0.023783095226924678	0.01781179053536651
4060	-0.02612944841532383	0.016057754723669507
4059	-0.028857486522569253	0.014266096797703678
4058	-0.03144669368806641	0.012443853144445825
4057	-0.03339964146496244	0.010617581206498269
4056	-0.034743934289857004	0.008811632163135104
4055	-0.036260792637552886	0.007018262561817067
4054	-0.0376900714887245	0.005240398228314677
4053	-0.038783192953600665	0.0034907258521360016
4052	-0.0390507849652757	0.0018008499738354847
4051	-0.03928614525839036	0.00016957934378325433
4050	-0.03898609481052584	-0.0013842553784483653
4049	-0.038427242225363756	-0.002853563863037016
4048	-0.03787403758747243	-0.004242025655971012
4047	-0.03732650520514191	-0.005553165105192772
4046	-0.03627904132728843	-0.006770328652210722
4045	-0.03601936716426435	-0.0079285283935823
4044	-0.03499373984895504	-0.008999843782761571
4043	-0.03475634213062895	-0.010018982628705944
4042	-0.03451184819763342	-0.010987780236440217
4041	-0.034260703610294874	-0.011908012328998482
4040	-0.03400333718439663	-0.012781397101022017
4039	-0.03374016153252257	-0.01360959718578455
4038	-0.03347157358883002	-0.014394221540396924
4037	-0.033197955117759026	-0.015136827253625114
4036	-0.03266562649232996	-0.015828891126598844
4035	-0.031378190295031416	-0.01644263813849935
4034	-0.02987884826291909	-0.01697284393777723
4033	-0.028305087250975802	-0.017419915522658466
4032	-0.026915534392663698	-0.017794441670579923
4031	-0.023538545753798212	-0.01802094933208387
4030	-0.02030297143485016	-0.01811091691310007
4029	-0.01771364828414912	-0.01809525806571562
4028	-0.015487828896536326	-0.017992503545450518
4027	-0.013865229798320167	-0.01782988576837605
4026	-0.012309262545252553	-0.01761240919661429
4025	-0.010817700588550139	-0.017344789546769046
4024	-0.009388385526109655	-0.017031468317695343
4023	-0.00827460231215249	-0.01668668166116129
4022	-0.006951731631235081	-0.016303445016053235
4021	-0.006196549515594008	-0.01590562619136018
4020	-0.00547251316005859	-0.015495026795108214
4019	-0.004522848366632193	-0.015063272585899713
4018	-0.003358223158890672	-0.014602741783624335
4017	-0.0025007346831475985	-0.01412665421681806
4016	-0.0021929221351646433	-0.01365724465915768
4015	-0.0018979773930001276	-0.013194752654168352
4014	-0.001615467774213064	-0.012739391411733322
