	macd	trigger
728		
727		
726		
725		
724		
723		
722		
721		
720		
719		
718		
717		
716		
715		
714		
713		
712		
711		
710		
709		
708		
707		
706		
705		
704		
703		
702		
701		
700		
699		
698		
697		
696		
695		
694		
693		
692		
691		
690		
689		
688		
687		
686		
685		
684		
683		
682		
681		
680		
679		
678		
677		
676		
675		
674		
673		
672		
671		
670		
669		
668		
667		
666		
665		
664		
663		
662		
661		
660		
659		
658		
657		
656		
655		
654		
653		
652		
651		
650		
649		
648		
647		
646		
645		
644		
643		
642		
641		
640		
639		
638		
637		
636		
635		
634		
633		
632		
631		
630	0.0629693395625246	
629	0.06814902575445814	
628	0.07169727092255584	
627	0.07639177238061379	
626	0.08217957008294974	
625	0.08764988732081136	
624	0.09145190519813085	
623	0.09502682892192382	
622	0.09975470457889202	
621	0.1042080815517572	
620	0.10839799845192388	
619	0.11095370049807585	
618	0.1133324753191971	
617	0.11415340827341325	
616	0.11487760257875479	
615	0.11271949765372469	
614	0.11060506737695874	
613	0.10713180215121554	
612	0.10517099770595095	
611	0.10184037037382865	
610	0.1014352551010127	
609	0.0995833226928653	
608	0.09890069805778978	
607	0.09990380117429254	
606	0.09853237183294183	
605	0.09803024662010529	
604	0.09750160319813617	
603	0.09837994761015878	
602	0.097732762904581	
601	0.09850360143979131	
600	0.10495081693295916	
599	0.1110468458246352	
598	0.11680501414597089	
597	0.11934078105136692	
596	0.12169902065715021	
595	0.12446838541462668	
594	0.13229071345009658	
593	0.14143677647960118	
592	0.1518442650493732	
591	0.16579580839786345	
590	0.18019528581444533	
589	0.1938417951914424	
588	0.212649285656628	
587	0.23343337747144233	
586	0.25609790093280793	
585	0.2835072156507046	
584	0.30951617283636423	
583	0.340108514706845	
582	0.3661562743920932	0.16798675594004686
581	0.39380039226690045	0.1782277972529039
580	0.41997914144675974	0.1891247768963735
579	0.4357957919351776	0.20017874109974948
578	0.453655321369542	0.2114744593122267
577	0.4584995432746375	0.22242412535546627
576	0.4748736788152961	0.2335573414630814
575	0.48845794052322944	0.244744002915265
574	0.49997147890021765	0.25589293668899143
573	0.5167210565507858	0.26723585479655815
572	0.5324429049053663	0.2787201386825987
571	0.54717608135822	0.2902977871597729
570	0.5609583308820838	0.30192503743146815
569	0.5738261297413025	0.3135620216990395
568	0.5888417897173603	0.32530154690680885
567	0.5968113116095779	0.3368407166827732
566	0.5980448757021186	0.34790555743292095
565	0.5989175420671202	0.3585053102149892
564	0.596403979249974	0.36852114135769193
563	0.596745775626875	0.3781020372744411
562	0.5967678315948888	0.387256345596992
561	0.5964846484368458	0.3959924199699914
560	0.6020196976267194	0.404573060866925
559	0.606995586585743	0.4129831141851493
558	0.6175575798037052	0.42146280518525636
557	0.6288556716958631	0.4300401521830295
556	0.6377846881931895	0.43861367663331896
555	0.6444463964395446	0.4470908902010317
554	0.6520126005110107	0.4555139964212742
553	0.6589014705649774	0.46385828256370737
552	0.6651402829528941	0.47210126148231524
551	0.6738377067654291	0.48034852794942784
550	0.6830291232013508	0.48862061372934734
549	0.6933060335036068	0.49696119730038424
548	0.7027609808433262	0.5053343564577952
547	0.7114264890577111	0.5137070999946468
546	0.7249070261184372	0.5222752681978349
545	0.7405023562964139	0.5311165563123628
544	0.7525284018182994	0.5400752395580829
543	0.7636224155677063	0.5491090661458293
542	0.776927522676683	0.5583045066563
541	0.7873644684568859	0.5675394625067777
540	0.7987905018818182	0.5768525011530826
539	0.8077309855961019	0.5861407209496553
538	0.8174093062830146	0.595435207813761
537	0.8262287920028832	0.6047015843464214
536	0.8373447425179457	0.614033501877827
535	0.8444030285665178	0.6232659376590028
534	0.849144887480481	0.632310619202817
533	0.8579271169452909	0.6413373312378334
532	0.8643052651827148	0.6502510044388224
531	0.868384214862548	0.658964760884605
530	0.873399218283275	0.6675245039988391
529	0.876170081149052	0.6758473247529233
528	0.875227275248232	0.6837951845426258
527	0.867597962672626	0.6911173544311913
526	0.8598700666828165	0.6978357983791288
525	0.8489079725442252	0.7038467517713806
524	0.8411541194951653	0.7093068942031528
523	0.8333206701027329	0.71423569424267
522	0.8254151862004839	0.7186520757489027
521	0.8237478292796041	0.722824676230122
520	0.8201562681499475	0.7266871357678916
519	0.8241939078554736	0.7305547377008892
518	0.8244674823449039	0.734278109886937
517	0.8211461771799691	0.7377206953970482
516	0.8143933650850528	0.7407579783022523
515	0.8075285963632375	0.7434019528225629
514	0.8005604222330263	0.745664441996251
513	0.7966621066062949	0.747682328913742
512	0.7925309813432122	0.749456284968884
511	0.7881796896404438	0.7509874428358807
510	0.7804507057005807	0.752152067718681
509	0.7726712156084581	0.7529628960514823
508	0.7648474609648126	0.7534323820122824
507	0.753811273681606	0.7534473453767214
506	0.7365373193820588	0.7527797116202625
505	0.7260232077844364	0.7517236045828803
504	0.7187913542229012	0.7504240662485997
503	0.7083380741437466	0.7487637196895295
502	0.7011760098430884	0.7468867654961078
501	0.6907956641413158	0.7446749211397052
500	0.6805310842240999	0.7421460824236389
499	0.6703822559673718	0.7393174200921325
498	0.6603491083362059	0.7362054080434297
497	0.6568064634066175	0.7330770282290607
496	0.6530860123806512	0.7299259035832802
495	0.6491977157246964	0.7267463044843999
494	0.645151169071422	0.7235331081651021
493	0.6409556148582425	0.7202817602737203
492	0.6366199536150745	0.716988238477617
491	0.6321527549118358	0.713649018005527
490	0.6275622679758541	0.7102610390311377
489	0.6260530817545273	0.706947463678711
488	0.6210914308149427	0.7035694901005989
487	0.6160345800500764	0.7001259057438423
486	0.6076896509304532	0.6964899550465375
485	0.602611061717969	0.6927976979850229
484	0.597452036117609	0.6890481815426134
483	0.5922188664110593	0.6852407378183739
482	0.5901213244936834	0.6815009240224801
481	0.5910187678755925	0.6779437939824194
