	macd	trigger
263		
262		
261		
260		
259		
258		
257		
256		
255		
254		
253		
252		
251		
250		
249		
248		
247		
246		
245		
244		
243		
242		
241		
240		
239		
238		
237		
236		
235		
234		
233		
232		
231		
230		
229		
228		
227		
226		
225		
224		
223		
222		
221		
220		
219		
218		
217		
216		
215		
214		
213		
212		
211		
210		
209		
208		
207		
206		
205		
204		
203		
202		
201		
200		
199		
198		
197		
196		
195		
194		
193		
192		
191		
190		
189		
188		
187		
186		
185		
184		
183		
182		
181		
180		
179		
178		
177		
176		
175		
174		
173		
172		
171		
170		
169		
168		
167		
166		
165	-1.3233250240546752	
164	-1.3165419758856274	
163	-1.3094071972608994	
162	-1.291121413052572	
161	-1.2730450840503948	
160	-1.249736832768189	
159	-1.240531673638742	
158	-1.22839385634758	
157	-1.2107193602559292	
156	-1.2042566508952959	
155	-1.197483952302509	
154	-1.1904192325542837	
153	-1.172001303403789	
152	-1.1649572283901364	
151	-1.1576500560459984	
150	-1.1473058855024867	
149	-1.1340654785056579	
148	-1.126472908712465	
147	-1.1175380659883665	
146	-1.1039465760091645	
145	-1.090427367641425	
144	-1.074155251633833	
143	-1.0580943670462482	
142	-1.0422424657980045	
141	-1.0066722425573147	
140	-0.9665368675455	
139	-0.9277719104454683	
138	-0.8960601925829472	
137	-0.8653617780370446	
136	-0.8356443071405764	
135	-0.8068765163833298	
134	-0.7732551045762044	
133	-0.7407934630913644	
132	-0.7152483464544446	
131	-0.6905180524041725	
130	-0.660760915515624	
129	-0.6320388606574099	
128	-0.6189095561883882	
127	-0.6089934184237293	
126	-0.6109375170923776	
125	-0.6183486702498975	
124	-0.6133526443733075	
123	-0.602388538917964	
122	-0.5798306870457566	
121	-0.5580131665336197	
120	-0.5339555752441392	
119	-0.5196143953448242	
118	-0.4997340067114564	
117	-0.48348086733865614	-0.7888097271367497
116	-0.4707012008853475	-0.7743829519769128
115	-0.4523085455909843	-0.759865397744595
114	-0.4434783912236391	-0.7456872802063599
113	-0.43482668188480744	-0.7318343486327017
112	-0.4293415124448039	-0.7184260117804252
111	-0.42388876600024616	-0.7054366966318275
110	-0.40646892340771856	-0.6923160869647543
109	-0.3956465320107547	-0.6793568661438031
108	-0.3851171711308794	-0.6665609422752591
107	-0.35077652880768895	-0.6528865024383073
106	-0.3268726513157745	-0.6388265649701051
105	-0.3008737581933474	-0.624308520299188
104	-0.28497819052529394	-0.6097856595208689
103	-0.2841926009494067	-0.5959004839190063
102	-0.2717814842329922	-0.5821254207308111
101	-0.26890075848589845	-0.5688569451453895
100	-0.25690096834141585	-0.5556836449229736
99	-0.2544411889530629	-0.5430009612230324
98	-0.2519638581868584	-0.5307831907749353
97	-0.22203799044160277	-0.5178577637974668
96	-0.18115668307116906	-0.5037992179756542
95	-0.14815494168079013	-0.4889873160923483
94	-0.11658091316904873	-0.4735149387296449
93	-0.08638546219595966	-0.45746827167316206
92	-0.051392354094360826	-0.4406737979233411
