	macd	trigger
4815		
4814		
4813		
4812		
4811		
4810		
4809		
4808		
4807		
4806		
4805		
4804		
4803		
4802		
4801		
4800		
4799		
4798		
4797		
4796		
4795		
4794		
4793		
4792		
4791		
4790		
4789		
4788		
4787		
4786		
4785		
4784		
4783		
4782		
4781		
4780		
4779		
4778		
4777		
4776		
4775		
4774		
4773		
4772		
4771		
4770		
4769		
4768		
4767		
4766		
4765		
4764		
4763		
4762		
4761		
4760		
4759		
4758		
4757		
4756		
4755		
4754		
4753		
4752		
4751		
4750		
4749		
4748		
4747		
4746		
4745		
4744		
4743		
4742		
4741		
4740		
4739		
4738		
4737		
4736		
4735		
4734		
4733		
4732		
4731		
4730		
4729		
4728		
4727		
4726		
4725		
4724		
4723		
4722		
4721		
4720		
4719		
4718		
4717	0.31101159081784147	
4716	0.3112460931050265	
4715	0.3123345135769995	
4714	0.3121828120904553	
4713	0.3118782621249494	
4712	0.31142839987485615	
4711	0.30571336045969133	
4710	0.30115200035099576	
4709	0.29456898613467786	
4708	0.2819895023759784	
4707	0.26776546328039785	
4706	0.25617494465519997	
4705	0.24499936817811374	
4704	0.23633433854385544	
4703	0.2279557036943487	
4702	0.21985385047062778	
4701	0.21095689193813882	
4700	0.20130368922811215	
4699	0.19199917248471365	
4698	0.18303134469685745	
4697	0.13205882685956283	
4696	0.09187861089780824	
4695	0.05567599787504207	
4694	0.025332417338830737	
4693	-0.004638994681187114	
4692	-0.034300695788985536	
4691	-0.06685661439392732	
4690	-0.10216590318222529	
4689	-0.1293025764694704	
4688	-0.1573032582727052	
4687	-0.18392937680299326	
4686	-0.20923184201545553	
4685	-0.23545768921569277	
4684	-0.2581518243543144	
4683	-0.27531429647389416	
4682	-0.2915460424021319	
4681	-0.3025123962634666	
4680	-0.30295648846870904	
4679	-0.30433720784263585	
4678	-0.30772547262294836	
4677	-0.3030578260307095	
4676	-0.2984507060708097	
4675	-0.2883707236278781	
4674	-0.27200393854040783	
4673	-0.2606784841788681	
4672	-0.2453043357465674	
4671	-0.2371443599877523	
4670	-0.2281699670204631	
4669	-0.20945001425484122	-0.11733660035908716
4668	-0.1926112198813712	-0.12075043532882955
4667	-0.17978209464401118	-0.12341129660355298
4666	-0.16744856922740325	-0.12538472033605666
4665	-0.15786480685081017	-0.12683213573197621
4664	-0.14971612421085467	-0.12784649438560666
4663	-0.14414085277500988	-0.1285650879057692
4662	-0.13982712176108691	-0.1290593376661346
4661	-0.13563934654429488	-0.12934676786121854
4660	-0.13157384190171229	-0.12944361906911053
4659	-0.12539814182601106	-0.12926843741728336
4658	-0.12396434323252947	-0.1290396887542854
4657	-0.12253289126118716	-0.12876016458767056
4656	-0.12340214983497333	-0.12853084909337492
4655	-0.11956778860022155	-0.12814861223174281
4654	-0.12045408823983905	-0.12782159482673341
4653	-0.12348398481697132	-0.12763784980454673
4652	-0.12406485093904962	-0.1274869689423438
4651	-0.12455602493788831	-0.12736357253850336
4650	-0.129467531646128	-0.1274518969794113
4649	-0.13640578861408414	-0.1278267461183232
4648	-0.14979361491924692	-0.1287439461193846
4647	-0.1579741273024382	-0.12996132709406305
4646	-0.1725513232763376	-0.13173081464217046
4645	-0.18637657876081448	-0.13399590277420959
4644	-0.1971482568301326	-0.1366077556483111
4643	-0.20505894696361793	-0.13943270581867093
4642	-0.2125048098902198	-0.14244217794069222
4641	-0.21950322326649996	-0.14560969674209365
4640	-0.22379438960561515	-0.14881734486279616
4639	-0.2300547226219436	-0.15214420961462127
4638	-0.2381935390362031	-0.15566202588257522
4637	-0.25052972703768717	-0.15953390005347667
4636	-0.26217655921063	-0.16371641426283196
4635	-0.2754466006951475	-0.16826226274517392
4634	-0.2879720949052569	-0.1731256202681982
4633	-0.2974893871428179	-0.1781709329845447
4632	-0.30871468170113303	-0.1834598038759187
4631	-0.3192714512459247	-0.18895496393425762
4630	-0.3291846985723481	-0.1946218264184058
4629	-0.3338189188267222	-0.20024024119463715
4628	-0.33340808236364694	-0.20560913728731114
4627	-0.3351476687203103	-0.21082596724267663
4626	-0.33433230351546683	-0.21579461557878532
4625	-0.333382776448488	-0.22052038330466311
4624	-0.3393535189697161	-0.22529154097569595
4623	-0.33782580058306166	-0.22980558058196482
4622	-0.34087907298484765	-0.23425703256148953
4621	-0.34361878931360934	-0.2386361137626229
4620	-0.3460577700546281	-0.24293395708248178
4619	-0.3435138377847693	-0.24695487691302692
4618	-0.3409093758053814	-0.25070807258067973
4617	-0.3394393356900025	-0.254250025807932
4616	-0.338990928169423	-0.25763031956027105
4615	-0.3360667774845325	-0.26075702296467174
4614	-0.33542670523172546	-0.26373164665995597
4613	-0.3346435258482643	-0.26655481601357905
