	macd	trigger
3942		
3941		
3940		
3939		
3938		
3937		
3936		
3935		
3934		
3933		
3932		
3931		
3930		
3929		
3928		
3927		
3926		
3925		
3924		
3923		
3922		
3921		
3920		
3919		
3918		
3917		
3916		
3915		
3914		
3913		
3912		
3911		
3910		
3909		
3908		
3907		
3906		
3905		
3904		
3903		
3902		
3901		
3900		
3899		
3898		
3897		
3896		
3895		
3894		
3893		
3892		
3891		
3890		
3889		
3888		
3887		
3886		
3885		
3884		
3883		
3882		
3881		
3880		
3879		
3878		
3877		
3876		
3875		
3874		
3873		
3872		
3871		
3870		
3869		
3868		
3867		
3866		
3865		
3864		
3863		
3862		
3861		
3860		
3859		
3858		
3857		
3856		
3855		
3854		
3853		
3852		
3851		
3850		
3849		
3848		
3847		
3846		
3845		
3844	-5557.78316380491	
3843	-5281.870840275777	
3842	-5070.390618203557	
3841	-4947.553319697094	
3840	-4855.157702324854	
3839	-4819.067077384971	
3838	-4782.223248135997	
3837	-4799.368403772009	
3836	-4895.49624451797	
3835	-5012.064941400487	
3834	-5081.990027508757	
3833	-5129.448140356049	
3832	-5172.0548635482555	
3831	-5210.020728562435	
3830	-5243.548004922981	
3829	-5328.627047344577	
3828	-5351.078969274589	
3827	-5201.582113477518	
3826	-5000.237851732585	
3825	-4805.74910986115	
3824	-4589.666194106685	
3823	-4381.316507439013	
3822	-4123.749721286062	
3821	-3705.6379756547976	
3820	-3447.3903397572576	
3819	-3313.473683301825	
3818	-3098.337317879079	
3817	-2920.2373790117563	
3816	-2806.296658764535	
3815	-2696.2028215656173	
3814	-2503.3995362247806	
3813	-2347.098893331189	
3812	-2167.9033275393303	
3811	-2082.797448672354	
3810	-2029.585799445107	
3809	-1948.716176219692	
3808	-2045.3722433701623	
3807	-2136.5405287562753	
3806	-2193.195957339951	
3805	-2158.2815188580425	
3804	-2211.8750925731147	
3803	-2232.501720952743	
3802	-2292.2495602988056	
3801	-2365.7777010088903	
3800	-2417.016569252766	
3799	-2571.1329198931344	
3798	-2746.495530728076	
3797	-2882.766411448887	
3796	-3041.0373452985077	-3114.058378632548
3795	-3309.516863467812	-3122.922761008681
3794	-3564.0264903201023	-3142.8055805851077
3793	-3864.7523710798705	-3175.1578777433933
3792	-4149.7588073808	-3218.58917802007
3791	-4359.783414312929	-3269.1739023623886
3790	-4617.913114363968	-3328.6543209816177
3789	-4801.894750965643	-3393.3094924039956
3788	-5035.112197353446	-3465.0272788859083
3787	-5315.278768994205	-3545.4911918329567
3786	-5399.226903265866	-3625.7636700760977
3785	-5355.960899377475	-3700.3815575304898
3784	-5342.14004454395	-3770.909520534104
3783	-5295.996644857863	-3836.1811041149745
3782	-5370.344441955502	-3901.6067229574596
3781	-5620.408036150213	-3974.6558090033855
3780	-5795.519829060126	-4051.789230175709
3779	-5929.317045985954	-4131.073614616745
3778	-5901.929257437645	-4205.628849282593
3777	-5811.887582552212	-4273.059772276973
3776	-5601.062420119182	-4328.655782294415
3775	-5396.987940032617	-4373.262697603629
3774	-5260.55348675017	-4410.216656901721
3773	-5158.230743312277	-4441.2944153041335
3772	-5272.219772411219	-4475.736593858125
3771	-5439.614556714601	-4515.60062529772
3770	-5657.960120839183	-4562.745292753937
3769	-5863.4768260126	-4616.315876731415
3768	-6056.644273288664	-4675.519164942711
3767	-6114.86661006161	-4734.570623204916
3766	-6290.492932704219	-4798.2893599593
3765	-6454.91312033491	-4866.014443388791
3764	-6670.25630013441	-4939.651701993494
3763	-6810.632897041563	-5015.891011243499
3762	-6941.14134312165	-5094.221644877573
3761	-7124.032545312482	-5176.685181370932
