	macd	trigger
4406		
4405		
4404		
4403		
4402		
4401		
4400		
4399		
4398		
4397		
4396		
4395		
4394		
4393		
4392		
4391		
4390		
4389		
4388		
4387		
4386		
4385		
4384		
4383		
4382		
4381		
4380		
4379		
4378		
4377		
4376		
4375		
4374		
4373		
4372		
4371		
4370		
4369		
4368		
4367		
4366		
4365		
4364		
4363		
4362		
4361		
4360		
4359		
4358		
4357		
4356		
4355		
4354		
4353		
4352		
4351		
4350		
4349		
4348		
4347		
4346		
4345		
4344		
4343		
4342		
4341		
4340		
4339		
4338		
4337		
4336		
4335		
4334		
4333		
4332		
4331		
4330		
4329		
4328		
4327		
4326		
4325		
4324		
4323		
4322		
4321		
4320		
4319		
4318		
4317		
4316		
4315		
4314		
4313		
4312		
4311		
4310		
4309		
4308	-24361.6299182378	
4307	-24602.77389554429	
4306	-24765.799845135014	
4305	-24935.38200572529	
4304	-25122.06951880199	
4303	-25248.92488691694	
4302	-25351.372424430738	
4301	-25468.803183658863	
4300	-25567.650276920234	
4299	-25648.75796574942	
4298	-25740.494103654404	
4297	-25621.375092088303	
4296	-25439.399062965647	
4295	-25253.004863019916	
4294	-25145.984028195264	
4293	-24863.780948473082	
4292	-24666.023649207084	
4291	-24492.988527796813	
4290	-24287.47986954305	
4289	-24017.261444772477	
4288	-23713.56360017322	
4287	-23168.729141402233	
4286	-22524.09970627894	
4285	-21954.805423338024	
4284	-21429.266469953232	
4283	-20917.23330334894	
4282	-20504.06816057075	
4281	-20099.633991717477	
4280	-19675.020481289597	
4279	-19288.815891407314	
4278	-18737.811374439625	
4277	-18173.8852321367	
4276	-17655.689178775356	
4275	-17140.8499158583	
4274	-16710.714034443023	
4273	-16245.389063080016	
4272	-15810.727085025283	
4271	-15417.229075011623	
4270	-15039.8536156739	
4269	-14666.337713770277	
4268	-14273.208180761489	
4267	-13949.653664471349	
4266	-13604.441278725746	
4265	-13297.64061267383	
4264	-12939.111514672753	
4263	-12501.738218476588	
4262	-12101.755002715916	
4261	-11690.221021159261	
4260	-11351.008380459505	-17703.628891757588
4259	-11051.308592907444	-17401.93459147064
4258	-10729.915939449216	-17101.19230739206
4257	-10507.283112683275	-16805.702234563047
4256	-10319.370471692004	-16516.65077368233
4255	-10158.739750600245	-16234.829181645247
4254	-9982.309429366898	-15959.088334948428
4253	-9892.870076119376	-15692.864049062922
4252	-9832.52678450162	-15436.870795193394
4251	-9679.69397931028	-15186.502141737063
4250	-9559.035092278267	-14942.815448156296
4249	-9469.178645282751	-14706.754952851983
4248	-9499.389603645832	-14483.052822727344
