	macd	trigger
1390		
1389		
1388		
1387		
1386		
1385		
1384		
1383		
1382		
1381		
1380		
1379		
1378		
1377		
1376		
1375		
1374		
1373		
1372		
1371		
1370		
1369		
1368		
1367		
1366		
1365		
1364		
1363		
1362		
1361		
1360		
1359		
1358		
1357		
1356		
1355		
1354		
1353		
1352		
1351		
1350		
1349		
1348		
1347		
1346		
1345		
1344		
1343		
1342		
1341		
1340		
1339		
1338		
1337		
1336		
1335		
1334		
1333		
1332		
1331		
1330		
1329		
1328		
1327		
1326		
1325		
1324		
1323		
1322		
1321		
1320		
1319		
1318		
1317		
1316		
1315		
1314		
1313		
1312		
1311		
1310		
1309		
1308		
1307		
1306		
1305		
1304		
1303		
1302		
1301		
1300		
1299		
1298		
1297		
1296		
1295		
1294		
1293		
1292	-0.8318707723613237	
1291	-0.8474761205968466	
1290	-0.8608747444664662	
1289	-0.8739492414520349	
1288	-0.8848674997271146	
1287	-0.8948128932068133	
1286	-0.9057367500505986	
1285	-0.915132240881432	
1284	-0.923614916467578	
1283	-0.9312245483814685	
1282	-0.9379993161648041	
1281	-0.9434233334336284	
1280	-0.9472797603465537	
1279	-0.9504717738895234	
1278	-0.9549775871343709	
1277	-0.9584506983267502	
1276	-0.9596510232923148	
1275	-0.96226857929007	
1274	-0.9675328208273797	
1273	-0.9710453132870409	
1272	-0.9739000112542264	
1271	-0.9769748647567766	
1270	-0.9785595403947447	
1269	-0.977130304131439	
1268	-0.9751569883349482	
1267	-0.9685011736130615	
1266	-0.9645202281099827	
1265	-0.9602337877892939	
1264	-0.9540510206320807	
1263	-0.949855110762531	
1262	-0.9430083923973953	
1261	-0.9335167294297015	
1260	-0.9242785105159097	
1259	-0.9147075257915382	
1258	-0.9076678574088426	
1257	-0.9016549602264838	
1256	-0.8960438508125641	
1255	-0.8902360886465299	
1254	-0.8813201528305523	
1253	-0.8735380555090995	
1252	-0.8644967405383923	
1251	-0.8566070448018994	
1250	-0.8486446026455106	
1249	-0.8422083892274852	
1248	-0.8312110136338209	
1247	-0.8202957196586453	
1246	-0.8117148982862776	
1245	-0.80430132239076	
1244	-0.7962245201755564	-0.8939051201983953
1243	-0.7878154142993115	-0.8890937674446193
1242	-0.7796887455733792	-0.8841623189755334
1241	-0.7709408844707344	-0.8790885745638763
1240	-0.7642927348189392	-0.8739729088233044
1239	-0.7566623960618024	-0.8687729877566037
1238	-0.7489961030709242	-0.8634907366152298
1237	-0.7403991887044832	-0.8580886956660132
1236	-0.7297155171285734	-0.8524810546378933
1235	-0.7197502205203552	-0.8467088434877227
1234	-0.7074641462477018	-0.8406791182897158
1233	-0.695378936468245	-0.8344127849315037
1232	-0.6846992417506232	-0.8279812718203341
1231	-0.6620648097766502	-0.8208802806395655
1230	-0.648601676686301	-0.8135333222036879
1229	-0.6372407517346517	-0.8060408848576117
1228	-0.6203082323568996	-0.7981730843228175
1227	-0.6038317491792853	-0.7899664239481723
1226	-0.5862780663051836	-0.781390889649632
1225	-0.5692256874611292	-0.7724841705049906
1224	-0.5502217834404668	-0.7631792930502522
1223	-0.5305826962505868	-0.7534675038660531
1222	-0.5082075610879322	-0.7432528977259479
1221	-0.48536926180306317	-0.7325386003901778
1220	-0.4519971784043264	-0.7209100495640629
1219	-0.42543002859389034	-0.708689597079788
1218	-0.4007757168315109	-0.695982128418552
1217	-0.3779604736065245	-0.6828844173766098
1216	-0.3566056145703911	-0.6694730467156238
1215	-0.3354254195144293	-0.6557682254216723
1214	-0.3242761915991217	-0.6421928344716502
1213	-0.3134687196828594	-0.6287541354550983
1212	-0.30842277110576255	-0.6156803208622273
1211	-0.3032635335693801	-0.6029498668499942
1210	-0.3022019666489353	-0.5907136536174609
1209	-0.3010341976230979	-0.5789450734085118
1208	-0.29543104161066225	-0.5674431947999741
1207	-0.2899316704651227	-0.5562000472919164
1206	-0.2872633374269835	-0.5453184307671968
1205	-0.2807205081583799	-0.5346256911361531
1204	-0.27507714368722347	-0.52414952838802
1203	-0.26867912487844947	-0.5138497890578942
1202	-0.26181223199097126	-0.5036996270710422
1201	-0.25817507976529797	-0.4938221975377909
1200	-0.25774960174219785	-0.48433464159743383
1199	-0.250413031536441	-0.47494267463454337
1198	-0.24140924412254705	-0.4655750459817487
1197	-0.23200404203651281	-0.4562143057603077
1196	-0.2166568594126712	-0.44662190764009263
1195	-0.2050239176383961	-0.4369557905528865
1194	-0.20088788060677132	-0.42751841466985774
1193	-0.19038524628687448	-0.41804566785385383
1192	-0.1862169288303388	-0.40879158398780446
1191	-0.18264432862198632	-0.3997706255944102
1190	-0.1813998117830291	-0.39106573522792926
1189	-0.17829752626269446	-0.3825896665374585
1188	-0.17524473646167316	-0.37433477527072706
1187	-0.1678391731243618	-0.36611860014075037
1186	-0.16068406739298524	-0.35794932395548495
1185	-0.1569194649256307	-0.34995959886290506
1184	-0.15324537860487908	-0.34214552246210467
1183	-0.14808384056209611	-0.3344407214584594
1182	-0.1392969370164696	-0.32669673046244996
1181	-0.13304638739478847	-0.319015597909919
1180	-0.12385482625639632	-0.31127803053568437
1179	-0.11185895589965433	-0.30337504341769145
1178	-0.09845479775026611	-0.29525740825996766
1177	-0.0811828204037024	-0.28678050970526214
1176	-0.06497061815483107	-0.2780006651183472
1175	-0.05452608437962603	-0.269158173284405
1174	-0.03977837575580878	-0.26008522106152604
1173	-0.01934429549209149	-0.25056611071417473
1172	0.0008046940527925983	-0.24062991677036252
1171	0.02637965420943722	-0.23007884874148996
1170	0.04760559078230564	-0.2191092468385369
1169	0.06466782149544237	-0.20790219206077382
1168	0.07456982500289655	-0.19674976367856423
1167	0.0935141781999711	-0.18529274397235895
1166	0.11409169933182639	-0.1734787453385505
1165	0.13303884942638966	-0.16138623169423588
1164	0.15010158829033315	-0.14910053078939234
1163	0.16694758204423898	-0.13663778326191844
1162	0.17816593351064647	-0.12422680404370473
1161	0.1871897907830533	-0.11195192358245679
1160	0.19729987354585	-0.09976481590158288
1159	0.20812341953197766	-0.08763378134919865
1158	0.2170719103067711	-0.07563036315900687
1157	0.22550144558315033	-0.06376984141165842
1156	0.2337503557011047	-0.05205356938832095
1155	0.2405458014539601	-0.04053296844355141
1154	0.24754668490352216	-0.029192111065420547
1153	0.25697637621835057	-0.01792819612039648
1152	0.26744228022993966	-0.0066973252435987415
1151	0.27601539105221384	0.0044273940683564675
1150	0.28405599908880497	0.01542927719685158
1149	0.28902513623179615	0.026192416379862613
1148	0.29745865996662424	0.03686258783494461
1147	0.30535486574253135	0.047422389659587304
1146	0.3114533690167338	0.0578055416459017
1145	0.31839458456393643	0.06805221244715498
1144	0.32485545710296293	0.078148955936476
1143	0.3263679308891856	0.0879072023125238
1142	0.32764284289986634	0.09733102530078432
1141	0.3258044595112075	0.10631129961767653
1140	0.3267678713893556	0.11497568810919181
1139	0.3320100350865971	0.12350483990544459
1138	0.3384465266624499	0.1319510524957736
1137	0.34409407360747757	0.14028662630138508
1136	0.34481143831799876	0.14832224850127296
1135	0.34531772666761995	0.15606147981331592
1134	0.3501197309172639	0.16368477961095834
1133	0.35002343105398026	0.17100432918141298
1132	0.34975032077772816	0.1780251744126906
1131	0.34995153313333205	0.1847777327578447
1130	0.3538210927421499	0.1914166592070221
1129	0.3528284997529276	0.19775550253589896
1128	0.3504115368907694	0.20375016145454536
1127	0.34792307976908	0.20941139422431762
1126	0.34794243461355734	0.2148508086577079
1125	0.34842450063614905	0.22009531468536106
1124	0.34548427308447494	0.22501823038509394
1123	0.3457193754647978	0.2297568816313289
1122	0.3457646378843009	0.23431107441950763
1121	0.34305120652707366	0.2385797781428495
1120	0.3402834890461328	0.24257209905877244
1119	0.33778768565532147	0.2463095875776377
1118	0.3374869752001679	0.249888431844289
1117	0.33895957598140747	0.2533844779933191
1116	0.3382544859777248	0.256715514931661
1115	0.3374061137853115	0.259882410990907
1114	0.3364214080729422	0.26288627222447075
1113	0.33530707244666225	0.26572842347898057
1112	0.3340695731181569	0.2684103905126995
1111	0.3352972968968899	0.2710352136840756
1110	0.33564956929516754	0.273570787305326
1109	0.3390404364841899	0.2761398573629128
1108	0.34565322522643704	0.27886753744626125
1107	0.34952478420828115	0.2816400365011482
1106	0.3562689814722866	0.28456831244808295
1105	0.3599366570078608	0.28752553540317477
1104	0.3651892943390429	0.29057275863214693
1103	0.3674278978917922	0.29358819321170293
1102	0.3693738799746491	0.29656160917489327
1101	0.3742721463574128	0.2996104882849674
1100	0.38327937369682274	0.30289307655849135
1099	0.38909070014785385	0.3062748161961564
1098	0.3902313160641633	0.30956857612118127
1097	0.3927345696065494	0.31283127070999067
1096	0.3949199244610835	0.3160516503768322
1095	0.401976968224778	0.3194224943639435
1094	0.4085039042708356	0.32291710184622713
1093	0.4190518038596114	0.32668835392555123
1092	0.42890171184197534	0.3306980118663194
1091	0.4452010635811732	0.33518971707277484
1090	0.454052675065002	0.33985239532196215
1089	0.4661502576401997	0.344806667367446
1088	0.4832827898039245	0.3502385938087728
1087	0.5026221275368314	0.35621599427025114
1086	0.5201718132880888	0.3626472629980178
1085	0.5340608342933795	0.36937099989125227
1084	0.5509267941530407	0.3764924998497778
1083	0.5673861859447804	0.3839802086113111
1082	0.5795612079210724	0.39165170728538157
1081	0.590880500090357	0.39946622141408805
1080	0.6065618804399175	0.40758923801724845
1079	0.6199174242838552	0.4159174275781311
1078	0.6271567097488617	0.4242028446413408
1077	0.6382781841668166	0.43259943953251023
1076	0.6485612904391331	0.4410699696350562
1075	0.6599840138719753	0.44965623451247394
1074	0.6770277456320546	0.4585741618122647
1073	0.6955370966350252	0.4678682252025365
1072	0.7115445592450165	0.4774255423569477
1071	0.7238584508521893	0.4870909212735175
1070	0.7332890634477369	0.4967470397531426
1069	0.7451523255598786	0.5064896734205881
1068	0.7528439080281437	0.5161518147699575
1067	0.7630376543130666	0.525834759130552
1066	0.7743167795193404	0.5355802609665905
1065	0.7846793876870262	0.5453499222065992
1064	0.7922149865004897	0.555031922064164
1063	0.801591248205531	0.5647018910960004
1062	0.8107724808875361	0.574352653865649
1061	0.8171664973001604	0.5838756524950566
1060	0.822844189333189	0.5932478064972613
1059	0.8362743807623723	0.602779080009831
1058	0.8499560877259746	0.612473096922495
1057	0.858027560915108	0.6221034482069503
1056	0.8600906463888336	0.6314369913537449
1055	0.8635603176067868	0.6405405339694625
1054	0.8638252160437716	0.6492974125219338
1053	0.8662262980624611	0.6578050031122799
1052	0.8680673453837251	0.6660511210727936
1051	0.8693729051727104	0.6740250222679346
1050	0.8682181465252867	0.6816408957983455
1049	0.8718606938417857	0.6891009257143627
1048	0.8768323918832692	0.696463351720557
1047	0.8804717062795859	0.7036797495908919
1046	0.8906332070471201	0.711011632538695
1045	0.9018172728647187	0.7184945742022921
1044	0.9120224214914288	0.7260842597043066
1043	0.9212879364762934	0.733739652943335
1042	0.929651800907795	0.7414228169647002
1041	0.9384503500651604	0.749149710284766
1040	0.9463595667324682	0.7568837411448917
1039	0.9534158492385245	0.7645911804147719
1038	0.9603042757671645	0.7722664886677497
1037	0.9624794701258601	0.7797260873139064
1036	0.9718540175027037	0.787260774128713
1035	0.9835454046553593	0.7949584640415528
1034	0.9941920577733434	0.8027717932899344
1033	1.0038360343154196	0.8106569051179454
1032	1.0222688202590113	0.8189556539052967
1031	1.0458302219226	0.827852945388367
1030	1.0645228904993935	0.8371343698719191
1029	1.0818095018660792	0.8467297215720091
1028	1.1042466490231604	0.8568286758794881
1027	1.138089876012394	0.8678587905410138
1026	1.1665471738630586	0.8795723295075435
1025	1.1931001809662014	0.8918678106924
1024	1.2067677187195436	0.9042170885176242
1023	1.2237359406897674	0.916747494829357
1022	1.2360422744533466	0.9292691038005101
1021	1.2438926796325376	0.9416075152540558
1020	1.2526886681925866	0.9538069965543919
1019	1.2708371177873623	0.966239766135251
1018	1.2868463593025545	0.9788127833933771
1017	1.3060086158821917	0.9916441981110192
1016	1.321015857585735	1.0045609326278513
1015	1.3326999945662124	1.0174293214732233
1014	1.3509629694473233	1.0305092582542446
1013	1.3663891664521834	1.0436811992069126
1012	1.3777988551284466	1.0567840242676685
1011	1.384068104476384	1.0696188558486937
1010	1.3841268275598502	1.0819526511558273
1009	1.3847632189147916	1.093827713544943
1008	1.3833484618249692	1.1051815952985549
1007	1.3793261889965969	1.115932479144491
1006	1.374769024638919	1.126083036651813
1005	1.3716554879705107	1.1357134243385631
1004	1.3647165830885832	1.1446940259123917
1003	1.357383320848232	1.1530348589111654
1002	1.3477255832011288	1.1606698564101607
1001	1.3462647015863176	1.1679481471211768
1000	1.3480733149692767	1.175011936529678
999	1.341940003546675	1.1815581862877058
998	1.3334353643856467	1.1875141986832072
997	1.324623989473956	1.1928910919318645
996	1.3122708603094964	1.1975726838568441
995	1.2984959829762879	1.2015304865939767
994	1.2814190873737523	1.204663392901953
993	1.2677070692684467	1.2071357091020778
992	1.2539599024996164	1.2089719628029667
991	1.2434402341162496	1.2103236673715005
990	1.2294985705703887	1.2110756284508313
989	1.2188061178033607	1.2113787864807168
988	1.204712255175913	1.2111173525675347
987	1.184125211521966	1.2100588321247088
986	1.1703682763225878	1.2085023325242288
985	1.1546763768708814	1.2063915013316489
984	1.1482103854866281	1.2041098791811138
983	1.1427428453851611	1.2017033189409203
982	1.1382311023167802	1.1992142025732941
981	1.132030412131403	1.1965795341244085
980	1.1235700839568814	1.1937164079904126
979	1.1175138264076452	1.1907280609873168
978	1.1085479319250844	1.1875052999790603
977	1.099413362169983	1.1840507030092855
976	1.0901225615578554	1.180367235035391
975	1.0819893659074822	1.176509267864815
974	1.0775690395621567	1.1726292477817142
973	1.0727889317655652	1.1687139304804128
972	1.0676679311422248	1.1647513317781788
971	1.0622242429581306	1.1607306513991977
970	1.054522472271124	1.1565656145858327
969	1.046622512137386	1.1522541102465462
968	1.0352825363512643	1.1476669793511671
967	1.0239202542927863	1.1428141560832124
966	1.0157976471292223	1.1378331061413085
965	1.0042611148389007	1.1325949783526457
964	0.9862171537689157	1.1268546604690395
963	0.9775965043123023	1.1210013886302654
962	0.960396127061454	1.1147031318997633
961	0.9460837982677539	1.108090597735897
960	0.9319311279714277	1.1011823719167342
959	0.9179382085269232	1.0939963149815217
958	0.9041050449353278	1.0865495872464017
957	0.8969422506949876	1.079113994615992
956	0.8831280008871936	1.0714282586413457
955	0.8766453839812058	1.0637897042907352
954	0.8745592315158817	1.0563688918729666
953	0.8675549303140819	1.048964413623652
952	0.8630223946170865	1.041672561066009
951	0.8510847598080566	1.0341985211010467
950	0.837294668553973	1.026476792913246
949	0.8328126867311774	1.0188821140691111
948	0.8248455767438649	1.0112728303815544
947	0.8168119789462658	1.0036469072112797
946	0.8054634619047647	0.995875000122293
945	0.7942127184516572	0.9879666682404068
944	0.7889214022359745	0.9801609647913606
943	0.7841114565937168	0.9724727424025574
942	0.7791122955071756	0.964889973732486
941	0.7771909127384262	0.957529220603025
940	0.7736499055911636	0.9503182617650725
939	0.7711695979568454	0.9432928189999609
938	0.7749122547985685	0.9366896551325978
937	0.7741735246636949	0.9303164693847674
936	0.7737163040035924	0.9241752825765212
935	0.7761327106728864	0.918369688022667
934	0.7780345765498389	0.9128663471312622
933	0.7761884398019774	0.9075064262149443
932	0.7772780211476089	0.9023994272080802
931	0.7779129546128374	0.8975176022463355
930	0.7650896988450029	0.8923243485701828
929	0.7726396915776306	0.8876308303847034
928	0.7722796522501802	0.8831072527112539
927	0.7728360718265357	0.8787828907842029
926	0.7749180919354046	0.8747097597050654
925	0.7732453661732102	0.8707307622729521
924	0.7751533317407677	0.8669826262875767
923	0.7791753141790245	0.8635392009992899
922	0.7858640664826453	0.8604931162014343
921	0.7918383958678845	0.8578007733008111
920	0.7997326799185167	0.8555235924150598
919	0.8009892539999086	0.8533849902290386
918	0.8056786077839355	0.8515141511306292
917	0.812339322647194	0.8499778828963488
916	0.8182730911776268	0.8487345573805196
915	0.8235099648103734	0.8477453574040461
914	0.8280789879932975	0.8469741270304428
913	0.8287519838136568	0.8462595330001954
912	0.827008727546584	0.8455045992717032
911	0.8333803521119272	0.8450291384890699
910	0.8390272399598508	0.8447937698671207
909	0.8374669016837153	0.8445064416418693
908	0.8440077465204361	0.8444868849664385
907	0.8426466975549687	0.844414720740036
906	0.8480725724126295	0.8445581659307635
905	0.8541117066090926	0.8449328146528103
904	0.8574766434215206	0.8454247295922613
903	0.86024136882126	0.846005774365253
902	0.8539652373241182	0.8463179102178041
901	0.8559969016783064	0.8466974785690736
900	0.8496745680644082	0.8468142271940812
899	0.8431977740219097	0.8466724054808085
898	0.8398333497043922	0.8464042071782801
897	0.8361847259391944	0.8460034431553062
896	0.8296616153892771	0.8453625870833398
895	0.8308190840237586	0.8447922535606421
894	0.8262805515367297	0.8440663043768172
893	0.8332416660888136	0.8436418087100109
892	0.8472667421844129	0.8437839629792463
891	0.8550005030709258	0.8442238273421636
890	0.8684491035250623	0.8451738382674823
889	0.8847397878899272	0.8467254442835018
888	0.8959188882362028	0.8486545991256746
887	0.9048188399224131	0.8508571185671581
886	0.9063284931003075	0.8530324667726829
885	0.9072970562559952	0.8551604900631937
884	0.9077486951535505	0.8572227727773201
883	0.9044502041904359	0.8590748290505716
882	0.9073439209453475	0.8609677347519638
881	0.9161460149626777	0.8631315890282231
880	0.9208128382326564	0.8653935989519514
879	0.9247870675137868	0.8677227547312178
878	0.9248416371578614	0.8699627110428468
877	0.9309249693336881	0.8723533879801119
876	0.9427590218497741	0.8751143933869638
875	0.9516082931406373	0.8781141543255688
874	0.9595582193023127	0.881308039394333
873	0.9640403797765771	0.8845524450632063
872	0.9684671585652929	0.8878432183012351
871	0.9630689269052688	0.8907932462270194
870	0.9704414852809933	0.8939167067218405
869	0.9789261892493109	0.8972504120623174
868	0.981954646198318	0.9005721468715238
867	0.9843333441805839	0.9038568998375313
866	0.9932552839947597	0.9073627189577643
865	0.9999501983425745	0.9109936006352812
864	1.0058188001018635	0.9147122360393676
863	1.010895706996287	0.918484136988763
862	1.0152143708986543	0.9222774796182831
861	1.0188071135561927	0.9260629555771565
860	1.0119351446013383	0.9294304925026359
859	1.004197872820754	0.9323625467172499
858	0.9923821017181069	0.9347162548216652
857	0.9766799453829691	0.936361889789413
856	0.9520660798793799	0.9369777403969161
855	0.9319864326822014	0.93678200283467
854	0.9181987490183658	0.9360532477658571
853	0.908469311439795	0.9349715247481585
852	0.8928480363468694	0.9333196232062501
851	0.8878952507261815	0.9315382752285819
850	0.8853109941839961	0.9297254406413692
849	0.8791265289996133	0.9277411695582677
848	0.8812334254286753	0.9259173364213
847	0.8775742974480352	0.9240215309375657
846	0.8736247188912856	0.9220451853332667
845	0.8654919127916969	0.9198274099029772
844	0.8611870157856671	0.9175277865678938
843	0.8533729126517926	0.9150119091211943
842	0.8454704194658262	0.9122847918399979
841	0.8283687983318302	0.9089939685190134
840	0.8200828355504797	0.9055072573752241
839	0.8058851921725108	0.901600509669636
838	0.7919149679237876	0.897299115822176
837	0.7768663701893175	0.892576262995816
836	0.7647045210226224	0.8875616848216401
835	0.754652782899548	0.8823495709632725
834	0.7414093573893226	0.8768225037057094
833	0.730337500654926	0.8710779937236475
832	0.7135277181106048	0.8648995514822905
831	0.6977639390502048	0.8583452136782393
830	0.68561210549246	0.8515713662372222
829	0.6769138611728422	0.8447220522536906
828	0.6617459270801476	0.8375465178733322
827	0.6404111955235408	0.8298157208565092
826	0.6249263911410878	0.8217808451195537
825	0.6085192755506981	0.8134176462510883
824	0.5925431675961832	0.8047559019285719
823	0.5795921742104255	0.7959259517617036
822	0.5708378299188226	0.7870989665335033
821	0.5667447070230764	0.7784576229688392
820	0.5631942479337013	0.7700159219359619
819	0.5464849941944081	0.76125000315001
818	0.5374178174666042	0.7524722703290564
817	0.5239244974924162	0.7435096125226321
816	0.5107734087139946	0.7343827025222676
815	0.4966530759429517	0.7250599720219679
814	0.4835691370357438	0.7155897431538797
813	0.4727838797443127	0.7060679445452321
812	0.45898721037536205	0.696378503946956
811	0.44427771574545005	0.686492198485533
810	0.42805331808142455	0.6763573403893427
809	0.4110429088645944	0.6659528528380027
808	0.3926398264683968	0.6552346949010056
807	0.3716144312872558	0.644112331582005
806	0.3507027057615488	0.632606071706121
805	0.32665353741957404	0.620607933066787
804	0.30743889931773793	0.6083267944491911
803	0.2961051983236658	0.5960828102498553
802	0.29164763528009985	0.5841441759021377
801	0.2872413442523296	0.5725009275691828
800	0.2861431172241069	0.5612712094858898
799	0.2849458569277772	0.5504349211219587
798	0.28365470277948646	0.5399729517489266
797	0.2816232412241888	0.5298415905274372
796	0.276932182449805	0.5199235745014049
795	0.2684025018553484	0.5100600030031238
794	0.2575164068218214	0.5001563325434518
793	0.2502493304124087	0.4903560579299315
792	0.24318320224876544	0.4806630047468199
