	macd	trigger
4932		
4931		
4930		
4929		
4928		
4927		
4926		
4925		
4924		
4923		
4922		
4921		
4920		
4919		
4918		
4917		
4916		
4915		
4914		
4913		
4912		
4911		
4910		
4909		
4908		
4907		
4906		
4905		
4904		
4903		
4902		
4901		
4900		
4899		
4898		
4897		
4896		
4895		
4894		
4893		
4892		
4891		
4890		
4889		
4888		
4887		
4886		
4885		
4884		
4883		
4882		
4881		
4880		
4879		
4878		
4877		
4876		
4875		
4874		
4873		
4872		
4871		
4870		
4869		
4868		
4867		
4866		
4865		
4864		
4863		
4862		
4861		
4860		
4859		
4858		
4857		
4856		
4855		
4854		
4853		
4852		
4851		
4850		
4849		
4848		
4847		
4846		
4845		
4844		
4843		
4842		
4841		
4840		
4839		
4838		
4837		
4836		
4835		
4834	-1.0663698811707718	
4833	-1.0380046508661849	
4832	-1.003719719832219	
4831	-0.9692041863123393	
4830	-0.9439739483359375	
4829	-0.9031414302533278	
4828	-0.8637859815112705	
4827	-0.8285893139483989	
4826	-0.8028603139190409	
4825	-0.7614450216931488	
4824	-0.6967940795460379	
4823	-0.6486487821330229	
4822	-0.5858214579054675	
4821	-0.5173199846021248	
4820	-0.4448134579515113	
4819	-0.38245515455577106	
4818	-0.3144338675250822	
4817	-0.24102637114354764	
4816	-0.14845230932144204	
4815	-0.04323042494914375	
4814	0.06557214459908778	
4813	0.16361577177656272	
4812	0.25984707337489965	
4811	0.34579046860974927	
4810	0.41617942577258304	
4809	0.4802371035068802	
4808	0.5496544959431162	
4807	0.6098475917849413	
4806	0.6525947532401943	
4805	0.6872816468833207	
4804	0.704170059581557	
4803	0.7300234765458669	
4802	0.7514204645122078	
4801	0.7685512019916558	
4800	0.7845017560481864	
4799	0.8109508224354727	
4798	0.8415962947900226	
4797	0.8718629390996426	
4796	0.9134495874737638	
4795	0.9555885358589649	
4794	1.0187720615003286	
4793	1.1005722030267435	
4792	1.1707000856692815	
4791	1.2281716961973785	
4790	1.2838592850917934	
4789	1.3348626712702725	
4788	1.3798885188583796	
4787	1.423633405667843	
4786	1.4601954777567698	0.6322461873699573
4785	1.4735165340825915	0.6703992613654319
4784	1.5003757684268493	0.7078105822090252
4783	1.522259882072845	0.7443081553217112
4782	1.5513327568627773	0.7802717243419414
4781	1.584271597339054	0.8159099274220182
4780	1.626883681465543	0.8516744829050096
4779	1.6682211995842238	0.8875097524691545
4778	1.672273632786812	0.9217900763093274
4777	1.6752902725118588	0.9545583645755219
4776	1.6893648562897994	0.9863777537987347
4775	1.7049530939406736	1.0173676160815812
4774	1.71896211401382	1.0475072688899048
4773	1.7193633399474635	1.0762617636311764
4772	1.709789679717062	1.1032790667706533
4771	1.68159784729896	1.1278576251162449
4770	1.647766618736199	1.1498814330087843
4769	1.6085628937319996	1.1692506678940005
4768	1.5642441648031422	1.185880387528648
4767	1.518103553572331	1.1998271535523508
4766	1.4610994044081593	1.210765154842831
4765	1.3845875951570719	1.2180229003087673
4764	1.3078007428029252	1.2217619752298432
4763	1.2369026337047586	1.2223910245147234
4762	1.1869697338432417	1.2209227982685447
4761	1.1570911497781395	1.218282851158724
4760	1.131050022252964	1.2146827911722853
4759	1.1117582163677184	1.2104438460579918
4758	1.1050711533577413	1.2061126047171666
4757	1.0827417479183765	1.2010511242346522
4756	1.0423991362744687	1.1945539461977566
4755	0.991030799440793	1.1862336368893698
4754	0.9260679119666975	1.1756153870718167
4753	0.838884056591894	1.1618941566786032
4752	0.7614196298354301	1.145600471165338
4751	0.6778098784890432	1.1265959094092914
4750	0.6007532596646854	1.1052630029347832
4749	0.5330921772239634	1.0820819800612547
4748	0.4682360556366518	1.0572447759539936
4747	0.42781781758796456	1.0318088295330619
4746	0.3905721476597819	1.0059265816630398
4745	0.3625928304704189	0.9799894482474749
4744	0.34192309044185265	0.954292972827472
4743	0.32513202934779883	0.9289818870216375
4742	0.29958941428640173	0.9036871412533247
4741	0.2906474409251558	0.8790735597594167
4740	0.2913256439887135	0.8554974738674607
4739	0.2824543876087091	0.8325318344021326
4738	0.286343068922875	0.8106612552690473
4737	0.28365305246228445	0.7895761336825123
4736	0.28406959326974857	0.7693673080344449
4735	0.2905851907715089	0.7502414227448038
4734	0.30292339510906174	0.7323854892657493
4733	0.3270893139002311	0.7162183245170111
4732	0.35626485483371084	0.7018695411977621
4731	0.39335135049311987	0.6895790707868391
4730	0.42226585579180664	0.6789367004952778
4729	0.45593702303902717	0.6700638509775908
4728	0.49413511513888864	0.6630678975087766
4727	0.5366384470874834	0.6580430889686577
4726	0.5722094365694801	0.6546335199160129
4725	0.6011421617425867	0.652509760778682
4724	0.6221441539509698	0.6513047468114959
4723	0.6466041058077252	0.6511182960876817
4722	0.6554142641280976	0.6512886189546627
4721	0.6666453367653418	0.6518972063892096
4720	0.6675425096691043	0.6525169736725469
4719	0.6743791148784055	0.6533826679851998
4718	0.6837213848271375	0.6545835577064686
4717	0.6827919599119383	0.6556997140287041
4716	0.6657202338384991	0.6560960684525123
4715	0.6189842208988523	0.654628632987513
4714	0.5407723215533906	0.6501281167354952
4713	0.465837736614958	0.6428457547939989
4712	0.3559977292600536	0.6315141560477686
4711	0.26683894681644915	0.6171122346030885
4710	0.16254283114427892	0.5991651375082446
4709	0.07243588948006163	0.5783745862071158
4708	-0.019968253947368453	0.5547634011431278
4707	-0.10498094987848106	0.5287356373124532
4706	-0.1606254253682522	0.501545862020566
4705	-0.23275139741932094	0.47259026639157825
4704	-0.30466145729279503	0.4419475055980747
4703	-0.3476646898158151	0.41082393842002835
4702	-0.3726019435575125	0.3799504053563462
4701	-0.4057754143806278	0.34899220049181995
4700	-0.4659291777730772	0.3168896098172575
4699	-0.5262968827857009	0.2836794624922008
4698	-0.5900297828094381	0.24927300778223999
4697	-0.6952507334567883	0.2120839971758535
4696	-0.7953274959454717	0.1724251391765547
4695	-0.8968311292961886	0.13033800450694416
4694	-0.9868640827488093	0.08637006309363997
4693	-1.0307360763873277	0.04241203953454291
4692	-1.062487098189024	-0.0010598047752364012
4691	-1.1146363721058208	-0.04486741073607041
4690	-1.1382394572618182	-0.08787485259970287
4689	-1.2177950706121692	-0.13231461702367464
4688	-1.2995061580861602	-0.17821501552047053
4687	-1.3896397550444277	-0.22584967570186726
4686	-1.4781586252491081	-0.2750867569930579
4685	-1.603547256251872	-0.32731259853109806
4684	-1.7256082604634315	-0.3822785217080569
4683	-1.8604631242806988	-0.44037938261551296
4682	-1.978598534453056	-0.5008345017779972
