	macd	trigger
503		
502		
501		
500		
499		
498		
497		
496		
495		
494		
493		
492		
491		
490		
489		
488		
487		
486		
485		
484		
483		
482		
481		
480		
479		
478		
477		
476		
475		
474		
473		
472		
471		
470		
469		
468		
467		
466		
465		
464		
463		
462		
461		
460		
459		
458		
457		
456		
455		
454		
453		
452		
451		
450		
449		
448		
447		
446		
445		
444		
443		
442		
441		
440		
439		
438		
437		
436		
435		
434		
433		
432		
431		
430		
429		
428		
427		
426		
425		
424		
423		
422		
421		
420		
419		
418		
417		
416		
415		
414		
413		
412		
411		
410		
409		
408		
407		
406		
405	-0.08408985005393532	
404	-0.08411929477022895	
403	-0.08734094985017649	
402	-0.09252790372652697	
401	-0.1001326184664677	
400	-0.0969888359804898	
399	-0.09885363219888887	
398	-0.1016731888337361	
397	-0.1032106048061685	
396	-0.09912513007284218	
395	-0.10069342100151246	
394	-0.09716348040101508	
393	-0.0959658263879426	
392	-0.0947755388419047	
391	-0.09637597028284262	
390	-0.09729427647618039	
389	-0.0958829027690129	
388	-0.09448874277737573	
387	-0.0931116444300244	
386	-0.0917514567104476	
385	-0.0960520050257685	
384	-0.09388128099352144	
383	-0.0923307310265109	
382	-0.09364578240142762	
381	-0.09485214125999875	
380	-0.09595430173234831	
379	-0.09695659137275214	
378	-0.09786317768123354	
377	-0.09867807432945241	
376	-0.09652971762375628	
375	-0.09443167318278611	
374	-0.09353723371865286	
373	-0.08916619326388542	
372	-0.08437209222976705	
371	-0.08556166492662598	
370	-0.07792903757600556	
369	-0.07352156324610704	
368	-0.06461036184941804	
367	-0.05607633333813311	
366	-0.04614922805079047	
365	-0.04428153659147327	
364	-0.03895133262188466	
363	-0.046795284474551835	
362	-0.04659132191062909	
361	-0.04637305255744195	
360	-0.05205538865369519	
359	-0.058635483188677284	
358	-0.05776551850717482	
357	-0.06284727284575098	-0.07442800200430183
356	-0.06171441274456768	-0.07385141861030708
355	-0.05762269575506451	-0.07311990638983612
354	-0.05368890134231563	-0.07224915295252157
353	-0.05289558690310514	-0.07138669683027118
352	-0.052710056353536316	-0.0705588336321313
351	-0.04891085892063529	-0.06960414158592959
350	-0.04526040434826939	-0.06853578337899434
349	-0.03754785455245013	-0.06718215808869661
348	-0.03137171497817093	-0.06562483012952718
347	-0.034497680526264674	-0.06427692847133047
346	-0.03444753010598589	-0.06299048167072137
345	-0.035589993447835866	-0.06181338976898857
344	-0.036057532512163704	-0.060711075309163046
343	-0.03587997119227282	-0.059652133074448666
342	-0.029630848196593007	-0.05837622793903887
341	-0.03396815402958708	-0.057342280195481245
340	-0.02836940891889128	-0.05611881162936442
339	-0.023011436564221555	-0.054724949782319635
338	-0.011796495287931918	-0.05292280841535166
337	-0.006573223262488881	-0.05098241168146726
336	0.00024627428043899613	-0.048843419946028914
335	0.0006454855230373369	-0.04678230196669087
334	0.0022493765054498738	-0.044745181696758375
333	0.0031668342549586725	-0.04275921003976626
332	0.004040895779240827	-0.040823652882492505
331	0.009780999035431392	-0.03873522144237274
330	0.010341968653250433	-0.03671397903671683
329	0.015789751310421707	-0.03455586461826919
328	0.020981494023128988	-0.032277358461241384
327	0.020383259622196448	-0.030120780307887757
326	0.021034763229927478	-0.028029470538677423
325	0.025348060347013757	-0.025850951605190374
324	0.027599361662002053	-0.023672942027396383
323	0.03715186086567712	-0.02119822729945018
322	0.04872552722850543	-0.018357489730234607
321	0.05974776494590017	-0.015188838244884595
320	0.0683787886016276	-0.011803165675842147
319	0.07906333493178508	-0.008126559328378484
318	0.09480853751397689	-0.003966820738673853
317	0.10854652092168138	0.0005745573200961352
316	0.12160415057223162	0.005454078566405333
315	0.13525025966283266	0.010681284696853957
314	0.14758378989879972	0.01618885965380471
313	0.16489002740154035	0.022165032545234394
312	0.18569079688754542	0.028730601993409547
311	0.20857144708457653	0.035944482463222086
310	0.22343402165650872	0.043458432572532464
309	0.24625726489769661	0.05157893630821987
308	0.27417165921007225	0.06048466984645923
307	0.2987985052735702	0.07001183193962673
306	0.31526240155325524	0.07980884417655917
305	0.33520359553781987	0.09000363045716007
304	0.3590838501868596	0.1007371742392435
303	0.38169418626404905	0.11193693094978305
302	0.40308070796940143	0.12353525508299319
301	0.42265963756004155	0.1354441030672372
300	0.4461618346034122	0.1478071329417464
299	0.47151236846288214	0.16067954263946468
298	0.5011342563602881	0.17421056525585332
297	0.5297819962112982	0.18833492456136428
296	0.5581157610413783	0.2030162760375821
295	0.584243981342901	0.21814473081135588
294	0.6101460907021661	0.2336934479393274
293	0.6263494249458006	0.2492611363187183
292	0.6402306726957114	0.26475527706304997
291	0.660735945534185	0.2804415094589309
290	0.6799691378967943	0.29626195414591916
289	0.7043049986548269	0.31241341831425756
288	0.7145118969950097	0.32832374020599947
287	0.7238870187369919	0.3439699599947742
286	0.7356314648104068	0.35945660429644855
285	0.7426595732710837	0.37460386462807865
284	0.7496199701962958	0.38942288563640226
283	0.7552433000831265	0.4038741970650716
282	0.7595870967929024	0.4179221748520399
281	0.7582611261075236	0.43135927853051703
280	0.7616879124197169	0.44439769330397905
279	0.7639306695047168	0.45700677246196575
278	0.7612260459357998	0.46900861437308655
277	0.7550708794409822	0.4802914806789355
276	0.7488062665374642	0.49087984317078853
275	0.7468975475690129	0.500973213228032
274	0.744690399842252	0.5105796355630571
273	0.7409249812949632	0.5196571690108519
272	0.7426859875692706	0.5284446769203363
271	0.7446214342200577	0.5369606321253932
270	0.7588441309565255	0.5456998419559885
269	0.7720283693900178	0.5546126035761801
268	0.7842145002808003	0.5636527864736408
267	0.7954415552734524	0.5727776355848837
266	0.7987194536953588	0.5816709607929693
265	0.8135789588765192	0.5907977941468708
264	0.8439650089128534	0.6007599006985765
263	0.8603817666448705	0.6109746261431858
262	0.875607339075053	0.6213851591523849
261	0.9108065475643308	0.6327694574575872
260	0.9356119642454175	0.6446802538524773
259	0.9664898124072039	0.6573355777287057
258	0.9916202095181674	0.6704800466499956
257	1.018298558682094	0.6841552410640394
256	1.0208041419348959	0.6973899380389559
255	1.0233090277536796	0.7102015658905417
254	1.030301184790268	0.7227832579213304
253	1.0524794130521187	0.7357409826525785
252	1.0718209334497395	0.7489484632009202
251	1.0922953519573646	0.7624404054035673
250	1.1035691020787013	0.7758441149078755
249	1.112474557357121	0.7890700654897712
248	1.1216837952436265	0.8021372415289733
247	1.129893487150266	0.8150126750995998
246	1.1403580662010455	0.8277925342390987
245	1.1433280551167648	0.8401862446505514
244	1.1487858098553758	0.8523067629052347
243	1.1495417152907272	0.8639802234138003
242	1.14966797036859	0.8751995358434308
241	1.1459760510110506	0.8858326749687153
240	1.1334924206406392	0.8955575212459652
239	1.1312889067134613	0.9048135024102746
238	1.1279558114402768	0.9135747424972909
237	1.133205619794495	0.9221977050595205
236	1.136985261179305	0.9306301297876428
235	1.1406479670561467	0.9388749381588297
234	1.1403310518269691	0.9467833013899366
233	1.14523798944548	0.9545735264952974
232	1.1467495382519424	0.962116993518036
231	1.1482426062324826	0.9694226928729872
230	1.1548761935028686	0.9767017505631316
229	1.1606090915507075	0.9839198734384638
228	1.1654792712752275	0.9910456074111558
227	1.1559740802388703	0.9975184155837928
226	1.1404942715296187	1.0031294970285478
225	1.1296456983488703	1.0080944746878926
224	1.1090220509122837	1.0120551458420188
223	1.0887620729781702	1.0150652518652725
222	1.0740256823225138	1.017378896101494
221	1.0787785754421115	1.0197881979035617
220	1.0892149233891892	1.0225124128937255
219	1.1011951843688408	1.0255997520921807
218	1.0900895356702271	1.0281301336400286
217	1.07116894544804	1.029818808884257
216	1.0551393212154387	1.0308122668259254
215	1.0405848342525275	1.0311956889367324
214	1.0267995071005913	1.0310232100496952
213	1.0189284203837765	1.0305486941704332
212	0.9985995746557883	1.029295253537709
211	0.9916137167277235	1.0278169411252904
210	0.9811968331340708	1.0259879823442062
209	0.9642753798964243	1.0235669655406743
208	0.9521530729431404	1.0207654037136398
207	0.9433239713108605	1.0177274252016655
206	0.9318183376266127	1.0143573120337364
205	0.9151746382699315	1.0104665427297004
204	0.9065817729768568	1.0063913695864353
203	0.9030887471986553	1.0023390819887885
202	0.8863359102497697	0.9977886386132232
201	0.8698856897455265	0.9927714602170212
200	0.8537328359584073	0.9873175275218398
199	0.8508262441371457	0.981963572244722
198	0.8476100207787454	0.9766935231820821
197	0.8279039757861959	0.9708572745516421
196	0.8235671400546778	0.9650798931561595
195	0.8189999222016553	0.9593500302991299
194	0.8135671404507328	0.9536318685996855
193	0.8086071517064717	0.947943491601666
192	0.8015084256032203	0.9421998406552763
191	0.7865379555056471	0.9360943302309995
190	0.7698958382943175	0.9295755905601485
189	0.7659299595812925	0.9231570252555018
188	0.7623950245929549	0.9168516046749091
187	0.7586248370109665	0.9106456609137059
186	0.7539835614595702	0.9045011240718202
185	0.7381364103493233	0.8979760737890482
184	0.731059329965543	0.8914294092772939
183	0.7161407366764081	0.8845544256733452
182	0.7080165484272065	0.8776304833713454
181	0.6921093029688095	0.8703542460815473
180	0.674620511611689	0.8626775042162769
179	0.6562800276697729	0.854582564455684
178	0.6371360940703887	0.8460543195699277
177	0.6282672691088429	0.8375127537652443
176	0.6168798430692348	0.828859609521124
175	0.6024452692073545	0.8199797548100599
174	0.5883550700042903	0.8108955875947865
173	0.5733026321719628	0.8015773827904028
172	0.5586378721478624	0.7920495238311683
171	0.5404555066829388	0.7821822765499775
170	0.5267160034674525	0.7721631960123525
169	0.5133285789937823	0.7620120446719322
168	0.4963881885351711	0.7515946595123889
167	0.48190960014623485	0.7410180302051464
166	0.4710870892182655	0.7304317870321313
165	0.47220260137385495	0.7203044941332604
164	0.4665268562571434	0.7103518084487496
163	0.4621660642403995	0.700618450240676
162	0.45256715828089966	0.6908903878740865
161	0.4477172876077944	0.6813536597275294
160	0.44350509873972044	0.6720257688657911
159	0.4392541032363795	0.6628970015823102
158	0.4349682769609089	0.6539581811843086
157	0.4306514329461244	0.6452006405339793
156	0.42630722682211086	0.6366161958805364
155	0.42193916207872206	0.6281971219259253
154	0.41755059516760085	0.6199361280694268
153	0.41249490416791446	0.6118008509782333
152	0.4074549558009224	0.6037869768463887
151	0.4095814865318097	0.5961707925542687
150	0.3964497381023264	0.5883383150021161
149	0.3915095313742363	0.5806192746766513
148	0.39309048032871985	0.5732649621930607
147	0.3787947115933932	0.5656384366233016
146	0.3805540319475611	0.5583800040892735
145	0.39828646875068685	0.5521016429139671
144	0.4026519017867969	0.546240704332361
143	0.4027081631383851	0.5406118255095799
142	0.40255224417022006	0.5351975840714678
141	0.4021938923653501	0.5299816232468308
140	0.3957909351187183	0.5247191175195471
139	0.38947378391221577	0.5194152571295609
138	0.3832418143610745	0.514075004275955
137	0.3770943863035683	0.508703101443052
136	0.37103084484881776	0.5033040794409026
135	0.34619223500887486	0.4971427100535571
134	0.31840369250398126	0.49013320501091334
133	0.2897650042308193	0.4822754865489989
132	0.2759381015339031	0.47418368393468346
131	0.2625977752205131	0.46588605893714846
130	0.25363110889830054	0.45756220203131825
129	0.22998179134846808	0.4486373426469071
128	0.21574620331973904	0.4395042217017796
127	0.1922905418600358	0.42980942981683995
126	0.16980391252495153	0.41961299580114875
125	0.14565194966557726	0.40886928442476145
124	0.12837949856556818	0.39786954633971694
123	0.1163811018050076	0.3868306501320143
122	0.09836374993277985	0.375518091054527
121	0.08371864120652006	0.3640748474561828
120	0.0677458319100559	0.3524539769391229
119	0.04921296549937182	0.3405620498570408
118	0.04516167885307709	0.3289776067311871
117	0.04582579051088942	0.3178735081665197
116	0.03992955845230384	0.3069736456779767
115	0.02972686285356474	0.29610112721984894
114	0.01737117523893872	0.28517044852314744
113	0.005569673720170698	0.2742056232560443
112	-0.00504607886009012	0.26325449071090784
111	-0.018428734631690702	0.25220800694845974
110	-0.037698776413449764	0.24083903163890238
109	-0.052817163631612374	0.22932302276083266
108	-0.06721885933574612	0.21769385206510206
107	-0.07962754729257071	0.20603411490045018
106	-0.09923814917437213	0.19406258012615396
105	-0.10814159761997288	0.18221136605185856
104	-0.11658284643003114	0.17049387960200565
103	-0.12457856727143835	0.15892234814078715
102	-0.1458117202432092	0.1469719300498432
101	-0.15298473358143383	0.13520886455555214
100	-0.15714777770043398	0.12374384287011232
99	-0.166896691871532	0.11234612200008959
98	-0.17351087292174583	0.10113599383470795
97	-0.1901468235247279	0.08971308936639519
96	-0.2059253362603961	0.07811937794549592
95	-0.2189246554002935	0.0664705463049532
94	-0.22796290820443588	0.0549240924983125
93	-0.23191412803808475	0.04367549380920812
92	-0.2355644199432767	0.03272487058785948
91	-0.24218016032228462	0.021944244849004087
90	-0.2464153865130605	0.011420303698764782
89	-0.24447080978655578	0.0013853268881696883
88	-0.24313848130000082	-0.00820387069027849
87	-0.23718361417925493	-0.017183494232714164
86	-0.2313766779821833	-0.025583250079034305
85	-0.22311009887134858	-0.033329421523795075
84	-0.2079434836265186	-0.04017704922365917
83	-0.19466195116336493	-0.046235295480871325
82	-0.18709241911201246	-0.05175911722348433
81	-0.17977052323274023	-0.056779183688450245
80	-0.16682976799794602	-0.06109490223322127
79	-0.1732713565432924	-0.0654939880357334
78	-0.17932900896538584	-0.06995811543729799
77	-0.18176195374193682	-0.07434258811477529
76	-0.17747898767870396	-0.0783871602752819
75	-0.17329883018358672	-0.08210919315243671
74	-0.1659637519185253	-0.08539761282942829
73	-0.1660381843316152	-0.08855999336377189
72	-0.15886110170572465	-0.09131690391310891
71	-0.15257953542015912	-0.09371936368421371
70	-0.14585379814203137	-0.09576385428091598
69	-0.1484737662030966	-0.09783091253632033
68	-0.13657315356939748	-0.09935021814422844
67	-0.12449287254945673	-0.10033620586222129
66	-0.11354958807195104	-0.10085437835520886
65	-0.10304607175914882	-0.10094032721840004
64	-0.09817657512600775	-0.10083194465951932
63	-0.08826906968561943	-0.10033928235479073
62	-0.07811616744818295	-0.09946778673301909
61	-0.06903658014231695	-0.09827440487259578
60	-0.06619510416353336	-0.09701639185476811
59	-0.066053208640799	-0.09580214823948505
58	-0.05937202775460193	-0.0943735147791035
57	-0.05166224826009014	-0.09269856170399157
56	-0.04297477427092389	-0.09074860763721777
55	-0.034660995288646745	-0.08854909167351105
54	-0.013033997728555846	-0.08558771317149254
53	0.0004510276980518313	-0.08221364241840359
52	0.013972159487838809	-0.07844164751906108
51	0.02035788710304587	-0.07456715333249515
50	0.031000053465270128	-0.07042726016705622
49	0.03658264235772535	-0.06623079076910046
48	0.048403424087979374	-0.06173532865369753
47	0.06552067802421746	-0.05674489412966854
46	0.07921862144344516	-0.051412988591923135
45	0.08573886148642984	-0.04603448179244607
44	0.0919171511156307	-0.04062461105706273
43	0.09776586149255806	-0.0351975310244298
42	0.11892578270824927	-0.02915347664028504
41	0.1175692554261687	-0.023399641389557916
40	0.1188181510027917	-0.01782247061985643
39	0.11929698756639695	-0.012445234704674353
38	0.11383090943680685	-0.007493227051680572
37	0.11181082832658973	-0.002814634828865612
36	0.10656849192367801	0.001474901153125841
35	0.1080218847705865	0.0056532157331279816
34	0.1060965962448499	0.009592173187495319
33	0.1204845505819172	0.013940895307844538
32	0.16020302678392895	0.019676666992203756
