	macd	trigger
862		
861		
860		
859		
858		
857		
856		
855		
854		
853		
852		
851		
850		
849		
848		
847		
846		
845		
844		
843		
842		
841		
840		
839		
838		
837		
836		
835		
834		
833		
832		
831		
830		
829		
828		
827		
826		
825		
824		
823		
822		
821		
820		
819		
818		
817		
816		
815		
814		
813		
812		
811		
810		
809		
808		
807		
806		
805		
804		
803		
802		
801		
800		
799		
798		
797		
796		
795		
794		
793		
792		
791		
790		
789		
788		
787		
786		
785		
784		
783		
782		
781		
780		
779		
778		
777		
776		
775		
774		
773		
772		
771		
770		
769		
768		
767		
766		
765		
764	-0.8495742024195181	
763	-0.8565344211282735	
762	-0.854629726162571	
761	-0.8523773934041259	
760	-0.8525077506516823	
759	-0.8086777352539087	
758	-0.7937872735769815	
757	-0.7956034049022378	
756	-0.7969267123025645	
755	-0.803277653618153	
754	-0.8144300278839012	
753	-0.8080645837939926	
752	-0.8015865097170689	
751	-0.822768299935106	
750	-0.8425360724790352	
749	-0.8609474650801587	
748	-0.883650669667901	
747	-0.8824185495465855	
746	-0.8864135159855806	
745	-0.8897709188037197	
744	-0.8925191052544363	
743	-0.8833725046784195	
742	-0.891208617908859	
741	-0.8698229547705694	
740	-0.8603745458396617	
739	-0.8737465371825692	
738	-0.8917708871078531	
737	-0.9085069154556464	
736	-0.9354855678239602	
735	-0.9607407616788777	
734	-1.001626444112759	
733	-1.0516605660131404	
732	-1.0988504403975412	
731	-1.1490996792630739	
730	-1.1674211056824362	
729	-1.2075692778135192	
728	-1.256907870640788	
727	-1.3208469492738715	
726	-1.3987139514638187	
725	-1.4898604424438275	
724	-1.599527870046927	
723	-1.6915925547157542	
722	-1.8080010471178554	
721	-1.8945668329037204	
720	-1.9407699133798246	
719	-2.0075251766358093	
718	-2.034661077070325	
717	-2.077316933084262	
716	-2.1466697605069953	-1.3385371050684816
715	-2.2058064619794067	-1.3778692794135414
714	-2.2611155474813245	-1.4176817430645698
713	-2.3127447937713157	-1.457791826207984
712	-2.3608369272357947	-1.498034372416833
711	-2.405529796975742	-1.538260132794269
710	-2.4469565413990892	-1.5783343312016787
709	-2.4852457486013435	-1.6181353792611068
708	-2.5205216108032857	-1.6575537228189903
707	-2.55290407310018	-1.69649080408999
706	-2.582508976764899	-1.7348581258448788
705	-2.6094481973348707	-1.7725764058293632
704	-2.6338297777012087	-1.8095748111542613
703	-2.6557580564081604	-1.8457902637250856
702	-2.6753337913605577	-1.881166808916632
701	-2.716899836788926	-1.916685477302487
700	-2.7551865651778655	-1.9522051299795316
699	-2.8024753250222716	-1.988110403102439
698	-2.846180461765684	-2.024236224449158
697	-2.8773089574244324	-2.0600483141047072
696	-2.9207928629215445	-2.0960828526172883
695	-2.960806420774915	-2.1321883378741875
694	-2.9913778507019373	-2.1679719329196443
693	-3.0618428756691713	-2.2051096094773284
692	-3.0540683484581876	-2.2402992787091724
691	-3.060411333626604	-2.274217444702234
690	-3.0741060675178034	-2.3072284918129133
689	-3.0856082453492917	-2.339286035500445
688	-3.0950115594513363	-2.3703493930722597
687	-3.083947525217738	-2.3996258616964807
686	-3.077970877333712	-2.4274057111247895
685	-3.0583646810202225	-2.4532001913796573
684	-3.075109965054196	-2.478582448565214
683	-3.0648181269919093	-2.5024705578093114
682	-3.0657909049837855	-2.5253897797943807
681	-3.0837127357115293	-2.548072328912867
680	-3.099242411068076	-2.5704327438009993
679	-3.0814928422283003	-2.5911379166253448
678	-3.0598729071974446	-2.6101036964241877
677	-3.0407746464851613	-2.6275076589732977
676	-3.0458405287163686	-2.6443928362143083
675	-3.036681144175361	-2.6602086303679493
674	-3.001492398371866	-2.673952953115067
673	-2.947683982415654	-2.6849651267761145
672	-2.87611551486485	-2.6926472975672686
671	-2.831276230201084	-2.6982132576983484
670	-2.7558167064467938	-2.700523880703426
669	-2.6886220983457036	-2.7000468972982046
668	-2.623104473077561	-2.696965956268353
667	-2.5592208226070596	-2.6914548980424398
666	-2.4969292822317044	-2.6836782741222187
665	-2.436189098561897	-2.673791836405509
664	-2.364424807013833	-2.661442597706977
663	-2.2758938136619093	-2.6460631515409454
662	-2.1964957249419115	-2.6281420974743255
661	-2.1447001971762063	-2.60888317352743
660	-2.062737923219956	-2.587139841508257
659	-1.9708665813655841	-2.562619178692083
658	-1.8632841651610619	-2.5348095363931624
657	-1.7533397472012098	-2.5037508229566035
656	-1.6411932903292126	-2.4694874613592797
655	-1.5396045125634856	-2.432568462167847
654	-1.4418426210827704	-2.3932529799206663
653	-1.3540937958895825	-2.3520347754533817
