	macd	trigger
2623		
2622		
2621		
2620		
2619		
2618		
2617		
2616		
2615		
2614		
2613		
2612		
2611		
2610		
2609		
2608		
2607		
2606		
2605		
2604		
2603		
2602		
2601		
2600		
2599		
2598		
2597		
2596		
2595		
2594		
2593		
2592		
2591		
2590		
2589		
2588		
2587		
2586		
2585		
2584		
2583		
2582		
2581		
2580		
2579		
2578		
2577		
2576		
2575		
2574		
2573		
2572		
2571		
2570		
2569		
2568		
2567		
2566		
2565		
2564		
2563		
2562		
2561		
2560		
2559		
2558		
2557		
2556		
2555		
2554		
2553		
2552		
2551		
2550		
2549		
2548		
2547		
2546		
2545		
2544		
2543		
2542		
2541		
2540		
2539		
2538		
2537		
2536		
2535		
2534		
2533		
2532		
2531		
2530		
2529		
2528		
2527		
2526		
2525	0.4023339373076027	
2524	0.39813516139084015	
2523	0.394741947841446	
2522	0.39671802022080627	
2521	0.3992102119913774	
2520	0.40328316431060074	
2519	0.40531986198437053	
2518	0.4043181459000529	
2517	0.39767386766194335	
2516	0.3963630695569371	
2515	0.3962895887114328	
2514	0.39601727238557416	
2513	0.39666355772138573	
2512	0.39624424074767717	
2511	0.3981474491252541	
2510	0.3958528036905875	
2509	0.3937436501462983	
2508	0.38901008895778233	
2507	0.3876709425689917	
2506	0.38901274282980935	
2505	0.391787262763323	
2504	0.39281915760327024	
2503	0.3955873399219776	
2502	0.39007248583150655	
2501	0.38461559833726255	
2500	0.3749380056622833	
2499	0.3620888732879024	
2498	0.3513696850460626	
2497	0.33608977828942344	
2496	0.34032402900639624	
2495	0.3441896674594602	
2494	0.35116576856992765	
2493	0.3625578526184263	
2492	0.37237096418283144	
2491	0.383864665878221	
2490	0.39347058433770243	
2489	0.40272561284466235	
2488	0.4133929494402686	
2487	0.42102092546887704	
2486	0.42691302565101097	
2485	0.4282109235161151	
2484	0.4351081289943899	
2483	0.44293919111214564	
2482	0.44930157770893686	
2481	0.4548486533554481	
2480	0.4610931650272647	
2479	0.4718520242695661	
2478	0.4889969948410169	
