	macd	trigger
2356		
2355		
2354		
2353		
2352		
2351		
2350		
2349		
2348		
2347		
2346		
2345		
2344		
2343		
2342		
2341		
2340		
2339		
2338		
2337		
2336		
2335		
2334		
2333		
2332		
2331		
2330		
2329		
2328		
2327		
2326		
2325		
2324		
2323		
2322		
2321		
2320		
2319		
2318		
2317		
2316		
2315		
2314		
2313		
2312		
2311		
2310		
2309		
2308		
2307		
2306		
2305		
2304		
2303		
2302		
2301		
2300		
2299		
2298		
2297		
2296		
2295		
2294		
2293		
2292		
2291		
2290		
2289		
2288		
2287		
2286		
2285		
2284		
2283		
2282		
2281		
2280		
2279		
2278		
2277		
2276		
2275		
2274		
2273		
2272		
2271		
2270		
2269		
2268		
2267		
2266		
2265		
2264		
2263		
2262		
2261		
2260		
2259		
2258	-19.404340363919687	
2257	-19.494623683416535	
2256	-19.63800963710105	
2255	-19.67791416884245	
2254	-19.675989951203633	
2253	-19.547122675653895	
2252	-19.373460285412193	
2251	-19.132493938614516	
2250	-18.906861621714825	
2249	-18.583279959893048	
2248	-18.22690174560512	
2247	-17.947087216785803	
2246	-17.50234270391593	
2245	-17.13621579178414	
2244	-16.51692973063291	
2243	-15.935009193860992	
2242	-15.456121705147666	
2241	-14.795567861622771	
2240	-14.265109121218984	
2239	-13.600108828777252	
2238	-12.993067718660654	
2237	-12.24366497564256	
2236	-11.205470265115196	
2235	-10.039431365289715	
2234	-9.192875946816912	
2233	-8.326750580744147	
2232	-7.650910955977793	
2231	-6.913719551879353	
2230	-6.115320334695525	
2229	-5.215612908727508	
2228	-4.2511400870590705	
2227	-3.4762855678702635	
2226	-2.854015591099028	
2225	-2.392289997666353	
2224	-2.084166724393185	
2223	-1.5594549763387704	
2222	-0.9211997060676822	
2221	-0.10465754470942557	
2220	0.5048157350770452	
2219	0.9747293821898211	
2218	1.5486834583031168	
2217	2.0249690435234697	
2216	2.5843055743963532	
2215	3.266994686018279	
2214	3.736607594295947	
2213	4.259672474285594	
2212	4.54928288436804	
2211	4.98941751999439	
2210	5.219709866957032	-4.119840018605618
2209	5.2523556024161735	-3.6947946399991007
2208	5.218271708088878	-3.2930367805758847
2207	5.251718298609035	-2.9101242735792017
2206	5.385540011636863	-2.540443232232602
2205	5.363896181320683	-2.190074453959077
2204	5.214677189686654	-1.8635193100021916
2203	5.018622297234174	-1.56148711192182
2202	5.030251581340508	-1.273544531048496
2201	5.327570648987944	-0.9864746056683504
2200	5.855588150245353	-0.6901921688976086
2199	6.6581067715080735	-0.373283475466273
2198	7.74069122158096	-0.024716916028765804
2197	8.488761899678707	0.33964800137214385
2196	9.855255258270972	0.7454486603299864
2195	11.102879870204674	1.1856396689460271
2194	12.239405617363673	1.6538870367055447
2193	12.880432459139001	2.12796243293761
2192	14.045272125158931	2.6296960577483928
2191	15.810567768407395	3.183030540488321
2190	17.856179153199378	3.797312837730119
2189	19.277682474951234	4.443676922496401
2188	19.44241123881818	5.06834543503824
2187	19.608068618182415	5.672427647569873
2186	19.945972198051777	6.2640716090896245
2185	20.423785299822043	6.849688558013562
2184	20.949172734913645	7.4315679886293
2183	22.00491956328699	8.031770977794677
2182	24.092470300676382	8.691930295045022
2181	25.349720099809133	9.375341922121182
2180	26.92480753550126	10.094034476866364
2179	29.2929171874772	10.878911504728329
2178	30.60966425715867	11.684190762309045
2177	33.228084089356	12.562067862387359
2176	36.1059972546866	13.519974934002109
2175	40.07189763820645	14.59867908640264
2174	43.223856106544986	15.759973676112182
2173	47.32588410425626	17.038840159298413
2172	50.11612805971754	18.37720100557663
2171	51.67364855212088	19.722752931092913
2170	54.75545888191175	21.13677867947621
2169	59.25775647470732	22.673693049620383
2168	63.02402911098727	24.298698671850087
2167	64.81499735844238	25.928665571765087
2166	65.89613510933475	27.534924026941894
2165	67.7987282748544	29.15151823214629
2164	69.45835869842347	30.76832963609697
2163	73.05256642386053	32.462939623409255
2162	77.14911136531441	34.25227055990047
2161	80.86972658652121	36.1173928163308
2160	83.74125327083789	38.02126984990425
2159	85.03621108795096	39.89937335585512
2158	85.45772156050884	41.717960545952295
2157	84.79387957889116	43.43624836122903
2156	82.80499461037402	45.005600116544755
2155	81.00846619001527	46.439849938812216
2154	80.72249201415502	47.80472287091039
2153	79.82957639603137	49.07894761148255
2152	78.9362534613324	50.2662483752487
2151	78.8928916513778	51.40398488465777
2150	80.38578139861625	52.555228408870065
2149	81.73798244080444	53.71386678793057
2148	82.76912832715107	54.866881650227185
2147	84.35762854263612	56.036630860919715
2146	85.9946944623814	57.22438254663986
2145	88.94390247991487	58.481428583379916
2144	92.80354395603194	59.841052223928685
2143	96.8067532956727	61.30481539697348
2142	97.66147229578814	62.74391171066879
2141	98.42707778077329	64.15583114929616
2140	98.34089457856021	65.5079966432566
2139	96.94707016736265	66.75112557692908
2138	95.87733001213269	67.90242720236485
2137	96.43051357873651	69.02973428347852
2136	96.49643185319383	70.11477433269873
2135	96.14144458338183	71.14263159013892
2134	96.0737987491782	72.1269522995542
2133	97.62446790161312	73.13336576180336
2132	96.55611356624286	74.05764996143539
2131	95.13361380076162	74.88912386259783
2130	93.2782160469526	75.61442633670346
2129	91.004003337232	76.22128461214955
2128	89.83689319201562	76.75807317633965
2127	88.07774198084712	77.20425229378053
2126	86.10780899242582	77.55512690546189
2125	83.84197107191812	77.80283342695772
