	macd	trigger
2356		
2355		
2354		
2353		
2352		
2351		
2350		
2349		
2348		
2347		
2346		
2345		
2344		
2343		
2342		
2341		
2340		
2339		
2338		
2337		
2336		
2335		
2334		
2333		
2332		
2331		
2330		
2329		
2328		
2327		
2326		
2325		
2324		
2323		
2322		
2321		
2320		
2319		
2318		
2317		
2316		
2315		
2314		
2313		
2312		
2311		
2310		
2309		
2308		
2307		
2306		
2305		
2304		
2303		
2302		
2301		
2300		
2299		
2298		
2297		
2296		
2295		
2294		
2293		
2292		
2291		
2290		
2289		
2288		
2287		
2286		
2285		
2284		
2283		
2282		
2281		
2280		
2279		
2278		
2277		
2276		
2275		
2274		
2273		
2272		
2271		
2270		
2269		
2268		
2267		
2266		
2265		
2264		
2263		
2262		
2261		
2260		
2259		
2258	3.564060356946584	
2257	3.5782505614473905	
2256	3.613391145289512	
2255	3.61254051682738	
2254	3.6055381503146293	
2253	3.5548640748188234	
2252	3.4941408132198433	
2251	3.408805615722173	
2250	3.3361859609208295	
2249	3.235608311650708	
2248	3.1251740414120377	
2247	3.037965775622297	
2246	2.913430699519239	
2245	2.8104785929913874	
2244	2.6446891822421037	
2243	2.4864431982719566	
2242	2.3550364834084974	
2241	2.1800888162459273	
2240	2.03636805596895	
2239	1.8690375611856496	
2238	1.7139218943345327	
2237	1.5323542865669708	
2236	1.3012046992610067	
2235	1.053726527304633	
2234	0.8533604278894416	
2233	0.657297770140957	
2232	0.4911456163357002	
2231	0.3178372805502079	
2230	0.13890484933207858	
2229	-0.05252180464069056	
2228	-0.2497639317323319	
2227	-0.41727122989726695	
2226	-0.5600586662924627	
2225	-0.6727939420412383	
2224	-0.7553158588165729	
2223	-0.8752353095393062	
2222	-1.0148230082862426	
2221	-1.1772366095107145	
2220	-1.3087780509474953	
2219	-1.4166217807631654	
2218	-1.5381496084644084	
2217	-1.642736305589267	
2216	-1.7558130717579843	
2215	-1.8852114824440775	
2214	-1.9858682710751054	
2213	-2.087702036633516	
2212	-2.157448948515821	
2211	-2.247226616986495	
2210	-2.3056091919267487	-0.22107120820561124
2209	-2.3315870984437197	-0.31678677602935745
2208	-2.3459551409735298	-0.4082518573909656
2207	-2.371899719444116	-0.4962479811826345
2206	-2.411586263200661	-0.5816015136163533
2205	-2.4230991929410948	-0.6632279795791172
2204	-2.411281684604347	-0.7403184691404701
2203	-2.3939776674986035	-0.812891564996383
2202	-2.4074899913946126	-0.8825473580609602
2201	-2.468794481831992	-0.9515302239913358
2200	-2.562488959631537	-1.0212897098013798
2199	-2.6922209800207497	-1.0933516454892531
2198	-2.8505954359458627	-1.1688407177383058
2197	-2.97308163971708	-1.2460596911731399
2196	-3.162023780393781	-1.327767507495804
2195	-3.3352824645701418	-1.413086928485425
2194	-3.493176163478722	-1.5012013605745131
2193	-3.607156476351051	-1.590131790051393
2192	-3.769150321933054	-1.6818711922123073
2191	-3.9821254701068796	-1.7784361265329875
2190	-4.205311731162496	-1.880035773676236
2189	-4.387195992171371	-1.984719211989854
2188	-4.475773527918179	-2.0884668457150894
2187	-4.559562577968961	-2.1911335167730313
2186	-4.656495032311597	-2.2933237084575717
2185	-4.761039838437611	-2.3953834267833134
2184	-4.865143086853266	-2.4973093076686372
2183	-5.002554055028355	-2.600487727420134
2182	-5.219058340664134	-2.708121508082981
2181	-5.3892012194630325	-2.818116955819456
2180	-5.572251375083482	-2.9309053418306736
2179	-5.790975560519868	-3.047828990282395
2178	-5.958531709248092	-3.1666246872320793
2177	-6.188294510252064	-3.289752605726584
2176	-6.418657618453196	-3.417055070330559
2175	-6.673617474613579	-3.549356878647262
2174	-6.897775825754252	-3.6851988615499383
2173	-7.141986063226	-3.8252477063882324
2172	-7.347553922484323	-3.9677659425391973
2171	-7.508662533621688	-4.110858091319483
2170	-7.711410856591996	-4.256187268165127
2169	-7.94078566130608	-4.40473834282662
2168	-8.14881861860627	-4.555521510752858
2167	-8.312080298243501	-4.706647518796155
2166	-8.449949407204386	-4.857087623664016
2165	-8.602168860203562	-5.007452864557105
2164	-8.740562579610398	-5.15719753046678
2163	-8.915030884666677	-5.307798851820775
2162	-9.08481017407783	-5.459038551775972
2161	-9.242525292256246	-5.610412434609672
2160	-9.379567175392381	-5.761093355443791
2159	-9.48333172836631	-5.90978542554072
2158	-9.563411133546424	-6.055629978116272
2157	-9.613618069495061	-6.197557247959105
2156	-9.621462640302184	-6.334043990602714
2155	-9.629664057062769	-6.465331940982432
2154	-9.686277619417595	-6.593565394010739
2153	-9.719938223586112	-6.7179594557844355
2152	-9.74581823847032	-6.83836479521251
2151	-9.790382917259365	-6.955689720859331
2150	-9.861277677163457	-7.071108353279626
2149	-9.92482759367833	-7.1844091278182844
2148	-9.975972989697397	-7.295188189898037
2147	-10.031023151203087	-7.403704966304109
2146	-10.07967598200841	-7.5097995766609005
2145	-10.141463685070576	-7.614092546556612
2144	-10.20944708426395	-7.716903965572006
2143	-10.27130119868638	-7.818052665332996
2142	-10.300383805581852	-7.91631014822658
2141	-10.323793190081311	-8.01156997181629
2140	-10.332908221430309	-8.103388829705304
2139	-10.316330180561444	-8.1908904992332
2138	-10.301533738883059	-8.274320078872725
2137	-10.310646152594693	-8.354786913278572
2136	-10.308957631953511	-8.431984162325127
2135	-10.297909151503639	-8.505674132017496
2134	-10.286185757447761	-8.575971461263482
