	macd	trigger
4359		
4358		
4357		
4356		
4355		
4354		
4353		
4352		
4351		
4350		
4349		
4348		
4347		
4346		
4345		
4344		
4343		
4342		
4341		
4340		
4339		
4338		
4337		
4336		
4335		
4334		
4333		
4332		
4331		
4330		
4329		
4328		
4327		
4326		
4325		
4324		
4323		
4322		
4321		
4320		
4319		
4318		
4317		
4316		
4315		
4314		
4313		
4312		
4311		
4310		
4309		
4308		
4307		
4306		
4305		
4304		
4303		
4302		
4301		
4300		
4299		
4298		
4297		
4296		
4295		
4294		
4293		
4292		
4291		
4290		
4289		
4288		
4287		
4286		
4285		
4284		
4283		
4282		
4281		
4280		
4279		
4278		
4277		
4276		
4275		
4274		
4273		
4272		
4271		
4270		
4269		
4268		
4267		
4266		
4265		
4264		
4263		
4262		
4261	-0.2694736113583929	
4260	-0.2761637906179857	
4259	-0.2810434383874991	
4258	-0.2868983419883868	
4257	-0.2923270856094611	
4256	-0.29870767255525266	
4255	-0.30463224416192247	
4254	-0.31011998580961375	
4253	-0.3151893116565141	
4252	-0.32260662991564004	
4251	-0.32950901792372633	
4250	-0.33591780791755355	
4249	-0.3418534947026153	
4248	-0.35011218172077463	
4247	-0.3584725579827044	
4246	-0.36837843880316967	
4245	-0.3762344811196918	
4244	-0.38493283176046944	
4243	-0.39302872186908644	
4242	-0.4061780459454525	
4241	-0.41991848713878	
4240	-0.43280519123706185	
4239	-0.44628919224050634	
4238	-0.4617597242855851	
4237	-0.48054646816505553	
4236	-0.4967907595320149	
4235	-0.5120292264492257	
4234	-0.526301388194085	
4233	-0.5396453275301241	
4232	-0.5514076431599975	
4231	-0.5601564946673676	
4230	-0.5689094277107962	
4229	-0.574829247929447	
4228	-0.580184038996471	
4227	-0.5864486798385684	
4226	-0.5950348343636627	
4225	-0.6029234114779456	
4224	-0.6101427400892341	
4223	-0.616720138606901	
4222	-0.6270745070693273	
4221	-0.6366345875003532	
4220	-0.6454322303465254	
4219	-0.6726276626245067	
4218	-0.6967595066258383	
4217	-0.7209066645446107	
4216	-0.7450589213787779	
4215	-0.7662448286309349	
4214	-0.7860707543964516	
4213	-0.8001333194785758	-0.5706343077212006
4212	-0.8101704454896463	-0.5814976883509608
4211	-0.8118880946187517	-0.5918825719408433
4210	-0.8175899312444344	-0.6019971006777843
4209	-0.8226153622106516	-0.6118285482701
4208	-0.8314808007877481	-0.6215648826217951
4207	-0.8425143209251793	-0.6313089198433907
4206	-0.8526151651462754	-0.6410212471293422
4205	-0.8633229667041036	-0.6507319067664363
4204	-0.8731025203761327	-0.6604023811809308
4203	-0.8819912883689334	-0.6699978648420946
4202	-0.8915333752393302	-0.6795519847435851
