	macd	trigger
3277		
3276		
3275		
3274		
3273		
3272		
3271		
3270		
3269		
3268		
3267		
3266		
3265		
3264		
3263		
3262		
3261		
3260		
3259		
3258		
3257		
3256		
3255		
3254		
3253		
3252		
3251		
3250		
3249		
3248		
3247		
3246		
3245		
3244		
3243		
3242		
3241		
3240		
3239		
3238		
3237		
3236		
3235		
3234		
3233		
3232		
3231		
3230		
3229		
3228		
3227		
3226		
3225		
3224		
3223		
3222		
3221		
3220		
3219		
3218		
3217		
3216		
3215		
3214		
3213		
3212		
3211		
3210		
3209		
3208		
3207		
3206		
3205		
3204		
3203		
3202		
3201		
3200		
3199		
3198		
3197		
3196		
3195		
3194		
3193		
3192		
3191		
3190		
3189		
3188		
3187		
3186		
3185		
3184		
3183		
3182		
3181		
3180		
3179	-0.76280775844074	
3178	-0.7705942664168148	
3177	-0.777612534071622	
3176	-0.7879540438176136	
3175	-0.7960424239675952	
3174	-0.8033380924847044	
3173	-0.8112394855442844	
3172	-0.8183510839722743	
3171	-0.8247074948635742	
3170	-0.8317162968046716	
3169	-0.8407251866101397	
3168	-0.8557870092550601	
3167	-0.8669335126234472	
3166	-0.8743374239080453	
3165	-0.8795564040450792	
3164	-0.8854773434474374	
3163	-0.8822807572462814	
3162	-0.8787844939737148	
3161	-0.8721949902148332	
3160	-0.863329373512773	
3159	-0.8551717575758104	
3158	-0.8469592879080281	
3157	-0.838698428868085	
3156	-0.8303953659004186	
3155	-0.8291721179280032	
3154	-0.827584302183535	
3153	-0.825649652960287	
3152	-0.8205211841911009	
3151	-0.8123436474029759	
3150	-0.8041319136616245	
3149	-0.7958914948837617	
3148	-0.7876276635670294	
3147	-0.7815433845950608	
3146	-0.7753430213312242	
3145	-0.7668288432300869	
3144	-0.752501748821178	
3143	-0.7384524746472323	
3142	-0.7261341396825252	
3141	-0.7096287991868451	
3140	-0.6964504768180184	
3139	-0.6835241867231083	
3138	-0.6708446014968494	
3137	-0.6392770338775868	
3136	-0.6103074534868753	
3135	-0.5889703337456353	
3134	-0.5661242299304057	
3133	-0.5469993724505287	
3132	-0.5210574948057527	
3131	-0.5019802674414429	-0.7245996859136873
3130	-0.48500890942385055	-0.7137338273228431
3129	-0.4655884828512775	-0.7025486371169921
3128	-0.4468199647585749	-0.6910887759347526
3127	-0.4346584518243226	-0.6796614295534711
3126	-0.42205411533071313	-0.6682426941935256
3125	-0.40981133315492	-0.6568456758506679
3124	-0.3971995712551646	-0.6454507513969879
3123	-0.37444733897520166	-0.6336126877798777
3122	-0.34803161740843436	-0.6211933110040493
3121	-0.3226450245180281	-0.6082652486682639
3120	-0.28920560968931497	-0.5945052241870185
3119	-0.26016484724664224	-0.5801423651416783
3118	-0.2338284898093761	-0.5653206184372135
3117	-0.201733415112745	-0.5498151522368574
3116	-0.17330285659176425	-0.533813373048757
3115	-0.1453523246989512	-0.5173578171580574
3114	-0.12006028956746917	-0.5005807075729344
3113	-0.09360950205648777	-0.48344671144370227
3112	-0.06679424257304234	-0.46595559375393497
3111	-0.04269100334546749	-0.44823588329506414
3110	-0.021189974502227926	-0.4304050986007255
3109	0.0023970619543369764	-0.41237971884820745
3108	0.02337946378533573	-0.3942752220940043
3107	0.03953720326565602	-0.3762935286899216
3106	0.051139183659081766	-0.35861578136089645
3105	0.06832166298484665	-0.3409962632347335
3104	0.08622222558708614	-0.3234012842963629
3103	0.10326387100381851	-0.30586363092555424
3102	0.12483016735776786	-0.28819375077301235
3101	0.14615178148093122	-0.27040626327369244
3100	0.1679695412866664	-0.25248485067087617
3099	0.18716605795459174	-0.23454119886321792
3098	0.20539343798257548	-0.21661460883813033
3097	0.22577723197495203	-0.19861547769572527
3096	0.2528518421367316	-0.1802740687513818
3095	0.2723732154177476	-0.16191062450848878
3094	0.29551542248618645	-0.143378390459054
3093	0.3159031116192885	-0.12479511417437071
3092	0.33364988532394335	-0.10626876685290429
3091	0.3519719899525242	-0.08777278683950827
3090	0.3692806564235305	-0.06934587217199639
3089	0.3871688136102378	-0.05096092167497129
