	macd	trigger
922		
921		
920		
919		
918		
917		
916		
915		
914		
913		
912		
911		
910		
909		
908		
907		
906		
905		
904		
903		
902		
901		
900		
899		
898		
897		
896		
895		
894		
893		
892		
891		
890		
889		
888		
887		
886		
885		
884		
883		
882		
881		
880		
879		
878		
877		
876		
875		
874		
873		
872		
871		
870		
869		
868		
867		
866		
865		
864		
863		
862		
861		
860		
859		
858		
857		
856		
855		
854		
853		
852		
851		
850		
849		
848		
847		
846		
845		
844		
843		
842		
841		
840		
839		
838		
837		
836		
835		
834		
833		
832		
831		
830		
829		
828		
827		
826		
825		
824	-0.35937495617346116	
823	-0.3769113983141281	
822	-0.39179701366462893	
821	-0.40631183211242217	
820	-0.4242663939192397	
819	-0.4384294875340018	
818	-0.44624101727441	
817	-0.4496255647874534	
816	-0.45207161852997757	
815	-0.45087252477767237	
814	-0.45005090484903576	
813	-0.44682809685771474	
812	-0.4407594225872842	
811	-0.4314195944272683	
810	-0.41951525697078296	
809	-0.4101872775951563	
808	-0.4033244112460608	
807	-0.3982590164076498	
806	-0.3915420409054491	
805	-0.3860656929627453	
804	-0.38685672459426	
803	-0.38741415453480954	
802	-0.38944926874212626	
801	-0.3906236837913113	
800	-0.3960993068156142	
799	-0.3994080471868813	
798	-0.40236039671466983	
797	-0.404398716663394	
796	-0.40785909936478504	
795	-0.40807678889139964	
794	-0.4109581949905916	
793	-0.4152297068335926	
792	-0.41793634384367095	
791	-0.4185674435930409	
790	-0.41895691903729926	
789	-0.4214421126294994	
788	-0.42301623169356617	
787	-0.4254704353308014	
786	-0.4223336398344415	
785	-0.4238120358835076	
784	-0.4255939496912191	
783	-0.42413970948406643	
782	-0.4254798536854594	
781	-0.4289006130114359	
780	-0.42958465664085566	
779	-0.43001913222668975	
778	-0.43199223922620433	
777	-0.43424870731892895	
776	-0.43677531291867666	-0.4193430135663799
775	-0.43896429396592396	-0.4202328727726327
774	-0.4432134785985511	-0.4212687271738344
773	-0.44226918089459133	-0.42220981165288185
772	-0.43516756341985285	-0.4227872500595036
771	-0.4347518481931658	-0.42331759439459593
770	-0.43233640106931404	-0.42371533058531735
769	-0.43281164627690316	-0.42411453484171824
768	-0.4330450381934625	-0.42450464013916084
767	-0.4306409766079611	-0.42477149772369954
766	-0.4281275832704381	-0.42491682658712443
765	-0.4279237507608542	-0.42504650563514246
764	-0.4250957095628962	-0.42504861937648974
763	-0.42036629203005305	-0.4248482223526925
762	-0.412006136339528	-0.42430056135472966
761	-0.4129095812625607	-0.4238164445004351
760	-0.41295466676080395	-0.4233563299241445
759	-0.41096464522870235	-0.42283305293991436
758	-0.4070311754479832	-0.4221677741582429
757	-0.4036785075150746	-0.42139159265683546
756	-0.397224756840707	-0.4203798630128423
755	-0.3939140105198149	-0.41927481339677347
754	-0.3887203924106686	-0.4180022803745572
753	-0.3817303117057236	-0.41649528806044295
752	-0.3718026925134694	-0.4146427626287611
751	-0.36213747580026734	-0.4124712507926847
750	-0.35395452870648114	-0.4100562917415724
749	-0.3478057792783247	-0.4074925065020472
748	-0.3393005692673583	-0.40468954370311766
747	-0.3334704493903615	-0.4017676700515933
746	-0.32835125903565654	-0.3987610925776309
745	-0.32206439003372367	-0.3956256247044819
744	-0.31713312359608636	-0.3924220782503084
743	-0.30917621539883555	-0.38902995058033796
742	-0.3032777399572879	-0.3855410406539735
741	-0.29872994823737997	-0.382014234444592
740	-0.29795164408768215	-0.37860389985313225
739	-0.2964366024499725	-0.3752749604613127
738	-0.294838830470475	-0.3720203838669445
737	-0.29564602239821625	-0.3689339984803152
736	-0.2968864926413701	-0.36602594368985497
735	-0.2972967899033918	-0.36325500678814
734	-0.2969139395868581	-0.360583291563195
733	-0.29265988023336575	-0.35785073908960074
732	-0.2884493713576646	-0.35506155741235024
731	-0.2849062584409907	-0.3522448178642644
730	-0.2838749372614515	-0.3495023254891089
729	-0.2889912392174949	-0.3470772446805399
728	-0.28997637107714525	-0.3447908022385839
727	-0.2938955876673788	-0.3427545307314398
726	-0.2974859087505948	-0.3409448099547468
725	-0.2995076814131252	-0.33928952305357807
724	-0.2987767331547744	-0.3376723432468366
723	-0.30106173128073976	-0.3362119549402502
722	-0.29995029185206334	-0.3347664604797973
721	-0.3031315004580435	-0.33350621537330916
720	-0.3047556502611073	-0.3323615874879224
719	-0.31243743157542525	-0.3315688328113458
718	-0.31017186387269646	-0.3307179644278789
