	macd	trigger
3324		
3323		
3322		
3321		
3320		
3319		
3318		
3317		
3316		
3315		
3314		
3313		
3312		
3311		
3310		
3309		
3308		
3307		
3306		
3305		
3304		
3303		
3302		
3301		
3300		
3299		
3298		
3297		
3296		
3295		
3294		
3293		
3292		
3291		
3290		
3289		
3288		
3287		
3286		
3285		
3284		
3283		
3282		
3281		
3280		
3279		
3278		
3277		
3276		
3275		
3274		
3273		
3272		
3271		
3270		
3269		
3268		
3267		
3266		
3265		
3264		
3263		
3262		
3261		
3260		
3259		
3258		
3257		
3256		
3255		
3254		
3253		
3252		
3251		
3250		
3249		
3248		
3247		
3246		
3245		
3244		
3243		
3242		
3241		
3240		
3239		
3238		
3237		
3236		
3235		
3234		
3233		
3232		
3231		
3230		
3229		
3228		
3227		
3226	-0.07686086113196922	
3225	-0.07829172181510557	
3224	-0.07934419277094484	
3223	-0.08138766507435857	
3222	-0.08329201153149679	
3221	-0.08402953775753108	
3220	-0.08681620304872784	
3219	-0.08723874765071837	
3218	-0.08699351906201436	
3217	-0.08517613743476726	
3216	-0.08329081608034006	
3215	-0.0798494748800831	
3214	-0.07597548057451942	
3213	-0.07224487641196298	
3212	-0.06837430209540951	
3211	-0.06548734777618659	
3210	-0.06270226691164815	
3209	-0.059454988762807304	
3208	-0.05717201141954398	
3207	-0.056092802678459286	
3206	-0.05531758913418283	
3205	-0.055681643045494944	
3204	-0.05600044012587091	
3203	-0.05684403158573037	
3202	-0.058188827060637216	
3201	-0.06001210415161218	
3200	-0.061720326176814666	
3199	-0.062115133090650865	
3198	-0.06194354844389771	
3197	-0.06232352859979873	
3196	-0.06219332537511146	
3195	-0.05961285731838917	
3194	-0.05741046829730223	
3193	-0.05470107478156194	
3192	-0.05208884773840872	
3191	-0.04927976182254401	
3190	-0.045409768226448044	
3189	-0.0431540146054159	
3188	-0.040687793891456714	
3187	-0.0376115087625255	
3186	-0.03477484216183324	
3185	-0.02911263920898577	
3184	-0.022518433242131763	
3183	-0.015036326500194264	
3182	-0.005409765297544666	
3181	0.0030684208535429747	
3180	0.012696496218618236	
3179	0.025673661661794966	
3178	0.03566692355007284	-0.03895111007356723
3177	0.044589522095467515	-0.03516239704780946
3176	0.05606042656370214	-0.03105051400852697
3175	0.06518782980225346	-0.02673782568027241
3174	0.07326704995762334	-0.02228129208700254
3173	0.08093960040571524	-0.01770590936330967
3172	0.08822027315703274	-0.013034484655714348
3171	0.09152315514794473	-0.008445829615139521
3170	0.09583026182313326	-0.003890805775555402
3169	0.1016967708050256	0.0007009968067910674
3168	0.10664125519319434	0.005288537001407994
3167	0.10889306477949923	0.009756669803026537
3166	0.11038274868523068	0.014079444696374583
3165	0.11295761820127659	0.018311291430449357
3164	0.11475209568113165	0.022424086427003855
3163	0.1158001494724541	0.026392570749002944
3162	0.11825856762142628	0.03028409617326562
3161	0.12145599507919336	0.034134109910589336
3160	0.12444577973549897	0.03793634402501726
3159	0.12845376548910536	0.041736275598911556
3158	0.13099438339922642	0.04547301111180179
3157	0.13213187840710638	0.04909134715666817
3156	0.13406659942265797	0.052630403407441254
3155	0.13498858160895288	0.05605214052591129
3154	0.13114671820574486	0.059164839916732846
3153	0.1271064660349932	0.0619747673390894
3152	0.12189699440815893	0.06444773095468764
3151	0.11766081601812672	0.06663931005398882
3150	0.11398770939449321	0.06858551964008022
3149	0.11110042320380842	0.0703297594077812
3148	0.10797986682269745	0.07187162127871055
3147	0.10451464543793598	0.0732061135076963
3146	0.10183244822608017	0.07437445177935387
3145	0.0971822036159331	0.07530382896933768
3144	0.08991221511772096	0.07589818499900673
3143	0.0821227155209936	0.07615106412175847
3142	0.07538865565073571	0.07612013397827239
3141	0.06830261208862431	0.07580341361156527
3140	0.06150394737877107	0.07522483395938022
3139	0.055914224084553155	0.07444446757754186
3138	0.05079863142313101	0.07349005026215295
3137	0.04688455308240691	0.07241740277760975
3136	0.044057891588607845	0.07127529667332039
3135	0.041959974172225856	0.07009594399585259
3134	0.038440193354130514	0.06882372642212209
3133	0.037181371111802974	0.06755328391950308
3132	0.035648652492129784	0.06627350680639053
3131	0.03479197609561879	0.06501183294371388
3130	0.034581484790923156	0.06379333600751459
3129	0.034362833945815296	0.06261584823594146
3128	0.03351056055700852	0.06145229517160301
3127	0.03267984748189434	0.060302923642938835
3126	0.03249692616518196	0.059192970520982637
3125	0.03443813837166765	0.05820550635524162
3124	0.03633618724237486	0.05733373222964109
3123	0.03875730928504062	0.05659370138731071
3122	0.04042006089438033	0.05594979056871704
3121	0.03953416566787027	0.055296635500756974
3120	0.03986367749521591	0.054682931005137124
3119	0.03889862305769931	0.05405559991171023
3118	0.03858737997441075	0.053441156013267606
3117	0.04016132807515049	0.052913909054341624
3116	0.04164308352664747	0.05246664309783865
3115	0.04240506879319916	0.052067551184564465
3114	0.041911044967045896	0.05166487471183356
3113	0.04230229765590465	0.05129383535163559
3112	0.04297002150482854	0.050964098854838435
3111	0.043585285414474484	0.050671913530020436
3110	0.04288477738665719	0.05036367729836288
3109	0.04301695875984812	0.05007298070786769
3108	0.04229766785247868	0.04976543382355201
3107	0.040512122517787574	0.04939954966326801
3106	0.04303430549007459	0.0491479440694394
3105	0.04668814638522534	0.04905074346120589
3104	0.04856547543772294	0.04903157351044102
3103	0.05033243519424424	0.04908294773963531
3102	0.05262824473689953	0.049222921501520335
3101	0.0551102534081398	0.049455300615627924
3100	0.061265067211129676	0.0499213253859367
3099	0.06901630326711583	0.0506746468412454
3098	0.07319843528522263	0.05156302998277685
3097	0.07715266659192466	0.05257210792828413
3096	0.08146037827433084	0.05371101355046251
3095	0.08495690219744034	0.054942609921428166
3094	0.0863388647855512	0.056179884990993814
3093	0.08888843139521185	0.05746862701138665
3092	0.09127619350600469	0.05880042477473725
3091	0.09414624464712418	0.060192572176984156
3090	0.09715629096270817	0.06164819431118015
3089	0.10029851793300892	0.06316998485212189
3088	0.1026073900371145	0.06472252069549059
3087	0.10348048744331884	0.06624807805169487
3086	0.10234309542543585	0.06766861210484826
3085	0.10248323403927806	0.06903856426705351
3084	0.10000589009493588	0.07025696214711115
3083	0.09771750866884865	0.07133724781114695
3082	0.09471477451321597	0.0722567953921826
3081	0.09179967657250643	0.07302541694791237
3080	0.08896973229108873	0.07365243522405938
3079	0.08526169852951959	0.07410892525143761
3078	0.08199863532258078	0.07441912529933893
3077	0.0817258174299198	0.07470637369369607
3076	0.08014091232541354	0.07492000121258603
3075	0.07762471077797706	0.07502631131348977
3074	0.07486209135790922	0.07501985713758667
3073	0.07064645361932875	0.07484798838504599
3072	0.0678055415745824	0.07457125284893518
3071	0.06570080240546794	0.07422271301023077
3070	0.06365782845841927	0.07380762684045646
3069	0.05923399643665128	0.07323508224298082
3068	0.056779780952737724	0.07258865935561357
3067	0.05344386357661257	0.07183663458439493
3066	0.05441034563879832	0.07115215894077395
3065	0.05466171564608935	0.07050448233485138
3064	0.053587113311250434	0.06984007783726148
3063	0.052533663157104726	0.06916043345137836
3062	0.05246606209488647	0.06850486118680121
3061	0.05173081045576389	0.06784619514334084
3060	0.05145281060736018	0.06720250971221592
3059	0.053478608320544296	0.06666366794999859
3058	0.05583528250758718	0.06623853299890084
3057	0.05580140946521439	0.06582877807563683
3056	0.0570286326140792	0.06548330497719543
3055	0.05881481012132994	0.06522152647583991
3054	0.06048920770970767	0.06503576201333361
3053	0.062056040790535505	0.0649187992947525
3052	0.06190754447872315	0.0648006031902711
3051	0.06076642785256858	0.06464226163880102
3050	0.05996823904869508	0.06445881235833026
3049	0.058852745619775604	0.064238788825051
3048	0.05711230793039945	0.06395910186144692
3047	0.05413084501142329	0.06357339233531302
3046	0.05254789528767034	0.0631407098333612
3045	0.0497186797382696	0.06261399305865877
3044	0.0463468335816426	0.061975642957160355
3043	0.04310445487565673	0.06123512571200408
3042	0.040633184073064044	0.0604267127748382
3041	0.035669537210848645	0.059455273198597496
3040	0.030590350248070663	0.05832267699723301
3039	0.029280366090112864	0.05718314568624168
3038	0.026722344578244517	0.05598798256278227
3037	0.02362058976595094	0.05471803813967868
3036	0.01935494782566849	0.05333058383611974
3035	0.01398044996017056	0.051786728839065495
3034	0.00884342337480959	0.05010193059836428
3033	0.0042590744030519545	0.04830340533230814
3032	0.00020466291281096005	0.04641640777435246
3031	-0.003665226370376473	0.04445164946539908
3030	-0.0034752771275918803	0.04257145174206612
3029	-0.0026451411009187353	0.04079760808434285
