	macd	trigger
4932		
4931		
4930		
4929		
4928		
4927		
4926		
4925		
4924		
4923		
4922		
4921		
4920		
4919		
4918		
4917		
4916		
4915		
4914		
4913		
4912		
4911		
4910		
4909		
4908		
4907		
4906		
4905		
4904		
4903		
4902		
4901		
4900		
4899		
4898		
4897		
4896		
4895		
4894		
4893		
4892		
4891		
4890		
4889		
4888		
4887		
4886		
4885		
4884		
4883		
4882		
4881		
4880		
4879		
4878		
4877		
4876		
4875		
4874		
4873		
4872		
4871		
4870		
4869		
4868		
4867		
4866		
4865		
4864		
4863		
4862		
4861		
4860		
4859		
4858		
4857		
4856		
4855		
4854		
4853		
4852		
4851		
4850		
4849		
4848		
4847		
4846		
4845		
4844		
4843		
4842		
4841		
4840		
4839		
4838		
4837		
4836		
4835		
4834	0.028763997399568808	
4833	0.03396363539841829	
4832	0.04644969980217439	
4831	0.06264365416129891	
4830	0.07966112874893838	
4829	0.09909192770649611	
4828	0.11634909241726632	
4827	0.13502527636276795	
4826	0.15576391234182552	
4825	0.17681685172129136	
4824	0.19843907104311853	
4823	0.21645423770013394	
4822	0.23489565977578053	
4821	0.2529055414065837	
4820	0.2699408397114311	
4819	0.28492375382410273	
4818	0.2998986275257778	
4817	0.3136277505264857	
4816	0.33284849204658684	
4815	0.3529735138156198	
4814	0.3722625952816614	
4813	0.3913121242227291	
4812	0.409559453190802	
4811	0.42731813345045566	
4810	0.44289598605587344	
4809	0.4549585227315447	
4808	0.4639438453286999	
4807	0.46855382439255067	
4806	0.4735732641843242	
4805	0.483870784231236	
4804	0.49402264730510126	
4803	0.5069184335194095	
4802	0.518093776891611	
4801	0.5302288300452176	
4800	0.5470502410700391	
4799	0.5665990485718808	
4798	0.5854259017396117	
4797	0.6102095354577486	
4796	0.6385128497665988	
4795	0.6646048225507215	
4794	0.6900401532994493	
4793	0.7140741962837396	
4792	0.7374072706721435	
4791	0.7584106688047214	
4790	0.7842654945513701	
4789	0.8094235170002051	
4788	0.8339057108069241	
4787	0.8577323662864416	
4786	0.878130738666286	0.5529305942006699
4785	0.8936979542308237	0.5683849868977111
4784	0.9092902329366623	0.5837513441720665
4783	0.9275856552606925	0.5991594461984364
4782	0.9442739567041443	0.6145388404507979
4781	0.9591207132733857	0.629812821422445
4780	0.9781941331166593	0.6451767005729117
4779	0.9868979370767832	0.6601736044557791
4778	0.9721708042471704	0.6738023726933625
4777	0.9531095768149314	0.68594891097644
4776	0.9244941406680738	0.6962786557412021
4775	0.8958098287432747	0.7048837987610664
4774	0.8713003678245741	0.7120328537036422
4773	0.8495821222300322	0.7179197689060041
4772	0.8193409455582241	0.7222449558548362
4771	0.7864250591954587	0.7249726113757974
4770	0.7485411397311594	0.7259709952221591
4769	0.7180788214665412	0.7256377239210116
4768	0.6819484623881493	0.7237983514350806
4767	0.6471173555907583	0.720579274571053
4766	0.6141533356305757	0.716123818418865
4765	0.5762753050356864	0.7102846131235662
4764	0.5422728580261733	0.7032872458169114
4763	0.5089311094593327	0.695212326962466
4762	0.47684831049156884	0.6861610537274766
4761	0.44169318693659676	0.6760503601508318
4760	0.40914039015875403	0.665035104598497
4759	0.39259925585070476	0.6538148434295714
4758	0.38152833824720034	0.6426227732871721
4757	0.3707665428161633	0.6314694503689151
4756	0.3504510525732556	0.61996107543081
4755	0.32718233305257627	0.6079918732328098
4754	0.29925203623415797	0.595391148372313
4753	0.26317582601077305	0.5818539376477226
4752	0.22860652344439103	0.5674817319527092
4751	0.1954930950417122	0.5523692411643051
4750	0.1563554026930305	0.5363033587509598
4749	0.1195378434804013	0.5194184521666674
4748	0.0830932880945241	0.5017640266406654
4747	0.04764307061185491	0.4834124194324881
4746	0.02123630630792661	0.46475759656030385
4745	-0.00024963151221157887	0.4460100110475586
4744	-0.015157805427925553	0.42743766772371783
4743	-0.02502092902848574	0.409235300770289
4742	-0.026320635057601294	0.391730679819284
4741	-0.016944751927773893	0.3753223362185685
4740	-0.014228180627313236	0.3596964595493651
4739	-0.010378593230463196	0.3448650961823596
4738	-0.009198989975274685	0.3306876046191646
4737	-0.011821355288823554	0.31698413088635524
4736	-0.024333510932443403	0.3033391467710291
4735	-0.033758856187695585	0.28987310970846486
4734	-0.045245535586218466	0.2764959241977449
4733	-0.0561867875380031	0.2632252926532005
4732	-0.06409135289803913	0.2501775072604653
4731	-0.06406752670860527	0.23765889601438217
4730	-0.06526870545197738	0.22559863290169083
4729	-0.057578626973899816	0.21433140039997572
4728	-0.05398363696087927	0.20366162830497977
4727	-0.04989478951286941	0.1935842891295934
4726	-0.04407640867346174	0.18414369633632865
4725	-0.04606336427625024	0.17500382094058753
4724	-0.05045891676287084	0.16605666735481586
4723	-0.05589071590983963	0.15725313391647047
4722	-0.06609765740648044	0.14839791275031272
4721	-0.06948966766334763	0.13976301789723689
4720	-0.06889955378953516	0.131497135614553
4719	-0.0708302705552768	0.1234854004800217
4718	-0.07706558874821923	0.11554704162294761
4717	-0.08614282864256495	0.1075665320503766
4716	-0.09602971395882065	0.09951342958581161
4715	-0.10541768443090405	0.09141027104176044
4714	-0.10988698187392743	0.08345338620312094
4713	-0.11726771732833896	0.07552175285222867
4712	-0.1312324252437591	0.06735416870752585
4711	-0.1527474233144943	0.05866181518881034
4710	-0.1833674047387106	0.049106130453372226
4709	-0.21313612421085537	0.038755155888488
4708	-0.25479070476458077	0.027171553352427325
4707	-0.29251216680283676	0.014559619114827217
4706	-0.327095254737614	0.001084069435096277
4705	-0.3720303617402081	-0.0136289782490158
4704	-0.4172773690839833	-0.02954261434416237
4703	-0.45133377459693946	-0.04616804843380724
4702	-0.48424599517708344	-0.06343198403306056
4701	-0.5287991563358503	-0.0817678104695621
4700	-0.578706304176329	-0.10134394809386711
4699	-0.6234933675525482	-0.12190957538752095
4698	-0.66592188633701	-0.1433326460932483
4697	-0.7201228742640211	-0.16604277711119864
4696	-0.7670164290618189	-0.18970136040786476
4695	-0.8171313032021743	-0.21439771176603617
4694	-0.8632667343359479	-0.23993421540732482
4693	-0.9017433619354414	-0.2659763442852715
4692	-0.9284110435504616	-0.29203959035783433
4691	-0.9578644085650474	-0.31823284202160285
4690	-0.9835633102162831	-0.34440340447736456
4689	-1.0159070867153943	-0.370813645636673
4688	-1.048816038861787	-0.3974764331363881
4687	-1.0771237024260607	-0.42420097132647805
4686	-1.1138387841231818	-0.4513154889240937
4685	-1.1566399680015103	-0.47904394942235456
4684	-1.1975371257149376	-0.5072873616036464
4683	-1.2410849048463213	-0.5361296786728235
