	macd	trigger
2197		
2196		
2195		
2194		
2193		
2192		
2191		
2190		
2189		
2188		
2187		
2186		
2185		
2184		
2183		
2182		
2181		
2180		
2179		
2178		
2177		
2176		
2175		
2174		
2173		
2172		
2171		
2170		
2169		
2168		
2167		
2166		
2165		
2164		
2163		
2162		
2161		
2160		
2159		
2158		
2157		
2156		
2155		
2154		
2153		
2152		
2151		
2150		
2149		
2148		
2147		
2146		
2145		
2144		
2143		
2142		
2141		
2140		
2139		
2138		
2137		
2136		
2135		
2134		
2133		
2132		
2131		
2130		
2129		
2128		
2127		
2126		
2125		
2124		
2123		
2122		
2121		
2120		
2119		
2118		
2117		
2116		
2115		
2114		
2113		
2112		
2111		
2110		
2109		
2108		
2107		
2106		
2105		
2104		
2103		
2102		
2101		
2100		
2099	1.2329435725426947	
2098	1.1156602128395434	
2097	0.94946686477806	
2096	0.628425770075637	
2095	0.4851084602790934	
2094	0.348361361277739	
2093	0.2588388317204817	
2092	0.18710140186988156	
2091	0.06383251541205937	
2090	0.16625722986668734	
2089	0.318877029111718	
2088	0.4641393199913182	
2087	0.6300222697600475	
2086	0.8988412721802206	
2085	1.0571696127700534	
2084	1.1098910589768138	
2083	1.1595776033013863	
2082	1.3745226261756898	
2081	1.4101624678311282	
2080	1.4997347815096873	
2079	1.6408065031163233	
2078	1.9441635966362583	
2077	2.4024736374637996	
2076	2.951867413642617	
2075	3.2465208413935898	
2074	3.668465721995176	
2073	4.097559215236743	
2072	4.447404968054116	
2071	4.606605462473453	
2070	4.813608499209749	
2069	5.008595696965244	
2068	5.235328355398224	
2067	5.550153772258	
2066	5.760712275339301	
2065	6.016690606877546	
2064	6.257817204712978	
2063	6.368133745365185	
2062	6.484730417588253	
2061	6.753455553529193	
2060	6.947827515512472	
2059	7.247070751338924	
2058	7.470123989539161	
2057	7.708572217031133	
2056	7.961639724925703	
2055	8.553347624274124	
2054	8.936153747884873	
2053	9.178408180423503	
2052	9.315915210671278	
2051	9.234448141989901	5.4120456662533645
2050	9.152018586278814	5.581659945558925
2049	9.128297488934322	5.741525187432972
2048	9.101022085594082	5.892072905606441
2047	9.07036785162461	6.033707781965234
2046	9.036503848139432	6.166810111466169
2045	8.999592944199549	6.291737975391986
2044	8.899788495638177	6.406195839860564
2043	8.875121418068375	6.514044290179137
2042	8.756822399726957	6.611578438121176
2041	8.654529872311741	6.700044541213129
2040	8.552503054149156	6.779935167837241
