	macd	trigger
4713		
4712		
4711		
4710		
4709		
4708		
4707		
4706		
4705		
4704		
4703		
4702		
4701		
4700		
4699		
4698		
4697		
4696		
4695		
4694		
4693		
4692		
4691		
4690		
4689		
4688		
4687		
4686		
4685		
4684		
4683		
4682		
4681		
4680		
4679		
4678		
4677		
4676		
4675		
4674		
4673		
4672		
4671		
4670		
4669		
4668		
4667		
4666		
4665		
4664		
4663		
4662		
4661		
4660		
4659		
4658		
4657		
4656		
4655		
4654		
4653		
4652		
4651		
4650		
4649		
4648		
4647		
4646		
4645		
4644		
4643		
4642		
4641		
4640		
4639		
4638		
4637		
4636		
4635		
4634		
4633		
4632		
4631		
4630		
4629		
4628		
4627		
4626		
4625		
4624		
4623		
4622		
4621		
4620		
4619		
4618		
4617		
4616		
4615	2113.2031514185946	
4614	2035.883482289937	
4613	1940.2479046008666	
4612	1842.1748834744794	
4611	1744.8191339098848	
4610	1630.0578636797727	
4609	1474.4831873538205	
4608	1295.164530833601	
4607	1154.1210521443572	
4606	1064.944775338954	
4605	985.5552353914827	
4604	872.5875621576852	
4603	749.1139949815697	
4602	643.3968400899612	
4601	591.768672945298	
4600	526.7691706679179	
4599	417.9633281059214	
4598	317.14819452227675	
4597	233.36293188109994	
4596	200.27492308386718	
4595	184.2979333822732	
4594	137.56298613315448	
4593	86.6380067927239	
4592	75.89036582873086	
4591	128.82560894772178	
4590	195.07661377292243	
4589	258.15575844270643	
4588	286.37400971821626	
4587	313.14011671041953	
4586	344.8952419893467	
4585	400.6030307103938	
4584	427.88825516062207	
4583	431.2144451511267	
4582	440.6036074102158	
4581	455.783261895529	
4580	489.4086747718102	
4579	521.2368712757598	
4578	583.7443922008679	
4577	617.1074282113696	
4576	635.6146581569337	
4575	679.0091959504934	
4574	700.4875785911863	
4573	714.087358996534	
4572	700.511380631011	
4571	697.0388861895772	
4570	667.0997881347139	
4569	621.7489159594988	
4568	545.2194620756782	
4567	504.90819946312695	591.0711735583174
4566	489.3131717374199	586.4562711214547
4565	477.49191751348553	581.5446858432454
4564	472.59575626745936	576.662403393735
4563	451.0925771348702	571.0666147338906
4562	413.72948805079795	564.0924687656013
4561	344.59057170615415	554.4122692069075
4560	278.43593954868265	542.3006704892666
4559	228.50710893856012	528.593432963802
4558	200.7865063979989	514.3377341338628
4557	147.46963420152315	498.4512129926386
4556	89.81318919276237	480.8279585144216
4555	7.914863407990197	460.51218275360003
4554	-70.25040682731196	437.7962905433166
4553	-101.11186354685924	414.81412260138126
4552	-160.80573287856532	390.35026861782165
4551	-221.06522430470795	364.4501639381721
4550	-278.46459427895024	337.30111164500835
4549	-366.8803929326823	307.654190658547
4548	-484.8924845958245	274.3829917404596
4547	-573.5839115854469	238.88338145853183
4546	-651.164238485042	201.72052109116743
4545	-772.3721533659264	161.1514297799856
4544	-901.2491540368355	117.01184835996426
4543	-1040.7946380581416	69.02032012568658
4542	-1098.58637610171	20.7304827799374
4541	-1129.3402302656905	-26.732423187304647
4540	-1151.297647427884	-73.047603716838
4539	-1171.6677299014991	-118.20530811307611
4538	-1211.011846774927	-163.03938894970463
4537	-1268.465807641187	-208.30924242754978
4536	-1356.887544700643	-255.26472091779604
4535	-1474.8544160556921	-305.0403324505474
4534	-1569.5531621850678	-356.5670847941232
4533	-1710.6268556822324	-411.6582893382132
4532	-1844.4077853473136	-469.8654801285835
4531	-2005.5435568309913	-532.1663923903722
4530	-1951.8438853647967	-589.683439675664
4529	-1899.5883456455776	-642.6843218451984
4528	-1883.208282382111	-692.8154777715538
4527	-1866.6094451308018	-740.1933450557156
4526	-1884.3364212046145	-786.3214885855015
4525	-2055.783513733244	-837.4457945871875
4524	-2062.7696883916215	-886.74046002604
4523	-2068.3816648643697	-934.2296105331225
4522	-2072.678853979509	-979.9384173448924
4521	-2058.3894390964124	-1023.1978713333277
4520	-2043.694836672803	-1064.095957259916
4519	-1959.203975508688	-1099.9380177032344
4518	-1894.9165446627885	-1131.7443896161453
4517	-1832.5802342878887	-1159.7619685406885
4516	-1782.572242849652	-1184.6413394155647
4515	-1723.4821328750695	-1206.150656656069
4514	-1666.194089351251	-1224.5016760340595
4513	-1610.6553779981332	-1239.894876167075
4512	-1560.301945512474	-1252.6589650405579
4511	-1542.8409474713844	-1264.2117949634091
4510	-1560.2968779473158	-1275.9926119390905
4509	-1593.626226593944	-1288.6235785498775
4508	-1624.6218118003162	-1301.977482931141
4507	-1688.3517144187354	-1317.3254214796832
4506	-1748.3168828940252	-1334.4370089499948
4505	-1769.6392159005336	-1351.7073615861568
4504	-1754.0445862520137	-1367.6660503471473
4503	-1773.3143174336583	-1383.7488459327055
4502	-1825.8723553145828	-1401.2702209846361
4501	-1892.6494796814513	-1420.7355380067872
4500	-2008.087300125917	-1443.9934190718411
4499	-2152.3755441393587	-1472.0331287654337
4498	-2267.907041708211	-1503.5244444791979
4497	-2415.7024948196777	-1539.6049884445672
4496	-2625.9035906283243	-1582.55820148843
4495	-2772.394640085753	-1629.590097759271
4494	-2946.015908427711	-1681.6095749351557
4493	-3074.9920470629877	-1736.6535343446462
4492	-3126.0194531676825	-1791.5230135806557
4491	-3173.11634457091	-1846.0704368524418
4490	-3269.3598586884327	-1902.2491507776879
4489	-3334.834399674175	-1958.7803452061212
4488	-3437.9880889521737	-2017.1369946433003
4487	-3517.0154062547954	-2076.2951908116243
4486	-3643.649232516036	-2138.1007732996627
4485	-3815.6808025722275	-2204.2385276236823
4484	-3995.6072857787076	-2274.847601557586
4483	-4236.060388806858	-2352.1357908106856
4482	-4481.093120740785	-2436.0183558381073
4481	-4748.082888336678	-2527.0986284626993
4480	-4982.768386397918	-2623.8188145166246
4479	-5211.297198732296	-2725.7130754715763
4478	-5437.378395840817	-2832.480270362723
4477	-5632.638797199848	-2942.7143605529022
4476	-5833.848573232506	-3056.5126692883414
4475	-6022.894577324623	-3173.2558327945935
4474	-6200.23177429926	-3292.367056918117
4473	-6366.300487302768	-3413.309820779464
4472	-6521.526838140184	-3535.5856932537768
4471	-6684.090750839096	-3659.431138774104
4470	-6889.125784543983	-3786.455035622185
4469	-7099.052695257589	-3916.7246163102086
4468	-7295.761079461605	-4049.5923450359865
4467	-7476.191928041808	-4184.31609853293
4466	-7648.108650261303	-4320.4883678839105
4465	-7840.289723397058	-4458.849042362391
4464	-8023.234489316295	-4598.949177835052
4463	-8158.087129489344	-4738.830487156902
4462	-8246.955272733248	-4876.694973737416
4461	-8345.333613528812	-5012.996404105497
4460	-8417.09403380852	-5146.7510140153645
4459	-8463.405282387204	-5277.059803474693
4458	-8517.496490589954	-5404.36470055684
4457	-8525.474627339136	-5526.9730232532775
4456	-8732.080995166689	-5652.872542743215
4455	-8742.728670552082	-5774.236951905765
4454	-8730.514543763988	-5890.347344006436
4453	-8700.051679070937	-6000.694301296921
4452	-8695.045040472265	-6106.504799157013
4451	-8714.3448546609	-6208.9122258479765
4450	-8742.546950008793	-6308.400368938481
4449	-8800.679908097503	-6406.2596014920955
4448	-8869.483429282933	-6502.973198465914
4447	-8948.439587549117	-6598.985040606489
4446	-9012.01284717524	-6693.718998724665
4445	-9057.291181958615	-6786.5073064973885
4444	-9081.503209734641	-6876.59968883432
4443	-9114.22136551753	-6964.436246049428
4442	-9151.464496718007	-7050.283461505265
4441	-9225.229503272654	-7135.653237661603
4440	-9269.37011659224	-7219.401714791555
4439	-9321.021450493194	-7301.887543840339
4438	-9336.832573301901	-7381.753841601648
4437	-9364.99591511405	-7459.588464584901
4436	-9379.854236813597	-7534.949213938504
4435	-9421.426774197229	-7608.9817792842305
4434	-9466.973835865603	-7681.894414446863
4433	-9523.462407726809	-7754.160572351531
4432	-9590.367541007901	-7826.214484383647
4431	-9667.18271206296	-7898.45342953988
