	macd	trigger
1762		
1761		
1760		
1759		
1758		
1757		
1756		
1755		
1754		
1753		
1752		
1751		
1750		
1749		
1748		
1747		
1746		
1745		
1744		
1743		
1742		
1741		
1740		
1739		
1738		
1737		
1736		
1735		
1734		
1733		
1732		
1731		
1730		
1729		
1728		
1727		
1726		
1725		
1724		
1723		
1722		
1721		
1720		
1719		
1718		
1717		
1716		
1715		
1714		
1713		
1712		
1711		
1710		
1709		
1708		
1707		
1706		
1705		
1704		
1703		
1702		
1701		
1700		
1699		
1698		
1697		
1696		
1695		
1694		
1693		
1692		
1691		
1690		
1689		
1688		
1687		
1686		
1685		
1684		
1683		
1682		
1681		
1680		
1679		
1678		
1677		
1676		
1675		
1674		
1673		
1672		
1671		
1670		
1669		
1668		
1667		
1666		
1665		
1664	-0.8927819319277646	
1663	-0.8442671144055609	
1662	-0.8008761325380931	
1661	-0.7650967114481091	
1660	-0.7322576795663096	
1659	-0.7033257042443566	
1658	-0.6541358896205409	
1657	-0.6036627379436652	
1656	-0.5651405593564363	
1655	-0.5204543343223023	
1654	-0.48146990225156827	
1653	-0.4092671893210351	
1652	-0.302034244645597	
1651	-0.17025890743793326	
1650	-0.04514096804415857	
1649	0.06129916491623533	
1648	0.14202898848804324	
1647	0.2306814667574173	
1646	0.35496577116232686	
1645	0.4513047140835127	
1644	0.5293755395037465	
1643	0.6029741268662647	
1642	0.680209770459463	
1641	0.7779357512910536	
1640	0.8838196270942547	
1639	0.9683659990528	
1638	1.0404959916046366	
1637	1.130521421985783	
1636	1.2020289742000259	
1635	1.276518318339832	
1634	1.3572868762935002	
1633	1.4451804892852351	
1632	1.5178707252867056	
1631	1.5713696649689979	
1630	1.6355367809813117	
1629	1.6959163152136298	
1628	1.7485753674348814	
1627	1.806677517364136	
1626	1.871128700546791	
1625	1.9340088760908145	
1624	1.996537063905322	
1623	2.0927878536360396	
1622	2.163544113882878	
1621	2.2275960981471457	
1620	2.291711790635631	
1619	2.3469921035212167	
1618	2.404469636637856	
1617	2.452753007047818	
1616	2.4791609378271033	1.3691963886959255
1615	2.520950057193275	1.4214304215611646
1614	2.5458404031318196	1.4721133773103754
1613	2.5551700190846987	1.5206479379944455
1612	2.5705424211390095	1.5674345571835346
1611	2.5839050455387564	1.6124907604312664
1610	2.583957726866231	1.6553331878806408
1609	2.582093885122646	1.6960053487365265
1608	2.5982285968447627	1.7354165727963846
1607	2.625540372502485	1.7741263613384037
1606	2.6490643656963755	1.8120138776039414
1605	2.6605156693731544	1.8486070533014018
1604	2.6640509365834077	1.8836375382884214
1603	2.6515565349193224	1.9165033911125064
1602	2.635255068080127	1.9471551294899028
1601	2.618355190272055	1.9756811438801463
1600	2.628200902823906	2.0033224618673637
1599	2.6423344737414567	2.0303067086972844
1598	2.6788077809977153	2.057609413930442
1597	2.687895729501747	2.0840689046273035
1596	2.6939802488223705	2.109602466067649
1595	2.6996347106950935	2.1342385478097947
1594	2.7006002779629625	2.157826427431771
1593	2.7007561463175733	2.180383540913404
1592	2.6897314708213997	2.2014962102981417
1591	2.6306458098427754	2.2192449645884027
1590	2.580269967904954	2.2341443056374928
1589	2.5247296737496328	2.2461120541444264
1588	2.467355353293854	2.2552060432900056
1587	2.4051797956080065	2.2613589487649595
1586	2.34522163768888	2.264793326282676
1585	2.293575278962109	2.26596997253942
1584	2.24372432965518	2.2650620520454074
1583	2.1943775104778496	2.2621817769052686
1582	2.1486268647757782	2.2575616877292872
1581	2.102621818925641	2.251267067120723
1580	2.0582537038926745	2.243436709449899
1579	2.012991904071214	2.234100430729409
1578	1.9656577736247272	2.2232388043826115
1577	1.923195555159836	2.2111136738813615
1576	1.8829229375071037	2.1978669052113773
1575	1.8379219623222411	2.1833550907936408
1574	1.790292847848562	2.167525523632154
1573	1.7526315752262178	2.150834378962009
1572	1.7064366439231122	2.1329744136545568
1571	1.6608443767929089	2.1140183637742713
1570	1.6177225249298317	2.094110656727665
1569	1.572609184807007	2.0732106318046526
1568	1.512489132533048	2.050758130588006
1567	1.4386893347980276	2.026269811602034
1566	1.373140569814879	2.000159417536403
1565	1.2929556653049588	1.9719087846203154
1564	1.1869206174528983	1.9405738156970411
1563	1.0869787839856428	1.9065241198321914
1562	1.0098509738396189	1.8707801424471235
1561	0.9438752912020902	1.8338549400078477
1560	0.8866984016297437	1.7961464017087572
1559	0.8172031885922024	1.7571956017998729
1558	0.7378639667501972	1.716661025943908
1557	0.6787504446482018	1.6754103368410467
1556	0.6100068957795628	1.6330893298736286
1555	0.5434446484552637	1.58982733527062
1554	0.48278223314186164	1.5458958960624711
1553	0.4340943808738871	1.5017963366452982
1552	0.39055343542807464	1.4577387284258905
1551	0.3456325573363017	1.4136659096145374
1550	0.2962557225766602	1.3694012339093429
1549	0.267942042039806	1.3257857916229607
1548	0.2534314311307355	1.2833390614009155
1547	0.22805591068802755	1.2415833833643812
1546	0.2024499794979704	1.2004812120831367
1545	0.17156757717826565	1.1597970516920988
1544	0.12868806491333373	1.1190393396764198
1543	0.08642325085622815	1.078234800120516
1542	0.04349730221484549	1.0373586946911
1541	0.012023018767990834	0.9968656655921413
1540	-0.04216090369300218	0.9558433033715551
1539	-0.09385956386395833	0.9144104393453025
1538	-0.12091060769846251	0.8735556731445727
1537	-0.15938835633164672	0.8328047016388964
1536	-0.19794305888945019	0.7921499540638037
1535	-0.2091833876678777	0.7526643057650181
1534	-0.22107822466945493	0.7142749931069208
1533	-0.2380511331807469	0.6767378497610197
1532	-0.27133513801035747	0.6393758434652121
1531	-0.3067905995910962	0.6020961539802938
1530	-0.34557735977649884	0.5647639944411322
1529	-0.3760421837517214	0.527708951391693
1528	-0.41130961852714165	0.49073063157710706
1527	-0.4492299748643944	0.4537212866169869
1526	-0.48710986978967696	0.4166835026647302
1525	-0.5262099714550033	0.3795701503333422
1524	-0.566455617862303	0.34233892240601715
1523	-0.6077749247241684	0.3049520301494067
1522	-0.6385869311581303	0.2678288417734246
1521	-0.6695868478534948	0.23095132624602718
1520	-0.695630994135783	0.19450450523728105
1519	-0.7265326259536664	0.15828011303386189
1518	-0.769100670799844	0.12181039402142846
1517	-0.7971643408939713	0.08567521551237299
1516	-0.8241800753976634	0.04990239847872178
1515	-0.8450542122128866	0.014718919437019782
1514	-0.8433848530753352	-0.019012477521326152
1513	-0.8272466413219774	-0.050780567007516035
1512	-0.8171880930529483	-0.08090193057183781
1511	-0.8251308769842467	-0.11014910616187257
1510	-0.8425547444865202	-0.13892925494073194
1509	-0.8497619402884453	-0.16685946108707014
1508	-0.8664762359468057	-0.19434686485019004
1507	-0.8749159810874119	-0.2210839344693459
1506	-0.888943864102842	-0.24731985300136103
1505	-0.8780951113292588	-0.2720972716173755
1504	-0.8692138832653029	-0.29555101890404434
1503	-0.8737890431518451	-0.3182618238392222
1502	-0.887350334964367	-0.3406119283850765
1501	-0.9011215547221809	-0.3626238371376301
1500	-0.9086521450487908	-0.3840658553302676
1499	-0.9108645489309453	-0.40475164058141283
1498	-0.9163666357588056	-0.42484017800441604
1497	-0.9147052944631611	-0.4440737599916501
1496	-0.9062059897543975	-0.46221760645387316
1495	-0.902132707369617	-0.4794883973798036
1494	-0.9042197042373061	-0.4961623536486079
1493	-0.9096093167197097	-0.5123926318031367
1492	-0.9123487345632952	-0.5280926795233114
1491	-0.9054659770361866	-0.5429056782895431
1490	-0.8964929450875303	-0.5567844896432934
1489	-0.8855290423488071	-0.5696877271466926
1488	-0.8746051209808741	-0.581655336507484
1487	-0.8637249978679336	-0.5927258368096991
1486	-0.8528922947425599	-0.6029363695714558
1485	-0.8517902313484171	-0.6127026288956972
1484	-0.890958641630661	-0.6236224547550714
1483	-0.9259452171386755	-0.635486417895793
1482	-0.9607956622196099	-0.648252087859617
1481	-0.9980813337506191	-0.661979606674196
1480	-1.030568302608188	-0.6764428973439909
1479	-1.0519981927073445	-0.6911792018161937
1478	-1.0389579522347816	-0.7048252764069521
1477	-1.0466491042852368	-0.7182373962604972
1476	-1.0476307453787257	-0.7311615075661432
1475	-1.0467313431566367	-0.7435429852873606
1474	-1.0524403895623209	-0.7556624304239099
1473	-1.0715667070893744	-0.7680565533424821
1472	-1.069867591650656	-0.779897530669881
1471	-1.067690487642615	-0.7911883390414893
1470	-1.0786407161111597	-0.8024655971624657
1469	-1.1027634112970688	-0.8142466150057821
1468	-1.1523869951235852	-0.8275120342191521
1467	-1.2146811860411404	-0.8427006519641993
1466	-1.305216268779951	-0.8608448476711009
1465	-1.3851257884661123	-0.8814117766438243
1464	-1.4677967099685603	-0.9044146703181997
1463	-1.5297566804659155	-0.9289454747005201
1462	-1.5848631659011332	-0.9546753842003177
1461	-1.6236868492036223	-0.9809186217210168
1460	-1.6767355510579023	-1.008213048444452
1459	-1.7245542017030644	-1.0363122651728507
1458	-1.7816053414721864	-1.065546848509618
1457	-1.837723459043886	-1.0958356542623193
1456	-1.8903307211731004	-1.1269996091724859
1455	-1.9421512329485822	-1.1589735213546246
1454	-1.9744030113370314	-1.190958050901334
1453	-2.0145282594124865	-1.2232616197770043
1452	-2.054371285586285	-1.2558606498395992
1451	-2.0848502499117245	-1.2883762694320546
1450	-2.1238769653749188	-1.321147028977117
1449	-2.1587255201343964	-1.3539990487164935
1448	-2.188271279851179	-1.3867211615242785
1447	-2.2120917660748702	-1.4190939161248746
1446	-2.239513262241303	-1.451272266209201
1445	-2.2859218295156722	-1.4840085502860136
1444	-2.3244880229562597	-1.5169732980266846
1443	-2.354900017191113	-1.5498377368489806
1442	-2.387242831106917	-1.582681537919885
1441	-2.4240067961506853	-1.6156789186297664
1440	-2.4669181220073995	-1.6490649633968129
1439	-2.5033477446190986	-1.6825702168941277
1438	-2.5238389174375584	-1.7155649005856066
1437	-2.5453286443232415	-1.7481082129299166
1436	-2.5710051585653417	-1.7803820712549965
1435	-2.5993667594531473	-1.8125023592861362
1434	-2.6237862855625593	-1.8443205002429885
1433	-2.6567630291017608	-1.8761839598355683
1432	-2.6959432420316958	-1.9083342602020261
1431	-2.7488144078852628	-1.9412971005567405
1430	-2.7699309082374413	-1.9737952290043774
1429	-2.795786233748615	-2.0060327293928353
1428	-2.828748541754173	-2.03829855541578
1427	-2.8632827588184	-2.070653247958754
1426	-2.9057931584892813	-2.1034061385865304
1425	-2.9610899831440705	-2.137043074429665
1424	-3.0058322549154752	-2.171115452715337
1423	-3.033982439390634	-2.2049554867616483
1422	-3.045631673452725	-2.2379251582798974
1421	-3.0298331677023995	-2.268982164447449
1420	-2.98394703154824	-2.297021555171229
1419	-2.938599406148157	-2.322182809661762
1418	-2.904183715741432	-2.345007541426301
1417	-2.8724240040853743	-2.3656915558807747
1416	-2.8386678638778307	-2.3842405217163654
1415	-2.80887143012707	-2.4008934692380803
1414	-2.780270810875251	-2.415771660162293
1413	-2.7417797163059845	-2.428556824913962
1412	-2.6776225375351146	-2.4383245005378322
1411	-2.6084971280460323	-2.444998194748096
1410	-2.5723594412345676	-2.449992938837688
1409	-2.504683796288816	-2.452137754838532
1408	-2.4101911211772986	-2.450492732445056
1407	-2.3220004406790764	-2.445453653147044
1406	-2.2372705659840335	-2.4372893522704615
1405	-2.1805890122891185	-2.427222366332446
1404	-2.1221055408933367	-2.4152566512477103
1403	-2.05218138805661	-2.4010180061887483
1402	-1.9889267053833848	-2.3848571274301062
1401	-1.9262194558917969	-2.366870870610899
1400	-1.8764201789297132	-2.3476370315992896
1399	-1.8409174049990042	-2.327765198655373
1398	-1.7950211163159082	-2.3068727940085436
1397	-1.7340267675542336	-2.2844077482165352
1396	-1.6684073506846744	-2.260250357707187
1395	-1.6094621150453108	-2.234728730272639
1394	-1.5640708380685169	-2.2084279060327714
1393	-1.5231857588580127	-2.1815551596570604
1392	-1.467113063794045	-2.153537316382653
1391	-1.4264896559873819	-2.125025148514053
1390	-1.391527783051977	-2.0962600662253923
1389	-1.3619877243906586	-2.0674646110323684
1388	-1.3298330008125916	-2.038537435890381
1387	-1.2919473203665248	-2.009258959082652
1386	-1.2551158654089747	-1.9796842998270994
1385	-1.2180088399133524	-1.9498142661090725
1384	-1.1806580900380652	-1.9196508831185455
1383	-1.1535020456833323	-1.8896054519805314
1382	-1.11722556130308	-1.8593156777050768
1381	-1.0885262018771868	-1.829088287749466
1380	-1.0638209663280236	-1.7990774690812354
1379	-1.0383868132458218	-1.769246142578466
1378	-1.0148724822273607	-1.7396625565095973
1377	-1.0003592340340006	-1.7106699819137505
1376	-0.9807817901769837	-1.682046642920487
1375	-0.9635378990357637	-1.6538695715605534
1374	-0.954385925155087	-1.6264385991278867
1373	-0.9451541416279383	-1.5997213358662097
1372	-0.932597672593019	-1.5735594112274285
1371	-0.9103677688174514	-1.5475516930154263
1370	-0.8886771274097143	-1.5217132811554324
1369	-0.8733687950072664	-1.4962878241529158
1368	-0.8687149347928269	-1.4716769523855109
1367	-0.8638208068753244	-1.447839298073043
1366	-0.8749684566121516	-1.4253736314403778
1365	-0.8851522419452635	-1.4041883489524336
1364	-0.8983153880643471	-1.3843500767002255
1363	-0.9162676180344462	-1.3659937979046228
1362	-0.9264163601878792	-1.3487553732259447
1361	-0.9141435271037679	-1.3317116823252861
1360	-0.8746199662314851	-1.3137864269626691
1359	-0.8175687862503977	-1.2943268177416731
1358	-0.7555334365998618	-1.2731975675827818
1357	-0.6959326183435408	-1.2505596256002045
1356	-0.6451949386808451	-1.2268197323587953
1355	-0.5951325065659319	-1.2020475824307746
1354	-0.5255634962666491	-1.1755186899346952
1353	-0.46865553179158326	-1.1477984608706595
1352	-0.4153995924082139	-1.1190768318761621
1351	-0.3565443113867275	-1.089173491004532
1350	-0.33208114472877526	-1.0594834951251235
1349	-0.30921117300236745	-1.0300609559578209
1348	-0.3015432158308471	-1.0014915440360557
1347	-0.2947187026289271	-0.973774879268105
1346	-0.2978160037567079	-0.9472666120311268
1345	-0.3032207911999407	-0.9220098435657381
1344	-0.30757026545646937	-0.8979141100308747
1343	-0.30440054606573597	-0.8746390090916282
1342	-0.30772656405963517	-0.8524070941591093
1341	-0.31139163808976633	-0.8311907519373885
1340	-0.31407641783121676	-0.8109117126851216
1339	-0.3119181741414039	-0.7913432962016826
1338	-0.3116488689711119	-0.7725317108529315
1337	-0.3053703456558168	-0.7542116206531191
1336	-0.3011720584105362	-0.7364453291501692
1335	-0.2924510695949252	-0.7190337573945662
1334	-0.29243881429189855	-0.7023045142468046
1333	-0.28250911596728656	-0.6858419215347773
1332	-0.2696296992310607	-0.6695198468588374
1331	-0.2604522907554525	-0.653477956660928
1330	-0.2535107982437168	-0.637792946333713
1329	-0.2656347170390134	-0.6231984847616016
1328	-0.277067506446798	-0.6096247019551894
1327	-0.2663490419064374	-0.5961628933074875
1326	-0.2598870132592097	-0.5829755868981893
1325	-0.2555374856627495	-0.570134861145827
1324	-0.2577641159194357	-0.5578850134261919
1323	-0.25454611469491795	-0.545989356741551
1322	-0.2487377817658114	-0.5343324194309436
1321	-0.2443669053335995	-0.5229612108014342
1320	-0.24137023603562824	-0.5119184162824977
