	macd	trigger
4930		
4929		
4928		
4927		
4926		
4925		
4924		
4923		
4922		
4921		
4920		
4919		
4918		
4917		
4916		
4915		
4914		
4913		
4912		
4911		
4910		
4909		
4908		
4907		
4906		
4905		
4904		
4903		
4902		
4901		
4900		
4899		
4898		
4897		
4896		
4895		
4894		
4893		
4892		
4891		
4890		
4889		
4888		
4887		
4886		
4885		
4884		
4883		
4882		
4881		
4880		
4879		
4878		
4877		
4876		
4875		
4874		
4873		
4872		
4871		
4870		
4869		
4868		
4867		
4866		
4865		
4864		
4863		
4862		
4861		
4860		
4859		
4858		
4857		
4856		
4855		
4854		
4853		
4852		
4851		
4850		
4849		
4848		
4847		
4846		
4845		
4844		
4843		
4842		
4841		
4840		
4839		
4838		
4837		
4836		
4835		
4834		
4833		
4832	-0.8067744603513205	
4831	-0.8170586714893204	
4830	-0.8259997273566313	
4829	-0.8462621631341847	
4828	-0.8632805007994051	
4827	-0.8700169524235264	
4826	-0.8805150714713079	
4825	-0.90373698677476	
4824	-0.9244651043370453	
4823	-0.9153739171781012	
4822	-0.899795887834415	
4821	-0.8835535737498219	
4820	-0.8639692134167518	
4819	-0.8393121824279319	
4818	-0.8265176470761588	
4817	-0.7813171270003068	
4816	-0.7462250593243596	
4815	-0.7189536871563433	
4814	-0.6775890848774679	
4813	-0.6462579139509188	
4812	-0.6109231698104196	
4811	-0.5773765037892957	
4810	-0.5592694946173964	
4809	-0.5568881104501173	
4808	-0.5429485661200033	
4807	-0.5322325614264543	
4806	-0.4903024726768308	
4805	-0.4557945410383013	
4804	-0.4159377646949878	
4803	-0.37961174188239966	
4802	-0.33808858494955984	
4801	-0.3078956437193625	
4800	-0.2982590509944174	
4799	-0.2831208882764287	
4798	-0.2617446884088821	
4797	-0.23249679146768187	
4796	-0.2151401742682566	
4795	-0.20530211650608976	
4794	-0.19972975282253458	
4793	-0.20942259919826256	
4792	-0.2122276830845209	
4791	-0.2030434010454769	
4790	-0.19659096682717347	
4789	-0.17907440797675633	
4788	-0.1612666254662969	
4787	-0.13532227657189821	
4786	-0.10558204483990608	
4785	-0.0801169824732284	
4784	-0.06962059481126914	-0.3718745172484711
4783	-0.05659439718479575	-0.35757601523054555
4782	-0.03716396863649152	-0.3431333921257985
4781	-0.0007019274172677115	-0.3277881552628366
4780	0.06791514217813699	-0.310154364642481
4779	0.12839344669176	-0.29071523724263243
4778	0.19005673141553814	-0.2695128300598973
4777	0.256785928683712	-0.24641548914160485
4776	0.3283270527686284	-0.22130938913426026
4775	0.3633442347968838	-0.19588391667731417
4774	0.44880594912766014	-0.16796685551955043
4773	0.5331536868782649	-0.13772976298546602
4772	0.6073410791058933	-0.10572241890790789
4771	0.6758386458651273	-0.07227270475763789
4770	0.7297275918737256	-0.03807076261448785
4769	0.7696946192913146	-0.003740719674184455
4768	0.8115129365279614	0.030794151097855365
4767	0.8378270747221137	0.06487359750306675
4766	0.8614807212258455	0.09841175251102158
4765	0.8795982073844044	0.13120604809476866
4764	0.8710204666775212	0.16217792145165222
