	macd	trigger
4079		
4078		
4077		
4076		
4075		
4074		
4073		
4072		
4071		
4070		
4069		
4068		
4067		
4066		
4065		
4064		
4063		
4062		
4061		
4060		
4059		
4058		
4057		
4056		
4055		
4054		
4053		
4052		
4051		
4050		
4049		
4048		
4047		
4046		
4045		
4044		
4043		
4042		
4041		
4040		
4039		
4038		
4037		
4036		
4035		
4034		
4033		
4032		
4031		
4030		
4029		
4028		
4027		
4026		
4025		
4024		
4023		
4022		
4021		
4020		
4019		
4018		
4017		
4016		
4015		
4014		
4013		
4012		
4011		
4010		
4009		
4008		
4007		
4006		
4005		
4004		
4003		
4002		
4001		
4000		
3999		
3998		
3997		
3996		
3995		
3994		
3993		
3992		
3991		
3990		
3989		
3988		
3987		
3986		
3985		
3984		
3983		
3982		
3981	-0.4294499913231249	
3980	-0.4574160938723111	
3979	-0.4945989564809139	
3978	-0.5189329925133137	
3977	-0.5418411664731622	
3976	-0.5633817795796574	
3975	-0.5781564268674089	
3974	-0.6083412137845414	
3973	-0.625819239050827	
3972	-0.6421511348463724	
3971	-0.662895578613103	
3970	-0.6823237005583138	
3969	-0.6727930307467034	
3968	-0.6716965595271347	
3967	-0.6897911589554724	
3966	-0.6983162791051143	
3965	-0.6949008379466335	
3964	-0.6744740051894809	
3963	-0.651849194428479	
3962	-0.6412117268044994	
3961	-0.6561420606511632	
3960	-0.6559020422758266	
3959	-0.6581740536263112	
3958	-0.6656866984047554	
3957	-0.6725119721140942	
3956	-0.6644167929187574	
3955	-0.6706507145141671	
3954	-0.6877112089992607	
3953	-0.7294603019931003	
3952	-0.7401528338745749	
3951	-0.7730232607883778	
3950	-0.8270747402211072	
3949	-0.9071305520573674	
3948	-1.0004161212414857	
3947	-1.106308314584311	
3946	-1.2649182802659737	
3945	-1.4621914651723387	
3944	-1.6496413347850165	
3943	-1.8159361435519514	
3942	-1.9619487435242604	
3941	-2.0709213950040635	
3940	-2.1444547369305127	
3939	-2.22823778422341	
3938	-2.3276783155319123	
3937	-2.456804212901446	
3936	-2.6201602196769755	
3935	-2.786544188578958	
3934	-2.955753691517856	
3933	-3.145417535375344	-1.504161249461874
3932	-3.2950492957170496	-1.5853811384231147
3931	-3.4004059182430666	-1.667193664198488
3930	-3.51711551905764	-1.7500934323753004
3929	-3.63267477201515	-1.8339872118400766
3928	-3.723151168379175	-1.9177265394145022
3927	-3.789621907624138	-2.000278539921161
3926	-3.827126412146555	-2.080452257623586
3925	-3.863975076897532	-2.158360710541043
3924	-3.9001832005545936	-2.2341092528094557
3923	-3.9628737566442283	-2.3089700920141567
3922	-4.0237016446832286	-2.382920994168369
3921	-4.076685739317483	-2.4556830832500642
3920	-4.128200269839425	-2.527264466106021
3919	-4.135911013117138	-2.595866480794479
3918	-4.171470870825928	-2.662829695087089
3917	-4.200250189098625	-2.727956196120295
3916	-4.204312985523444	-2.7902999005796927
3915	-4.1391400030519065	-2.8470877538269117
3914	-4.07482818960446	-2.8986284359519408
3913	-4.023562644364873	-2.9457231112686726
3912	-3.9725817577496514	-2.988598350347018
3911	-3.9188430735813284	-3.0273412586023043
3910	-3.850263717597741	-3.061531236878386
3909	-3.752231977660344	-3.090161050661191
3908	-3.662878805405967	-3.1138474917470527
3907	-3.5634552814930913	-3.132402604928175
3906	-3.4790215614851974	-3.1466780948702886
3905	-3.39050845354744	-3.156700502978003
3904	-3.304293122210936	-3.1627557187801356
3903	-3.226473115337086	-3.1653650984343127
3902	-3.1690404227155824	-3.1655153508027336
3901	-3.1064318083579536	-3.163103950092778
3900	-3.0543484315554252	-3.1586723472352194
3899	-3.012345766517157	-3.152718911676545
3898	-2.9583402106747343	-3.1448220405442835
3897	-2.9176632617869274	-3.1356064377694843
3896	-2.8835419725677696	-3.1253942565975663
3895	-2.8619031337943994	-3.1147329773789285
3894	-2.867719611131193	-3.104750852105105
3893	-2.850058712097521	-3.0944707086189815
3892	-2.822415305623494	-3.0835023158200054
3891	-2.80391823216587	-3.0722427885850165
3890	-2.781712673468448	-3.0605547892756126
3889	-2.7497435579201692	-3.048063551423806
3888	-2.7458862524696457	-3.0359311143737493
3887	-2.706468175497534	-3.0227155055442796
3886	-2.695563301924153	-3.0096043456004797
3885	-2.680647172817004	-2.996432189134676
3884	-2.658779778980275	-2.982923021565414
3883	-2.630283750328843	-2.968825428400225
3882	-2.6017342018704284	-2.954161253535927
3881	-2.5856837163993163	-2.939452455801097
3880	-2.5690362198551497	-2.9246766432567406
3879	-2.570655454472913	-2.9105643377613903
3878	-2.596002051110517	-2.89803308808809
3877	-2.6377158095349387	-2.8876692425456776
3876	-2.6353071026650525	-2.877628101156307
3875	-2.628508549630837	-2.8677216536260866
3874	-2.6112255204825487	-2.857527478487048
3873	-2.596536213048296	-2.8471601258604564
3872	-2.6189978132619274	-2.8381014327795167
3871	-2.6359389954038193	-2.830078916975361
3870	-2.647599994232422	-2.822840898330892
3869	-2.6573696196411305	-2.8162804345834136
3868	-2.6716455174154987	-2.8105485461505935
3867	-2.690218613619379	-2.8057818405102575
3866	-2.7002398343549743	-2.8016026014497153
3865	-2.6989258490865495	-2.7975383736457324
3864	-2.6804574962352916	-2.7929056914901587
3863	-2.6487826407130513	-2.7872050083087934
3862	-2.591838824934243	-2.779480055630788
3861	-2.536149395353064	-2.7698616727989522
3860	-2.50388431048718	-2.759351393210121
3859	-2.4717965427589945	-2.74799187216486
3858	-2.4652875787043342	-2.73682718390685
3857	-2.4419265085120117	-2.7251840530353597
3856	-2.405661318015575	-2.712572158330112
3855	-2.357091679976733	-2.6985445560964667
3854	-2.3222344197435234	-2.683698636853783
3853	-2.2941270709458905	-2.668333157266128
3852	-2.266114884032504	-2.6524724557251385
3851	-2.231840412464038	-2.635889247620261
3850	-2.1788634544151364	-2.6178749957387235
3849	-2.1080541030785582	-2.5977837879446075
3848	-2.02662720304221	-2.5752797768494258
3847	-1.906404442083641	-2.548930448365719
3846	-1.7779054541652641	-2.5185624884027322
3845	-1.6575235069341119	-2.4846549855592857
3844	-1.5353761150405347	-2.4472787498515096
3843	-1.4690846937694602	-2.4087700972990973
3842	-1.3794938255063869	-2.368256620464354
3841	-1.2996563005176256	-2.326201421322124
3840	-1.2035987235142898	-2.2820271086998063
3839	-1.140067747548855	-2.237097143727321
3838	-1.104427446025241	-2.1925384225253697
3837	-1.0538386465386935	-2.147748028833221
