	macd	trigger
1931		
1930		
1929		
1928		
1927		
1926		
1925		
1924		
1923		
1922		
1921		
1920		
1919		
1918		
1917		
1916		
1915		
1914		
1913		
1912		
1911		
1910		
1909		
1908		
1907		
1906		
1905		
1904		
1903		
1902		
1901		
1900		
1899		
1898		
1897		
1896		
1895		
1894		
1893		
1892		
1891		
1890		
1889		
1888		
1887		
1886		
1885		
1884		
1883		
1882		
1881		
1880		
1879		
1878		
1877		
1876		
1875		
1874		
1873		
1872		
1871		
1870		
1869		
1868		
1867		
1866		
1865		
1864		
1863		
1862		
1861		
1860		
1859		
1858		
1857		
1856		
1855		
1854		
1853		
1852		
1851		
1850		
1849		
1848		
1847		
1846		
1845		
1844		
1843		
1842		
1841		
1840		
1839		
1838		
1837		
1836		
1835		
1834		
1833	13.217560667998612	
1832	13.595800972384325	
1831	13.938176368462166	
1830	14.273281677429452	
1829	14.666469375828626	
1828	15.115030070704393	
1827	15.556362817821253	
1826	15.91958688200856	
1825	16.339721029046927	
1824	16.814104100478175	
1823	17.229946940802392	
1822	17.534509086996025	
1821	17.73823779300244	
1820	17.8622608197399	
1819	17.910125619396297	
1818	17.952199067494348	
1817	18.039085251563506	
1816	18.084692148070303	
1815	18.0627756415837	
1814	18.004534042944442	
1813	17.911629701519928	
1812	17.813944358877393	
1811	17.68340463005711	
1810	17.606754618766104	
1809	17.558874460076026	
1808	17.447246652847753	
1807	17.29763270656747	
1806	16.951410169031192	
1805	16.750358477590225	
1804	16.642116089319643	
1803	16.61109553905601	
1802	16.515342141571296	
1801	16.58914410721843	
1800	16.70906533672462	
1799	16.79175099628992	
1798	16.943523825567922	
1797	17.12631438961489	
1796	17.327014856988512	
1795	17.369362506043217	
1794	17.564932360997204	
1793	17.78366137966634	
1792	17.953930429505476	
1791	18.313274152650024	
1790	18.534810972614423	
1789	18.719056601461602	
1788	19.163310706058496	
1787	19.6070837075589	
1786	19.87225476797778	
1785	20.109242628633183	17.700336506788382
1784	20.271611575137626	17.816948305039435
1783	20.154064783266108	17.92229419576272
1782	19.966012795782376	18.013878495778016
1781	19.686777303876852	18.088428158370753
1780	19.619741686329235	18.15630536124296
1779	19.39598806252434	18.210976305315096
1778	19.268601347921617	18.257391626968378
1777	19.101183662730932	18.294250438854558
1776	18.811370660512694	18.31673901228423
1775	18.39269139543069	18.32002798491719
1774	17.754560738277632	18.295641186317397
1773	17.221068526988688	18.24947884187921
1772	16.558031430067103	18.17708727201287
1771	16.219518695720694	18.09360519916475
1770	15.888186696474804	17.99987487400517
1769	15.41215838867106	17.89025689960441
1768	15.016814994626884	17.76891698083207
1767	14.595347186079948	17.635305728138828
1766	13.862910514611599	17.476940151112565
1765	13.242133164563938	17.29965257414226
1764	12.551346793699167	17.101392817308863
1763	11.787879411969811	16.880095176769135
1762	10.710682926706568	16.623774464531774
1761	9.554636777442624	16.330755963701385
1760	8.666993453990244	16.01379833897539
1759	7.846019565778306	15.676717747776902
1758	7.205802901903439	15.327843407827544
1757	6.486552967796456	14.964430822661502
1756	5.784424438016913	14.587806842323774
1755	5.037392550080426	14.196694554475297
1754	4.395760517228041	13.796018739461628
1753	3.7995917668489483	13.38803048924275
1752	3.271839888865429	12.975812886171466
1751	2.822060788510612	12.562697862943708
1750	2.366554288713587	12.14846712965476
1749	1.8376758833242093	11.73016871768118
1748	1.3505085376375519	11.309645459169829
1747	0.5808754153948712	10.875541980113764
1746	-0.06713878759478575	10.433334289436914
1745	-0.8471820096434612	9.978018604592299
1744	-1.448304201347014	9.517346273135178
1743	-2.1458036373492178	9.04764301840588
1742	-2.6361118967100765	8.577606652900945
1741	-3.090309335424763	8.108683077618714
1740	-3.428714673759714	7.645455851667168
1739	-3.625142439782735	7.193363064533205
1738	-3.8107810721535316	6.75235398000245
1737	-3.9860258518987166	6.322366033127258
1736	-4.40146286235472	5.8933153372743465
1735	-4.889646347208668	5.462240810575687
1734	-5.321808707509149	5.031450923894456
1733	-5.869487237516523	4.596309895266064
1732	-6.18855028383598	4.166104475364428
1731	-6.4271711465924	3.7438259606600814
1730	-6.683045585289619	3.3284496228133635
1729	-7.018117776431609	2.9165283434579523
1728	-7.3657935124154506	2.507408942209099
1727	-7.675005579330673	2.1024967040049765
1726	-7.953627309608748	1.7028263925726173
1725	-8.15880329582842	1.3110930053244048
1724	-8.24961301908985	0.9315057697030013
1723	-8.40142599880835	0.5611422462713517
1722	-8.630359202960847	0.19656173549133774
1721	-8.87601537703955	-0.1631400430544822
1720	-9.131207316933285	-0.5185449624089357
1719	-9.250015921686952	-0.8644302379551704
1718	-9.352341367118015	-1.2005334732984476
1717	-9.419895568554182	-1.5258783950036965
1716	-9.63778346129385	-1.8468520559421124
1715	-9.91047106205258	-2.1658026818219622
1714	-9.969232802403667	-2.4743572503065714
1713	-10.191354570578085	-2.7793949897098424
1712	-10.302993457849595	-3.07669519122685
1711	-10.537503557569153	-3.371425777475574
1710	-10.609912703147643	-3.657291439420659
1709	-10.749777505383122	-3.937313665072259
1708	-10.928575897535893	-4.213266057402488
1707	-11.150823505735048	-4.487028759672539
1706	-11.363577851647108	-4.758317472427415
1705	-11.528989471198997	-5.025366280646715
1704	-11.585463313666367	-5.284051049700507
1703	-11.569720741848755	-5.531860436202027
1702	-11.548726794592369	-5.769022862763245
1701	-11.522730220374854	-5.995767062093981
1700	-11.491971060145886	-6.212321749587741
1699	-11.48856780875684	-6.420171453931514
1698	-11.383693982435375	-6.6156671311855275
1697	-11.277713866997033	-6.79925738244359
1696	-11.094118598006105	-6.9683602141934715
1695	-11.060039395212186	-7.129437713037497
1694	-11.104855431137821	-7.285914645465141
1693	-10.95655545108633	-7.4303742036165845
1692	-10.777374878574449	-7.562078371485961
1691	-10.613567547257901	-7.682138074524052
1690	-10.438932440545216	-7.790589136484886
1689	-10.170853225569658	-7.884216067735497
1688	-9.941719809856352	-7.965137694009364
1687	-9.781906559156369	-8.03658304976555
1686	-9.62430669046023	-8.099014229861956
1685	-9.565012331317348	-8.156652936125443
1684	-9.407329899505157	-8.205820869188706
1683	-9.31606825923376	-8.249463837131769
1682	-9.249792694691337	-8.28878231448137
1681	-9.149674155374612	-8.322617102434075
1680	-8.959545584796786	-8.347647517136103
1679	-8.62581088246776	-8.358578048825327
1678	-8.379837425018309	-8.359413377267382
1677	-8.179249366507804	-8.35233487216961
1676	-8.028518540392497	-8.33961331369747
1675	-7.899765713806062	-8.322334532196704
1674	-7.70851686867519	-8.298223223133485
1673	-7.296995988426886	-8.258896682753823
1672	-6.9004229904900285	-8.205541438475816
1671	-6.363975244906499	-8.133216666230794
1670	-5.887239407180459	-8.045014351473771
1669	-5.261862775321163	-7.9357226062215425
1668	-4.739446934375962	-7.810214565001197
1667	-4.038805466549718	-7.662130373713121
1666	-3.3872730532737023	-7.494286581628522
1665	-2.63484394121258	-7.30349923661917
1664	-1.9152944018590574	-7.091961694549086
1663	-1.1630780624419685	-6.859207610241025
