	macd	trigger
2046		
2045		
2044		
2043		
2042		
2041		
2040		
2039		
2038		
2037		
2036		
2035		
2034		
2033		
2032		
2031		
2030		
2029		
2028		
2027		
2026		
2025		
2024		
2023		
2022		
2021		
2020		
2019		
2018		
2017		
2016		
2015		
2014		
2013		
2012		
2011		
2010		
2009		
2008		
2007		
2006		
2005		
2004		
2003		
2002		
2001		
2000		
1999		
1998		
1997		
1996		
1995		
1994		
1993		
1992		
1991		
1990		
1989		
1988		
1987		
1986		
1985		
1984		
1983		
1982		
1981		
1980		
1979		
1978		
1977		
1976		
1975		
1974		
1973		
1972		
1971		
1970		
1969		
1968		
1967		
1966		
1965		
1964		
1963		
1962		
1961		
1960		
1959		
1958		
1957		
1956		
1955		
1954		
1953		
1952		
1951		
1950		
1949		
1948	-0.2193899391672236	
1947	-0.22218570857848796	
1946	-0.2273770355168896	
1945	-0.23193332283812929	
1944	-0.23371235057963524	
1943	-0.2352869844020109	
1942	-0.23393917895260508	
1941	-0.23527002422705579	
1940	-0.23641755047394852	
1939	-0.23793975132509537	
1938	-0.23926856295304688	
1937	-0.24046784405759958	
1936	-0.24198650120183451	
1935	-0.24275506585513718	
1934	-0.24559030766734402	
1933	-0.247888461553881	
1932	-0.25302872321626246	
1931	-0.25779964573946756	
1930	-0.2650257031813599	
1929	-0.2729058252567498	
1928	-0.2819728018407499	
1927	-0.2905305012771109	
1926	-0.29905233995087066	
1925	-0.30873013401262916	
1924	-0.31893996276358827	
1923	-0.3268594062390502	
1922	-0.33533160570089215	
1921	-0.3435272344329512	
1920	-0.35116886145295645	
1919	-0.35569065947936274	
1918	-0.35924654165337344	
1917	-0.36361031589371784	
1916	-0.3664311663371098	
1915	-0.3689357979541583	
1914	-0.3711376095459684	
1913	-0.37304951300040834	
1912	-0.3746839513726137	
1911	-0.37605291620534764	
1910	-0.3772264314898752	
1909	-0.37985290399714167	
1908	-0.38040580316830486	
1907	-0.38191541115857497	
1906	-0.3819845607194292	
1905	-0.37890879146283396	
1904	-0.3728292311673478	
1903	-0.36748963174279403	
1902	-0.3639258567615151	
1901	-0.3638998726473446	
1900	-0.36077898652778195	-0.33744016467380367
1899	-0.36053316760401977	-0.3384874725374614
1898	-0.3601153748035042	-0.3394623536141723
1897	-0.3595336620569878	-0.340361800697596
1896	-0.35879579232259573	-0.3411832776747018
1895	-0.3579092476720458	-0.341924675199125
1894	-0.3568812390010194	-0.3425842709668803
1893	-0.35391860932517893	-0.3430816939092598
1892	-0.35091131579517487	-0.3434237101265284
1891	-0.3478628645834778	-0.34361676049816275
1890	-0.344174219556999	-0.34364090019612287
1889	-0.34053914125824036	-0.34350713122723425
1888	-0.33804411395162504	-0.3432724465989226
1887	-0.33730488241587864	-0.3430170432464614
1886	-0.3364276402654003	-0.3427360329021226
1885	-0.33723750847207334	-0.3425023455171216
1884	-0.33668565629809244	-0.3422559453826702
1883	-0.3347723287423978	-0.341939926661818
1882	-0.3327148269596485	-0.34155153844062147
1881	-0.334844166074145	-0.34126996219130956
1880	-0.3367057964375988	-0.34107888621312765
