	macd	trigger
4863		
4862		
4861		
4860		
4859		
4858		
4857		
4856		
4855		
4854		
4853		
4852		
4851		
4850		
4849		
4848		
4847		
4846		
4845		
4844		
4843		
4842		
4841		
4840		
4839		
4838		
4837		
4836		
4835		
4834		
4833		
4832		
4831		
4830		
4829		
4828		
4827		
4826		
4825		
4824		
4823		
4822		
4821		
4820		
4819		
4818		
4817		
4816		
4815		
4814		
4813		
4812		
4811		
4810		
4809		
4808		
4807		
4806		
4805		
4804		
4803		
4802		
4801		
4800		
4799		
4798		
4797		
4796		
4795		
4794		
4793		
4792		
4791		
4790		
4789		
4788		
4787		
4786		
4785		
4784		
4783		
4782		
4781		
4780		
4779		
4778		
4777		
4776		
4775		
4774		
4773		
4772		
4771		
4770		
4769		
4768		
4767		
4766		
4765	34.80672349255656	
4764	34.449819628665864	
4763	34.30808222179394	
4762	34.15550592947193	
4761	33.6671972712511	
4760	33.40245760796279	
4759	32.80592911601707	
4758	32.00214843163303	
4757	31.32972593154591	
4756	30.783031847653547	
4755	29.805501335251847	
4754	28.8588378503473	
4753	27.665055811899038	
4752	25.45825518963875	
4751	22.67414396369668	
4750	20.7343950259974	
4749	18.14788637799711	
4748	15.336807334411333	
4747	12.874046656369956	
4746	10.407083032299852	
4745	8.162757366066216	
4744	6.018844799687486	
4743	3.518164383461226	
4742	1.2455994624615414	
4741	-0.6942999599114046	
4740	-2.5437974794317597	
4739	-4.477716796655386	
4738	-6.3770192641322865	
4737	-8.414714485512377	
4736	-10.468866536363748	
4735	-12.192241737281165	
4734	-14.06072122380283	
4733	-16.067147471023873	
4732	-18.03078104164615	
4731	-20.301089996458813	
4730	-22.63094185448972	
4729	-24.725467326672515	
4728	-26.068996815770333	
4727	-27.57134785400376	
4726	-28.990617382941764	
4725	-30.681934806459594	
4724	-32.51503327003684	
4723	-34.71833289019969	
4722	-36.802881786251874	
4721	-38.65501397546723	
4720	-40.52086565389436	
4719	-41.92521213153168	
4718	-43.48120704447638	
4717	-45.18149225166462	-14.698343657463012
4716	-47.25697276850542	-16.174934138179356
4715	-49.92848716693925	-17.69638081917165
4714	-52.691083100969536	-19.26458365917675
4713	-55.420050132379856	-20.875785611985485
4712	-57.87637951870465	-22.515878756298513
4711	-61.269601941863584	-24.224947238640844
4710	-64.71661535002022	-26.001979479703937
4709	-68.57406785178046	-27.86162798360362
4708	-72.22045135590724	-29.79070871740896
4707	-75.66358710581835	-31.77714594773963
4706	-78.9110355033522	-33.809880254896356
4705	-82.09089053897878	-35.88397418163904
4704	-85.32572821324311	-38.000011704472115
4703	-88.61171122462383	-40.15838798690681
4702	-91.70269058049325	-42.349021753844056
4701	-94.60600559571412	-44.56267411858498
4700	-97.63253219851504	-46.80371203813484
4699	-101.99199111590042	-49.12720752695562
4698	-105.37004098062243	-51.488288026035654
4697	-107.5650449058121	-53.835906791931485
4696	-109.60519778902835	-56.16448599114716
4695	-110.8244752402602	-58.44096969035104
4694	-112.48212934874664	-60.68621899001201
4693	-113.14977697652603	-62.860853830908226
4692	-113.6067174408031	-64.9595995023823
4691	-113.5554357945216	-66.96512801655966
4690	-113.26429907558622	-68.87195780263512
4689	-113.72770801191382	-70.71570948726577
4688	-114.23501154442238	-72.5011562588173
4687	-114.35294096519101	-74.21508685556074
4686	-114.34544289964128	-75.85567162571054
4685	-113.97134797904482	-77.4113022669297
4684	-114.29714273552395	-78.91433768271818
4683	-114.67332151586538	-80.36922581616344
4682	-115.59244905296873	-81.80021209876723
4681	-115.91527501968267	-83.18422582800224
4680	-116.04017990095167	-84.51535735144273
4679	-115.97598719602661	-85.78830558438143
4678	-115.97953115614905	-87.00837152820326
4677	-118.16021186679814	-88.26575382719375
4676	-118.93765452050638	-89.5023455323804
4675	-119.74330427545578	-90.72022208003486
4674	-120.32644652806653	-91.91127771557136
4673	-120.07355670047014	-93.04309564800315
4672	-119.77065419329074	-94.11620875965885
4671	-119.04565514796855	-95.11619319774742
4670	-117.41814096912208	-96.00998025176433
4669	-116.36699927712516	-96.82511930926073
4668	-114.86613190299113	-97.54692390747587
4667	-115.12723718653933	-98.24973872289824
4666	-111.99766611752307	-98.79892649086058
4665	-110.0184630723279	-99.24678525462056
4664	-108.57455201148696	-99.61886757629571
4663	-107.2660858916015	-99.92370775104902
4662	-106.15044876539446	-100.17176306350405
4661	-105.72227999918005	-100.39274224906411
4660	-105.95096372297098	-100.61389621343983
4659	-105.61149411088536	-100.8126298778392
4658	-105.79980532646687	-101.01084003933109
4657	-105.92519848363327	-101.20605303559708
4656	-105.9274303440975	-101.39350515014624
4655	-106.31657239536116	-101.58886975542285
4654	-106.88577243057739	-101.79897117286005
4653	-107.24787110777129	-102.0150044976139
4652	-107.53835732302468	-102.23389522462696
4651	-107.38110919387123	-102.43779506353735
4650	-107.42871496500538	-102.63542488089713
4649	-107.92503349520211	-102.84480211486348
4648	-108.65975483126454	-103.07488945517558
4647	-109.49514581219569	-103.32883805838077
4646	-110.42628313638716	-103.60947735027517
4645	-111.8287814516716	-103.93437028965354
4644	-113.04650687342769	-104.29444267444104
4643	-114.40446224038214	-104.69382727827276
4642	-115.45129759633346	-105.11866625427761
4641	-116.00998734683844	-105.5486723119929
4640	-116.35641778501622	-105.97526526757227
