	macd	trigger
3010		
3009		
3008		
3007		
3006		
3005		
3004		
3003		
3002		
3001		
3000		
2999		
2998		
2997		
2996		
2995		
2994		
2993		
2992		
2991		
2990		
2989		
2988		
2987		
2986		
2985		
2984		
2983		
2982		
2981		
2980		
2979		
2978		
2977		
2976		
2975		
2974		
2973		
2972		
2971		
2970		
2969		
2968		
2967		
2966		
2965		
2964		
2963		
2962		
2961		
2960		
2959		
2958		
2957		
2956		
2955		
2954		
2953		
2952		
2951		
2950		
2949		
2948		
2947		
2946		
2945		
2944		
2943		
2942		
2941		
2940		
2939		
2938		
2937		
2936		
2935		
2934		
2933		
2932		
2931		
2930		
2929		
2928		
2927		
2926		
2925		
2924		
2923		
2922		
2921		
2920		
2919		
2918		
2917		
2916		
2915		
2914		
2913		
2912	0.022191324093662423	
2911	0.019905769474109825	
2910	0.0184206289447415	
2909	0.016347762091222684	
2908	0.014094064200092848	
2907	0.01194037149840721	
2906	0.009828319502356742	
2905	0.00906923745856103	
2904	0.008834950983995782	
2903	0.007947530470363784	
2902	0.006216099747381687	
2901	0.005005153390968076	
2900	0.0029623884186991134	
2899	0.0012362665432545938	
2898	0.00020285638254691207	
2897	-0.0016191326177086296	
2896	-0.0026838195815286348	
2895	-0.003192804565999463	
2894	-0.004013496229227087	
2893	-0.005244342284515202	
2892	-0.006640876106881244	
2891	-0.0075164539085870175	
2890	-0.007383774537399024	
2889	-0.007480746199933108	
2888	-0.007569410488763584	
2887	-0.007935350277039177	
2886	-0.00793729662310172	
2885	-0.007362312362106049	
2884	-0.007269376960054252	
2883	-0.007177049745075603	
2882	-0.006105799360518027	
2881	-0.005542792615981895	
2880	-0.005292167592310992	
2879	-0.005571951037170564	
2878	-0.005545731609818638	
2877	-0.005052628215907795	
2876	-0.00434661719890439	
2875	-0.004196193009790683	
2874	-0.003758222023443114	
2873	-0.0035141841190768908	
2872	-0.003514242376074783	
2871	-0.003923859416545827	
2870	-0.004194956219870427	
2869	-0.002623874210329724	
2868	-0.0018321183209599745	
2867	-0.0013714452598754256	
2866	0.0010827288515717903	
