	macd	trigger
3621		
3620		
3619		
3618		
3617		
3616		
3615		
3614		
3613		
3612		
3611		
3610		
3609		
3608		
3607		
3606		
3605		
3604		
3603		
3602		
3601		
3600		
3599		
3598		
3597		
3596		
3595		
3594		
3593		
3592		
3591		
3590		
3589		
3588		
3587		
3586		
3585		
3584		
3583		
3582		
3581		
3580		
3579		
3578		
3577		
3576		
3575		
3574		
3573		
3572		
3571		
3570		
3569		
3568		
3567		
3566		
3565		
3564		
3563		
3562		
3561		
3560		
3559		
3558		
3557		
3556		
3555		
3554		
3553		
3552		
3551		
3550		
3549		
3548		
3547		
3546		
3545		
3544		
3543		
3542		
3541		
3540		
3539		
3538		
3537		
3536		
3535		
3534		
3533		
3532		
3531		
3530		
3529		
3528		
3527		
3526		
3525		
3524		
3523	-0.49161535643718324	
3522	-0.5009333848321109	
3521	-0.5076602682058748	
3520	-0.5073136343796296	
3519	-0.5061809012948224	
3518	-0.5067465856743443	
3517	-0.5100258267305264	
3516	-0.5101541541609738	
3515	-0.5100155373216229	
3514	-0.5189685169715474	
3513	-0.5288872359812906	
3512	-0.5408311040845231	
3511	-0.5463975344396701	
3510	-0.5519788827328194	
3509	-0.557016777088605	
3508	-0.5615345752540009	
3507	-0.5672325582967748	
3506	-0.570132806373782	
3505	-0.572607305060072	
3504	-0.5769274625776415	
3503	-0.5807526502189848	
3502	-0.5832557993300096	
3501	-0.5839286990454902	
3500	-0.5842734689040379	
3499	-0.5843052651286724	
3498	-0.5860353300289987	
3497	-0.5853866319109313	
3496	-0.5844706160531565	
3495	-0.5838740930106665	
3494	-0.5853089714614486	
3493	-0.5863802589901601	
3492	-0.5876815894310807	
3491	-0.5880460218082195	
3490	-0.5886745350560654	
3489	-0.5895557175707049	
3488	-0.5906785528859082	
3487	-0.5914497710089339	
3486	-0.5924688544517354	
3485	-0.5934325730235006	
3484	-0.5937578258784626	
3483	-0.595526624901785	
3482	-0.5963241303122944	
3481	-0.5976650921962312	
3480	-0.598640984529708	
