	macd	trigger
459		
458		
457		
456		
455		
454		
453		
452		
451		
450		
449		
448		
447		
446		
445		
444		
443		
442		
441		
440		
439		
438		
437		
436		
435		
434		
433		
432		
431		
430		
429		
428		
427		
426		
425		
424		
423		
422		
421		
420		
419		
418		
417		
416		
415		
414		
413		
412		
411		
410		
409		
408		
407		
406		
405		
404		
403		
402		
401		
400		
399		
398		
397		
396		
395		
394		
393		
392		
391		
390		
389		
388		
387		
386		
385		
384		
383		
382		
381		
380		
379		
378		
377		
376		
375		
374		
373		
372		
371		
370		
369		
368		
367		
366		
365		
364		
363		
362		
361	-0.2007496269850808	
360	-0.20390095900782512	
359	-0.20706656158255576	
358	-0.21484362297970705	
357	-0.22241110324551983	
356	-0.22596879102323442	
355	-0.23496885704441972	
354	-0.24287500413626617	
353	-0.25247591098392874	
352	-0.2614938896960819	
351	-0.269952587803326	
350	-0.27787472370095223	
349	-0.28528212744453185	
348	-0.29219577941522346	
347	-0.2986358469861372	
346	-0.3046217193118448	
345	-0.3101720403546011	
344	-0.3153047402530067	
343	-0.32228453012067604	
342	-0.328774467138091	
341	-0.33789866609188124	
340	-0.3464259150199691	
339	-0.34927827447580206	
338	-0.35352469910774076	
337	-0.35824808897587346	
336	-0.36428160127941744	
335	-0.370421842509959	
334	-0.37666216019619725	
333	-0.38184823476952445	
332	-0.38832566417409176	
331	-0.39891601968972346	
330	-0.40881447845830543	
329	-0.4168915053100779	
328	-0.4243841564695323	
327	-0.4324769060764275	
326	-0.4388139254269685	
325	-0.44463627588285526	
324	-0.4511321783288995	
323	-0.45710016845966805	
322	-0.4637329903823506	
321	-0.4736388054293954	
320	-0.4837305244854164	
319	-0.4925246322958525	
318	-0.5006650098622902	
317	-0.5072328876858894	
316	-0.5088654827872734	
315	-0.5117640406155797	
314	-0.5138545362106708	
313	-0.5173705691013062	-0.4138054052891402
312	-0.5222477266102672	-0.41872345324574944
311	-0.5266362537600315	-0.4235876396038239
310	-0.5311530420504127	-0.4284079226353721
309	-0.5387786472965939	-0.4333263912503152
308	-0.5421912422969264	-0.4381519488159137
307	-0.5511643939511224	-0.4431358830605844
306	-0.5519467499822639	-0.44791119679095426
305	-0.5524727098852722	-0.4524786885167977
304	-0.549324499863177	-0.45669032838041707
303	-0.5468839170146556	-0.46059598916941713
302	-0.5428288428026278	-0.46414242983730214
301	-0.5423061382827346	-0.4675002484087127
300	-0.5403218728385735	-0.4706169114961255
299	-0.5381530326906407	-0.47349704323593866
298	-0.5339906567978687	-0.4760680228764568
297	-0.5303529797767599	-0.47836758198564383
296	-0.5299525807352481	-0.48054591715480294
