	macd	trigger
3173		
3172		
3171		
3170		
3169		
3168		
3167		
3166		
3165		
3164		
3163		
3162		
3161		
3160		
3159		
3158		
3157		
3156		
3155		
3154		
3153		
3152		
3151		
3150		
3149		
3148		
3147		
3146		
3145		
3144		
3143		
3142		
3141		
3140		
3139		
3138		
3137		
3136		
3135		
3134		
3133		
3132		
3131		
3130		
3129		
3128		
3127		
3126		
3125		
3124		
3123		
3122		
3121		
3120		
3119		
3118		
3117		
3116		
3115		
3114		
3113		
3112		
3111		
3110		
3109		
3108		
3107		
3106		
3105		
3104		
3103		
3102		
3101		
3100		
3099		
3098		
3097		
3096		
3095		
3094		
3093		
3092		
3091		
3090		
3089		
3088		
3087		
3086		
3085		
3084		
3083		
3082		
3081		
3080		
3079		
3078		
3077		
3076		
3075	30.58946379481995	
3074	31.269112148652084	
3073	32.02966334978032	
3072	32.564349602879474	
3071	32.97005706480536	
3070	33.07846415808763	
3069	33.16478514574942	
3068	33.142540982224546	
3067	32.75347499819213	
3066	32.84984095379855	
3065	32.836694980645916	
3064	32.98422025790683	
3063	32.88640273200758	
3062	32.90968007346896	
3061	32.87055794155276	
3060	33.530709890595745	
3059	34.545539164252205	
3058	36.616454421119215	
3057	38.12245232356554	
3056	39.944202937057526	
3055	41.48006467325581	
3054	43.69254632516868	
3053	48.31941438814806	
3052	51.75217511274877	
3051	55.72783568528416	
3050	59.94701002030865	
3049	63.6199164649629	
3048	67.09029133856257	
3047	68.75881702569473	
3046	69.94716112750302	
3045	71.73648221376948	
3044	72.71392889067533	
3043	73.60932125504382	
3042	74.19423067517141	
3041	74.6216096134799	
3040	76.10806899070985	
3039	77.39420108278841	
3038	78.25498473703624	
3037	79.03643357298643	
3036	79.64811080767413	
3035	79.81576947844474	
3034	80.02921858708669	
3033	81.60486652649706	
3032	82.64228144538265	
3031	83.77908878720723	
3030	84.2534550792077	
3029	83.90509732565715	
3028	83.10294738628431	
3027	82.86567084445028	66.67550897286685
3026	82.93035093815547	67.41269433867679
3025	83.0929335570977	68.11948357344875
3024	84.4947687208205	68.853302323133
3023	85.40708972049674	69.59099145240424
3022	85.89916838578961	70.31386982706276
3021	93.08432577136819	71.31806414399674
3020	101.66990040055475	72.65009599447546
3019	107.93691722840686	74.19150697111192
3018	110.6380780626921	75.77649892448129
3017	112.24395262438429	77.35565223401397
3016	114.39495026957502	78.95303900900213
3015	115.47158021473797	80.5218314614105
3014	116.00493538340788	82.04045839518669
3013	116.98765853552686	83.53080961112195
3012	117.57503748009685	84.97768989442143
3011	117.78445594230607	86.3674137150912
3010	117.77850988065666	87.69384382341443
3009	117.469522020157	88.94743707043747
3008	116.67631354186369	90.11149843573156
3007	115.51839370817834	91.17514240238643
3006	114.69610449619677	92.15723168661344
3005	113.99942058544775	93.06691695487271
3004	112.98276509913376	93.89436115445531
3003	110.73030799810249	94.59221768555608
3002	108.03363806025345	95.14812748436692
3001	105.4046277233333	95.57140867992567
3000	102.35023297984935	95.85059432826453
2999	100.07110268144288	96.02407419093241
2998	98.43530470367568	96.1229986573402
2997	97.02076943623706	96.15976451613474
2996	95.12787966470842	96.1175796282175
2995	93.42061215076228	96.00750719483318
2994	90.85395571488698	95.79750871593059
2993	89.04996241719664	95.52297840249365
2992	86.83706035970135	95.170102418161
2991	86.41425575243557	94.8148865411001
2990	85.47068434578432	94.4363139975675
2989	84.12933394019183	94.01927682711715
2988	83.05426248844651	93.5761666083442
2987	81.63765874817136	93.09429239813447
2986	79.74626111236148	92.55614300421193
2985	78.1489625024874	91.97593100101635
