	macd	trigger
2784		
2783		
2782		
2781		
2780		
2779		
2778		
2777		
2776		
2775		
2774		
2773		
2772		
2771		
2770		
2769		
2768		
2767		
2766		
2765		
2764		
2763		
2762		
2761		
2760		
2759		
2758		
2757		
2756		
2755		
2754		
2753		
2752		
2751		
2750		
2749		
2748		
2747		
2746		
2745		
2744		
2743		
2742		
2741		
2740		
2739		
2738		
2737		
2736		
2735		
2734		
2733		
2732		
2731		
2730		
2729		
2728		
2727		
2726		
2725		
2724		
2723		
2722		
2721		
2720		
2719		
2718		
2717		
2716		
2715		
2714		
2713		
2712		
2711		
2710		
2709		
2708		
2707		
2706		
2705		
2704		
2703		
2702		
2701		
2700		
2699		
2698		
2697		
2696		
2695		
2694		
2693		
2692		
2691		
2690		
2689		
2688		
2687		
2686	0.0066003008705735056	
2685	0.04692671471390497	
2684	0.12036565635352758	
2683	0.17806429681907332	
2682	0.21122234831184983	
2681	0.23861482104172183	
2680	0.2632204200265278	
2679	0.2824228277787171	
2678	0.29371756239129354	
2677	0.31669750103390015	
2676	0.35634330999975816	
2675	0.3939382483912368	
2674	0.406020697635995	
2673	0.42565725024171286	
2672	0.43998006299884196	
2671	0.46317127504713085	
2670	0.49063301524172687	
2669	0.5642092557955891	
2668	0.6452969771134178	
2667	0.7250863885076058	
2666	0.8007857740518602	
2665	0.8668946008798457	
2664	0.9379886487933078	
2663	0.9939381232908744	
2662	1.0610152220667146	
2661	1.1101775896309078	
2660	1.1507792447038412	
2659	1.1860506669108872	
2658	1.244914278704755	
2657	1.2802939145266947	
2656	1.3133874991029728	
2655	1.3471716025939173	
2654	1.3816037252569373	
2653	1.405053351593594	
2652	1.4325136704223098	
2651	1.4637970975955028	
2650	1.4899832839512044	
2649	1.4996160461805772	
2648	1.5138909637137488	
2647	1.5355259166178001	
2646	1.5788533237744247	
2645	1.645832347511913	
2644	1.714786230691388	
2643	1.767913652307442	
2642	1.8118010964212488	
2641	1.8616270362196445	
2640	1.9023001733971228	
2639	1.946075620131154	
2638	1.9868573242421093	1.2970800610898863
2637	2.0277372482896396	1.3302166358395962
2636	2.062736299408357	1.3632350742229176
2635	2.0861347297859396	1.3956300717217904
2634	2.1044146412826166	1.427215754164679
2633	2.10283674591048	1.4571634182348774
2632	2.091273366866986	1.485128146226497
2631	2.085175243412479	1.511462033853027
2630	2.1113410837585747	1.5376661553874857
2629	2.1593027582741797	1.564699947154056
2628	2.1889156690476312	1.5917304146827826
2627	2.2039993966173483	1.6181356228359915
2626	2.2444497274718316	1.6450413208115526
2625	2.272841605511033	1.6719102898699767
2624	2.289699834702006	1.6982564176179822
2623	2.2985617543451013	1.723769404988786
2622	2.3088831107517933	1.7485553425454576
2621	2.3114820678321024	1.772326654226664
2620	2.361445493446027	1.7971292932684928
2619	2.4018387833501293	1.8225150659432743
2618	2.4300227290704157	1.8479479987614194
2617	2.4312720605338427	1.8723039884532369
2616	2.4373342439592136	1.8958364147102953
2615	2.4632831273233506	1.9194121362925662
2614	2.465365365260652	1.9420421095307325
2613	2.487545269408713	1.9646030103436634
2612	2.5442550988800576	1.9885249938007161
2611	2.6523534168636473	2.0158647448369957
2610	2.73573552749005	2.0454543283806994
2609	2.7985427962024403	2.0763509491904513
2608	2.8755386915860015	2.1090795970568217
2607	2.9722200787640105	2.144365980442833
2606	3.0753238942539696	2.182361545390571
2605	3.16290075783634	2.2223168546407472
2604	3.278874253431667	2.2653038933378538
2603	3.363147610855293	2.309905129563409
2602	3.491405477673581	2.3578374082366484
2601	3.6306359071816416	2.4094037758171383
2600	3.7771828090669715	2.464746339269526
2599	3.89650792780904	2.5226056517276065
2598	4.0581152506377265	2.5845834536363927
2597	4.222731374508854	2.6506282726736856
2596	4.259466123355907	2.7154200639648036
2595	4.307918241136676	2.779486116420481
2594	4.345728265270438	2.842432050290017
2593	4.354644506933425	2.9031474729906526
2592	4.407736606163255	2.9635004265000946
2591	4.45615576047328	3.023321031735611
2590	4.525091976704601	3.0834551874846645
2589	4.601084122129606	3.144174148669345
2588	4.643094463126232	3.2040970514877176
2587	4.674549725715977	3.262837150913133
2586	4.72411453908073	3.321168070360928
2585	4.759594039867224	3.378546528489478
2584	4.775327708307046	3.4342262542919295
2583	4.8004551969323614	3.4886528550564337
2582	4.796839587231148	3.540734857865646
2581	4.787781243027894	3.5903531131175668
2580	4.704320275724257	3.63465094995605
2579	4.593906945765212	3.6727755934140447
2578	4.489302358043034	3.7052104754156625
2577	4.399751940736195	3.7327857480129194
2576	4.280478656692253	3.7545201269249557
2575	4.173892130743269	3.771154499470444
2574	4.082632019458956	3.7835036938093007
2573	4.050273529782103	3.7940757947029096
2572	3.9920216642679094	3.8019171494937627
2571	3.9375261807807362	3.807286978826768
2570	3.8708284415596808	3.8098021244035527
2569	3.776685522422852	3.8084917593427288
2568	3.697545192259625	3.804103348012337
2567	3.651781153411065	3.7980803929400717
2566	3.609387219214213	3.7906217225835372
2565	3.570233222861006	3.7819129184578246
2564	3.5817836475089564	3.7740070435906476
2563	3.559222382739165	3.765524668768335
2562	3.539028744151878	3.7565822623508596
2561	3.5211066232767934	3.747287793944819
2560	3.514898232278753	3.7381174778998907
2559	3.4912616595246817	3.728378698127167
2558	3.4764432318939953	3.7184418608356915
2557	3.4477764918094493	3.7077686942460835
2556	3.418635276444874	3.6963697537367044
2555	3.379501003080321	3.683879969631346
2554	3.3627066431862715	3.671223053972464
2553	3.3736283729689376	3.659497593424172
2552	3.379124005710878	3.648452701533518
2551	3.3762461172330234	3.637731442539481
2550	3.3717565018478695	3.6272574149380783
2549	3.397652683014286	3.6182171204087004
2548	3.4333904229142433	3.6109410313423536
2547	3.481702356275406	3.605854051090338
2546	3.538801306736616	3.6032151631317704
2545	3.5978688707266713	3.6030047870187127
2544	3.6396005458051377	3.604444633493423
2543	3.6583612634816234	3.6065656896924785
2542	3.6743784090345173	3.6092330814499176
2541	3.722976989174043	3.6137066295671585
2540	3.8410820071881915	3.622648281450332
2539	3.9838569388120675	3.636851435048438
2538	4.082836746959941	3.6543862574780017
2537	4.168793733997575	3.6746091872299087
2536	4.264712844047438	3.69780570649984
2535	4.36047595187182	3.723852325905061
2534	4.411138342880889	3.7508640543738867
2533	4.495713647538565	3.7801356205289895
2532	4.625461936065989	3.8133530288267887
2531	4.7372839685732515	3.849656342031183
2530	4.844777950452681	3.8887539029059504
2529	4.954508943909161	3.9306235176863202
2528	5.053470493531421	3.974732949133058
2527	5.1678064012608615	4.021597945774472
2526	5.277478660121346	4.070926851254429
2525	5.3697837674577045	4.121940594428741
2524	5.490479665547781	4.175687930241449
2523	5.6285707284514785	4.232744441101657
2522	5.744594643180136	4.292113376865302
2521	5.852363315224352	4.3533796547719685
2520	5.932885354854392	4.415398867783798
2519	6.0517377984343455	4.479646469672839
2518	6.152386373511234	4.545320175231222
2517	6.2581486089526095	4.612564745170313
2516	6.384845050756638	4.682140318796026
2515	6.470248100797278	4.752334295930566
2514	6.541965828694089	4.822585256653538
2513	6.587690034161682	4.891870749463494
2512	6.660155149360207	4.961278468322237
2511	6.712972011617694	5.030032513480696
2510	6.785703472686237	5.098940305003025
2509	6.909664236152224	5.17000650804781
2508	7.082467898434658	5.245063261471339
2507	7.28245150184037	5.325020477154161
2506	7.4598729522444955	5.408800220255868
2505	7.622120621230579	5.495656901005737
2504	7.785941244089855	5.585531426729397
2503	7.943108004696484	5.67804420892525
2502	8.084154843210086	5.772459143162893
2501	8.246883539384498	5.8695523588527125
2500	8.36562188220924	5.967492646631783
2499	8.513382188241536	6.0673855530973775
2498	8.688771693108123	6.170238529149472
2497	8.848434559344042	6.2753183585281525
2496	8.984922693753106	6.381628416910138
2495	9.099218454898306	6.488249781231777
2494	9.226218098715748	6.595668717769678
2493	9.342645443687672	6.703439207151552
2492	9.46023977274723	6.811593301694805
2491	9.583739472353074	6.920347684722608
2490	9.682082987659896	7.028691966281241
2489	9.774156003070658	7.136396321319169
2488	9.879609655350862	7.244010848891501
2487	9.988074318662598	7.351657253877819
2486	10.076703305261702	7.458556222482535
2485	10.162536029508402	7.564627458100031
2484	10.323345844184189	7.672844655717381
2483	10.4358576572547	7.781229056083025
2482	10.54430000344081	7.8896145154253
2481	10.626135038976287	7.996957340730228
2480	10.655002640010139	8.10122081678524
2479	10.596048564239823	8.199081010940587
2478	10.545611777518644	8.291123343298038
2477	10.508190716471319	8.378086695175258
2476	10.499412526491568	8.461293900167805
2475	10.443456438839206	8.539041885013566
2474	10.395963911202102	8.611876866299303
2473	10.314444931798818	8.678657023183332
2472	10.195627184594798	8.738156990853076
2471	10.096371244768477	8.791429707322049
2470	10.074188886724897	8.841742529692455
2469	9.979700141997426	8.886375597948001
2468	9.872980727697495	8.925072058983876
2467	9.76436963545109	8.95799064553338
2466	9.639416820741047	8.984717106678522
2465	9.443798948313486	9.002722818578823
2464	9.114344056450534	9.0071007066011
2463	8.850300039104013	9.000950871837022
2462	8.632609476601601	8.986504330533366
2461	8.417104302663688	8.964172272935464
2460	8.302746813585486	8.938231067940382
2459	8.17630423735983	8.90834831755724
2458	8.08381817538205	8.876010405581187
2457	7.98809722495966	8.841186766605768
2456	7.827679740365028	8.801437539020675
2455	7.6542734787653615	8.756446521955937
2454	7.559436613462083	8.709500755149119
2453	7.495824646212839	8.66190152043611
2452	7.457180744224161	8.614653664789893
2451	7.427780784657642	8.568105935297137
2450	7.363392503253863	8.520858667866788
2449	7.325704376178919	8.473986437478027
2448	7.250207754162375	8.425991737593813
2447	7.1532741361138505	8.376077867140191
2446	7.057036319170976	8.324347385676559
2445	6.950146746265915	8.270453799362288
2444	6.859126239076687	8.215104299990342
2443	6.7589416962774465	8.157996592496072
2442	6.637070614061798	8.0983491332521
2441	6.52704423366913	8.036726054462164
2440	6.51608317802868	7.977089951834688
2439	6.490861748722466	7.918803630090326
2438	6.533256551101317	7.864465886323403
2437	6.596309613618757	7.8147320128808735
2436	6.627065705156667	7.768154834590992
2435	6.695209043761878	7.726076767970105
2434	6.844490692727106	7.691503374760448
2433	6.921669996758197	7.6613126641105005
2432	7.004727713720058	7.63556327887167
2431	7.086853939619402	7.614044498119468
2430	7.122552068057843	7.59476962471234
2429	7.162665988180663	7.577823826178309
2428	7.2150989129613095	7.56359886983199
2427	7.240260968379005	7.550918566769706
2426	7.280009450273184	7.54029436963738
2425	7.343410736068961	7.532573226225789
2424	7.435855868971231	7.528780286453966
2423	7.497462641235671	7.527552111698979
2422	7.519851288772372	7.527250111129015
2421	7.495043730384168	7.525987085612944
2420	7.43170440481282	7.522289640659987
2419	7.35437893065054	7.515704761625949
2418	7.289754255769594	7.506843769607718
2417	7.178761707743888	7.493977544310532
2416	7.0999795222383	7.478526339083794
2415	7.084496858727761	7.463073912034732
2414	7.085541474080372	7.448268450907987
2413	7.151136070571596	7.436615998436381
2412	7.301069112289326	7.431300345623456
2411	7.40134377677316	7.430125559393718
2410	7.52896664604674	7.434001740112145
