	macd	trigger
183		
182		
181		
180		
179		
178		
177		
176		
175		
174		
173		
172		
171		
170		
169		
168		
167		
166		
165		
164		
163		
162		
161		
160		
159		
158		
157		
156		
155		
154		
153		
152		
151		
150		
149		
148		
147		
146		
145		
144		
143		
142		
141		
140		
139		
138		
137		
136		
135		
134		
133		
132		
131		
130		
129		
128		
127		
126		
125		
124		
123		
122		
121		
120		
119		
118		
117		
116		
115		
114		
113		
112		
111		
110		
109		
108		
107		
106		
105		
104		
103		
102		
101		
100		
99		
98		
97		
96		
95		
94		
93		
92		
91		
90		
89		
88		
87		
86		
85	0.00782609230343212	
84	0.028049767712857943	
83	0.04189696112081975	
82	0.05506151404431847	
81	0.06757040626778377	
80	0.08080944366509613	
79	0.09201467892851412	
78	0.10264145472392272	
77	0.11408339524969335	
76	0.12630045923151556	
75	0.13512050732202852	
74	0.14345578823566996	
73	0.15132547164861165	
72	0.15874798554630587	
71	0.1657410482694388	
70	0.17232169891648397	
69	0.17850632620250195	
68	0.18431069586673487	
67	0.19255930795152665	
66	0.20314053816035482	
65	0.20324799106314373	
64	0.20466117399978856	
63	0.20590451808179466	
62	0.21266624073975748	
61	0.22469860782454276	
60	0.23605825654210832	
59	0.26963705442911845	
58	0.3072508263276674	
57	0.3429667780579564	
56	0.3711050614864959	
55	0.4208020132759458	
54	0.4968545047485051	
53	0.4939510211201821	
52	0.54308380812828	
51	0.612896911136211	
50	0.6559176261893143	
49	0.6966238519612133	
48	0.7351025858242863	
47	0.7772845275720215	
46	0.8112754232330772	
45	0.8432921802290991	
44	0.873409972063456	
43	0.9017013650714247	
42	0.9282364115831854	
41	0.9530827393473515	
40	0.9763056373916044	
39	0.9979681384866836	
38	1.0181310983714909	
37	1.0368532718883472	0.5808348760294616
36	1.054191386169201	0.60230241738305
35	1.0821175827798442	0.6239301609945362
34	1.108216051308652	0.6456322604280272
33	1.078776254166307	0.6649345269075853
32	1.056118150423444	0.6822741831496809
31	1.021974277259858	0.6972552140434732
30	0.9888709906332522	0.710053171281917
29	0.9567770833261733	0.7208306494713667
28	0.9256623051502899	0.7297383880136467
27	0.8954973315533934	0.7369162619181285
26	0.8662537333824645	0.7424941744970652
25	0.8379039477532544	0.7465928631967879
24	0.8104212499795977	0.7493246283636951
23	0.8079962231537792	0.7518267253066582
22	0.8098163923064448	0.7542912871742385
21	0.7944525754627847	0.7559925551054304
20	0.7611577035389487	0.7562106693781723
19	0.7289928103407632	0.755064763512913
18	0.7161908102971353	0.7534328305674376
17	0.703607169741332	0.751346910074045
16	0.6942896435527928	0.7489645530167818
15	0.669768882024897	0.745666205239235
14	0.6093276833856578	0.7400017455451137
13	0.551328471941865	0.7321811651256721
12	0.5140752186372524	0.7231607469368274
11	0.5027954315984573	0.7140663685462599
10	0.47949056140139135	0.7044053719036576
9	0.47390618249959715	0.6949309284535552
8	0.45141330487377473	0.6849402407751226
7	0.4297136332616276	0.6744881012835948
6	0.4642636123843502	0.6658938317879096
5	0.47232289117617654	0.6579935420574118
4	0.4859500019813012	0.6509830597013926
3	0.4801643654441037	0.6440331393008254
2	0.4759431914901384	0.6372042807394277
1	0.4701226123499609	0.6304259458000909
