	macd	trigger
615		
614		
613		
612		
611		
610		
609		
608		
607		
606		
605		
604		
603		
602		
601		
600		
599		
598		
597		
596		
595		
594		
593		
592		
591		
590		
589		
588		
587		
586		
585		
584		
583		
582		
581		
580		
579		
578		
577		
576		
575		
574		
573		
572		
571		
570		
569		
568		
567		
566		
565		
564		
563		
562		
561		
560		
559		
558		
557		
556		
555		
554		
553		
552		
551		
550		
549		
548		
547		
546		
545		
544		
543		
542		
541		
540		
539		
538		
537		
536		
535		
534		
533		
532		
531		
530		
529		
528		
527		
526		
525		
524		
523		
522		
521		
520		
519		
518		
517	2.56903622503728	
516	2.7762225336994106	
515	2.972072494916233	
514	3.0596690338331882	
513	3.076423739478173	
512	3.036408272790595	
511	2.9967387873685993	
510	2.9574171563322125	
509	3.0939088342599916	
508	3.293833469883907	
507	3.5653106183289083	
506	3.766915474683401	
505	3.7576959372077	
504	3.6692540039177857	
503	3.5830944377776177	
502	3.432194567775923	
501	3.141202943987082	
500	2.783745751378433	
499	2.4977643308919824	
498	1.8747169145500493	
497	1.3023489912369541	
496	0.812549848424851	
495	0.2997858056601217	
494	-0.2233712941142585	
493	-0.7562662821520689	
492	-1.218402236044085	
491	-1.7613818845951528	
490	-2.301215948028812	
489	-2.803404336031008	
488	-3.2234234545039726	
487	-3.7376258590070393	
486	-4.156894581737447	
485	-5.052118126428013	
484	-5.5789600083901405	
483	-5.858067941353852	
482	-6.307449372282576	
481	-7.000942489187082	
480	-7.472186653849917	
479	-7.917956396503428	
478	-8.151792410538064	
477	-8.405941967968829	
476	-8.749922908376107	
475	-9.191386508906817	
474	-9.45463843170512	
473	-9.795490158088683	
472	-10.032938577732807	
471	-10.325486219454888	
470	-10.350226776690533	
469	-10.380457823393044	-4.684301020333028
468	-10.463530109755311	-4.9463991151335165
467	-10.65665638018561	-5.2037898542987575
466	-10.847464489074923	-5.456697466401066
465	-11.024031101671198	-5.704795463746316
464	-11.186919569824454	-5.947796810841428
463	-11.360642873613756	-6.1865074132101
462	-11.520649835361041	-6.420603549642689
461	-11.559336612260608	-6.6450754423136935
460	-11.698668513655207	-6.864846578905742
459	-11.801589862163723	-7.078622801348463
458	-11.954124281239956	-7.288887628126136
457	-11.864119801940774	-7.485434080019154
456	-11.893118006110399	-7.674076751766507
455	-12.02371225990612	-7.859570426292618
454	-12.020999236636385	-8.036431223935438
453	-12.012287368272155	-8.204852030279964
452	-11.997853457787869	-8.365023177056907
451	-11.990129663689459	-8.517644688525255
450	-12.061899978273345	-8.666432925790707
449	-12.18521384103201	-8.813744513859305
448	-12.296696920464228	-8.959170973132395
447	-12.567896416441272	-9.109467465309773
446	-12.673549540473687	-9.25754446502221
445	-12.706702224938113	-9.400513392870923
444	-12.854435457021168	-9.54336058210135
443	-12.98888211112967	-9.685555720613579
442	-13.086013928607485	-9.825603476307542
441	-13.18433744665208	-9.963660946914018
440	-13.283759213584744	-10.099873120622036
439	-13.211741555169965	-10.227311569434459
438	-13.111594069923854	-10.345225049641682
437	-13.021645457193472	-10.454458887083677
436	-12.929135231250484	-10.555297749385419
435	-12.69823370387246	-10.642485128799326
434	-12.63220444624983	-10.723319895974418
433	-12.61225760126706	-10.799952195432729
432	-12.685928173433581	-10.876360936180127
