	macd	trigger
2501		
2500		
2499		
2498		
2497		
2496		
2495		
2494		
2493		
2492		
2491		
2490		
2489		
2488		
2487		
2486		
2485		
2484		
2483		
2482		
2481		
2480		
2479		
2478		
2477		
2476		
2475		
2474		
2473		
2472		
2471		
2470		
2469		
2468		
2467		
2466		
2465		
2464		
2463		
2462		
2461		
2460		
2459		
2458		
2457		
2456		
2455		
2454		
2453		
2452		
2451		
2450		
2449		
2448		
2447		
2446		
2445		
2444		
2443		
2442		
2441		
2440		
2439		
2438		
2437		
2436		
2435		
2434		
2433		
2432		
2431		
2430		
2429		
2428		
2427		
2426		
2425		
2424		
2423		
2422		
2421		
2420		
2419		
2418		
2417		
2416		
2415		
2414		
2413		
2412		
2411		
2410		
2409		
2408		
2407		
2406		
2405		
2404		
2403	-0.29785440364418037	
2402	-0.3419379921938699	
2401	-0.3923688127995675	
2400	-0.44105601384229587	
2399	-0.4854606587249535	
2398	-0.5353369931078547	
2397	-0.582570155050238	
2396	-0.6141400325062598	
2395	-0.6403918118013294	
2394	-0.6685935931372811	
2393	-0.6986499130198105	
2392	-0.7260486125512635	
2391	-0.7535595511555648	
2390	-0.7722851400671757	
2389	-0.7852847507837275	
2388	-0.7999527724942261	
2387	-0.8188953100003786	
2386	-0.8320499705394653	
2385	-0.8504592153458539	
2384	-0.8666752276341789	
2383	-0.8825971171911569	
2382	-0.9009484321975556	
2381	-0.9179874818363132	
2380	-0.9301317700265592	
2379	-0.9448825413647413	
2378	-0.9602939616820301	
2377	-0.9671855869445345	
2376	-0.9732664995376865	
2375	-0.9785714627490307	
2374	-0.9831339521034046	
2373	-0.9842204241936621	
2372	-0.9782910394590658	
2371	-0.9591825052837422	
2370	-0.9395415013773878	
2369	-0.9184714372838734	
2368	-0.897906066007323	
2367	-0.881560876103304	
2366	-0.8627189299344451	
2365	-0.8471122469793819	
2364	-0.8402267883288062	
2363	-0.8322924822007352	
2362	-0.8214793636743352	
2361	-0.8060367670604833	
2360	-0.7974965134556342	
2359	-0.7879982120056965	
