	macd	trigger
1661		
1660		
1659		
1658		
1657		
1656		
1655		
1654		
1653		
1652		
1651		
1650		
1649		
1648		
1647		
1646		
1645		
1644		
1643		
1642		
1641		
1640		
1639		
1638		
1637		
1636		
1635		
1634		
1633		
1632		
1631		
1630		
1629		
1628		
1627		
1626		
1625		
1624		
1623		
1622		
1621		
1620		
1619		
1618		
1617		
1616		
1615		
1614		
1613		
1612		
1611		
1610		
1609		
1608		
1607		
1606		
1605		
1604		
1603		
1602		
1601		
1600		
1599		
1598		
1597		
1596		
1595		
1594		
1593		
1592		
1591		
1590		
1589		
1588		
1587		
1586		
1585		
1584		
1583		
1582		
1581		
1580		
1579		
1578		
1577		
1576		
1575		
1574		
1573		
1572		
1571		
1570		
1569		
1568		
1567		
1566		
1565		
1564		
1563	-1.2686431806358485	
1562	-1.2820724117065652	
1561	-1.272621969790265	
1560	-1.2467401130359974	
1559	-1.2214525001625702	
1558	-1.1967421695947849	
1557	-1.1507754017180503	
1556	-1.1173374010068358	
1555	-1.0849112815922979	
1554	-1.053463732056855	
1553	-1.0229626969406524	
1552	-0.9657501117496281	
1551	-0.9107381853522725	
1550	-0.8634010111922237	
1549	-0.817846440470646	
1548	-0.7963299286579968	
1547	-0.7530446006005036	
1546	-0.7338242216840172	
1545	-0.6982726139328861	
1544	-0.6696568327952264	
1543	-0.6363909787921784	
1542	-0.7061668275937052	
1541	-0.7439923046699732	
1540	-0.779680615505356	
1539	-0.813314577147878	
1538	-0.8449739762094737	
1537	-0.886168663249606	
1536	-0.9192760175506294	
1535	-0.9733415084846797	
1534	-1.0129092558440504	
1533	-1.0904673956066802	
1532	-1.1638882355173905	
1531	-1.233327999955634	
1530	-1.2989373830164368	
1529	-1.360861755771424	
1528	-1.3610817912207551	
1527	-1.3606006393777932	
1526	-1.406143665040048	
1525	-1.4021035545027587	
1524	-1.397537303818126	
1523	-1.3924712911591257	
1522	-1.4456946186290622	
1521	-1.4074500417787306	
1520	-1.3702458920886613	
1519	-1.3340525145231652	
