	macd	trigger
866		
865		
864		
863		
862		
861		
860		
859		
858		
857		
856		
855		
854		
853		
852		
851		
850		
849		
848		
847		
846		
845		
844		
843		
842		
841		
840		
839		
838		
837		
836		
835		
834		
833		
832		
831		
830		
829		
828		
827		
826		
825		
824		
823		
822		
821		
820		
819		
818		
817		
816		
815		
814		
813		
812		
811		
810		
809		
808		
807		
806		
805		
804		
803		
802		
801		
800		
799		
798		
797		
796		
795		
794		
793		
792		
791		
790		
789		
788		
787		
786		
785		
784		
783		
782		
781		
780		
779		
778		
777		
776		
775		
774		
773		
772		
771		
770		
769		
768	1.058502759912102	
767	1.0992499231985278	
766	1.1536675369611835	
765	1.1832555258041388	
764	1.2162514383705698	
763	1.2579336145840685	
762	1.2969918461946968	
761	1.3390030789867673	
760	1.3673739624455976	
759	1.382709845350302	
758	1.4186616328334836	
757	1.4577198367401571	
756	1.488656311165272	
755	1.522931920032729	
754	1.5492554832622751	
753	1.5623959039564568	
752	1.59649605023953	
751	1.6113704546333238	
750	1.6247294852211809	
749	1.6321329751086822	
748	1.63158813179993	
747	1.641551713537659	
746	1.6502168757937739	
745	1.646278472068424	
744	1.6416863293098558	
743	1.647882623750121	
742	1.652954279683236	
741	1.6483590671380313	
740	1.64026959813431	
739	1.6259705027339066	
738	1.617268862669171	
737	1.602374927820513	
736	1.5873550470636388	
735	1.5606326660222578	
734	1.5372528825176275	
733	1.514170064650635	
732	1.494294797732337	
731	1.4570659260770427	
730	1.4471203547779368	
729	1.4275265509015753	
728	1.4086950758725933	
727	1.372384222713329	
726	1.3370436624180755	
725	1.2879072449121125	
724	1.2315134689191467	
723	1.1770800927428766	
722	1.1215821573787608	
721	1.0532264541825498	
720	0.9815251704871244	1.4124354814072388
719	0.912607949952914	1.3897674331786636
718	0.840422508523865	1.365005624795888
717	0.7651453990077144	1.3381243413915593
716	0.6869467365745692	1.3091058075196742
715	0.6059904187639589	1.2779394232268582
714	0.5523955523609487	1.2459423901594533
713	0.5009689544914195	1.2132482119330543
712	0.46966207676679517	1.1807666284200058
711	0.45157867707361277	1.1490556333726576
710	0.4401152815670244	1.1183563278486717
709	0.41688781672241504	1.088104228533293
708	0.4005475799819749	1.0585676247907239
707	0.37265554834971226	1.0292115527916246
706	0.33979212489058597	0.9998107115644136
705	0.30522393708523765	0.9702907614306535
704	0.2811795372484909	0.94109939639519
703	0.24289914887273056	0.9116157443420736
702	0.20928136224291194	0.8820465895193318
701	0.16491027847730777	0.8519411262058877
700	0.1285734163305392	0.8216577841433781
699	0.09992957342681308	0.7915228968440358
698	0.07253972360318528	0.7615786268877216
697	0.040244553989925436	0.7316093436185798
696	-0.0028449793824982805	0.7011659268709861
695	-0.04397078899496165	0.6703485883564213
694	-0.07399922270185755	0.6396296858033572
693	-0.1026227319991726	0.6090600452098363
692	-0.12681728450856156	0.5788125282243965
691	-0.1467692783353698	0.549044410796474
690	-0.16573820928937977	0.5197723543912184
689	-0.1683476403667612	0.4916410519378971
688	-0.17075231239362765	0.46460652145909515
687	-0.16060846241199656	0.4391300716533767
686	-0.17556984186246183	0.41412042333739124
685	-0.1928542326801086	0.3894613397319585
684	-0.21234982822917559	0.3650464670173454
683	-0.23084997520630424	0.34090422061692843
682	-0.2514918937371	0.3169349106987251
681	-0.27106625829117803	0.29317303327819216
680	-0.2896116296708371	0.2696500853126626
679	-0.3071653293628671	0.24639475580623021
678	-0.3268748777554862	0.22330780118521848
677	-0.3455207478383784	0.200423881955401
676	-0.3662579508801258	0.17764942322887273
675	-0.38586457321154555	0.1550243017776532
674	-0.40438197074199067	0.13258507234690642
673	-0.4218501673978814	0.11036517278231756
672	-0.4383078962270588	0.08839511676435272
671	-0.45066509508464137	0.06682780519545303
670	-0.45909966320586904	0.045802604406214184
669	-0.47631083034428556	0.024945765144328027
668	-0.4924951775684825	0.004290682000791204
667	-0.507691047895424	-0.01613214327781208
666	-0.5169146560691367	-0.03609477837182537
665	-0.5273376545015012	-0.05566447058303294
664	-0.5401581187360947	-0.07495330674345298
663	-0.5521183948334993	-0.09393904730600355
662	-0.5569596150529108	-0.11235144782499094
661	-0.5644424279644085	-0.13031933909040014
660	-0.5712950769633842	-0.14783621256359913
659	-0.5869969904787844	-0.16527214514603447
658	-0.6004221054344185	-0.18254042445107588
657	-0.6078802422133442	-0.19941151008070382
656	-0.589432754143278	-0.21487473882154232
655	-0.5525699790284122	-0.2282576167535224
654	-0.5170987910651874	-0.23969966467784481
653	-0.48929775480925386	-0.24958321839937675
652	-0.4498550677886257	-0.2575105281351189
651	-0.42463418685334986	-0.264123314173645
650	-0.3940080870438578	-0.2692608125559252
649	-0.3518987749808993	-0.27252839110054916
648	-0.3115226938265607	-0.2740697592596262
647	-0.26013697506077804	-0.2735191956473399
646	-0.22998964949794853	-0.2717996113843761
645	-0.20109449333677176	-0.26900729227388637
644	-0.16070712920193486	-0.2647314357660564
643	-0.12080241812179793	-0.2590504077307689
642	-0.08264979612056322	-0.25208946960864836
641	-0.04428144050176286	-0.24389117538250377
640	0.005089534266197404	-0.23407087958419237
639	0.04903060745932919	-0.22290731867556232
638	0.09731579160155945	-0.21028268257664232
